// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。

//<10414> 通り魔
<10414> 通り魔

//<10415> 記憶ナシ男
<10415> 記憶ナシ男

//<10416> 音速
<10416> 音速

//<10417> 無限
<10417> 無限

//<10418> エロ侍
<10418> エロ侍

//<10419> エロエロ団ナンバー１
<10419> エロエロ団ナンバー１

//<10420> ただのエロ少年
<10420> ただのエロ少年

//<10421> ユリブサイク
<10421> ユリブサイク

//<10422> ドピュッシー
<10422> ドピュッシー

//<10423> アメリカンエロドッグ
<10423> アメリカンエロドッグ

//<10424> ゼウス
<10424> ゼウス

//<10425> 日向markⅡ
<10425> 日向markⅡ

//<10426> 糞虫
<10426> 糞虫

//<10427> 量産型日向
<10427> 量産型日向

//<10428> ？？
<10428> ？？

//<10429> 「…悪かった」
<10429> 「…悪かった」

//<10430> 日向とチャーは戦線の創設メンバーだ。
<10430> 日向とチャーは戦線の創設メンバーだ。

//<10431> 俺よりも二人の方が辛いはずなのに、俺ばかり取り乱して…。
<10431> 俺よりも二人の方が辛いはずなのに、俺ばかり取り乱して…。

//<10432> nothing
<10432> nothing

//<10433> nothing
<10433> nothing

//<10434> nothing
<10434> nothing

//<10435> nothing
<10435> nothing

//<10436> nothing
<10436> nothing

//<10437> 日向
<10437> 日向

//<10438> 男Ｂ
<10438> 男Ｂ

//<10439> エロエロ団総帥
<10439> エロエロ団総帥

//<10440> イケチン
<10440> イケチン

//<10441> ホモ太
<10441> ホモ太

//<10442> ひなチン
<10442> ひなチン

//<10443> 秀樹
<10443> 秀樹

//<10444> 男子生徒
<10444> 男子生徒

//<10445> ？？
<10445> ？？

//<10446> 「音無…」
<10446> 「音無…」

//<10447> 音無
<10447> 音無

//<10448> クソ坊主
<10448> クソ坊主

//<10449> 代理人
<10449> 代理人

//<10450> 微妙すぎるイケメン
<10450> 微妙すぎるイケメン

//<10451> ロリコン
<10451> ロリコン

//<10452> メガネ仲間
<10452> メガネ仲間

//<10453> 暗算日本記録保持者
<10453> 暗算日本記録保持者

//<10454> 通り魔
<10454> 通り魔

//<10455> 記憶ナシ男
<10455> 記憶ナシ男

//<10456> 音速
<10456> 音速

//<10457> 無限
<10457> 無限

//<10458> エロ侍
<10458> エロ侍

//<10459> エロエロ団ナンバー１
<10459> エロエロ団ナンバー１

//<10460> ただのエロ少年
<10460> ただのエロ少年

//<10461> ユリブサイク
<10461> ユリブサイク

//<10462> ドピュッシー
<10462> ドピュッシー

//<10463> アメリカンエロドッグ
<10463> アメリカンエロドッグ

//<10464> ゼウス
<10464> ゼウス

//<10465> 日向markⅡ
<10465> 日向markⅡ

//<10466> 糞虫
<10466> 糞虫

//<10467> 量産型日向
<10467> 量産型日向

//<10468> ？？
<10468> ？？

//<10469> 「…何だ？」
<10469> 「…何だ？」

//<10470> 日向
<10470> 日向

//<10471> 男Ｂ
<10471> 男Ｂ

//<10472> エロエロ団総帥
<10472> エロエロ団総帥

//<10473> イケチン
<10473> イケチン

//<10474> ホモ太
<10474> ホモ太

//<10475> ひなチン
<10475> ひなチン

//<10476> 秀樹
<10476> 秀樹

//<10477> 男子生徒
<10477> 男子生徒

//<10478> ？？
<10478> ？？

//<10479> 「改めて訊く」
<10479> 「改めて訊く」

//<10480> nothing
<10480> nothing

//<10481> nothing
<10481> nothing

//<10482> nothing
<10482> nothing

//<10483> nothing
<10483> nothing

//<10484> nothing
<10484> nothing

//<10485> 日向
<10485> 日向

//<10486> 男Ｂ
<10486> 男Ｂ

//<10487> エロエロ団総帥
<10487> エロエロ団総帥

//<10488> イケチン
<10488> イケチン

//<10489> ホモ太
<10489> ホモ太

//<10490> ひなチン
<10490> ひなチン

//<10491> 秀樹
<10491> 秀樹

//<10492> 男子生徒
<10492> 男子生徒

//<10493> ？？
<10493> ？？

//<10494> 「リーダーが俺の『死んだ世界戦線』、入隊してくれるか？」
<10494> 「リーダーが俺の『死んだ世界戦線』、入隊してくれるか？」

//<10495> 入隊する
<10495> 入隊する

//<10496> 入隊しない
<10496> 入隊しない

//<10497> selbtn : 
<10497> selbtn : 

//<10498> 音無
<10498> 音無

//<10499> クソ坊主
<10499> クソ坊主

//<10500> 代理人
<10500> 代理人

//<10501> 微妙すぎるイケメン
<10501> 微妙すぎるイケメン

//<10502> ロリコン
<10502> ロリコン

//<10503> メガネ仲間
<10503> メガネ仲間

//<10504> 暗算日本記録保持者
<10504> 暗算日本記録保持者

//<10505> 通り魔
<10505> 通り魔

//<10506> 記憶ナシ男
<10506> 記憶ナシ男

//<10507> 音速
<10507> 音速

//<10508> 無限
<10508> 無限

//<10509> エロ侍
<10509> エロ侍

//<10510> エロエロ団ナンバー１
<10510> エロエロ団ナンバー１

//<10511> ただのエロ少年
<10511> ただのエロ少年

//<10512> ユリブサイク
<10512> ユリブサイク

//<10513> ドピュッシー
<10513> ドピュッシー

//<10514> アメリカンエロドッグ
<10514> アメリカンエロドッグ

//<10515> ゼウス
<10515> ゼウス

//<10516> 日向markⅡ
<10516> 日向markⅡ

//<10517> 糞虫
<10517> 糞虫

//<10518> 量産型日向
<10518> 量産型日向

//<10519> ？？
<10519> ？？

//<10520> 「ゆりのことは残念だけど、お前が居るんだったら、もちろん入るさ」
<10520> 「ゆりのことは残念だけど、お前が居るんだったら、もちろん入るさ」

//<10521> nothing
<10521> nothing

//<10522> nothing
<10522> nothing

//<10523> nothing
<10523> nothing

//<10524> nothing
<10524> nothing

//<10525> nothing
<10525> nothing

//<10526> 日向
<10526> 日向

//<10527> 男Ｂ
<10527> 男Ｂ

//<10528> エロエロ団総帥
<10528> エロエロ団総帥

//<10529> イケチン
<10529> イケチン

//<10530> ホモ太
<10530> ホモ太

//<10531> ひなチン
<10531> ひなチン

//<10532> 秀樹
<10532> 秀樹

//<10533> 男子生徒
<10533> 男子生徒

//<10534> ？？
<10534> ？？

//<10535> 「はっ…すっげ嬉しいぜ…」
<10535> 「はっ…すっげ嬉しいぜ…」

//<10536> 音無
<10536> 音無

//<10537> クソ坊主
<10537> クソ坊主

//<10538> 代理人
<10538> 代理人

//<10539> 微妙すぎるイケメン
<10539> 微妙すぎるイケメン

//<10540> ロリコン
<10540> ロリコン

//<10541> メガネ仲間
<10541> メガネ仲間

//<10542> 暗算日本記録保持者
<10542> 暗算日本記録保持者

//<10543> 通り魔
<10543> 通り魔

//<10544> 記憶ナシ男
<10544> 記憶ナシ男

//<10545> 音速
<10545> 音速

//<10546> 無限
<10546> 無限

//<10547> エロ侍
<10547> エロ侍

//<10548> エロエロ団ナンバー１
<10548> エロエロ団ナンバー１

//<10549> ただのエロ少年
<10549> ただのエロ少年

//<10550> ユリブサイク
<10550> ユリブサイク

//<10551> ドピュッシー
<10551> ドピュッシー

//<10552> アメリカンエロドッグ
<10552> アメリカンエロドッグ

//<10553> ゼウス
<10553> ゼウス

//<10554> 日向markⅡ
<10554> 日向markⅡ

//<10555> 糞虫
<10555> 糞虫

//<10556> 量産型日向
<10556> 量産型日向

//<10557> ？？
<10557> ？？

//<10558> 「ああ」
<10558> 「ああ」

//<10559> とりあえず、記憶が戻っていない俺には、まだ居場所が必要だ。
<10559> とりあえず、記憶が戻っていない俺には、まだ居場所が必要だ。

//<10560> nothing
<10560> nothing

//<10561> nothing
<10561> nothing

//<10562> nothing
<10562> nothing

//<10563> nothing
<10563> nothing

//<10564> nothing
<10564> nothing

//<10565> 日向
<10565> 日向

//<10566> 男Ｂ
<10566> 男Ｂ

//<10567> エロエロ団総帥
<10567> エロエロ団総帥

//<10568> イケチン
<10568> イケチン

//<10569> ホモ太
<10569> ホモ太

//<10570> ひなチン
<10570> ひなチン

//<10571> 秀樹
<10571> 秀樹

//<10572> 男子生徒
<10572> 男子生徒

//<10573> ？？
<10573> ？？

//<10574> 「改めて、よろしくな」
<10574> 「改めて、よろしくな」

//<10575> 音無
<10575> 音無

//<10576> クソ坊主
<10576> クソ坊主

//<10577> 代理人
<10577> 代理人

//<10578> 微妙すぎるイケメン
<10578> 微妙すぎるイケメン

//<10579> ロリコン
<10579> ロリコン

//<10580> メガネ仲間
<10580> メガネ仲間

//<10581> 暗算日本記録保持者
<10581> 暗算日本記録保持者

//<10582> 通り魔
<10582> 通り魔

//<10583> 記憶ナシ男
<10583> 記憶ナシ男

//<10584> 音速
<10584> 音速

//<10585> 無限
<10585> 無限

//<10586> エロ侍
<10586> エロ侍

//<10587> エロエロ団ナンバー１
<10587> エロエロ団ナンバー１

//<10588> ただのエロ少年
<10588> ただのエロ少年

//<10589> ユリブサイク
<10589> ユリブサイク

//<10590> ドピュッシー
<10590> ドピュッシー

//<10591> アメリカンエロドッグ
<10591> アメリカンエロドッグ

//<10592> ゼウス
<10592> ゼウス

//<10593> 日向markⅡ
<10593> 日向markⅡ

//<10594> 糞虫
<10594> 糞虫

//<10595> 量産型日向
<10595> 量産型日向

//<10596> ？？
<10596> ？？

//<10597> 「ああ」
<10597> 「ああ」

//<10598> その顔はすでに、戦線のリーダー…かつてのゆりのような、覚悟を決めたものだった。
<10598> その顔はすでに、戦線のリーダー…かつてのゆりのような、覚悟を決めたものだった。

//<10599> 俺が経験してきたのは、この世界でのほんの少しでしかない。
<10599> 俺が経験してきたのは、この世界でのほんの少しでしかない。

//<10600> これから、何年、何十年、何百年と続いていくかもしれない世界。
<10600> これから、何年、何十年、何百年と続いていくかもしれない世界。

//<10601> 幹部もたったふたり。
<10601> 幹部もたったふたり。

//<10602> ゆりに代わり、リーダーになった日向を支えていこうと心に誓う。
<10602> ゆりに代わり、リーダーになった日向を支えていこうと心に誓う。

//<10603> さあ、始めよう。神への復讐を。
<10603> さあ、始めよう。神への復讐を。

//<10604> 音無
<10604> 音無

//<10605> クソ坊主
<10605> クソ坊主

//<10606> 代理人
<10606> 代理人

//<10607> 微妙すぎるイケメン
<10607> 微妙すぎるイケメン

//<10608> ロリコン
<10608> ロリコン

//<10609> メガネ仲間
<10609> メガネ仲間

//<10610> 暗算日本記録保持者
<10610> 暗算日本記録保持者

//<10611> 通り魔
<10611> 通り魔

//<10612> 記憶ナシ男
<10612> 記憶ナシ男

//<10613> 音速
<10613> 音速

//<10614> 無限
<10614> 無限

//<10615> エロ侍
<10615> エロ侍

//<10616> エロエロ団ナンバー１
<10616> エロエロ団ナンバー１

//<10617> ただのエロ少年
<10617> ただのエロ少年

//<10618> ユリブサイク
<10618> ユリブサイク

//<10619> ドピュッシー
<10619> ドピュッシー

//<10620> アメリカンエロドッグ
<10620> アメリカンエロドッグ

//<10621> ゼウス
<10621> ゼウス

//<10622> 日向markⅡ
<10622> 日向markⅡ

//<10623> 糞虫
<10623> 糞虫

//<10624> 量産型日向
<10624> 量産型日向

//<10625> ？？
<10625> ？？

//<10626> 「入隊は…やめておく」
<10626> 「入隊は…やめておく」

//<10627> nothing
<10627> nothing

//<10628> nothing
<10628> nothing

//<10629> nothing
<10629> nothing

//<10630> nothing
<10630> nothing

//<10631> nothing
<10631> nothing

//<10632> 日向
<10632> 日向

//<10633> 男Ｂ
<10633> 男Ｂ

//<10634> エロエロ団総帥
<10634> エロエロ団総帥

//<10635> イケチン
<10635> イケチン

//<10636> ホモ太
<10636> ホモ太

//<10637> ひなチン
<10637> ひなチン

//<10638> 秀樹
<10638> 秀樹

//<10639> 男子生徒
<10639> 男子生徒

//<10640> ？？
<10640> ？？

//<10641> 「どうして！？」
<10641> 「どうして！？」

//<10642> 音無
<10642> 音無

//<10643> クソ坊主
<10643> クソ坊主

//<10644> 代理人
<10644> 代理人

//<10645> 微妙すぎるイケメン
<10645> 微妙すぎるイケメン

//<10646> ロリコン
<10646> ロリコン

//<10647> メガネ仲間
<10647> メガネ仲間

//<10648> 暗算日本記録保持者
<10648> 暗算日本記録保持者

//<10649> 通り魔
<10649> 通り魔

//<10650> 記憶ナシ男
<10650> 記憶ナシ男

//<10651> 音速
<10651> 音速

//<10652> 無限
<10652> 無限

//<10653> エロ侍
<10653> エロ侍

//<10654> エロエロ団ナンバー１
<10654> エロエロ団ナンバー１

//<10655> ただのエロ少年
<10655> ただのエロ少年

//<10656> ユリブサイク
<10656> ユリブサイク

//<10657> ドピュッシー
<10657> ドピュッシー

//<10658> アメリカンエロドッグ
<10658> アメリカンエロドッグ

//<10659> ゼウス
<10659> ゼウス

//<10660> 日向markⅡ
<10660> 日向markⅡ

//<10661> 糞虫
<10661> 糞虫

//<10662> 量産型日向
<10662> 量産型日向

//<10663> ？？
<10663> ？？

//<10664> 「お前が言ったんじゃないか」
<10664> 「お前が言ったんじゃないか」

//<10665> 音無
<10665> 音無

//<10666> クソ坊主
<10666> クソ坊主

//<10667> 代理人
<10667> 代理人

//<10668> 微妙すぎるイケメン
<10668> 微妙すぎるイケメン

//<10669> ロリコン
<10669> ロリコン

//<10670> メガネ仲間
<10670> メガネ仲間

//<10671> 暗算日本記録保持者
<10671> 暗算日本記録保持者

//<10672> 通り魔
<10672> 通り魔

//<10673> 記憶ナシ男
<10673> 記憶ナシ男

//<10674> 音速
<10674> 音速

//<10675> 無限
<10675> 無限

//<10676> エロ侍
<10676> エロ侍

//<10677> エロエロ団ナンバー１
<10677> エロエロ団ナンバー１

//<10678> ただのエロ少年
<10678> ただのエロ少年

//<10679> ユリブサイク
<10679> ユリブサイク

//<10680> ドピュッシー
<10680> ドピュッシー

//<10681> アメリカンエロドッグ
<10681> アメリカンエロドッグ

//<10682> ゼウス
<10682> ゼウス

//<10683> 日向markⅡ
<10683> 日向markⅡ

//<10684> 糞虫
<10684> 糞虫

//<10685> 量産型日向
<10685> 量産型日向

//<10686> ？？
<10686> ？？

//<10687> 「無念に思ってやれるのは、この世界に残された俺たちだけだって」
<10687> 「無念に思ってやれるのは、この世界に残された俺たちだけだって」

//<10688> nothing
<10688> nothing

//<10689> nothing
<10689> nothing

//<10690> nothing
<10690> nothing

//<10691> nothing
<10691> nothing

//<10692> nothing
<10692> nothing

//<10693> 音無
<10693> 音無

//<10694> クソ坊主
<10694> クソ坊主

//<10695> 代理人
<10695> 代理人

//<10696> 微妙すぎるイケメン
<10696> 微妙すぎるイケメン

//<10697> ロリコン
<10697> ロリコン

//<10698> メガネ仲間
<10698> メガネ仲間

//<10699> 暗算日本記録保持者
<10699> 暗算日本記録保持者

//<10700> 通り魔
<10700> 通り魔

//<10701> 記憶ナシ男
<10701> 記憶ナシ男

//<10702> 音速
<10702> 音速

//<10703> 無限
<10703> 無限

//<10704> エロ侍
<10704> エロ侍

//<10705> エロエロ団ナンバー１
<10705> エロエロ団ナンバー１

//<10706> ただのエロ少年
<10706> ただのエロ少年

//<10707> ユリブサイク
<10707> ユリブサイク

//<10708> ドピュッシー
<10708> ドピュッシー

//<10709> アメリカンエロドッグ
<10709> アメリカンエロドッグ

//<10710> ゼウス
<10710> ゼウス

//<10711> 日向markⅡ
<10711> 日向markⅡ

//<10712> 糞虫
<10712> 糞虫

//<10713> 量産型日向
<10713> 量産型日向

//<10714> ？？
<10714> ？？

//<10715> 「だったら、俺もとっとと記憶を思い出して、この世界から去りたい…」
<10715> 「だったら、俺もとっとと記憶を思い出して、この世界から去りたい…」

//<10716> 音無
<10716> 音無

//<10717> クソ坊主
<10717> クソ坊主

//<10718> 代理人
<10718> 代理人

//<10719> 微妙すぎるイケメン
<10719> 微妙すぎるイケメン

//<10720> ロリコン
<10720> ロリコン

//<10721> メガネ仲間
<10721> メガネ仲間

//<10722> 暗算日本記録保持者
<10722> 暗算日本記録保持者

//<10723> 通り魔
<10723> 通り魔

//<10724> 記憶ナシ男
<10724> 記憶ナシ男

//<10725> 音速
<10725> 音速

//<10726> 無限
<10726> 無限

//<10727> エロ侍
<10727> エロ侍

//<10728> エロエロ団ナンバー１
<10728> エロエロ団ナンバー１

//<10729> ただのエロ少年
<10729> ただのエロ少年

//<10730> ユリブサイク
<10730> ユリブサイク

//<10731> ドピュッシー
<10731> ドピュッシー

//<10732> アメリカンエロドッグ
<10732> アメリカンエロドッグ

//<10733> ゼウス
<10733> ゼウス

//<10734> 日向markⅡ
<10734> 日向markⅡ

//<10735> 糞虫
<10735> 糞虫

//<10736> 量産型日向
<10736> 量産型日向

//<10737> ？？
<10737> ？？

//<10738> 「もう、こんな喪失感を覚えるのは嫌なんだ…」
<10738> 「もう、こんな喪失感を覚えるのは嫌なんだ…」

//<10739> nothing
<10739> nothing

//<10740> nothing
<10740> nothing

//<10741> nothing
<10741> nothing

//<10742> nothing
<10742> nothing

//<10743> nothing
<10743> nothing

//<10744> 日向
<10744> 日向

//<10745> 男Ｂ
<10745> 男Ｂ

//<10746> エロエロ団総帥
<10746> エロエロ団総帥

//<10747> イケチン
<10747> イケチン

//<10748> ホモ太
<10748> ホモ太

//<10749> ひなチン
<10749> ひなチン

//<10750> 秀樹
<10750> 秀樹

//<10751> 男子生徒
<10751> 男子生徒

//<10752> ？？
<10752> ？？

//<10753> 「…そっか」
<10753> 「…そっか」

//<10754> nothing
<10754> nothing

//<10755> nothing
<10755> nothing

//<10756> nothing
<10756> nothing

//<10757> nothing
<10757> nothing

//<10758> nothing
<10758> nothing

//<10759> 日向
<10759> 日向

//<10760> 男Ｂ
<10760> 男Ｂ

//<10761> エロエロ団総帥
<10761> エロエロ団総帥

//<10762> イケチン
<10762> イケチン

//<10763> ホモ太
<10763> ホモ太

//<10764> ひなチン
<10764> ひなチン

//<10765> 秀樹
<10765> 秀樹

//<10766> 男子生徒
<10766> 男子生徒

//<10767> ？？
<10767> ？？

//<10768> 「だよなぁ。お前には神に復讐する理由すら今はないんだから、仕方ねっか…」
<10768> 「だよなぁ。お前には神に復讐する理由すら今はないんだから、仕方ねっか…」

//<10769> 音無
<10769> 音無

//<10770> クソ坊主
<10770> クソ坊主

//<10771> 代理人
<10771> 代理人

//<10772> 微妙すぎるイケメン
<10772> 微妙すぎるイケメン

//<10773> ロリコン
<10773> ロリコン

//<10774> メガネ仲間
<10774> メガネ仲間

//<10775> 暗算日本記録保持者
<10775> 暗算日本記録保持者

//<10776> 通り魔
<10776> 通り魔

//<10777> 記憶ナシ男
<10777> 記憶ナシ男

//<10778> 音速
<10778> 音速

//<10779> 無限
<10779> 無限

//<10780> エロ侍
<10780> エロ侍

//<10781> エロエロ団ナンバー１
<10781> エロエロ団ナンバー１

//<10782> ただのエロ少年
<10782> ただのエロ少年

//<10783> ユリブサイク
<10783> ユリブサイク

//<10784> ドピュッシー
<10784> ドピュッシー

//<10785> アメリカンエロドッグ
<10785> アメリカンエロドッグ

//<10786> ゼウス
<10786> ゼウス

//<10787> 日向markⅡ
<10787> 日向markⅡ

//<10788> 糞虫
<10788> 糞虫

//<10789> 量産型日向
<10789> 量産型日向

//<10790> ？？
<10790> ？？

//<10791> 「悪いな…」
<10791> 「悪いな…」

//<10792> nothing
<10792> nothing

//<10793> nothing
<10793> nothing

//<10794> nothing
<10794> nothing

//<10795> nothing
<10795> nothing

//<10796> nothing
<10796> nothing

//<10797> 日向
<10797> 日向

//<10798> 男Ｂ
<10798> 男Ｂ

//<10799> エロエロ団総帥
<10799> エロエロ団総帥

//<10800> イケチン
<10800> イケチン

//<10801> ホモ太
<10801> ホモ太

//<10802> ひなチン
<10802> ひなチン

//<10803> 秀樹
<10803> 秀樹

//<10804> 男子生徒
<10804> 男子生徒

//<10805> ？？
<10805> ？？

//<10806> 「いや、いいよ」
<10806> 「いや、いいよ」

//<10807> 音無
<10807> 音無

//<10808> クソ坊主
<10808> クソ坊主

//<10809> 代理人
<10809> 代理人

//<10810> 微妙すぎるイケメン
<10810> 微妙すぎるイケメン

//<10811> ロリコン
<10811> ロリコン

//<10812> メガネ仲間
<10812> メガネ仲間

//<10813> 暗算日本記録保持者
<10813> 暗算日本記録保持者

//<10814> 通り魔
<10814> 通り魔

//<10815> 記憶ナシ男
<10815> 記憶ナシ男

//<10816> 音速
<10816> 音速

//<10817> 無限
<10817> 無限

//<10818> エロ侍
<10818> エロ侍

//<10819> エロエロ団ナンバー１
<10819> エロエロ団ナンバー１

//<10820> ただのエロ少年
<10820> ただのエロ少年

//<10821> ユリブサイク
<10821> ユリブサイク

//<10822> ドピュッシー
<10822> ドピュッシー

//<10823> アメリカンエロドッグ
<10823> アメリカンエロドッグ

//<10824> ゼウス
<10824> ゼウス

//<10825> 日向markⅡ
<10825> 日向markⅡ

//<10826> 糞虫
<10826> 糞虫

//<10827> 量産型日向
<10827> 量産型日向

//<10828> ？？
<10828> ？？

//<10829> 「でも、寮の部屋は同じままだから、毎日会える」
<10829> 「でも、寮の部屋は同じままだから、毎日会える」

//<10830> nothing
<10830> nothing

//<10831> nothing
<10831> nothing

//<10832> nothing
<10832> nothing

//<10833> nothing
<10833> nothing

//<10834> nothing
<10834> nothing

//<10835> 日向
<10835> 日向

//<10836> 男Ｂ
<10836> 男Ｂ

//<10837> エロエロ団総帥
<10837> エロエロ団総帥

//<10838> イケチン
<10838> イケチン

//<10839> ホモ太
<10839> ホモ太

//<10840> ひなチン
<10840> ひなチン

//<10841> 秀樹
<10841> 秀樹

//<10842> 男子生徒
<10842> 男子生徒

//<10843> ？？
<10843> ？？

//<10844> 「だな。でも作戦の話なんかはできなくなるぜ」
<10844> 「だな。でも作戦の話なんかはできなくなるぜ」

//<10845> 日向
<10845> 日向

//<10846> 男Ｂ
<10846> 男Ｂ

//<10847> エロエロ団総帥
<10847> エロエロ団総帥

//<10848> イケチン
<10848> イケチン

//<10849> ホモ太
<10849> ホモ太

//<10850> ひなチン
<10850> ひなチン

//<10851> 秀樹
<10851> 秀樹

//<10852> 男子生徒
<10852> 男子生徒

//<10853> ？？
<10853> ？？

//<10854> 「合い言葉も変えるから、戦線のメンバー以外は本部にも入れない」
<10854> 「合い言葉も変えるから、戦線のメンバー以外は本部にも入れない」

//<10855> 音無
<10855> 音無

//<10856> クソ坊主
<10856> クソ坊主

//<10857> 代理人
<10857> 代理人

//<10858> 微妙すぎるイケメン
<10858> 微妙すぎるイケメン

//<10859> ロリコン
<10859> ロリコン

//<10860> メガネ仲間
<10860> メガネ仲間

//<10861> 暗算日本記録保持者
<10861> 暗算日本記録保持者

//<10862> 通り魔
<10862> 通り魔

//<10863> 記憶ナシ男
<10863> 記憶ナシ男

//<10864> 音速
<10864> 音速

//<10865> 無限
<10865> 無限

//<10866> エロ侍
<10866> エロ侍

//<10867> エロエロ団ナンバー１
<10867> エロエロ団ナンバー１

//<10868> ただのエロ少年
<10868> ただのエロ少年

//<10869> ユリブサイク
<10869> ユリブサイク

//<10870> ドピュッシー
<10870> ドピュッシー

//<10871> アメリカンエロドッグ
<10871> アメリカンエロドッグ

//<10872> ゼウス
<10872> ゼウス

//<10873> 日向markⅡ
<10873> 日向markⅡ

//<10874> 糞虫
<10874> 糞虫

//<10875> 量産型日向
<10875> 量産型日向

//<10876> ？？
<10876> ？？

//<10877> 「いいよ。一緒に夜を過ごせるだけでも」
<10877> 「いいよ。一緒に夜を過ごせるだけでも」

//<10878> 音無
<10878> 音無

//<10879> クソ坊主
<10879> クソ坊主

//<10880> 代理人
<10880> 代理人

//<10881> 微妙すぎるイケメン
<10881> 微妙すぎるイケメン

//<10882> ロリコン
<10882> ロリコン

//<10883> メガネ仲間
<10883> メガネ仲間

//<10884> 暗算日本記録保持者
<10884> 暗算日本記録保持者

//<10885> 通り魔
<10885> 通り魔

//<10886> 記憶ナシ男
<10886> 記憶ナシ男

//<10887> 音速
<10887> 音速

//<10888> 無限
<10888> 無限

//<10889> エロ侍
<10889> エロ侍

//<10890> エロエロ団ナンバー１
<10890> エロエロ団ナンバー１

//<10891> ただのエロ少年
<10891> ただのエロ少年

//<10892> ユリブサイク
<10892> ユリブサイク

//<10893> ドピュッシー
<10893> ドピュッシー

//<10894> アメリカンエロドッグ
<10894> アメリカンエロドッグ

//<10895> ゼウス
<10895> ゼウス

//<10896> 日向markⅡ
<10896> 日向markⅡ

//<10897> 糞虫
<10897> 糞虫

//<10898> 量産型日向
<10898> 量産型日向

//<10899> ？？
<10899> ？？

//<10900> 「もし、いつか記憶を取り戻したら、その時は入隊を志願するかもしれない」
<10900> 「もし、いつか記憶を取り戻したら、その時は入隊を志願するかもしれない」

//<10901> nothing
<10901> nothing

//<10902> nothing
<10902> nothing

//<10903> nothing
<10903> nothing

//<10904> nothing
<10904> nothing

//<10905> nothing
<10905> nothing

//<10906> 日向
<10906> 日向

//<10907> 男Ｂ
<10907> 男Ｂ

//<10908> エロエロ団総帥
<10908> エロエロ団総帥

//<10909> イケチン
<10909> イケチン

//<10910> ホモ太
<10910> ホモ太

//<10911> ひなチン
<10911> ひなチン

//<10912> 秀樹
<10912> 秀樹

//<10913> 男子生徒
<10913> 男子生徒

//<10914> ？？
<10914> ？？

//<10915> 「ああ、いつだって来いよ。待ってるからさ」
<10915> 「ああ、いつだって来いよ。待ってるからさ」

//<10916> nothing
<10916> nothing

//<10917> nothing
<10917> nothing

//<10918> nothing
<10918> nothing

//<10919> nothing
<10919> nothing

//<10920> nothing
<10920> nothing

//<10921> 日向
<10921> 日向

//<10922> 男Ｂ
<10922> 男Ｂ

//<10923> エロエロ団総帥
<10923> エロエロ団総帥

//<10924> イケチン
<10924> イケチン

//<10925> ホモ太
<10925> ホモ太

//<10926> ひなチン
<10926> ひなチン

//<10927> 秀樹
<10927> 秀樹

//<10928> 男子生徒
<10928> 男子生徒

//<10929> ？？
<10929> ？？

//<10930> 「まあ、それでもルームメイトだからな。ただ情報の漏洩が出来ないから、会話数が減るかも」
<10930> 「まあ、それでもルームメイトだからな。ただ情報の漏洩が出来ないから、会話数が減るかも」

//<10931> 音無
<10931> 音無

//<10932> クソ坊主
<10932> クソ坊主

//<10933> 代理人
<10933> 代理人

//<10934> 微妙すぎるイケメン
<10934> 微妙すぎるイケメン

//<10935> ロリコン
<10935> ロリコン

//<10936> メガネ仲間
<10936> メガネ仲間

//<10937> 暗算日本記録保持者
<10937> 暗算日本記録保持者

//<10938> 通り魔
<10938> 通り魔

//<10939> 記憶ナシ男
<10939> 記憶ナシ男

//<10940> 音速
<10940> 音速

//<10941> 無限
<10941> 無限

//<10942> エロ侍
<10942> エロ侍

//<10943> エロエロ団ナンバー１
<10943> エロエロ団ナンバー１

//<10944> ただのエロ少年
<10944> ただのエロ少年

//<10945> ユリブサイク
<10945> ユリブサイク

//<10946> ドピュッシー
<10946> ドピュッシー

//<10947> アメリカンエロドッグ
<10947> アメリカンエロドッグ

//<10948> ゼウス
<10948> ゼウス

//<10949> 日向markⅡ
<10949> 日向markⅡ

//<10950> 糞虫
<10950> 糞虫

//<10951> 量産型日向
