// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 日向

//<5626> ？？
<5626> ？？

//<5627> 「ええぇぇーー！！」
<5627> 「ええぇぇーー！！」

//<5628> nothing
<5628> nothing

//<5629> nothing
<5629> nothing

//<5630> nothing
<5630> nothing

//<5631> nothing
<5631> nothing

//<5632> nothing
<5632> nothing

//<5633> 野田
<5633> 野田

//<5634> 男Ｆ
<5634> 男Ｆ

//<5635> イケパイ
<5635> イケパイ

//<5636> 男
<5636> 男

//<5637> ？？
<5637> ？？

//<5638> 「ごちゃごちゃうるさい奴だな。勝ち名乗りを受けて、とっとと次の試合に臨むぞ」
<5638> 「ごちゃごちゃうるさい奴だな。勝ち名乗りを受けて、とっとと次の試合に臨むぞ」

//<5639> nothing
<5639> nothing

//<5640> nothing
<5640> nothing

//<5641> nothing
<5641> nothing

//<5642> nothing
<5642> nothing

//<5643> nothing
<5643> nothing

//<5644> 日向
<5644> 日向

//<5645> 男Ｂ
<5645> 男Ｂ

//<5646> エロエロ団総帥
<5646> エロエロ団総帥

//<5647> イケチン
<5647> イケチン

//<5648> ホモ太
<5648> ホモ太

//<5649> ひなチン
<5649> ひなチン

//<5650> 秀樹
<5650> 秀樹

//<5651> 男子生徒
<5651> 男子生徒

//<5652> ？？
<5652> ？？

//<5653> 「臨むってお前、足を怪我したんだろ？　それは次の試合までには治らないぜ？」
<5653> 「臨むってお前、足を怪我したんだろ？　それは次の試合までには治らないぜ？」

//<5654> nothing
<5654> nothing

//<5655> nothing
<5655> nothing

//<5656> nothing
<5656> nothing

//<5657> nothing
<5657> nothing

//<5658> nothing
<5658> nothing

//<5659> 野田
<5659> 野田

//<5660> 男Ｆ
<5660> 男Ｆ

//<5661> イケパイ
<5661> イケパイ

//<5662> 男
<5662> 男

//<5663> ？？
<5663> ？？

//<5664> 「これぐらいの怪我なんて、この世界では、くっ…何のそのだっ！！」
<5664> 「これぐらいの怪我なんて、この世界では、くっ…何のそのだっ！！」

//<5665> nothing
<5665> nothing

//<5666> nothing
<5666> nothing

//<5667> nothing
<5667> nothing

//<5668> nothing
<5668> nothing

//<5669> nothing
<5669> nothing

//<5670> 音無
<5670> 音無

//<5671> クソ坊主
<5671> クソ坊主

//<5672> 代理人
<5672> 代理人

//<5673> 微妙すぎるイケメン
<5673> 微妙すぎるイケメン

//<5674> ロリコン
<5674> ロリコン

//<5675> メガネ仲間
<5675> メガネ仲間

//<5676> 暗算日本記録保持者
<5676> 暗算日本記録保持者

//<5677> 通り魔
<5677> 通り魔

//<5678> 記憶ナシ男
<5678> 記憶ナシ男

//<5679> 音速
<5679> 音速

//<5680> 無限
<5680> 無限

//<5681> エロ侍
<5681> エロ侍

//<5682> エロエロ団ナンバー１
<5682> エロエロ団ナンバー１

//<5683> ただのエロ少年
<5683> ただのエロ少年

//<5684> ユリブサイク
<5684> ユリブサイク

//<5685> ドピュッシー
<5685> ドピュッシー

//<5686> アメリカンエロドッグ
<5686> アメリカンエロドッグ

//<5687> ゼウス
<5687> ゼウス

//<5688> 日向markⅡ
<5688> 日向markⅡ

//<5689> 糞虫
<5689> 糞虫

//<5690> 量産型日向
<5690> 量産型日向

//<5691> ？？
<5691> ？？

//<5692> 「おいおい、無理だけはすんなよな…」
<5692> 「おいおい、無理だけはすんなよな…」

//<5693> nothing
<5693> nothing

//<5694> nothing
<5694> nothing

//<5695> nothing
<5695> nothing

//<5696> nothing
<5696> nothing

//<5697> nothing
<5697> nothing

//<5698> 野田
<5698> 野田

//<5699> 男Ｆ
<5699> 男Ｆ

//<5700> イケパイ
<5700> イケパイ

//<5701> 男
<5701> 男

//<5702> ？？
<5702> ？？

//<5703> 「ああ…」
<5703> 「ああ…」

//<5704> nothing
<5704> nothing

//<5705> nothing
<5705> nothing

//<5706> nothing
<5706> nothing

//<5707> nothing
<5707> nothing

//<5708> nothing
<5708> nothing

//<5709> nothing
<5709> nothing

//<5710> ようやく列に加わり、礼をするが、野田は足をくじいたまま。次戦には臨めそうもなかった。
<5710> ようやく列に加わり、礼をするが、野田は足をくじいたまま。次戦には臨めそうもなかった。

//<5711> 音無
<5711> 音無

//<5712> クソ坊主
<5712> クソ坊主

//<5713> 代理人
<5713> 代理人

//<5714> 微妙すぎるイケメン
<5714> 微妙すぎるイケメン

//<5715> ロリコン
<5715> ロリコン

//<5716> メガネ仲間
<5716> メガネ仲間

//<5717> 暗算日本記録保持者
<5717> 暗算日本記録保持者

//<5718> 通り魔
<5718> 通り魔

//<5719> 記憶ナシ男
<5719> 記憶ナシ男

//<5720> 音速
<5720> 音速

//<5721> 無限
<5721> 無限

//<5722> エロ侍
<5722> エロ侍

//<5723> エロエロ団ナンバー１
<5723> エロエロ団ナンバー１

//<5724> ただのエロ少年
<5724> ただのエロ少年

//<5725> ユリブサイク
<5725> ユリブサイク

//<5726> ドピュッシー
<5726> ドピュッシー

//<5727> アメリカンエロドッグ
<5727> アメリカンエロドッグ

//<5728> ゼウス
<5728> ゼウス

//<5729> 日向markⅡ
<5729> 日向markⅡ

//<5730> 糞虫
<5730> 糞虫

//<5731> 量産型日向
<5731> 量産型日向

//<5732> ？？
<5732> ？？

//<5733> 「それぐらいの怪我、この世界じゃすぐ治るんだから、自力で立てよ」
<5733> 「それぐらいの怪我、この世界じゃすぐ治るんだから、自力で立てよ」

//<5734> nothing
<5734> nothing

//<5735> nothing
<5735> nothing

//<5736> nothing
<5736> nothing

//<5737> nothing
<5737> nothing

//<5738> nothing
<5738> nothing

//<5739> 野田
<5739> 野田

//<5740> 男Ｆ
<5740> 男Ｆ

//<5741> イケパイ
<5741> イケパイ

//<5742> 男
<5742> 男

//<5743> ？？
<5743> ？？

//<5744> 「え…」
<5744> 「え…」

//<5745> またおかしな目で見られる。
<5745> またおかしな目で見られる。

//<5746> 音無
<5746> 音無

//<5747> クソ坊主
<5747> クソ坊主

//<5748> 代理人
<5748> 代理人

//<5749> 微妙すぎるイケメン
<5749> 微妙すぎるイケメン

//<5750> ロリコン
<5750> ロリコン

//<5751> メガネ仲間
<5751> メガネ仲間

//<5752> 暗算日本記録保持者
<5752> 暗算日本記録保持者

//<5753> 通り魔
<5753> 通り魔

//<5754> 記憶ナシ男
<5754> 記憶ナシ男

//<5755> 音速
<5755> 音速

//<5756> 無限
<5756> 無限

//<5757> エロ侍
<5757> エロ侍

//<5758> エロエロ団ナンバー１
<5758> エロエロ団ナンバー１

//<5759> ただのエロ少年
<5759> ただのエロ少年

//<5760> ユリブサイク
<5760> ユリブサイク

//<5761> ドピュッシー
<5761> ドピュッシー

//<5762> アメリカンエロドッグ
<5762> アメリカンエロドッグ

//<5763> ゼウス
<5763> ゼウス

//<5764> 日向markⅡ
<5764> 日向markⅡ

//<5765> 糞虫
<5765> 糞虫

//<5766> 量産型日向
<5766> 量産型日向

//<5767> ？？
<5767> ？？

//<5768> 「どうした？」
<5768> 「どうした？」

//<5769> nothing
<5769> nothing

//<5770> nothing
<5770> nothing

//<5771> nothing
<5771> nothing

//<5772> nothing
<5772> nothing

//<5773> nothing
<5773> nothing

//<5774> 野田
<5774> 野田

//<5775> 男Ｆ
<5775> 男Ｆ

//<5776> イケパイ
<5776> イケパイ

//<5777> 男
<5777> 男

//<5778> ？？
<5778> ？？

//<5779> 「いや、なんでもない…。なんだか、俺に対する温度の上下が激しい気がして…」
<5779> 「いや、なんでもない…。なんだか、俺に対する温度の上下が激しい気がして…」

//<5780> 音無
<5780> 音無

//<5781> クソ坊主
<5781> クソ坊主

//<5782> 代理人
<5782> 代理人

//<5783> 微妙すぎるイケメン
<5783> 微妙すぎるイケメン

//<5784> ロリコン
<5784> ロリコン

//<5785> メガネ仲間
<5785> メガネ仲間

//<5786> 暗算日本記録保持者
<5786> 暗算日本記録保持者

//<5787> 通り魔
<5787> 通り魔

//<5788> 記憶ナシ男
<5788> 記憶ナシ男

//<5789> 音速
<5789> 音速

//<5790> 無限
<5790> 無限

//<5791> エロ侍
<5791> エロ侍

//<5792> エロエロ団ナンバー１
<5792> エロエロ団ナンバー１

//<5793> ただのエロ少年
<5793> ただのエロ少年

//<5794> ユリブサイク
<5794> ユリブサイク

//<5795> ドピュッシー
<5795> ドピュッシー

//<5796> アメリカンエロドッグ
<5796> アメリカンエロドッグ

//<5797> ゼウス
<5797> ゼウス

//<5798> 日向markⅡ
<5798> 日向markⅡ

//<5799> 糞虫
<5799> 糞虫

//<5800> 量産型日向
<5800> 量産型日向

//<5801> ？？
<5801> ？？

//<5802> 「まー、いきなり激しい運動をすれば、そうなるさ」
<5802> 「まー、いきなり激しい運動をすれば、そうなるさ」

//<5803> nothing
<5803> nothing

//<5804> nothing
<5804> nothing

//<5805> nothing
<5805> nothing

//<5806> nothing
<5806> nothing

//<5807> nothing
<5807> nothing

//<5808> 野田
<5808> 野田

//<5809> 男Ｆ
<5809> 男Ｆ

//<5810> イケパイ
<5810> イケパイ

//<5811> 男
<5811> 男

//<5812> ？？
<5812> ？？

//<5813> 「そうか…そうだな…」
<5813> 「そうか…そうだな…」

//<5814> nothing
<5814> nothing

//<5815> nothing
<5815> nothing

//<5816> nothing
<5816> nothing

//<5817> nothing
<5817> nothing

//<5818> nothing
<5818> nothing

//<5819> nothing
<5819> nothing

//<5820> 
<5820> 

//<5821> 野田をその場に残したまま、一列に並び、勝ち名乗りを審判にあげてもらう。
<5821> 野田をその場に残したまま、一列に並び、勝ち名乗りを審判にあげてもらう。

//<5822> nothing
<5822> nothing

//<5823> nothing
<5823> nothing

//<5824> nothing
<5824> nothing

//<5825> nothing
<5825> nothing

//<5826> nothing
<5826> nothing

//<5827> 日向
<5827> 日向

//<5828> 男Ｂ
<5828> 男Ｂ

//<5829> エロエロ団総帥
<5829> エロエロ団総帥

//<5830> イケチン
<5830> イケチン

//<5831> ホモ太
<5831> ホモ太

//<5832> ひなチン
<5832> ひなチン

//<5833> 秀樹
<5833> 秀樹

//<5834> 男子生徒
<5834> 男子生徒

//<5835> ？？
<5835> ？？

//<5836> 「にしても、あんなあり得ないような連携プレイをふたりで考えていたなんて驚いたぜ」
<5836> 「にしても、あんなあり得ないような連携プレイをふたりで考えていたなんて驚いたぜ」

//<5837> nothing
<5837> nothing

//<5838> nothing
<5838> nothing

//<5839> nothing
<5839> nothing

//<5840> nothing
<5840> nothing

//<5841> nothing
<5841> nothing

//<5842> 日向
<5842> 日向

//<5843> 男Ｂ
<5843> 男Ｂ

//<5844> エロエロ団総帥
<5844> エロエロ団総帥

//<5845> イケチン
<5845> イケチン

//<5846> ホモ太
<5846> ホモ太

//<5847> ひなチン
<5847> ひなチン

//<5848> 秀樹
<5848> 秀樹

//<5849> 男子生徒
<5849> 男子生徒

//<5850> ？？
<5850> ？？

//<5851> 「いつの間にお前ら、そんな仲良くなってたんだ？」
<5851> 「いつの間にお前ら、そんな仲良くなってたんだ？」

//<5852> nothing
<5852> nothing

//<5853> nothing
<5853> nothing

//<5854> nothing
<5854> nothing

//<5855> nothing
<5855> nothing

//<5856> 野田
<5856> 野田

//<5857> 男Ｆ
<5857> 男Ｆ

//<5858> イケパイ
<5858> イケパイ

//<5859> 男
<5859> 男

//<5860> ？？
<5860> ？？

//<5861> 「違う！」
<5861> 「違う！」

//<5862> nothing
<5862> nothing

//<5863> nothing
<5863> nothing

//<5864> nothing
<5864> nothing

//<5865> nothing
<5865> nothing

//<5866> nothing
<5866> nothing

//<5867> 日向
<5867> 日向

//<5868> 男Ｂ
<5868> 男Ｂ

//<5869> エロエロ団総帥
<5869> エロエロ団総帥

//<5870> イケチン
<5870> イケチン

//<5871> ホモ太
<5871> ホモ太

//<5872> ひなチン
<5872> ひなチン

//<5873> 秀樹
<5873> 秀樹

//<5874> 男子生徒
<5874> 男子生徒

//<5875> ？？
<5875> ？？

//<5876> 「何が？」
<5876> 「何が？」

//<5877> nothing
<5877> nothing

//<5878> nothing
<5878> nothing

//<5879> nothing
<5879> nothing

//<5880> nothing
<5880> nothing

//<5881> nothing
<5881> nothing

//<5882> 野田
<5882> 野田

//<5883> 男Ｆ
<5883> 男Ｆ

//<5884> イケパイ
<5884> イケパイ

//<5885> 男
<5885> 男

//<5886> ？？
<5886> ？？

//<5887> 「こいつは何かを持っていて、俺のポテンシャルを引き出し、ネクストステージへ運んでくれる…そんな気がしてたまに会うだけの仲だった…それだけだ」
<5887> 「こいつは何かを持っていて、俺のポテンシャルを引き出し、ネクストステージへ運んでくれる…そんな気がしてたまに会うだけの仲だった…それだけだ」

//<5888> 音無
<5888> 音無

//<5889> クソ坊主
<5889> クソ坊主

//<5890> 代理人
<5890> 代理人

//<5891> 微妙すぎるイケメン
<5891> 微妙すぎるイケメン

//<5892> ロリコン
<5892> ロリコン

//<5893> メガネ仲間
<5893> メガネ仲間

//<5894> 暗算日本記録保持者
<5894> 暗算日本記録保持者

//<5895> 通り魔
<5895> 通り魔

//<5896> 記憶ナシ男
<5896> 記憶ナシ男

//<5897> 音速
<5897> 音速

//<5898> 無限
<5898> 無限

//<5899> エロ侍
<5899> エロ侍

//<5900> エロエロ団ナンバー１
<5900> エロエロ団ナンバー１

//<5901> ただのエロ少年
<5901> ただのエロ少年

//<5902> ユリブサイク
<5902> ユリブサイク

//<5903> ドピュッシー
<5903> ドピュッシー

//<5904> アメリカンエロドッグ
<5904> アメリカンエロドッグ

//<5905> ゼウス
<5905> ゼウス

//<5906> 日向markⅡ
<5906> 日向markⅡ

//<5907> 糞虫
<5907> 糞虫

//<5908> 量産型日向
<5908> 量産型日向

//<5909> ？？
<5909> ？？

//<5910> 「え！？　なぜ過去形！？」
<5910> 「え！？　なぜ過去形！？」

//<5911> nothing
<5911> nothing

//<5912> nothing
<5912> nothing

//<5913> nothing
<5913> nothing

//<5914> nothing
<5914> nothing

//<5915> nothing
<5915> nothing

//<5916> 野田
<5916> 野田

//<5917> 男Ｆ
<5917> 男Ｆ

//<5918> イケパイ
<5918> イケパイ

//<5919> 男
<5919> 男

//<5920> ？？
<5920> ？？

//<5921> 「自分の胸に訊いてみるんだな」
<5921> 「自分の胸に訊いてみるんだな」

//<5922> nothing
<5922> nothing

//<5923> nothing
<5923> nothing

//<5924> nothing
<5924> nothing

//<5925> nothing
<5925> nothing

//<5926> nothing
<5926> nothing

//<5927> 野田
<5927> 野田

//<5928> 男Ｆ
<5928> 男Ｆ

//<5929> イケパイ
<5929> イケパイ

//<5930> 男
<5930> 男

//<5931> ？？
<5931> ？？

//<5932> 「怪我してまでこれからは付き合いきれない。ここでお別れだ。じゃあな」
<5932> 「怪我してまでこれからは付き合いきれない。ここでお別れだ。じゃあな」

//<5933> nothing
<5933> nothing

//<5934> nothing
<5934> nothing

//<5935> nothing
<5935> nothing

//<5936> nothing
<5936> nothing

//<5937> nothing
<5937> nothing

//<5938> 音無
<5938> 音無

//<5939> クソ坊主
<5939> クソ坊主

//<5940> 代理人
<5940> 代理人

//<5941> 微妙すぎるイケメン
<5941> 微妙すぎるイケメン

//<5942> ロリコン
<5942> ロリコン

//<5943> メガネ仲間
<5943> メガネ仲間

//<5944> 暗算日本記録保持者
<5944> 暗算日本記録保持者

//<5945> 通り魔
<5945> 通り魔

//<5946> 記憶ナシ男
<5946> 記憶ナシ男

//<5947> 音速
<5947> 音速

//<5948> 無限
<5948> 無限

//<5949> エロ侍
<5949> エロ侍

//<5950> エロエロ団ナンバー１
<5950> エロエロ団ナンバー１

//<5951> ただのエロ少年
<5951> ただのエロ少年

//<5952> ユリブサイク
<5952> ユリブサイク

//<5953> ドピュッシー
<5953> ドピュッシー

//<5954> アメリカンエロドッグ
<5954> アメリカンエロドッグ

//<5955> ゼウス
<5955> ゼウス

//<5956> 日向markⅡ
<5956> 日向markⅡ

//<5957> 糞虫
<5957> 糞虫

//<5958> 量産型日向
<5958> 量産型日向

//<5959> ？？
<5959> ？？

//<5960> 「おい、待てよ！」
<5960> 「おい、待てよ！」

//<5961> 制止の声も聞いてくれない。足を引きずりながら、野田は館内から去っていった。
<5961> 制止の声も聞いてくれない。足を引きずりながら、野田は館内から去っていった。

//<5962> nothing
<5962> nothing

//<5963> nothing
<5963> nothing

//<5964> nothing
<5964> nothing

//<5965> nothing
<5965> nothing

//<5966> nothing
<5966> nothing

//<5967> 日向
<5967> 日向

//<5968> 男Ｂ
<5968> 男Ｂ

//<5969> エロエロ団総帥
<5969> エロエロ団総帥

//<5970> イケチン
<5970> イケチン

//<5971> ホモ太
<5971> ホモ太

//<5972> ひなチン
<5972> ひなチン

//<5973> 秀樹
<5973> 秀樹

//<5974> 男子生徒
<5974> 男子生徒

//<5975> ？？
<5975> ？？

//<5976> 「ええと…」
<5976> 「ええと…」

//<5977> nothing
<5977> nothing

//<5978> nothing
<5978> nothing

//<5979> nothing
<5979> nothing

//<5980> nothing
<5980> nothing

//<5981> nothing
<5981> nothing

//<5982> 日向
<5982> 日向

//<5983> 男Ｂ
<5983> 男Ｂ

//<5984> エロエロ団総帥
<5984> エロエロ団総帥

//<5985> イケチン
<5985> イケチン

//<5986> ホモ太
<5986> ホモ太

//<5987> ひなチン
<5987> ひなチン

//<5988> 秀樹
<5988> 秀樹

//<5989> 男子生徒
<5989> 男子生徒

//<5990> ？？
<5990> ？？

//<5991> 「お前らに何があった…？」
<5991> 「お前らに何があった…？」

//<5992> 音無
<5992> 音無

//<5993> クソ坊主
<5993> クソ坊主

//<5994> 代理人
<5994> 代理人

//<5995> 微妙すぎるイケメン
<5995> 微妙すぎるイケメン

//<5996> ロリコン
<5996> ロリコン

//<5997> メガネ仲間
<5997> メガネ仲間

//<5998> 暗算日本記録保持者
<5998> 暗算日本記録保持者

//<5999> 通り魔
<5999> 通り魔

//<6000> 記憶ナシ男
<6000> 記憶ナシ男

//<6001> 音速
<6001> 音速

//<6002> 無限
<6002> 無限

//<6003> エロ侍
<6003> エロ侍

//<6004> エロエロ団ナンバー１
<6004> エロエロ団ナンバー１

//<6005> ただのエロ少年
<6005> ただのエロ少年

//<6006> ユリブサイク
<6006> ユリブサイク

//<6007> ドピュッシー
<6007> ドピュッシー

//<6008> アメリカンエロドッグ
<6008> アメリカンエロドッグ

//<6009> ゼウス
<6009> ゼウス

//<6010> 日向markⅡ
<6010> 日向markⅡ

//<6011> 糞虫
<6011> 糞虫

//<6012> 量産型日向
<6012> 量産型日向

//<6013> ？？
<6013> ？？

//<6014> 「どうして…」
<6014> 「どうして…」

//<6015> nothing
<6015> nothing

//<6016> nothing
<6016> nothing

//<6017> nothing
<6017> nothing

//<6018> nothing
<6018> nothing

//<6019> nothing
<6019> nothing

//<6020> 日向
<6020> 日向

//<6021> 男Ｂ
<6021> 男Ｂ

//<6022> エロエロ団総帥
<6022> エロエロ団総帥

//<6023> イケチン
<6023> イケチン

//<6024> ホモ太
<6024> ホモ太

//<6025> ひなチン
<6025> ひなチン

//<6026> 秀樹
<6026> 秀樹

//<6027> 男子生徒
<6027> 男子生徒

//<6028> ？？
<6028> ？？

//<6029> 「失恋したような、ショックの受け方だな…」
<6029> 「失恋したような、ショックの受け方だな…」

//<6030> 椎名
<6030> 椎名

//<6031> 「ひとり欠けても、大丈夫なのか？」
<6031> 「ひとり欠けても、大丈夫なのか？」

//<6032> nothing
<6032> nothing

//<6033> nothing
<6033> nothing

//<6034> nothing
<6034> nothing

//<6035> nothing
<6035> nothing

//<6036> nothing
<6036> nothing

//<6037> 日向
<6037> 日向

//<6038> 男Ｂ
<6038> 男Ｂ

//<6039> エロエロ団総帥
<6039> エロエロ団総帥

//<6040> イケチン
<6040> イケチン

//<6041> ホモ太
<6041> ホモ太

//<6042> ひなチン
<6042> ひなチン

//<6043> 秀樹
<6043> 秀樹

//<6044> 男子生徒
<6044> 男子生徒

//<6045> ？？
<6045> ？？

//<6046> 「いや…４人では無理だ…ここで棄権するしかない…」
<6046> 「いや…４人では無理だ…ここで棄権するしかない…」

//<6047> nothing
<6047> nothing

//<6048> nothing
<6048> nothing

//<6049> nothing
<6049> nothing

//<6050> nothing
<6050> nothing

//<6051> nothing
<6051> nothing

//<6052> 野田
<6052> 野田

//<6053> 男Ｆ
<6053> 男Ｆ

//<6054> イケパイ
<6054> イケパイ

//<6055> 男
<6055> 男

//<6056> ？？
<6056> ？？

//<6057> 「こいつは何かを持っているっ！　俺のポテンシャルを引き出し、ネクストステージへ運んでくれる…そんな気がしてたまに会うだけの仲だ」
<6057> 「こいつは何かを持っているっ！　俺のポテンシャルを引き出し、ネクストステージへ運んでくれる…そんな気がしてたまに会うだけの仲だ」

//<6058> nothing
<6058> nothing

//<6059> nothing
<6059> nothing

//<6060> nothing
<6060> nothing

//<6061> nothing
<6061> nothing

//<6062> nothing
<6062> nothing

//<6063> 日向
<6063> 日向

//<6064> 男Ｂ
<6064> 男Ｂ

//<6065> エロエロ団総帥
<6065> エロエロ団総帥

//<6066> イケチン
<6066> イケチン

//<6067> ホモ太
<6067> ホモ太

//<6068> ひなチン
<6068> ひなチン

//<6069> 秀樹
<6069> 秀樹

//<6070> 男子生徒
<6070> 男子生徒

//<6071> ？？
<6071> ？？

//<6072> 「それもすげー」
<6072> 「それもすげー」

//<6073> nothing
<6073> nothing

//<6074> nothing
<6074> nothing

//<6075> nothing
<6075> nothing

//<6076> nothing
<6076> nothing

//<6077> nothing
<6077> nothing

//<6078> 日向
<6078> 日向

//<6079> 男Ｂ
<6079> 男Ｂ

//<6080> エロエロ団総帥
<6080> エロエロ団総帥

//<6081> イケチン
<6081> イケチン

//<6082> ホモ太
<6082> ホモ太

//<6083> ひなチン
<6083> ひなチン

//<6084> 秀樹
<6084> 秀樹

//<6085> 男子生徒
<6085> 男子生徒

//<6086> ？？
<6086> ？？

//<6087> 「でも、その足じゃ、次の試合に臨めないぜ？」
<6087> 「でも、その足じゃ、次の試合に臨めないぜ？」

//<6088> nothing
<6088> nothing

//<6089> nothing
<6089> nothing

//<6090> nothing
<6090> nothing

//<6091> nothing
<6091> nothing

//<6092> nothing
<6092> nothing

//<6093> 野田
<6093> 野田

//<6094> 男Ｆ
<6094> 男Ｆ

//<6095> イケパイ
<6095> イケパイ

//<6096> 男
<6096> 男

//<6097> ？？
<6097> ？？

//<6098> 「こんなのなんてことはないっ！」
<6098> 「こんなのなんてことはないっ！」

//<6099> nothing
<6099> nothing

//<6100> nothing
<6100> nothing

//<6101> nothing
<6101> nothing

//<6102> nothing
<6102> nothing

//<6103> nothing
<6103> nothing

//<6104> 日向
<6104> 日向

//<6105> 男Ｂ
<6105> 男Ｂ

//<6106> エロエロ団総帥
<6106> エロエロ団総帥

//<6107> イケチン
<6107> イケチン

//<6108> ホモ太
<6108> ホモ太

//<6109> ひなチン
<6109> ひなチン

//<6110> 秀樹
<6110> 秀樹

//<6111> 男子生徒
<6111> 男子生徒

//<6112> ？？
<6112> ？？

//<6113> 「じゃ、ジャンプしてみろよ」
<6113> 「じゃ、ジャンプしてみろよ」

//<6114> 音無
<6114> 音無

//<6115> クソ坊主
<6115> クソ坊主

//<6116> 代理人
<6116> 代理人

//<6117> 微妙すぎるイケメン
<6117> 微妙すぎるイケメン

//<6118> ロリコン
<6118> ロリコン

//<6119> メガネ仲間
<6119> メガネ仲間

//<6120> 暗算日本記録保持者
<6120> 暗算日本記録保持者

//<6121> 通り魔
<6121> 通り魔

//<6122> 記憶ナシ男
<6122> 記憶ナシ男

//<6123> 音速
<6123> 音速

//<6124> 無限
<6124> 無限

//<6125> エロ侍
<6125> エロ侍

//<6126> エロエロ団ナンバー１
<6126> エロエロ団ナンバー１

//<6127> ただのエロ少年
<6127> ただのエロ少年

//<6128> ユリブサイク
<6128> ユリブサイク

//<6129> ドピュッシー
<6129> ドピュッシー

//<6130> アメリカンエロドッグ
<6130> アメリカンエロドッグ

//<6131> ゼウス
<6131> ゼウス

//<6132> 日向markⅡ
<6132> 日向markⅡ

//<6133> 糞虫
<6133> 糞虫

//<6134> 量産型日向
<6134> 量産型日向

//<6135> ？？
<6135> ？？

//<6136> 「大丈夫か？　くしゅんっ」
<6136> 「大丈夫か？　くしゅんっ」

//<6137> nothing
<6137> nothing

//<6138> nothing
<6138> nothing

//<6139> nothing
<6139> nothing

//<6140> nothing
<6140> nothing

//<6141> nothing
<6141> nothing

//<6142> 野田
<6142> 野田

//<6143> 男Ｆ
<6143> 男Ｆ

//<6144> イケパイ
<6144> イケパイ

//<6145> 男
<6145> 男

//<6146> ？？
<6146> ？？

//<6147> 「ああ」
<6147> 「ああ」

//<6148> nothing
<6148> nothing

//<6149> nothing
<6149> nothing

//<6150> nothing
<6150> nothing

//<6151> nothing
<6151> nothing

//<6152> nothing
<6152> nothing

//<6153> そう言われ、肩をはずしてみた。その野田は、膝を畳んだ後。
<6153> そう言われ、肩をはずしてみた。その野田は、膝を畳んだ後。

//<6154> nothing
<6154> nothing

//<6155> nothing
<6155> nothing

//<6156> nothing
<6156> nothing

//<6157> nothing
<6157> nothing

//<6158> nothing
<6158> nothing

//<6159> 野田
<6159> 野田

//<6160> 男Ｆ
<6160> 男Ｆ

//<6161> イケパイ
<6161> イケパイ

//<6162> 男
<6162> 男

//<6163> ？？
<6163> ？？

//<6164> 「ああっ…」
<6164> 「ああっ…」

//<6165> nothing
<6165> nothing

//<6166> nothing
<6166> nothing

//<6167> nothing
<6167> nothing

//<6168> nothing
<6168> nothing

//<6169> nothing
<6169> nothing

//<6170> 野田は、膝を畳んだ後。
<6170> 野田は、膝を畳んだ後。

//<6171> nothing
<6171> nothing

//<6172> nothing
<6172> nothing

//<6173> nothing
<6173> nothing

//<6174> nothing
<6174> nothing

//<6175> nothing
<6175> nothing

//<6176> 野田
<6176> 野田

//<6177> 男Ｆ
<6177> 男Ｆ

//<6178> イケパイ
<6178> イケパイ

//<6179> 男
<6179> 男

//<6180> ？？
<6180> ？？

//<6181> 「うっ…！！」
<6181> 「うっ…！！」

//<6182> 痛みに耐えきれず、飛ぶことはできなかった。
<6182> 痛みに耐えきれず、飛ぶことはできなかった。

//<6183> 日向
<6183> 日向

//<6184> 男Ｂ
<6184> 男Ｂ

//<6185> エロエロ団総帥
<6185> エロエロ団総帥

//<6186> イケチン
<6186> イケチン

//<6187> ホモ太
<6187> ホモ太

//<6188> ひなチン
<6188> ひなチン

//<6189> 秀樹
<6189> 秀樹

//<6190> 男子生徒
<6190> 男子生徒

//<6191> ？？
<6191> ？？

//<6192> 「ほら、無理じゃん」
<6192> 「ほら、無理じゃん」

//<6193> nothing
<6193> nothing

//<6194> nothing
<6194> nothing

//<6195> nothing
<6195> nothing

//<6196> nothing
<6196> nothing

//<6197> nothing
<6197> nothing

//<6198> nothing
<6198> nothing

//<6199> 音無
<6199> 音無

//<6200> クソ坊主
