// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 岩沢に気がある
<0000> 岩沢に気がある
<1664> 「その場合、ゆりには会えないのか？」

//<1665> nothing
<1665> nothing

//<1666> nothing
<1666> nothing

//<1667> nothing
<1667> nothing

//<1668> nothing
<1668> nothing

//<1669> nothing
<1669> nothing

//<1670> 日向
<1670> 日向

//<1671> 男Ｂ
<1671> 男Ｂ

//<1672> エロエロ団総帥
<1672> エロエロ団総帥

//<1673> イケチン
<1673> イケチン

//<1674> ホモ太
<1674> ホモ太

//<1675> ひなチン
<1675> ひなチン

//<1676> 秀樹
<1676> 秀樹

//<1677> 男子生徒
<1677> 男子生徒

//<1678> ？？
<1678> ？？

//<1679> 「もちろん。まず、本部に入る合い言葉が変更される。お前は本部に入れなくなる」
<1679> 「もちろん。まず、本部に入る合い言葉が変更される。お前は本部に入れなくなる」

//<1680> 音無
<1680> 音無

//<1681> クソ坊主
<1681> クソ坊主

//<1682> 代理人
<1682> 代理人

//<1683> 微妙すぎるイケメン
<1683> 微妙すぎるイケメン

//<1684> ロリコン
<1684> ロリコン

//<1685> メガネ仲間
<1685> メガネ仲間

//<1686> 暗算日本記録保持者
<1686> 暗算日本記録保持者

//<1687> 通り魔
<1687> 通り魔

//<1688> 記憶ナシ男
<1688> 記憶ナシ男

//<1689> 音速
<1689> 音速

//<1690> 無限
<1690> 無限

//<1691> エロ侍
<1691> エロ侍

//<1692> エロエロ団ナンバー１
<1692> エロエロ団ナンバー１

//<1693> ただのエロ少年
<1693> ただのエロ少年

//<1694> ユリブサイク
<1694> ユリブサイク

//<1695> ドピュッシー
<1695> ドピュッシー

//<1696> アメリカンエロドッグ
<1696> アメリカンエロドッグ

//<1697> ゼウス
<1697> ゼウス

//<1698> 日向markⅡ
<1698> 日向markⅡ

//<1699> 糞虫
<1699> 糞虫

//<1700> 量産型日向
<1700> 量産型日向

//<1701> ？？
<1701> ？？

//<1702> 「じゃ、今後慎まないとな…」
<1702> 「じゃ、今後慎まないとな…」

//<1703> nothing
<1703> nothing

//<1704> nothing
<1704> nothing

//<1705> nothing
<1705> nothing

//<1706> nothing
<1706> nothing

//<1707> nothing
<1707> nothing

//<1708> 日向
<1708> 日向

//<1709> 男Ｂ
<1709> 男Ｂ

//<1710> エロエロ団総帥
<1710> エロエロ団総帥

//<1711> イケチン
<1711> イケチン

//<1712> ホモ太
<1712> ホモ太

//<1713> ひなチン
<1713> ひなチン

//<1714> 秀樹
<1714> 秀樹

//<1715> 男子生徒
<1715> 男子生徒

//<1716> ？？
<1716> ？？

//<1717> 「ああ。とにかく、用意したアレで発散して、襲う衝動は抑え続けろ…」
<1717> 「ああ。とにかく、用意したアレで発散して、襲う衝動は抑え続けろ…」

//<1718> 音無
<1718> 音無

//<1719> クソ坊主
<1719> クソ坊主

//<1720> 代理人
<1720> 代理人

//<1721> 微妙すぎるイケメン
<1721> 微妙すぎるイケメン

//<1722> ロリコン
<1722> ロリコン

//<1723> メガネ仲間
<1723> メガネ仲間

//<1724> 暗算日本記録保持者
<1724> 暗算日本記録保持者

//<1725> 通り魔
<1725> 通り魔

//<1726> 記憶ナシ男
<1726> 記憶ナシ男

//<1727> 音速
<1727> 音速

//<1728> 無限
<1728> 無限

//<1729> エロ侍
<1729> エロ侍

//<1730> エロエロ団ナンバー１
<1730> エロエロ団ナンバー１

//<1731> ただのエロ少年
<1731> ただのエロ少年

//<1732> ユリブサイク
<1732> ユリブサイク

//<1733> ドピュッシー
<1733> ドピュッシー

//<1734> アメリカンエロドッグ
<1734> アメリカンエロドッグ

//<1735> ゼウス
<1735> ゼウス

//<1736> 日向markⅡ
<1736> 日向markⅡ

//<1737> 糞虫
<1737> 糞虫

//<1738> 量産型日向
<1738> 量産型日向

//<1739> ？？
<1739> ？？

//<1740> 「…わかった」
<1740> 「…わかった」

//<1741> 音無
<1741> 音無

//<1742> クソ坊主
<1742> クソ坊主

//<1743> 代理人
<1743> 代理人

//<1744> 微妙すぎるイケメン
<1744> 微妙すぎるイケメン

//<1745> ロリコン
<1745> ロリコン

//<1746> メガネ仲間
<1746> メガネ仲間

//<1747> 暗算日本記録保持者
<1747> 暗算日本記録保持者

//<1748> 通り魔
<1748> 通り魔

//<1749> 記憶ナシ男
<1749> 記憶ナシ男

//<1750> 音速
<1750> 音速

//<1751> 無限
<1751> 無限

//<1752> エロ侍
<1752> エロ侍

//<1753> エロエロ団ナンバー１
<1753> エロエロ団ナンバー１

//<1754> ただのエロ少年
<1754> ただのエロ少年

//<1755> ユリブサイク
<1755> ユリブサイク

//<1756> ドピュッシー
<1756> ドピュッシー

//<1757> アメリカンエロドッグ
<1757> アメリカンエロドッグ

//<1758> ゼウス
<1758> ゼウス

//<1759> 日向markⅡ
<1759> 日向markⅡ

//<1760> 糞虫
<1760> 糞虫

//<1761> 量産型日向
<1761> 量産型日向

//<1762> ？？
<1762> ？？

//<1763> 「ゆりだ…」
<1763> 「ゆりだ…」

//<1764> nothing
<1764> nothing

//<1765> nothing
<1765> nothing

//<1766> nothing
<1766> nothing

//<1767> nothing
<1767> nothing

//<1768> nothing
<1768> nothing

//<1769> 日向
<1769> 日向

//<1770> 男Ｂ
<1770> 男Ｂ

//<1771> エロエロ団総帥
<1771> エロエロ団総帥

//<1772> イケチン
<1772> イケチン

//<1773> ホモ太
<1773> ホモ太

//<1774> ひなチン
<1774> ひなチン

//<1775> 秀樹
<1775> 秀樹

//<1776> 男子生徒
<1776> 男子生徒

//<1777> ？？
<1777> ？？

//<1778> 「まあ、わかっていたけどさ…」
<1778> 「まあ、わかっていたけどさ…」

//<1779> 音無
<1779> 音無

//<1780> クソ坊主
<1780> クソ坊主

//<1781> 代理人
<1781> 代理人

//<1782> 微妙すぎるイケメン
<1782> 微妙すぎるイケメン

//<1783> ロリコン
<1783> ロリコン

//<1784> メガネ仲間
<1784> メガネ仲間

//<1785> 暗算日本記録保持者
<1785> 暗算日本記録保持者

//<1786> 通り魔
<1786> 通り魔

//<1787> 記憶ナシ男
<1787> 記憶ナシ男

//<1788> 音速
<1788> 音速

//<1789> 無限
<1789> 無限

//<1790> エロ侍
<1790> エロ侍

//<1791> エロエロ団ナンバー１
<1791> エロエロ団ナンバー１

//<1792> ただのエロ少年
<1792> ただのエロ少年

//<1793> ユリブサイク
<1793> ユリブサイク

//<1794> ドピュッシー
<1794> ドピュッシー

//<1795> アメリカンエロドッグ
<1795> アメリカンエロドッグ

//<1796> ゼウス
<1796> ゼウス

//<1797> 日向markⅡ
<1797> 日向markⅡ

//<1798> 糞虫
<1798> 糞虫

//<1799> 量産型日向
<1799> 量産型日向

//<1800> ？？
<1800> ？？

//<1801> 「そうだな、日向には話したもんな…」
<1801> 「そうだな、日向には話したもんな…」

//<1802> 音無
<1802> 音無

//<1803> クソ坊主
<1803> クソ坊主

//<1804> 代理人
<1804> 代理人

//<1805> 微妙すぎるイケメン
<1805> 微妙すぎるイケメン

//<1806> ロリコン
<1806> ロリコン

//<1807> メガネ仲間
<1807> メガネ仲間

//<1808> 暗算日本記録保持者
<1808> 暗算日本記録保持者

//<1809> 通り魔
<1809> 通り魔

//<1810> 記憶ナシ男
<1810> 記憶ナシ男

//<1811> 音速
<1811> 音速

//<1812> 無限
<1812> 無限

//<1813> エロ侍
<1813> エロ侍

//<1814> エロエロ団ナンバー１
<1814> エロエロ団ナンバー１

//<1815> ただのエロ少年
<1815> ただのエロ少年

//<1816> ユリブサイク
<1816> ユリブサイク

//<1817> ドピュッシー
<1817> ドピュッシー

//<1818> アメリカンエロドッグ
<1818> アメリカンエロドッグ

//<1819> ゼウス
<1819> ゼウス

//<1820> 日向markⅡ
<1820> 日向markⅡ

//<1821> 糞虫
<1821> 糞虫

//<1822> 量産型日向
<1822> 量産型日向

//<1823> ？？
<1823> ？？

//<1824> 「え、どうして！？」
<1824> 「え、どうして！？」

//<1825> nothing
<1825> nothing

//<1826> nothing
<1826> nothing

//<1827> nothing
<1827> nothing

//<1828> nothing
<1828> nothing

//<1829> nothing
<1829> nothing

//<1830> 日向
<1830> 日向

//<1831> 男Ｂ
<1831> 男Ｂ

//<1832> エロエロ団総帥
<1832> エロエロ団総帥

//<1833> イケチン
<1833> イケチン

//<1834> ホモ太
<1834> ホモ太

//<1835> ひなチン
<1835> ひなチン

//<1836> 秀樹
<1836> 秀樹

//<1837> 男子生徒
<1837> 男子生徒

//<1838> ？？
<1838> ？？

//<1839> 「お前、用もなしにゆりっぺに会いに行ってたろ」
<1839> 「お前、用もなしにゆりっぺに会いに行ってたろ」

//<1840> 音無
<1840> 音無

//<1841> クソ坊主
<1841> クソ坊主

//<1842> 代理人
<1842> 代理人

//<1843> 微妙すぎるイケメン
<1843> 微妙すぎるイケメン

//<1844> ロリコン
<1844> ロリコン

//<1845> メガネ仲間
<1845> メガネ仲間

//<1846> 暗算日本記録保持者
<1846> 暗算日本記録保持者

//<1847> 通り魔
<1847> 通り魔

//<1848> 記憶ナシ男
<1848> 記憶ナシ男

//<1849> 音速
<1849> 音速

//<1850> 無限
<1850> 無限

//<1851> エロ侍
<1851> エロ侍

//<1852> エロエロ団ナンバー１
<1852> エロエロ団ナンバー１

//<1853> ただのエロ少年
<1853> ただのエロ少年

//<1854> ユリブサイク
<1854> ユリブサイク

//<1855> ドピュッシー
<1855> ドピュッシー

//<1856> アメリカンエロドッグ
<1856> アメリカンエロドッグ

//<1857> ゼウス
<1857> ゼウス

//<1858> 日向markⅡ
<1858> 日向markⅡ

//<1859> 糞虫
<1859> 糞虫

//<1860> 量産型日向
<1860> 量産型日向

//<1861> ？？
<1861> ？？

//<1862> 「なぜ、それを？」
<1862> 「なぜ、それを？」

//<1863> nothing
<1863> nothing

//<1864> nothing
<1864> nothing

//<1865> nothing
<1865> nothing

//<1866> nothing
<1866> nothing

//<1867> nothing
<1867> nothing

//<1868> 日向
<1868> 日向

//<1869> 男Ｂ
<1869> 男Ｂ

//<1870> エロエロ団総帥
<1870> エロエロ団総帥

//<1871> イケチン
<1871> イケチン

//<1872> ホモ太
<1872> ホモ太

//<1873> ひなチン
<1873> ひなチン

//<1874> 秀樹
<1874> 秀樹

//<1875> 男子生徒
<1875> 男子生徒

//<1876> ？？
<1876> ？？

//<1877> 「そういう情報はこの世界ではすぐ回ってくるんだよ…」
<1877> 「そういう情報はこの世界ではすぐ回ってくるんだよ…」

//<1878> 音無
<1878> 音無

//<1879> クソ坊主
<1879> クソ坊主

//<1880> 代理人
<1880> 代理人

//<1881> 微妙すぎるイケメン
<1881> 微妙すぎるイケメン

//<1882> ロリコン
<1882> ロリコン

//<1883> メガネ仲間
<1883> メガネ仲間

//<1884> 暗算日本記録保持者
<1884> 暗算日本記録保持者

//<1885> 通り魔
<1885> 通り魔

//<1886> 記憶ナシ男
<1886> 記憶ナシ男

//<1887> 音速
<1887> 音速

//<1888> 無限
<1888> 無限

//<1889> エロ侍
<1889> エロ侍

//<1890> エロエロ団ナンバー１
<1890> エロエロ団ナンバー１

//<1891> ただのエロ少年
<1891> ただのエロ少年

//<1892> ユリブサイク
<1892> ユリブサイク

//<1893> ドピュッシー
<1893> ドピュッシー

//<1894> アメリカンエロドッグ
<1894> アメリカンエロドッグ

//<1895> ゼウス
<1895> ゼウス

//<1896> 日向markⅡ
<1896> 日向markⅡ

//<1897> 糞虫
<1897> 糞虫

//<1898> 量産型日向
<1898> 量産型日向

//<1899> ？？
<1899> ？？

//<1900> 「そっか…」
<1900> 「そっか…」

//<1901> 音無
<1901> 音無

//<1902> クソ坊主
<1902> クソ坊主

//<1903> 代理人
<1903> 代理人

//<1904> 微妙すぎるイケメン
<1904> 微妙すぎるイケメン

//<1905> ロリコン
<1905> ロリコン

//<1906> メガネ仲間
<1906> メガネ仲間

//<1907> 暗算日本記録保持者
<1907> 暗算日本記録保持者

//<1908> 通り魔
<1908> 通り魔

//<1909> 記憶ナシ男
<1909> 記憶ナシ男

//<1910> 音速
<1910> 音速

//<1911> 無限
<1911> 無限

//<1912> エロ侍
<1912> エロ侍

//<1913> エロエロ団ナンバー１
<1913> エロエロ団ナンバー１

//<1914> ただのエロ少年
<1914> ただのエロ少年

//<1915> ユリブサイク
<1915> ユリブサイク

//<1916> ドピュッシー
<1916> ドピュッシー

//<1917> アメリカンエロドッグ
<1917> アメリカンエロドッグ

//<1918> ゼウス
<1918> ゼウス

//<1919> 日向markⅡ
<1919> 日向markⅡ

//<1920> 糞虫
<1920> 糞虫

//<1921> 量産型日向
<1921> 量産型日向

//<1922> ？？
<1922> ？？

//<1923> 「なあ、どうにかゆりと上手くいく方法はないのか？」
<1923> 「なあ、どうにかゆりと上手くいく方法はないのか？」

//<1924> nothing
<1924> nothing

//<1925> nothing
<1925> nothing

//<1926> nothing
<1926> nothing

//<1927> nothing
<1927> nothing

//<1928> nothing
<1928> nothing

//<1929> 日向
<1929> 日向

//<1930> 男Ｂ
<1930> 男Ｂ

//<1931> エロエロ団総帥
<1931> エロエロ団総帥

//<1932> イケチン
<1932> イケチン

//<1933> ホモ太
<1933> ホモ太

//<1934> ひなチン
<1934> ひなチン

//<1935> 秀樹
<1935> 秀樹

//<1936> 男子生徒
<1936> 男子生徒

//<1937> ？？
<1937> ？？

//<1938> 「しかも嫌われちまったんだろ？」
<1938> 「しかも嫌われちまったんだろ？」

//<1939> 音無
<1939> 音無

//<1940> クソ坊主
<1940> クソ坊主

//<1941> 代理人
<1941> 代理人

//<1942> 微妙すぎるイケメン
<1942> 微妙すぎるイケメン

//<1943> ロリコン
<1943> ロリコン

//<1944> メガネ仲間
<1944> メガネ仲間

//<1945> 暗算日本記録保持者
<1945> 暗算日本記録保持者

//<1946> 通り魔
<1946> 通り魔

//<1947> 記憶ナシ男
<1947> 記憶ナシ男

//<1948> 音速
<1948> 音速

//<1949> 無限
<1949> 無限

//<1950> エロ侍
<1950> エロ侍

//<1951> エロエロ団ナンバー１
<1951> エロエロ団ナンバー１

//<1952> ただのエロ少年
<1952> ただのエロ少年

//<1953> ユリブサイク
<1953> ユリブサイク

//<1954> ドピュッシー
<1954> ドピュッシー

//<1955> アメリカンエロドッグ
<1955> アメリカンエロドッグ

//<1956> ゼウス
<1956> ゼウス

//<1957> 日向markⅡ
<1957> 日向markⅡ

//<1958> 糞虫
<1958> 糞虫

//<1959> 量産型日向
<1959> 量産型日向

//<1960> ？？
<1960> ？？

//<1961> 「そこまでっ！？」
<1961> 「そこまでっ！？」

//<1962> nothing
<1962> nothing

//<1963> nothing
<1963> nothing

//<1964> nothing
<1964> nothing

//<1965> nothing
<1965> nothing

//<1966> nothing
<1966> nothing

//<1967> 日向
<1967> 日向

//<1968> 男Ｂ
<1968> 男Ｂ

//<1969> エロエロ団総帥
<1969> エロエロ団総帥

//<1970> イケチン
<1970> イケチン

//<1971> ホモ太
<1971> ホモ太

//<1972> ひなチン
<1972> ひなチン

//<1973> 秀樹
<1973> 秀樹

//<1974> 男子生徒
<1974> 男子生徒

//<1975> ？？
<1975> ？？

//<1976> 「ああ…」
<1976> 「ああ…」

//<1977> アドバイスをもらう
<1977> アドバイスをもらう

//<1978> 仲を取り持ってもらう
<1978> 仲を取り持ってもらう

//<1979> selbtn : 
<1979> selbtn : 

//<1980> 音無
<1980> 音無

//<1981> クソ坊主
<1981> クソ坊主

//<1982> 代理人
<1982> 代理人

//<1983> 微妙すぎるイケメン
<1983> 微妙すぎるイケメン

//<1984> ロリコン
<1984> ロリコン

//<1985> メガネ仲間
<1985> メガネ仲間

//<1986> 暗算日本記録保持者
<1986> 暗算日本記録保持者

//<1987> 通り魔
<1987> 通り魔

//<1988> 記憶ナシ男
<1988> 記憶ナシ男

//<1989> 音速
<1989> 音速

//<1990> 無限
<1990> 無限

//<1991> エロ侍
<1991> エロ侍

//<1992> エロエロ団ナンバー１
<1992> エロエロ団ナンバー１

//<1993> ただのエロ少年
<1993> ただのエロ少年

//<1994> ユリブサイク
<1994> ユリブサイク

//<1995> ドピュッシー
<1995> ドピュッシー

//<1996> アメリカンエロドッグ
<1996> アメリカンエロドッグ

//<1997> ゼウス
<1997> ゼウス

//<1998> 日向markⅡ
<1998> 日向markⅡ

//<1999> 糞虫
<1999> 糞虫

//<2000> 量産型日向
<2000> 量産型日向

//<2001> ？？
<2001> ？？

//<2002> 「何かアドバイスをくれよ！」
<2002> 「何かアドバイスをくれよ！」

//<2003> nothing
<2003> nothing

//<2004> nothing
<2004> nothing

//<2005> nothing
<2005> nothing

//<2006> nothing
<2006> nothing

//<2007> nothing
<2007> nothing

//<2008> 日向
<2008> 日向

//<2009> 男Ｂ
<2009> 男Ｂ

//<2010> エロエロ団総帥
<2010> エロエロ団総帥

//<2011> イケチン
<2011> イケチン

//<2012> ホモ太
<2012> ホモ太

//<2013> ひなチン
<2013> ひなチン

//<2014> 秀樹
<2014> 秀樹

//<2015> 男子生徒
<2015> 男子生徒

//<2016> ？？
<2016> ？？

//<2017> 「アドバイスっつーてもなー…そもそも、お前はまだ記憶喪失のままじゃん？」
<2017> 「アドバイスっつーてもなー…そもそも、お前はまだ記憶喪失のままじゃん？」

//<2018> 音無
<2018> 音無

//<2019> クソ坊主
<2019> クソ坊主

//<2020> 代理人
<2020> 代理人

//<2021> 微妙すぎるイケメン
<2021> 微妙すぎるイケメン

//<2022> ロリコン
<2022> ロリコン

//<2023> メガネ仲間
<2023> メガネ仲間

//<2024> 暗算日本記録保持者
<2024> 暗算日本記録保持者

//<2025> 通り魔
<2025> 通り魔

//<2026> 記憶ナシ男
<2026> 記憶ナシ男

//<2027> 音速
<2027> 音速

//<2028> 無限
<2028> 無限

//<2029> エロ侍
<2029> エロ侍

//<2030> エロエロ団ナンバー１
<2030> エロエロ団ナンバー１

//<2031> ただのエロ少年
<2031> ただのエロ少年

//<2032> ユリブサイク
<2032> ユリブサイク

//<2033> ドピュッシー
<2033> ドピュッシー

//<2034> アメリカンエロドッグ
<2034> アメリカンエロドッグ

//<2035> ゼウス
<2035> ゼウス

//<2036> 日向markⅡ
<2036> 日向markⅡ

//<2037> 糞虫
<2037> 糞虫

//<2038> 量産型日向
<2038> 量産型日向

//<2039> ？？
<2039> ？？

//<2040> 「ああ…」
<2040> 「ああ…」

//<2041> nothing
<2041> nothing

//<2042> nothing
<2042> nothing

//<2043> nothing
<2043> nothing

//<2044> nothing
<2044> nothing

//<2045> nothing
<2045> nothing

//<2046> 日向
<2046> 日向

//<2047> 男Ｂ
<2047> 男Ｂ

//<2048> エロエロ団総帥
<2048> エロエロ団総帥

//<2049> イケチン
<2049> イケチン

//<2050> ホモ太
<2050> ホモ太

//<2051> ひなチン
<2051> ひなチン

//<2052> 秀樹
<2052> 秀樹

//<2053> 男子生徒
<2053> 男子生徒

//<2054> ？？
<2054> ？？

//<2055> 「生前の記憶を取り戻したら、そんな浮ついた気持ちなんて考えられなくなるはずなんだけどなー…」
<2055> 「生前の記憶を取り戻したら、そんな浮ついた気持ちなんて考えられなくなるはずなんだけどなー…」

//<2056> 俺は本気だ
<2056> 俺は本気だ

//<2057> そうかもしれない
<2057> そうかもしれない

//<2058> selbtn : 
<2058> selbtn : 

//<2059> 音無
<2059> 音無

//<2060> クソ坊主
<2060> クソ坊主

//<2061> 代理人
<2061> 代理人

//<2062> 微妙すぎるイケメン
<2062> 微妙すぎるイケメン

//<2063> ロリコン
<2063> ロリコン

//<2064> メガネ仲間
<2064> メガネ仲間

//<2065> 暗算日本記録保持者
<2065> 暗算日本記録保持者

//<2066> 通り魔
<2066> 通り魔

//<2067> 記憶ナシ男
<2067> 記憶ナシ男

//<2068> 音速
<2068> 音速

//<2069> 無限
<2069> 無限

//<2070> エロ侍
<2070> エロ侍

//<2071> エロエロ団ナンバー１
<2071> エロエロ団ナンバー１

//<2072> ただのエロ少年
<2072> ただのエロ少年

//<2073> ユリブサイク
<2073> ユリブサイク

//<2074> ドピュッシー
<2074> ドピュッシー

//<2075> アメリカンエロドッグ
<2075> アメリカンエロドッグ

//<2076> ゼウス
<2076> ゼウス

//<2077> 日向markⅡ
<2077> 日向markⅡ

//<2078> 糞虫
<2078> 糞虫

//<2079> 量産型日向
<2079> 量産型日向

//<2080> ？？
<2080> ？？

//<2081> 「どんな生前でも、俺の思いは本気だ！！」
<2081> 「どんな生前でも、俺の思いは本気だ！！」

//<2082> 軽々しく扱われ思わず、かっとなってしまう。
<2082> 軽々しく扱われ思わず、かっとなってしまう。

//<2083> nothing
<2083> nothing

//<2084> nothing
<2084> nothing

//<2085> nothing
<2085> nothing

//<2086> nothing
<2086> nothing

//<2087> nothing
<2087> nothing

//<2088> 日向
<2088> 日向

//<2089> 男Ｂ
<2089> 男Ｂ

//<2090> エロエロ団総帥
<2090> エロエロ団総帥

//<2091> イケチン
<2091> イケチン

//<2092> ホモ太
<2092> ホモ太

//<2093> ひなチン
<2093> ひなチン

//<2094> 秀樹
<2094> 秀樹

//<2095> 男子生徒
<2095> 男子生徒

//<2096> ？？
<2096> ？？

//<2097> 「いやー、そう言われてもなー。ゆりっぺの生前の話を聞いたか？」
<2097> 「いやー、そう言われてもなー。ゆりっぺの生前の話を聞いたか？」

//<2098> 音無
<2098> 音無

//<2099> クソ坊主
<2099> クソ坊主

//<2100> 代理人
<2100> 代理人

//<2101> 微妙すぎるイケメン
<2101> 微妙すぎるイケメン

//<2102> ロリコン
<2102> ロリコン

//<2103> メガネ仲間
<2103> メガネ仲間

//<2104> 暗算日本記録保持者
<2104> 暗算日本記録保持者

//<2105> 通り魔
<2105> 通り魔

//<2106> 記憶ナシ男
<2106> 記憶ナシ男

//<2107> 音速
<2107> 音速

//<2108> 無限
<2108> 無限

//<2109> エロ侍
<2109> エロ侍

//<2110> エロエロ団ナンバー１
<2110> エロエロ団ナンバー１

//<2111> ただのエロ少年
<2111> ただのエロ少年

//<2112> ユリブサイク
<2112> ユリブサイク

//<2113> ドピュッシー
<2113> ドピュッシー

//<2114> アメリカンエロドッグ
<2114> アメリカンエロドッグ

//<2115> ゼウス
<2115> ゼウス

//<2116> 日向markⅡ
<2116> 日向markⅡ

//<2117> 糞虫
<2117> 糞虫

//<2118> 量産型日向
<2118> 量産型日向

//<2119> ？？
<2119> ？？

//<2120> 「それは…聞いていない…」
<2120> 「それは…聞いていない…」

//<2121> nothing
<2121> nothing

//<2122> nothing
<2122> nothing

//<2123> nothing
<2123> nothing

//<2124> nothing
<2124> nothing

//<2125> nothing
<2125> nothing

//<2126> 日向
<2126> 日向

//<2127> 男Ｂ
<2127> 男Ｂ

//<2128> エロエロ団総帥
<2128> エロエロ団総帥

//<2129> イケチン
<2129> イケチン

//<2130> ホモ太
<2130> ホモ太

//<2131> ひなチン
<2131> ひなチン

//<2132> 秀樹
<2132> 秀樹

//<2133> 男子生徒
<2133> 男子生徒

//<2134> ？？
<2134> ？？

//<2135> 「じゃあまずそれを聞いてみろよ。そしたら、そんな浮ついた考えはゆりっぺに対して消えるから」
<2135> 「じゃあまずそれを聞いてみろよ。そしたら、そんな浮ついた考えはゆりっぺに対して消えるから」

//<2136> nothing
<2136> nothing

//<2137> nothing
<2137> nothing

//<2138> nothing
<2138> nothing

//<2139> nothing
<2139> nothing

//<2140> nothing
<2140> nothing

//<2141> 日向
<2141> 日向

//<2142> 男Ｂ
<2142> 男Ｂ

//<2143> エロエロ団総帥
<2143> エロエロ団総帥

//<2144> イケチン
<2144> イケチン

//<2145> ホモ太
<2145> ホモ太

//<2146> ひなチン
<2146> ひなチン

//<2147> 秀樹
<2147> 秀樹

//<2148> 男子生徒
<2148> 男子生徒

//<2149> ？？
<2149> ？？

//<2150> 「まあ、今のお前に話してくれるどうかはわからねーがな」
<2150> 「まあ、今のお前に話してくれるどうかはわからねーがな」

//<2151> 音無
<2151> 音無

//<2152> クソ坊主
<2152> クソ坊主

//<2153> 代理人
<2153> 代理人

//<2154> 微妙すぎるイケメン
<2154> 微妙すぎるイケメン

//<2155> ロリコン
<2155> ロリコン

//<2156> メガネ仲間
<2156> メガネ仲間

//<2157> 暗算日本記録保持者
<2157> 暗算日本記録保持者

//<2158> 通り魔
<2158> 通り魔

//<2159> 記憶ナシ男
<2159> 記憶ナシ男

//<2160> 音速
<2160> 音速

//<2161> 無限
<2161> 無限

//<2162> エロ侍
<2162> エロ侍

//<2163> エロエロ団ナンバー１
<2163> エロエロ団ナンバー１

//<2164> ただのエロ少年
<2164> ただのエロ少年

//<2165> ユリブサイク
<2165> ユリブサイク

//<2166> ドピュッシー
<2166> ドピュッシー

//<2167> アメリカンエロドッグ
<2167> アメリカンエロドッグ

//<2168> ゼウス
<2168> ゼウス

//<2169> 日向markⅡ
<2169> 日向markⅡ

//<2170> 糞虫
<2170> 糞虫

//<2171> 量産型日向
<2171> 量産型日向

//<2172> ？？
<2172> ？？

//<2173> 「そんな…」
<2173> 「そんな…」

//<2174> nothing
<2174> nothing

//<2175> nothing
<2175> nothing

//<2176> nothing
<2176> nothing

//<2177> nothing
<2177> nothing

//<2178> nothing
<2178> nothing

//<2179> 日向
<2179> 日向

//<2180> 男Ｂ
<2180> 男Ｂ

//<2181> エロエロ団総帥
<2181> エロエロ団総帥

//<2182> イケチン
<2182> イケチン

//<2183> ホモ太
<2183> ホモ太

//<2184> ひなチン
<2184> ひなチン

//<2185> 秀樹
<2185> 秀樹

//<2186> 男子生徒
<2186> 男子生徒

//<2187> ？？
<2187> ？？

//<2188> 「俺がアドバイス出来るのはここまでだ。勝手に他人の生前の話をするわけにはいかないんでね」
<2188> 「俺がアドバイス出来るのはここまでだ。勝手に他人の生前の話をするわけにはいかないんでね」

//<2189> 音無
<2189> 音無

//<2190> クソ坊主
<2190> クソ坊主

//<2191> 代理人
<2191> 代理人

//<2192> 微妙すぎるイケメン
<2192> 微妙すぎるイケメン

//<2193> ロリコン
<2193> ロリコン

//<2194> メガネ仲間
<2194> メガネ仲間

//<2195> 暗算日本記録保持者
<2195> 暗算日本記録保持者

//<2196> 通り魔
<2196> 通り魔

//<2197> 記憶ナシ男
<2197> 記憶ナシ男

//<2198> 音速
<2198> 音速

//<2199> 無限
<2199> 無限

//<2200> エロ侍
<2200> エロ侍

//<2201> エロエロ団ナンバー１
<2201> エロエロ団ナンバー１

//<2202> ただのエロ少年
<2202> ただのエロ少年

//<2203> ユリブサイク
<2203> ユリブサイク

//<2204> ドピュッシー
<2204> ドピュッシー

//<2205> アメリカンエロドッグ
<2205> アメリカンエロドッグ

//<2206> ゼウス
<2206> ゼウス

//<2207> 日向markⅡ
<2207> 日向markⅡ

//<2208> 糞虫
<2208> 糞虫

//<2209> 量産型日向
<2209> 量産型日向

//<2210> ？？
<2210> ？？

//<2211> 「だよな…ありがとう…」
<2211> 「だよな…ありがとう…」

//<2212> 音無
