// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
<18153> 「よう、護騨はこれからどこに行くんだ？」

//<18154> 松下
<18154> 松下

//<18155> 「ああ、指の先を切っちまってな。放っておいても治るんだが、血が出るのは敵わねぇ」
<18155> 「ああ、指の先を切っちまってな。放っておいても治るんだが、血が出るのは敵わねぇ」

//<18156> 松下
<18156> 松下

//<18157> 「医療棟まで行って、絆創膏をもらってこようかなって」
<18157> 「医療棟まで行って、絆創膏をもらってこようかなって」

//<18158> 松下
<18158> 松下

//<18159> 「ああ、指の先を切ってしまってな。放っておいても治るんだが、血が出るのは敵わない」
<18159> 「ああ、指の先を切ってしまってな。放っておいても治るんだが、血が出るのは敵わない」

//<18160> 松下
<18160> 松下

//<18161> 「医療棟まで行って、絆創膏をもらってこようかと」
<18161> 「医療棟まで行って、絆創膏をもらってこようかと」

//<18162> nothing
<18162> nothing

//<18163> nothing
<18163> nothing

//<18164> nothing
<18164> nothing

//<18165> nothing
<18165> nothing

//<18166> nothing
<18166> nothing

//<18167> 音無
<18167> 音無

//<18168> クソ坊主
<18168> クソ坊主

//<18169> 代理人
<18169> 代理人

//<18170> 微妙すぎるイケメン
<18170> 微妙すぎるイケメン

//<18171> ロリコン
<18171> ロリコン

//<18172> メガネ仲間
<18172> メガネ仲間

//<18173> 暗算日本記録保持者
<18173> 暗算日本記録保持者

//<18174> 通り魔
<18174> 通り魔

//<18175> 記憶ナシ男
<18175> 記憶ナシ男

//<18176> 音速
<18176> 音速

//<18177> 無限
<18177> 無限

//<18178> エロ侍
<18178> エロ侍

//<18179> エロエロ団ナンバー１
<18179> エロエロ団ナンバー１

//<18180> ただのエロ少年
<18180> ただのエロ少年

//<18181> ユリブサイク
<18181> ユリブサイク

//<18182> ドピュッシー
<18182> ドピュッシー

//<18183> アメリカンエロドッグ
<18183> アメリカンエロドッグ

//<18184> ゼウス
<18184> ゼウス

//<18185> 日向markⅡ
<18185> 日向markⅡ

//<18186> 糞虫
<18186> 糞虫

//<18187> 量産型日向
<18187> 量産型日向

//<18188> ？？
<18188> ？？

//<18189> 「…ちょっと、待て」
<18189> 「…ちょっと、待て」

//<18190> nothing
<18190> nothing

//<18191> nothing
<18191> nothing

//<18192> nothing
<18192> nothing

//<18193> nothing
<18193> nothing

//<18194> nothing
<18194> nothing

//<18195> 音無
<18195> 音無

//<18196> クソ坊主
<18196> クソ坊主

//<18197> 代理人
<18197> 代理人

//<18198> 微妙すぎるイケメン
<18198> 微妙すぎるイケメン

//<18199> ロリコン
<18199> ロリコン

//<18200> メガネ仲間
<18200> メガネ仲間

//<18201> 暗算日本記録保持者
<18201> 暗算日本記録保持者

//<18202> 通り魔
<18202> 通り魔

//<18203> 記憶ナシ男
<18203> 記憶ナシ男

//<18204> 音速
<18204> 音速

//<18205> 無限
<18205> 無限

//<18206> エロ侍
<18206> エロ侍

//<18207> エロエロ団ナンバー１
<18207> エロエロ団ナンバー１

//<18208> ただのエロ少年
<18208> ただのエロ少年

//<18209> ユリブサイク
<18209> ユリブサイク

//<18210> ドピュッシー
<18210> ドピュッシー

//<18211> アメリカンエロドッグ
<18211> アメリカンエロドッグ

//<18212> ゼウス
<18212> ゼウス

//<18213> 日向markⅡ
<18213> 日向markⅡ

//<18214> 糞虫
<18214> 糞虫

//<18215> 量産型日向
<18215> 量産型日向

//<18216> ？？
<18216> ？？

//<18217> 「ひさ子が、新曲をぜひとも護騨に聴いて欲しいって言ってるらしいんだ」
<18217> 「ひさ子が、新曲をぜひとも護騨に聴いて欲しいって言ってるらしいんだ」

//<18218> nothing
<18218> nothing

//<18219> nothing
<18219> nothing

//<18220> nothing
<18220> nothing

//<18221> nothing
<18221> nothing

//<18222> nothing
<18222> nothing

//<18223> 音無
<18223> 音無

//<18224> クソ坊主
<18224> クソ坊主

//<18225> 代理人
<18225> 代理人

//<18226> 微妙すぎるイケメン
<18226> 微妙すぎるイケメン

//<18227> ロリコン
<18227> ロリコン

//<18228> メガネ仲間
<18228> メガネ仲間

//<18229> 暗算日本記録保持者
<18229> 暗算日本記録保持者

//<18230> 通り魔
<18230> 通り魔

//<18231> 記憶ナシ男
<18231> 記憶ナシ男

//<18232> 音速
<18232> 音速

//<18233> 無限
<18233> 無限

//<18234> エロ侍
<18234> エロ侍

//<18235> エロエロ団ナンバー１
<18235> エロエロ団ナンバー１

//<18236> ただのエロ少年
<18236> ただのエロ少年

//<18237> ユリブサイク
<18237> ユリブサイク

//<18238> ドピュッシー
<18238> ドピュッシー

//<18239> アメリカンエロドッグ
<18239> アメリカンエロドッグ

//<18240> ゼウス
<18240> ゼウス

//<18241> 日向markⅡ
<18241> 日向markⅡ

//<18242> 糞虫
<18242> 糞虫

//<18243> 量産型日向
<18243> 量産型日向

//<18244> ？？
<18244> ？？

//<18245> 「今すぐ、聴いてやってくれないか。なあ、ユイ？」
<18245> 「今すぐ、聴いてやってくれないか。なあ、ユイ？」

//<18246> ユイ
<18246> ユイ

//<18247> 「そうです、そうです、ひさ子さんがそう言ってました」
<18247> 「そうです、そうです、ひさ子さんがそう言ってました」

//<18248> 松下
<18248> 松下

//<18249> 「…それは構わねぇが、先に医療棟に行ってからでも遅くはねぇだろ？」
<18249> 「…それは構わねぇが、先に医療棟に行ってからでも遅くはねぇだろ？」

//<18250> 松下
<18250> 松下

//<18251> 「…それは構わんが、先に医療棟に行ってからでも遅くはないだろう？」
<18251> 「…それは構わんが、先に医療棟に行ってからでも遅くはないだろう？」

//<18252> nothing
<18252> nothing

//<18253> nothing
<18253> nothing

//<18254> nothing
<18254> nothing

//<18255> nothing
<18255> nothing

//<18256> nothing
<18256> nothing

//<18257> 音無
<18257> 音無

//<18258> クソ坊主
<18258> クソ坊主

//<18259> 代理人
<18259> 代理人

//<18260> 微妙すぎるイケメン
<18260> 微妙すぎるイケメン

//<18261> ロリコン
<18261> ロリコン

//<18262> メガネ仲間
<18262> メガネ仲間

//<18263> 暗算日本記録保持者
<18263> 暗算日本記録保持者

//<18264> 通り魔
<18264> 通り魔

//<18265> 記憶ナシ男
<18265> 記憶ナシ男

//<18266> 音速
<18266> 音速

//<18267> 無限
<18267> 無限

//<18268> エロ侍
<18268> エロ侍

//<18269> エロエロ団ナンバー１
<18269> エロエロ団ナンバー１

//<18270> ただのエロ少年
<18270> ただのエロ少年

//<18271> ユリブサイク
<18271> ユリブサイク

//<18272> ドピュッシー
<18272> ドピュッシー

//<18273> アメリカンエロドッグ
<18273> アメリカンエロドッグ

//<18274> ゼウス
<18274> ゼウス

//<18275> 日向markⅡ
<18275> 日向markⅡ

//<18276> 糞虫
<18276> 糞虫

//<18277> 量産型日向
<18277> 量産型日向

//<18278> ？？
<18278> ？？

//<18279> 「いや、もう一秒も惜しいと、この瞬間にも聴いて欲しいってさ」
<18279> 「いや、もう一秒も惜しいと、この瞬間にも聴いて欲しいってさ」

//<18280> nothing
<18280> nothing

//<18281> nothing
<18281> nothing

//<18282> nothing
<18282> nothing

//<18283> nothing
<18283> nothing

//<18284> nothing
<18284> nothing

//<18285> 音無
<18285> 音無

//<18286> クソ坊主
<18286> クソ坊主

//<18287> 代理人
<18287> 代理人

//<18288> 微妙すぎるイケメン
<18288> 微妙すぎるイケメン

//<18289> ロリコン
<18289> ロリコン

//<18290> メガネ仲間
<18290> メガネ仲間

//<18291> 暗算日本記録保持者
<18291> 暗算日本記録保持者

//<18292> 通り魔
<18292> 通り魔

//<18293> 記憶ナシ男
<18293> 記憶ナシ男

//<18294> 音速
<18294> 音速

//<18295> 無限
<18295> 無限

//<18296> エロ侍
<18296> エロ侍

//<18297> エロエロ団ナンバー１
<18297> エロエロ団ナンバー１

//<18298> ただのエロ少年
<18298> ただのエロ少年

//<18299> ユリブサイク
<18299> ユリブサイク

//<18300> ドピュッシー
<18300> ドピュッシー

//<18301> アメリカンエロドッグ
<18301> アメリカンエロドッグ

//<18302> ゼウス
<18302> ゼウス

//<18303> 日向markⅡ
<18303> 日向markⅡ

//<18304> 糞虫
<18304> 糞虫

//<18305> 量産型日向
<18305> 量産型日向

//<18306> ？？
<18306> ？？

//<18307> 「なあ、ユイ？」
<18307> 「なあ、ユイ？」

//<18308> nothing
<18308> nothing

//<18309> nothing
<18309> nothing

//<18310> nothing
<18310> nothing

//<18311> nothing
<18311> nothing

//<18312> ぱちぱちと、なんだか目配せを送っている。
<18312> ぱちぱちと、なんだか目配せを送っている。

//<18313> nothing
<18313> nothing

//<18314> nothing
<18314> nothing

//<18315> nothing
<18315> nothing

//<18316> nothing
<18316> nothing

//<18317> nothing
<18317> nothing

//<18318> ユイ
<18318> ユイ

//<18319> 「そうなんです。一刻も早く聴いてくれないと、死んでしまうかも知れないってひさ子さんが言ってました」
<18319> 「そうなんです。一刻も早く聴いてくれないと、死んでしまうかも知れないってひさ子さんが言ってました」

//<18320> 松下
<18320> 松下

//<18321> 「…いや、死なねぇだろ」
<18321> 「…いや、死なねぇだろ」

//<18322> 松下
<18322> 松下

//<18323> 「…いや、死なないだろう」
<18323> 「…いや、死なないだろう」

//<18324> nothing
<18324> nothing

//<18325> nothing
<18325> nothing

//<18326> nothing
<18326> nothing

//<18327> nothing
<18327> nothing

//<18328> nothing
<18328> nothing

//<18329> ユイ
<18329> ユイ

//<18330> 「松下先輩、人は死ななくても、曲は死ぬんですよっ」
<18330> 「松下先輩、人は死ななくても、曲は死ぬんですよっ」

//<18331> nothing
<18331> nothing

//<18332> nothing
<18332> nothing

//<18333> nothing
<18333> nothing

//<18334> nothing
<18334> nothing

//<18335> nothing
<18335> nothing

//<18336> ユイ
<18336> ユイ

//<18337> 「先輩がいますぐ聴いてくれないと、死んでしまうんです」
<18337> 「先輩がいますぐ聴いてくれないと、死んでしまうんです」

//<18338> nothing
<18338> nothing

//<18339> nothing
<18339> nothing

//<18340> nothing
<18340> nothing

//<18341> nothing
<18341> nothing

//<18342> nothing
<18342> nothing

//<18343> ユイ
<18343> ユイ

//<18344> 「先輩、曲殺しになりたいんですっ？」
<18344> 「先輩、曲殺しになりたいんですっ？」

//<18345> どうして、こんなにも鬼気迫る勢いなんだ…。
<18345> どうして、こんなにも鬼気迫る勢いなんだ…。

//<18346> 松下
<18346> 松下

//<18347> 「わかった、わかった。けど、絆創膏が…」
<18347> 「わかった、わかった。けど、絆創膏が…」

//<18348> 松下
<18348> 松下

//<18349> 「わかった、わかった。だが、絆創膏が…」
<18349> 「わかった、わかった。だが、絆創膏が…」

//<18350> nothing
<18350> nothing

//<18351> nothing
<18351> nothing

//<18352> nothing
<18352> nothing

//<18353> nothing
<18353> nothing

//<18354> nothing
<18354> nothing

//<18355> ユイ
<18355> ユイ

//<18356> 「はいはい、あたし、持ってます。先輩、これ使ってください」
<18356> 「はいはい、あたし、持ってます。先輩、これ使ってください」

//<18357> 音無
<18357> 音無

//<18358> クソ坊主
<18358> クソ坊主

//<18359> 代理人
<18359> 代理人

//<18360> 微妙すぎるイケメン
<18360> 微妙すぎるイケメン

//<18361> ロリコン
<18361> ロリコン

//<18362> メガネ仲間
<18362> メガネ仲間

//<18363> 暗算日本記録保持者
<18363> 暗算日本記録保持者

//<18364> 通り魔
<18364> 通り魔

//<18365> 記憶ナシ男
<18365> 記憶ナシ男

//<18366> 音速
<18366> 音速

//<18367> 無限
<18367> 無限

//<18368> エロ侍
<18368> エロ侍

//<18369> エロエロ団ナンバー１
<18369> エロエロ団ナンバー１

//<18370> ただのエロ少年
<18370> ただのエロ少年

//<18371> ユリブサイク
<18371> ユリブサイク

//<18372> ドピュッシー
<18372> ドピュッシー

//<18373> アメリカンエロドッグ
<18373> アメリカンエロドッグ

//<18374> ゼウス
<18374> ゼウス

//<18375> 日向markⅡ
<18375> 日向markⅡ

//<18376> 糞虫
<18376> 糞虫

//<18377> 量産型日向
<18377> 量産型日向

//<18378> ？？
<18378> ？？

//<18379> 「よかったな、護騨」
<18379> 「よかったな、護騨」

//<18380> 松下
<18380> 松下

//<18381> 「あ、ああ」
<18381> 「あ、ああ」

//<18382> 確かに手間が省けたぶん、助かったが。
<18382> 確かに手間が省けたぶん、助かったが。

//<18383> nothing
<18383> nothing

//<18384> nothing
<18384> nothing

//<18385> nothing
<18385> nothing

//<18386> nothing
<18386> nothing

//<18387> nothing
<18387> nothing

//<18388> ユイ
<18388> ユイ

//<18389> 「じゃあ、早速行きましょう。善は急げですっ」
<18389> 「じゃあ、早速行きましょう。善は急げですっ」

//<18390> nothing
<18390> nothing

//<18391> nothing
<18391> nothing

//<18392> nothing
<18392> nothing

//<18393> nothing
<18393> nothing

//<18394> nothing
<18394> nothing

//<18395> 音楽室に向かうと、当のひさ子はなんか怪訝そうな顔をしていたが。
<18395> 音楽室に向かうと、当のひさ子はなんか怪訝そうな顔をしていたが。

//<18396> nothing
<18396> nothing

//<18397> nothing
<18397> nothing

//<18398> nothing
<18398> nothing

//<18399> nothing
<18399> nothing

//<18400> nothing
<18400> nothing

//<18401> ひさ子
<18401> ひさ子

//<18402> 「どうして、あんたがここにいるんだ？」
<18402> 「どうして、あんたがここにいるんだ？」

//<18403> 松下
<18403> 松下

//<18404> 「いや、だって、お前が呼んでるって聞いたぜ」
<18404> 「いや、だって、お前が呼んでるって聞いたぜ」

//<18405> ユイ
<18405> ユイ

//<18406> 「や、やだなあ、松下先輩がどうしても一度、歌ってみたいって言うからじゃないですかあ」
<18406> 「や、やだなあ、松下先輩がどうしても一度、歌ってみたいって言うからじゃないですかあ」

//<18407> nothing
<18407> nothing

//<18408> nothing
<18408> nothing

//<18409> nothing
<18409> nothing

//<18410> nothing
<18410> nothing

//<18411> nothing
<18411> nothing

//<18412> 松下
<18412> 松下

//<18413> 「なに？」
<18413> 「なに？」

//<18414> 松下
<18414> 松下

//<18415> 「俺はそんなことは言ってねぇぞ。お前が、ひさ子が呼んでるって」
<18415> 「俺はそんなことは言ってねぇぞ。お前が、ひさ子が呼んでるって」

//<18416> 松下
<18416> 松下

//<18417> 「あ、ああ」
<18417> 「あ、ああ」

//<18418> 確かに手間が省けたぶん、助かったが。
<18418> 確かに手間が省けたぶん、助かったが。

//<18419> nothing
<18419> nothing

//<18420> nothing
<18420> nothing

//<18421> nothing
<18421> nothing

//<18422> nothing
<18422> nothing

//<18423> nothing
<18423> nothing

//<18424> ユイ
<18424> ユイ

//<18425> 「じゃあ、早速行きましょう。善は急げですっ」
<18425> 「じゃあ、早速行きましょう。善は急げですっ」

//<18426> nothing
<18426> nothing

//<18427> nothing
<18427> nothing

//<18428> nothing
<18428> nothing

//<18429> nothing
<18429> nothing

//<18430> nothing
<18430> nothing

//<18431> 音楽室に向かうと、当のひさ子はなんか怪訝そうな顔をしていたが。
<18431> 音楽室に向かうと、当のひさ子はなんか怪訝そうな顔をしていたが。

//<18432> nothing
<18432> nothing

//<18433> nothing
<18433> nothing

//<18434> nothing
<18434> nothing

//<18435> nothing
<18435> nothing

//<18436> nothing
<18436> nothing

//<18437> ひさ子
<18437> ひさ子

//<18438> 「どうして、あんたがここにいるんだ？」
<18438> 「どうして、あんたがここにいるんだ？」

//<18439> 松下
<18439> 松下

//<18440> 「いや、だって、お前が呼んでるって」
<18440> 「いや、だって、お前が呼んでるって」

//<18441> ユイ
<18441> ユイ

//<18442> 「や、やだなあ、松下先輩がどうしても一度、歌ってみたいって言うからじゃないですかあ」
<18442> 「や、やだなあ、松下先輩がどうしても一度、歌ってみたいって言うからじゃないですかあ」

//<18443> nothing
<18443> nothing

//<18444> nothing
<18444> nothing

//<18445> nothing
<18445> nothing

//<18446> nothing
<18446> nothing

//<18447> nothing
<18447> nothing

//<18448> 松下
<18448> 松下

//<18449> 「なに？」
<18449> 「なに？」

//<18450> 松下
<18450> 松下

//<18451> 「俺はそんなことは言ってないぞ。お前が、ひさ子が呼んでるって」
<18451> 「俺はそんなことは言ってないぞ。お前が、ひさ子が呼んでるって」

//<18452> nothing
<18452> nothing

//<18453> nothing
<18453> nothing

//<18454> nothing
<18454> nothing

//<18455> nothing
<18455> nothing

//<18456> nothing
<18456> nothing

//<18457> ひさ子
<18457> ひさ子

//<18458> 「どういうことなんだ、ユイ？」
<18458> 「どういうことなんだ、ユイ？」

//<18459> nothing
<18459> nothing

//<18460> nothing
<18460> nothing

//<18461> nothing
<18461> nothing

//<18462> nothing
<18462> nothing

//<18463> nothing
<18463> nothing

//<18464> ユイ
<18464> ユイ

//<18465> 「ま、まあ、とにかくあたしの代わりに一曲、どうぞ」
<18465> 「ま、まあ、とにかくあたしの代わりに一曲、どうぞ」

//<18466> nothing
<18466> nothing

//<18467> nothing
<18467> nothing

//<18468> nothing
<18468> nothing

//<18469> nothing
<18469> nothing

//<18470> nothing
<18470> nothing

//<18471> ユイ
<18471> ユイ

//<18472> 「さあ、皆さん、演奏スタートですっ」
<18472> 「さあ、皆さん、演奏スタートですっ」

//<18473> …結局、強引に押し切られるようにして歌わされる。
<18473> …結局、強引に押し切られるようにして歌わされる。

//<18474> 案外、悪い気分ではなかったが、一体何だったのだろう。
<18474> 案外、悪い気分ではなかったが、一体何だったのだろう。

//<18475> …結局、強引に押し切られるようにしてガルデモの練習を見せられる。
<18475> …結局、強引に押し切られるようにしてガルデモの練習を見せられる。

//<18476> ゆっくりとガルデモを聞くのはあまりなかったので、案外、悪い気分ではなかったが、一体何だったのだろう。
<18476> ゆっくりとガルデモを聞くのはあまりなかったので、案外、悪い気分ではなかったが、一体何だったのだろう。

//<18477> nothing
<18477> nothing

//<18478> nothing
<18478> nothing

//<18479> nothing
<18479> nothing

//<18480> nothing
<18480> nothing

//<18481> nothing
<18481> nothing

//<18482> またある日には、夜になって、寮の自室にひとりで居るところを音無が訪ねてきた。
<18482> またある日には、夜になって、寮の自室にひとりで居るところを音無が訪ねてきた。

//<18483> 松下
<18483> 松下

//<18484> 「どうしたってんだ、こんな時間によ」
<18484> 「どうしたってんだ、こんな時間によ」

//<18485> nothing
<18485> nothing

//<18486> nothing
<18486> nothing

//<18487> nothing
<18487> nothing

//<18488> nothing
<18488> nothing

//<18489> nothing
<18489> nothing

//<18490> 音無
<18490> 音無

//<18491> クソ坊主
<18491> クソ坊主

//<18492> 代理人
<18492> 代理人

//<18493> 微妙すぎるイケメン
<18493> 微妙すぎるイケメン

//<18494> ロリコン
<18494> ロリコン

//<18495> メガネ仲間
<18495> メガネ仲間

//<18496> 暗算日本記録保持者
<18496> 暗算日本記録保持者

//<18497> 通り魔
<18497> 通り魔

//<18498> 記憶ナシ男
<18498> 記憶ナシ男

//<18499> 音速
<18499> 音速

//<18500> 無限
<18500> 無限

//<18501> エロ侍
<18501> エロ侍

//<18502> エロエロ団ナンバー１
<18502> エロエロ団ナンバー１

//<18503> ただのエロ少年
<18503> ただのエロ少年

//<18504> ユリブサイク
<18504> ユリブサイク

//<18505> ドピュッシー
<18505> ドピュッシー

//<18506> アメリカンエロドッグ
<18506> アメリカンエロドッグ

//<18507> ゼウス
<18507> ゼウス

//<18508> 日向markⅡ
<18508> 日向markⅡ

//<18509> 糞虫
<18509> 糞虫

//<18510> 量産型日向
<18510> 量産型日向

//<18511> ？？
<18511> ？？

//<18512> 「たまには、護騨と一緒に寝ようかと思ってさ」
<18512> 「たまには、護騨と一緒に寝ようかと思ってさ」

//<18513> 松下
<18513> 松下

//<18514> 「…突然だな」
<18514> 「…突然だな」

//<18515> nothing
<18515> nothing

//<18516> nothing
<18516> nothing

//<18517> nothing
<18517> nothing

//<18518> nothing
<18518> nothing

//<18519> nothing
<18519> nothing

//<18520> 音無
<18520> 音無

//<18521> クソ坊主
<18521> クソ坊主

//<18522> 代理人
<18522> 代理人

//<18523> 微妙すぎるイケメン
<18523> 微妙すぎるイケメン

//<18524> ロリコン
<18524> ロリコン

//<18525> メガネ仲間
<18525> メガネ仲間

//<18526> 暗算日本記録保持者
<18526> 暗算日本記録保持者

//<18527> 通り魔
<18527> 通り魔

//<18528> 記憶ナシ男
<18528> 記憶ナシ男

//<18529> 音速
<18529> 音速

//<18530> 無限
<18530> 無限

//<18531> エロ侍
<18531> エロ侍

//<18532> エロエロ団ナンバー１
<18532> エロエロ団ナンバー１

//<18533> ただのエロ少年
<18533> ただのエロ少年

//<18534> ユリブサイク
<18534> ユリブサイク

//<18535> ドピュッシー
<18535> ドピュッシー

//<18536> アメリカンエロドッグ
<18536> アメリカンエロドッグ

//<18537> ゼウス
<18537> ゼウス

//<18538> 日向markⅡ
<18538> 日向markⅡ

//<18539> 糞虫
<18539> 糞虫

//<18540> 量産型日向
<18540> 量産型日向

//<18541> ？？
<18541> ？？

//<18542> 「まあ、いいじゃないか」
<18542> 「まあ、いいじゃないか」

//<18543> nothing
<18543> nothing

//<18544> nothing
<18544> nothing

//<18545> nothing
<18545> nothing

//<18546> nothing
<18546> nothing

//<18547> nothing
<18547> nothing

//<18548> nothing
<18548> nothing

//<18549> そう言って、音無は部屋に入り、床の上に座り込む。
<18549> そう言って、音無は部屋に入り、床の上に座り込む。

//<18550> nothing
<18550> nothing

//<18551> nothing
<18551> nothing

//<18552> nothing
<18552> nothing

//<18553> nothing
<18553> nothing

//<18554> nothing
<18554> nothing

//<18555> 音無
<18555> 音無

//<18556> クソ坊主
<18556> クソ坊主

//<18557> 代理人
<18557> 代理人

//<18558> 微妙すぎるイケメン
<18558> 微妙すぎるイケメン

//<18559> ロリコン
<18559> ロリコン

//<18560> メガネ仲間
<18560> メガネ仲間

//<18561> 暗算日本記録保持者
<18561> 暗算日本記録保持者

//<18562> 通り魔
<18562> 通り魔

//<18563> 記憶ナシ男
<18563> 記憶ナシ男

//<18564> 音速
<18564> 音速

//<18565> 無限
<18565> 無限

//<18566> エロ侍
<18566> エロ侍

//<18567> エロエロ団ナンバー１
<18567> エロエロ団ナンバー１

//<18568> ただのエロ少年
<18568> ただのエロ少年

//<18569> ユリブサイク
<18569> ユリブサイク

//<18570> ドピュッシー
<18570> ドピュッシー

//<18571> アメリカンエロドッグ
<18571> アメリカンエロドッグ

//<18572> ゼウス
<18572> ゼウス

//<18573> 日向markⅡ
<18573> 日向markⅡ

//<18574> 糞虫
<18574> 糞虫

//<18575> 量産型日向
<18575> 量産型日向

//<18576> ？？
<18576> ？？

//<18577> 「随分と、片付いているんだな」
<18577> 「随分と、片付いているんだな」

//<18578> 松下
<18578> 松下

//<18579> 「そうかよ？」
<18579> 「そうかよ？」

//<18580> nothing
<18580> nothing

//<18581> nothing
<18581> nothing

//<18582> nothing
<18582> nothing

//<18583> nothing
<18583> nothing

//<18584> nothing
<18584> nothing

//<18585> 音無
<18585> 音無

//<18586> クソ坊主
<18586> クソ坊主

//<18587> 代理人
<18587> 代理人

//<18588> 微妙すぎるイケメン
<18588> 微妙すぎるイケメン

//<18589> ロリコン
<18589> ロリコン

//<18590> メガネ仲間
<18590> メガネ仲間

//<18591> 暗算日本記録保持者
<18591> 暗算日本記録保持者

//<18592> 通り魔
<18592> 通り魔

//<18593> 記憶ナシ男
<18593> 記憶ナシ男

//<18594> 音速
<18594> 音速

//<18595> 無限
<18595> 無限

//<18596> エロ侍
<18596> エロ侍

//<18597> エロエロ団ナンバー１
<18597> エロエロ団ナンバー１

//<18598> ただのエロ少年
<18598> ただのエロ少年

//<18599> ユリブサイク
<18599> ユリブサイク

//<18600> ドピュッシー
<18600> ドピュッシー

//<18601> アメリカンエロドッグ
<18601> アメリカンエロドッグ

//<18602> ゼウス
<18602> ゼウス

//<18603> 日向markⅡ
<18603> 日向markⅡ

//<18604> 糞虫
<18604> 糞虫

//<18605> 量産型日向
<18605> 量産型日向

//<18606> ？？
<18606> ？？

//<18607> 「ああ、いかにも護騨らしいって感じだ」
<18607> 「ああ、いかにも護騨らしいって感じだ」

//<18608> 松下
<18608> 松下

//<18609> 「俺らしい？」
<18609> 「俺らしい？」

//<18610> nothing
<18610> nothing

//<18611> nothing
<18611> nothing

//<18612> nothing
<18612> nothing

//<18613> nothing
<18613> nothing

//<18614> nothing
<18614> nothing

//<18615> 音無
<18615> 音無

//<18616> クソ坊主
<18616> クソ坊主

//<18617> 代理人
<18617> 代理人

//<18618> 微妙すぎるイケメン
<18618> 微妙すぎるイケメン

//<18619> ロリコン
<18619> ロリコン

//<18620> メガネ仲間
<18620> メガネ仲間

//<18621> 暗算日本記録保持者
<18621> 暗算日本記録保持者

//<18622> 通り魔
<18622> 通り魔

//<18623> 記憶ナシ男
<18623> 記憶ナシ男

//<18624> 音速
<18624> 音速

//<18625> 無限
<18625> 無限

//<18626> エロ侍
<18626> エロ侍

//<18627> エロエロ団ナンバー１
<18627> エロエロ団ナンバー１

//<18628> ただのエロ少年
<18628> ただのエロ少年

//<18629> ユリブサイク
<18629> ユリブサイク

//<18630> ドピュッシー
<18630> ドピュッシー

//<18631> アメリカンエロドッグ
<18631> アメリカンエロドッグ

//<18632> ゼウス
<18632> ゼウス

//<18633> 日向markⅡ
<18633> 日向markⅡ

//<18634> 糞虫
<18634> 糞虫

//<18635> 量産型日向
<18635> 量産型日向

//<18636> ？？
<18636> ？？

//<18637> 「引き締まった肉体同様、ストイックだ」
<18637> 「引き締まった肉体同様、ストイックだ」

//<18638> 松下
<18638> 松下

//<18639> 「そうか？」
<18639> 「そうか？」

//<18640> 自分ではよくわからない。
<18640> 自分ではよくわからない。

//<18641> 松下
<18641> 松下

//<18642> 「肉うどんが好きでもかよ？」
<18642> 「肉うどんが好きでもかよ？」

//<18643> nothing
<18643> nothing

//<18644> nothing
<18644> nothing

//<18645> nothing
<18645> nothing

//<18646> nothing
<18646> nothing

//<18647> nothing
<18647> nothing

//<18648> 音無
<18648> 音無

//<18649> クソ坊主
<18649> クソ坊主

//<18650> 代理人
<18650> 代理人

//<18651> 微妙すぎるイケメン
<18651> 微妙すぎるイケメン

//<18652> ロリコン
<18652> ロリコン

//<18653> メガネ仲間
<18653> メガネ仲間

//<18654> 暗算日本記録保持者
<18654> 暗算日本記録保持者

//<18655> 通り魔
<18655> 通り魔

//<18656> 記憶ナシ男
<18656> 記憶ナシ男

//<18657> 音速
<18657> 音速

//<18658> 無限
<18658> 無限

//<18659> エロ侍
<18659> エロ侍

//<18660> エロエロ団ナンバー１
<18660> エロエロ団ナンバー１

//<18661> ただのエロ少年
<18661> ただのエロ少年

//<18662> ユリブサイク
<18662> ユリブサイク

//<18663> ドピュッシー
<18663> ドピュッシー

//<18664> アメリカンエロドッグ
<18664> アメリカンエロドッグ

//<18665> ゼウス
<18665> ゼウス

//<18666> 日向markⅡ
<18666> 日向markⅡ

//<18667> 糞虫
<18667> 糞虫

//<18668> 量産型日向
<18668> 量産型日向

//<18669> ？？
<18669> ？？

//<18670> 「ああ、肉うどんが好きでもだ」
