// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<1593> メガネ仲間

//<1594> 暗算日本記録保持者
<1594> 暗算日本記録保持者

//<1595> 通り魔
<1595> 通り魔

//<1596> 記憶ナシ男
<1596> 記憶ナシ男

//<1597> 音速
<1597> 音速

//<1598> 無限
<1598> 無限

//<1599> エロ侍
<1599> エロ侍

//<1600> エロエロ団ナンバー１
<1600> エロエロ団ナンバー１

//<1601> ただのエロ少年
<1601> ただのエロ少年

//<1602> ユリブサイク
<1602> ユリブサイク

//<1603> ドピュッシー
<1603> ドピュッシー

//<1604> アメリカンエロドッグ
<1604> アメリカンエロドッグ

//<1605> ゼウス
<1605> ゼウス

//<1606> 日向markⅡ
<1606> 日向markⅡ

//<1607> 糞虫
<1607> 糞虫

//<1608> 量産型日向
<1608> 量産型日向

//<1609> ？？
<1609> ？？

//<1610> 「その条件が飲めないなら、すぐバラす」
<1610> 「その条件が飲めないなら、すぐバラす」

//<1611> nothing
<1611> nothing

//<1612> nothing
<1612> nothing

//<1613> nothing
<1613> nothing

//<1614> nothing
<1614> nothing

//<1615> nothing
<1615> nothing

//<1616> 俺の性格からすると、かなりの挑発だ…冷や汗をかく思いだ…。
<1616> 俺の性格からすると、かなりの挑発だ…冷や汗をかく思いだ…。

//<1617> nothing
<1617> nothing

//<1618> nothing
<1618> nothing

//<1619> nothing
<1619> nothing

//<1620> nothing
<1620> nothing

//<1621> nothing
<1621> nothing

//<1622> ゆり
<1622> ゆり

//<1623> 女生徒
<1623> 女生徒

//<1624> ？？
<1624> ？？

//<1625> 「はぁ…その約束がなんになるのやら…」
<1625> 「はぁ…その約束がなんになるのやら…」

//<1626> 音無
<1626> 音無

//<1627> クソ坊主
<1627> クソ坊主

//<1628> 代理人
<1628> 代理人

//<1629> 微妙すぎるイケメン
<1629> 微妙すぎるイケメン

//<1630> ロリコン
<1630> ロリコン

//<1631> メガネ仲間
<1631> メガネ仲間

//<1632> 暗算日本記録保持者
<1632> 暗算日本記録保持者

//<1633> 通り魔
<1633> 通り魔

//<1634> 記憶ナシ男
<1634> 記憶ナシ男

//<1635> 音速
<1635> 音速

//<1636> 無限
<1636> 無限

//<1637> エロ侍
<1637> エロ侍

//<1638> エロエロ団ナンバー１
<1638> エロエロ団ナンバー１

//<1639> ただのエロ少年
<1639> ただのエロ少年

//<1640> ユリブサイク
<1640> ユリブサイク

//<1641> ドピュッシー
<1641> ドピュッシー

//<1642> アメリカンエロドッグ
<1642> アメリカンエロドッグ

//<1643> ゼウス
<1643> ゼウス

//<1644> 日向markⅡ
<1644> 日向markⅡ

//<1645> 糞虫
<1645> 糞虫

//<1646> 量産型日向
<1646> 量産型日向

//<1647> ？？
<1647> ？？

//<1648> 「俺にもわからない。未来の話だからな」
<1648> 「俺にもわからない。未来の話だからな」

//<1649> nothing
<1649> nothing

//<1650> nothing
<1650> nothing

//<1651> nothing
<1651> nothing

//<1652> nothing
<1652> nothing

//<1653> nothing
<1653> nothing

//<1654> ゆり
<1654> ゆり

//<1655> 女生徒
<1655> 女生徒

//<1656> ？？
<1656> ？？

//<1657> 「ったく、新人に脅されるなんて、名ばかりのリーダーね…」
<1657> 「ったく、新人に脅されるなんて、名ばかりのリーダーね…」

//<1658> 音無
<1658> 音無

//<1659> クソ坊主
<1659> クソ坊主

//<1660> 代理人
<1660> 代理人

//<1661> 微妙すぎるイケメン
<1661> 微妙すぎるイケメン

//<1662> ロリコン
<1662> ロリコン

//<1663> メガネ仲間
<1663> メガネ仲間

//<1664> 暗算日本記録保持者
<1664> 暗算日本記録保持者

//<1665> 通り魔
<1665> 通り魔

//<1666> 記憶ナシ男
<1666> 記憶ナシ男

//<1667> 音速
<1667> 音速

//<1668> 無限
<1668> 無限

//<1669> エロ侍
<1669> エロ侍

//<1670> エロエロ団ナンバー１
<1670> エロエロ団ナンバー１

//<1671> ただのエロ少年
<1671> ただのエロ少年

//<1672> ユリブサイク
<1672> ユリブサイク

//<1673> ドピュッシー
<1673> ドピュッシー

//<1674> アメリカンエロドッグ
<1674> アメリカンエロドッグ

//<1675> ゼウス
<1675> ゼウス

//<1676> 日向markⅡ
<1676> 日向markⅡ

//<1677> 糞虫
<1677> 糞虫

//<1678> 量産型日向
<1678> 量産型日向

//<1679> ？？
<1679> ？？

//<1680> 「そんなことはない。ギルド降下作戦の時もそうだった」
<1680> 「そんなことはない。ギルド降下作戦の時もそうだった」

//<1681> 音無
<1681> 音無

//<1682> クソ坊主
<1682> クソ坊主

//<1683> 代理人
<1683> 代理人

//<1684> 微妙すぎるイケメン
<1684> 微妙すぎるイケメン

//<1685> ロリコン
<1685> ロリコン

//<1686> メガネ仲間
<1686> メガネ仲間

//<1687> 暗算日本記録保持者
<1687> 暗算日本記録保持者

//<1688> 通り魔
<1688> 通り魔

//<1689> 記憶ナシ男
<1689> 記憶ナシ男

//<1690> 音速
<1690> 音速

//<1691> 無限
<1691> 無限

//<1692> エロ侍
<1692> エロ侍

//<1693> エロエロ団ナンバー１
<1693> エロエロ団ナンバー１

//<1694> ただのエロ少年
<1694> ただのエロ少年

//<1695> ユリブサイク
<1695> ユリブサイク

//<1696> ドピュッシー
<1696> ドピュッシー

//<1697> アメリカンエロドッグ
<1697> アメリカンエロドッグ

//<1698> ゼウス
<1698> ゼウス

//<1699> 日向markⅡ
<1699> 日向markⅡ

//<1700> 糞虫
<1700> 糞虫

//<1701> 量産型日向
<1701> 量産型日向

//<1702> ？？
<1702> ？？

//<1703> 「みんなにてきぱきと指示を出していたお前は、立派な戦線のリーダーだと思った」
<1703> 「みんなにてきぱきと指示を出していたお前は、立派な戦線のリーダーだと思った」

//<1704> nothing
<1704> nothing

//<1705> nothing
<1705> nothing

//<1706> nothing
<1706> nothing

//<1707> nothing
<1707> nothing

//<1708> nothing
<1708> nothing

//<1709> ゆり
<1709> ゆり

//<1710> 女生徒
<1710> 女生徒

//<1711> ？？
<1711> ？？

//<1712> 「なのに、脅すのね」
<1712> 「なのに、脅すのね」

//<1713> 音無
<1713> 音無

//<1714> クソ坊主
<1714> クソ坊主

//<1715> 代理人
<1715> 代理人

//<1716> 微妙すぎるイケメン
<1716> 微妙すぎるイケメン

//<1717> ロリコン
<1717> ロリコン

//<1718> メガネ仲間
<1718> メガネ仲間

//<1719> 暗算日本記録保持者
<1719> 暗算日本記録保持者

//<1720> 通り魔
<1720> 通り魔

//<1721> 記憶ナシ男
<1721> 記憶ナシ男

//<1722> 音速
<1722> 音速

//<1723> 無限
<1723> 無限

//<1724> エロ侍
<1724> エロ侍

//<1725> エロエロ団ナンバー１
<1725> エロエロ団ナンバー１

//<1726> ただのエロ少年
<1726> ただのエロ少年

//<1727> ユリブサイク
<1727> ユリブサイク

//<1728> ドピュッシー
<1728> ドピュッシー

//<1729> アメリカンエロドッグ
<1729> アメリカンエロドッグ

//<1730> ゼウス
<1730> ゼウス

//<1731> 日向markⅡ
<1731> 日向markⅡ

//<1732> 糞虫
<1732> 糞虫

//<1733> 量産型日向
<1733> 量産型日向

//<1734> ？？
<1734> ？？

//<1735> 「脅しじゃない。俺なりに、戦線の今後のことを考えてだ」
<1735> 「脅しじゃない。俺なりに、戦線の今後のことを考えてだ」

//<1736> bs3_
<1736> bs3_

//<1737> nothing
<1737> nothing

//<1738> nothing
<1738> nothing

//<1739> nothing
<1739> nothing

//<1740> nothing
<1740> nothing

//<1741> nothing
<1741> nothing

//<1742> ………。
<1742> ………。

//<1743> ……。
<1743> ……。

//<1744> またも沈黙が続く。
<1744> またも沈黙が続く。

//<1745> nothing
<1745> nothing

//<1746> nothing
<1746> nothing

//<1747> nothing
<1747> nothing

//<1748> nothing
<1748> nothing

//<1749> nothing
<1749> nothing

//<1750> ゆり
<1750> ゆり

//<1751> 女生徒
<1751> 女生徒

//<1752> ？？
<1752> ？？

//<1753> 「ふぅ…」
<1753> 「ふぅ…」

//<1754> none
<1754> none

//<1755> nothing
<1755> nothing

//<1756> 
<1756> 

//<1757> 
<1757> 

//<1758> nothing
<1758> nothing

//<1759> bs
<1759> bs

//<1760> _
<1760> _

//<1761> nothing
<1761> nothing

//<1762> nothing
<1762> nothing

//<1763> nothing
<1763> nothing

//<1764> nothing
<1764> nothing

//<1765> nothing
<1765> nothing

//<1766> ゆり
<1766> ゆり

//<1767> 女生徒
<1767> 女生徒

//<1768> ？？
<1768> ？？

//<1769> 「わかったわよ…」
<1769> 「わかったわよ…」

//<1770> ゆりは根負けしたように答えた。
<1770> ゆりは根負けしたように答えた。

//<1771> nothing
<1771> nothing

//<1772> nothing
<1772> nothing

//<1773> nothing
<1773> nothing

//<1774> nothing
<1774> nothing

//<1775> nothing
<1775> nothing

//<1776> ゆり
<1776> ゆり

//<1777> 女生徒
<1777> 女生徒

//<1778> ？？
<1778> ？？

//<1779> 「でも一回きりよ？」
<1779> 「でも一回きりよ？」

//<1780> 音無
<1780> 音無

//<1781> クソ坊主
<1781> クソ坊主

//<1782> 代理人
<1782> 代理人

//<1783> 微妙すぎるイケメン
<1783> 微妙すぎるイケメン

//<1784> ロリコン
<1784> ロリコン

//<1785> メガネ仲間
<1785> メガネ仲間

//<1786> 暗算日本記録保持者
<1786> 暗算日本記録保持者

//<1787> 通り魔
<1787> 通り魔

//<1788> 記憶ナシ男
<1788> 記憶ナシ男

//<1789> 音速
<1789> 音速

//<1790> 無限
<1790> 無限

//<1791> エロ侍
<1791> エロ侍

//<1792> エロエロ団ナンバー１
<1792> エロエロ団ナンバー１

//<1793> ただのエロ少年
<1793> ただのエロ少年

//<1794> ユリブサイク
<1794> ユリブサイク

//<1795> ドピュッシー
<1795> ドピュッシー

//<1796> アメリカンエロドッグ
<1796> アメリカンエロドッグ

//<1797> ゼウス
<1797> ゼウス

//<1798> 日向markⅡ
<1798> 日向markⅡ

//<1799> 糞虫
<1799> 糞虫

//<1800> 量産型日向
<1800> 量産型日向

//<1801> ？？
<1801> ？？

//<1802> 「わかった。その一回、大切に使わせてもらう」
<1802> 「わかった。その一回、大切に使わせてもらう」

//<1803> nothing
<1803> nothing

//<1804> nothing
<1804> nothing

//<1805> nothing
<1805> nothing

//<1806> nothing
<1806> nothing

//<1807> nothing
<1807> nothing

//<1808> ゆり
<1808> ゆり

//<1809> 女生徒
<1809> 女生徒

//<1810> ？？
<1810> ？？

//<1811> 「じゃ、まだまだ新米なんだから、訓練に励みなさい」
<1811> 「じゃ、まだまだ新米なんだから、訓練に励みなさい」

//<1812> 音無
<1812> 音無

//<1813> クソ坊主
<1813> クソ坊主

//<1814> 代理人
<1814> 代理人

//<1815> 微妙すぎるイケメン
<1815> 微妙すぎるイケメン

//<1816> ロリコン
<1816> ロリコン

//<1817> メガネ仲間
<1817> メガネ仲間

//<1818> 暗算日本記録保持者
<1818> 暗算日本記録保持者

//<1819> 通り魔
<1819> 通り魔

//<1820> 記憶ナシ男
<1820> 記憶ナシ男

//<1821> 音速
<1821> 音速

//<1822> 無限
<1822> 無限

//<1823> エロ侍
<1823> エロ侍

//<1824> エロエロ団ナンバー１
<1824> エロエロ団ナンバー１

//<1825> ただのエロ少年
<1825> ただのエロ少年

//<1826> ユリブサイク
<1826> ユリブサイク

//<1827> ドピュッシー
<1827> ドピュッシー

//<1828> アメリカンエロドッグ
<1828> アメリカンエロドッグ

//<1829> ゼウス
<1829> ゼウス

//<1830> 日向markⅡ
<1830> 日向markⅡ

//<1831> 糞虫
<1831> 糞虫

//<1832> 量産型日向
<1832> 量産型日向

//<1833> ？？
<1833> ？？

//<1834> 「ああ、そうするよ」
<1834> 「ああ、そうするよ」

//<1835> 手は汗をかき続けていた。それぐらい緊張する交渉だった…。
<1835> 手は汗をかき続けていた。それぐらい緊張する交渉だった…。

//<1836> 音無
<1836> 音無

//<1837> クソ坊主
<1837> クソ坊主

//<1838> 代理人
<1838> 代理人

//<1839> 微妙すぎるイケメン
<1839> 微妙すぎるイケメン

//<1840> ロリコン
<1840> ロリコン

//<1841> メガネ仲間
<1841> メガネ仲間

//<1842> 暗算日本記録保持者
<1842> 暗算日本記録保持者

//<1843> 通り魔
<1843> 通り魔

//<1844> 記憶ナシ男
<1844> 記憶ナシ男

//<1845> 音速
<1845> 音速

//<1846> 無限
<1846> 無限

//<1847> エロ侍
<1847> エロ侍

//<1848> エロエロ団ナンバー１
<1848> エロエロ団ナンバー１

//<1849> ただのエロ少年
<1849> ただのエロ少年

//<1850> ユリブサイク
<1850> ユリブサイク

//<1851> ドピュッシー
<1851> ドピュッシー

//<1852> アメリカンエロドッグ
<1852> アメリカンエロドッグ

//<1853> ゼウス
<1853> ゼウス

//<1854> 日向markⅡ
<1854> 日向markⅡ

//<1855> 糞虫
<1855> 糞虫

//<1856> 量産型日向
<1856> 量産型日向

//<1857> ？？
<1857> ？？

//<1858> 「いや、ゆりは立派にリーダーやってるよっ」
<1858> 「いや、ゆりは立派にリーダーやってるよっ」

//<1859> nothing
<1859> nothing

//<1860> nothing
<1860> nothing

//<1861> nothing
<1861> nothing

//<1862> nothing
<1862> nothing

//<1863> nothing
<1863> nothing

//<1864> ゆり
<1864> ゆり

//<1865> 女生徒
<1865> 女生徒

//<1866> ？？
<1866> ？？

//<1867> 「この世界に来てたった数日。それであたしの何がわかるっていうのよ」
<1867> 「この世界に来てたった数日。それであたしの何がわかるっていうのよ」

//<1868> 音無
<1868> 音無

//<1869> クソ坊主
<1869> クソ坊主

//<1870> 代理人
<1870> 代理人

//<1871> 微妙すぎるイケメン
<1871> 微妙すぎるイケメン

//<1872> ロリコン
<1872> ロリコン

//<1873> メガネ仲間
<1873> メガネ仲間

//<1874> 暗算日本記録保持者
<1874> 暗算日本記録保持者

//<1875> 通り魔
<1875> 通り魔

//<1876> 記憶ナシ男
<1876> 記憶ナシ男

//<1877> 音速
<1877> 音速

//<1878> 無限
<1878> 無限

//<1879> エロ侍
<1879> エロ侍

//<1880> エロエロ団ナンバー１
<1880> エロエロ団ナンバー１

//<1881> ただのエロ少年
<1881> ただのエロ少年

//<1882> ユリブサイク
<1882> ユリブサイク

//<1883> ドピュッシー
<1883> ドピュッシー

//<1884> アメリカンエロドッグ
<1884> アメリカンエロドッグ

//<1885> ゼウス
<1885> ゼウス

//<1886> 日向markⅡ
<1886> 日向markⅡ

//<1887> 糞虫
<1887> 糞虫

//<1888> 量産型日向
<1888> 量産型日向

//<1889> ？？
<1889> ？？

//<1890> 「そりゃ、そうだけどさ…」
<1890> 「そりゃ、そうだけどさ…」

//<1891> nothing
<1891> nothing

//<1892> nothing
<1892> nothing

//<1893> nothing
<1893> nothing

//<1894> nothing
<1894> nothing

//<1895> nothing
<1895> nothing

//<1896> ゆり
<1896> ゆり

//<1897> 女生徒
<1897> 女生徒

//<1898> ？？
<1898> ？？

//<1899> 「で、どうするの？　あたしを脅すの？」
<1899> 「で、どうするの？　あたしを脅すの？」

//<1900> 音無
<1900> 音無

//<1901> クソ坊主
<1901> クソ坊主

//<1902> 代理人
<1902> 代理人

//<1903> 微妙すぎるイケメン
<1903> 微妙すぎるイケメン

//<1904> ロリコン
<1904> ロリコン

//<1905> メガネ仲間
<1905> メガネ仲間

//<1906> 暗算日本記録保持者
<1906> 暗算日本記録保持者

//<1907> 通り魔
<1907> 通り魔

//<1908> 記憶ナシ男
<1908> 記憶ナシ男

//<1909> 音速
<1909> 音速

//<1910> 無限
<1910> 無限

//<1911> エロ侍
<1911> エロ侍

//<1912> エロエロ団ナンバー１
<1912> エロエロ団ナンバー１

//<1913> ただのエロ少年
<1913> ただのエロ少年

//<1914> ユリブサイク
<1914> ユリブサイク

//<1915> ドピュッシー
<1915> ドピュッシー

//<1916> アメリカンエロドッグ
<1916> アメリカンエロドッグ

//<1917> ゼウス
<1917> ゼウス

//<1918> 日向markⅡ
<1918> 日向markⅡ

//<1919> 糞虫
<1919> 糞虫

//<1920> 量産型日向
<1920> 量産型日向

//<1921> ？？
<1921> ？？

//<1922> 「脅したりなんかしないよ」
<1922> 「脅したりなんかしないよ」

//<1923> nothing
<1923> nothing

//<1924> nothing
<1924> nothing

//<1925> nothing
<1925> nothing

//<1926> nothing
<1926> nothing

//<1927> nothing
<1927> nothing

//<1928> ゆり
<1928> ゆり

//<1929> 女生徒
<1929> 女生徒

//<1930> ？？
<1930> ？？

//<1931> 「じゃあ、天使が人間だってことは、お互い胸の中に秘めたままでいい？」
<1931> 「じゃあ、天使が人間だってことは、お互い胸の中に秘めたままでいい？」

//<1932> 音無
<1932> 音無

//<1933> クソ坊主
<1933> クソ坊主

//<1934> 代理人
<1934> 代理人

//<1935> 微妙すぎるイケメン
<1935> 微妙すぎるイケメン

//<1936> ロリコン
<1936> ロリコン

//<1937> メガネ仲間
<1937> メガネ仲間

//<1938> 暗算日本記録保持者
<1938> 暗算日本記録保持者

//<1939> 通り魔
<1939> 通り魔

//<1940> 記憶ナシ男
<1940> 記憶ナシ男

//<1941> 音速
<1941> 音速

//<1942> 無限
<1942> 無限

//<1943> エロ侍
<1943> エロ侍

//<1944> エロエロ団ナンバー１
<1944> エロエロ団ナンバー１

//<1945> ただのエロ少年
<1945> ただのエロ少年

//<1946> ユリブサイク
<1946> ユリブサイク

//<1947> ドピュッシー
<1947> ドピュッシー

//<1948> アメリカンエロドッグ
<1948> アメリカンエロドッグ

//<1949> ゼウス
<1949> ゼウス

//<1950> 日向markⅡ
<1950> 日向markⅡ

//<1951> 糞虫
<1951> 糞虫

//<1952> 量産型日向
<1952> 量産型日向

//<1953> ？？
<1953> ？？

//<1954> （…脅せないなら、そうなるか…）
<1954> （…脅せないなら、そうなるか…）

//<1955> 音無
<1955> 音無

//<1956> クソ坊主
<1956> クソ坊主

//<1957> 代理人
<1957> 代理人

//<1958> 微妙すぎるイケメン
<1958> 微妙すぎるイケメン

//<1959> ロリコン
<1959> ロリコン

//<1960> メガネ仲間
<1960> メガネ仲間

//<1961> 暗算日本記録保持者
<1961> 暗算日本記録保持者

//<1962> 通り魔
<1962> 通り魔

//<1963> 記憶ナシ男
<1963> 記憶ナシ男

//<1964> 音速
<1964> 音速

//<1965> 無限
<1965> 無限

//<1966> エロ侍
<1966> エロ侍

//<1967> エロエロ団ナンバー１
<1967> エロエロ団ナンバー１

//<1968> ただのエロ少年
<1968> ただのエロ少年

//<1969> ユリブサイク
<1969> ユリブサイク

//<1970> ドピュッシー
<1970> ドピュッシー

//<1971> アメリカンエロドッグ
<1971> アメリカンエロドッグ

//<1972> ゼウス
<1972> ゼウス

//<1973> 日向markⅡ
<1973> 日向markⅡ

//<1974> 糞虫
<1974> 糞虫

//<1975> 量産型日向
<1975> 量産型日向

//<1976> ？？
<1976> ？？

//<1977> 「ああ」
<1977> 「ああ」

//<1978> そう答えていた。
<1978> そう答えていた。

//<1979> 音無
<1979> 音無

//<1980> クソ坊主
<1980> クソ坊主

//<1981> 代理人
<1981> 代理人

//<1982> 微妙すぎるイケメン
<1982> 微妙すぎるイケメン

//<1983> ロリコン
<1983> ロリコン

//<1984> メガネ仲間
<1984> メガネ仲間

//<1985> 暗算日本記録保持者
<1985> 暗算日本記録保持者

//<1986> 通り魔
<1986> 通り魔

//<1987> 記憶ナシ男
<1987> 記憶ナシ男

//<1988> 音速
<1988> 音速

//<1989> 無限
<1989> 無限

//<1990> エロ侍
<1990> エロ侍

//<1991> エロエロ団ナンバー１
<1991> エロエロ団ナンバー１

//<1992> ただのエロ少年
<1992> ただのエロ少年

//<1993> ユリブサイク
<1993> ユリブサイク

//<1994> ドピュッシー
<1994> ドピュッシー

//<1995> アメリカンエロドッグ
<1995> アメリカンエロドッグ

//<1996> ゼウス
<1996> ゼウス

//<1997> 日向markⅡ
<1997> 日向markⅡ

//<1998> 糞虫
<1998> 糞虫

//<1999> 量産型日向
<1999> 量産型日向

//<2000> ？？
<2000> ？？

//<2001> 「天使が人間だってことは、お互いの胸の内に秘めたままにしよう」
<2001> 「天使が人間だってことは、お互いの胸の内に秘めたままにしよう」

//<2002> nothing
<2002> nothing

//<2003> nothing
<2003> nothing

//<2004> nothing
<2004> nothing

//<2005> nothing
<2005> nothing

//<2006> nothing
<2006> nothing

//<2007> ゆり
<2007> ゆり

//<2008> 女生徒
<2008> 女生徒

//<2009> ？？
<2009> ？？

//<2010> 「そうね…」
<2010> 「そうね…」

//<2011> ゆりと話すべきことは話した。
<2011> ゆりと話すべきことは話した。

//<2012> nothing
<2012> nothing

//<2013> nothing
<2013> nothing

//<2014> nothing
<2014> nothing

//<2015> nothing
<2015> nothing

//<2016> nothing
<2016> nothing

//<2017> ゆり
<2017> ゆり

//<2018> 女生徒
<2018> 女生徒

//<2019> ？？
<2019> ？？

//<2020> 「じゃ、まだまだ新米なんだから、訓練に励みなさい」
<2020> 「じゃ、まだまだ新米なんだから、訓練に励みなさい」

//<2021> 音無
<2021> 音無

//<2022> クソ坊主
<2022> クソ坊主

//<2023> 代理人
<2023> 代理人

//<2024> 微妙すぎるイケメン
<2024> 微妙すぎるイケメン

//<2025> ロリコン
<2025> ロリコン

//<2026> メガネ仲間
<2026> メガネ仲間

//<2027> 暗算日本記録保持者
<2027> 暗算日本記録保持者

//<2028> 通り魔
<2028> 通り魔

//<2029> 記憶ナシ男
<2029> 記憶ナシ男

//<2030> 音速
<2030> 音速

//<2031> 無限
<2031> 無限

//<2032> エロ侍
<2032> エロ侍

//<2033> エロエロ団ナンバー１
<2033> エロエロ団ナンバー１

//<2034> ただのエロ少年
<2034> ただのエロ少年

//<2035> ユリブサイク
<2035> ユリブサイク

//<2036> ドピュッシー
<2036> ドピュッシー

//<2037> アメリカンエロドッグ
<2037> アメリカンエロドッグ

//<2038> ゼウス
<2038> ゼウス

//<2039> 日向markⅡ
<2039> 日向markⅡ

//<2040> 糞虫
<2040> 糞虫

//<2041> 量産型日向
<2041> 量産型日向

//<2042> ？？
<2042> ？？

//<2043> 「ああ、そうするよ」
<2043> 「ああ、そうするよ」

//<2044> 音無
<2044> 音無

//<2045> クソ坊主
<2045> クソ坊主

//<2046> 代理人
<2046> 代理人

//<2047> 微妙すぎるイケメン
<2047> 微妙すぎるイケメン

//<2048> ロリコン
<2048> ロリコン

//<2049> メガネ仲間
<2049> メガネ仲間

//<2050> 暗算日本記録保持者
<2050> 暗算日本記録保持者

//<2051> 通り魔
<2051> 通り魔

//<2052> 記憶ナシ男
<2052> 記憶ナシ男

//<2053> 音速
<2053> 音速

//<2054> 無限
<2054> 無限

//<2055> エロ侍
<2055> エロ侍

//<2056> エロエロ団ナンバー１
<2056> エロエロ団ナンバー１

//<2057> ただのエロ少年
<2057> ただのエロ少年

//<2058> ユリブサイク
<2058> ユリブサイク

//<2059> ドピュッシー
<2059> ドピュッシー

//<2060> アメリカンエロドッグ
<2060> アメリカンエロドッグ

//<2061> ゼウス
<2061> ゼウス

//<2062> 日向markⅡ
<2062> 日向markⅡ

//<2063> 糞虫
<2063> 糞虫

//<2064> 量産型日向
<2064> 量産型日向

//<2065> ？？
<2065> ？？

//<2066> 「それこそが神から与えられた力だと俺は思う」
<2066> 「それこそが神から与えられた力だと俺は思う」

//<2067> nothing
<2067> nothing

//<2068> nothing
<2068> nothing

//<2069> nothing
<2069> nothing

//<2070> nothing
<2070> nothing

//<2071> nothing
<2071> nothing

//<2072> ゆり
<2072> ゆり

//<2073> 女生徒
<2073> 女生徒

//<2074> ？？
<2074> ？？

//<2075> 「じゃあ、音無くんの思う神様は、ＣＤ－ＲＯＭを焼いて用意できるような存在、ということね？」
<2075> 「じゃあ、音無くんの思う神様は、ＣＤ－ＲＯＭを焼いて用意できるような存在、ということね？」

//<2076> 音無
<2076> 音無

//<2077> クソ坊主
<2077> クソ坊主

//<2078> 代理人
<2078> 代理人

//<2079> 微妙すぎるイケメン
<2079> 微妙すぎるイケメン

//<2080> ロリコン
<2080> ロリコン

//<2081> メガネ仲間
<2081> メガネ仲間

//<2082> 暗算日本記録保持者
<2082> 暗算日本記録保持者

//<2083> 通り魔
<2083> 通り魔

//<2084> 記憶ナシ男
<2084> 記憶ナシ男

//<2085> 音速
<2085> 音速

//<2086> 無限
<2086> 無限

//<2087> エロ侍
<2087> エロ侍

//<2088> エロエロ団ナンバー１
<2088> エロエロ団ナンバー１

//<2089> ただのエロ少年
<2089> ただのエロ少年

//<2090> ユリブサイク
<2090> ユリブサイク

//<2091> ドピュッシー
<2091> ドピュッシー

//<2092> アメリカンエロドッグ
<2092> アメリカンエロドッグ

//<2093> ゼウス
<2093> ゼウス

//<2094> 日向markⅡ
<2094> 日向markⅡ

//<2095> 糞虫
<2095> 糞虫

//<2096> 量産型日向
<2096> 量産型日向

//<2097> ？？
<2097> ？？

//<2098> 「ああ…」
<2098> 「ああ…」

//<2099> 答えておいて、自分でもおかしいと思い始めている。
<2099> 答えておいて、自分でもおかしいと思い始めている。

//<2100> nothing
<2100> nothing

//<2101> nothing
<2101> nothing

//<2102> nothing
<2102> nothing

//<2103> nothing
<2103> nothing

//<2104> nothing
<2104> nothing

//<2105> ゆり
<2105> ゆり

//<2106> 女生徒
<2106> 女生徒

//<2107> ？？
<2107> ？？

//<2108> 「用は以上？」
<2108> 「用は以上？」

//<2109> 音無
<2109> 音無

//<2110> クソ坊主
<2110> クソ坊主

//<2111> 代理人
<2111> 代理人

//<2112> 微妙すぎるイケメン
<2112> 微妙すぎるイケメン

//<2113> ロリコン
<2113> ロリコン

//<2114> メガネ仲間
<2114> メガネ仲間

//<2115> 暗算日本記録保持者
<2115> 暗算日本記録保持者

//<2116> 通り魔
<2116> 通り魔

//<2117> 記憶ナシ男
<2117> 記憶ナシ男

//<2118> 音速
<2118> 音速

//<2119> 無限
<2119> 無限

//<2120> エロ侍
<2120> エロ侍

//<2121> エロエロ団ナンバー１
<2121> エロエロ団ナンバー１

//<2122> ただのエロ少年
<2122> ただのエロ少年

//<2123> ユリブサイク
<2123> ユリブサイク

//<2124> ドピュッシー
<2124> ドピュッシー

//<2125> アメリカンエロドッグ
<2125> アメリカンエロドッグ

//<2126> ゼウス
<2126> ゼウス

//<2127> 日向markⅡ
<2127> 日向markⅡ

//<2128> 糞虫
<2128> 糞虫

//<2129> 量産型日向
<2129> 量産型日向

//<2130> ？？
<2130> ？？

//<2131> 「だな…」
<2131> 「だな…」

//<2132> nothing
<2132> nothing

//<2133> nothing
<2133> nothing

//<2134> nothing
<2134> nothing

//<2135> nothing
<2135> nothing

//<2136> nothing
<2136> nothing

//<2137> ゆり
<2137> ゆり

//<2138> 女生徒
<2138> 女生徒

//<2139> ？？
<2139> ？？

//<2140> 「では、幹部として特訓に勤しみなさい」
