// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白
//<1388> 微妙すぎるイケメン
<1388> 微妙すぎるイケメン

//<1389> ロリコン
<1389> ロリコン

//<1390> メガネ仲間
<1390> メガネ仲間

//<1391> 暗算日本記録保持者
<1391> 暗算日本記録保持者

//<1392> 通り魔
<1392> 通り魔

//<1393> 記憶ナシ男
<1393> 記憶ナシ男

//<1394> 音速
<1394> 音速

//<1395> 無限
<1395> 無限

//<1396> エロ侍
<1396> エロ侍

//<1397> エロエロ団ナンバー１
<1397> エロエロ団ナンバー１

//<1398> ただのエロ少年
<1398> ただのエロ少年

//<1399> ユリブサイク
<1399> ユリブサイク

//<1400> ドピュッシー
<1400> ドピュッシー

//<1401> アメリカンエロドッグ
<1401> アメリカンエロドッグ

//<1402> ゼウス
<1402> ゼウス

//<1403> 日向markⅡ
<1403> 日向markⅡ

//<1404> 糞虫
<1404> 糞虫

//<1405> 量産型日向
<1405> 量産型日向

//<1406> ？？
<1406> ？？

//<1407> 「まずはプレゼントだ。なんでも買ってやる」
<1407> 「まずはプレゼントだ。なんでも買ってやる」

//<1408> 音無
<1408> 音無

//<1409> クソ坊主
<1409> クソ坊主

//<1410> 代理人
<1410> 代理人

//<1411> 微妙すぎるイケメン
<1411> 微妙すぎるイケメン

//<1412> ロリコン
<1412> ロリコン

//<1413> メガネ仲間
<1413> メガネ仲間

//<1414> 暗算日本記録保持者
<1414> 暗算日本記録保持者

//<1415> 通り魔
<1415> 通り魔

//<1416> 記憶ナシ男
<1416> 記憶ナシ男

//<1417> 音速
<1417> 音速

//<1418> 無限
<1418> 無限

//<1419> エロ侍
<1419> エロ侍

//<1420> エロエロ団ナンバー１
<1420> エロエロ団ナンバー１

//<1421> ただのエロ少年
<1421> ただのエロ少年

//<1422> ユリブサイク
<1422> ユリブサイク

//<1423> ドピュッシー
<1423> ドピュッシー

//<1424> アメリカンエロドッグ
<1424> アメリカンエロドッグ

//<1425> ゼウス
<1425> ゼウス

//<1426> 日向markⅡ
<1426> 日向markⅡ

//<1427> 糞虫
<1427> 糞虫

//<1428> 量産型日向
<1428> 量産型日向

//<1429> ？？
<1429> ？？

//<1430> 「兄ちゃん、この日のために、すげー頑張って貯金してきたんだぜ？」
<1430> 「兄ちゃん、この日のために、すげー頑張って貯金してきたんだぜ？」

//<1431> 音無
<1431> 音無

//<1432> クソ坊主
<1432> クソ坊主

//<1433> 代理人
<1433> 代理人

//<1434> 微妙すぎるイケメン
<1434> 微妙すぎるイケメン

//<1435> ロリコン
<1435> ロリコン

//<1436> メガネ仲間
<1436> メガネ仲間

//<1437> 暗算日本記録保持者
<1437> 暗算日本記録保持者

//<1438> 通り魔
<1438> 通り魔

//<1439> 記憶ナシ男
<1439> 記憶ナシ男

//<1440> 音速
<1440> 音速

//<1441> 無限
<1441> 無限

//<1442> エロ侍
<1442> エロ侍

//<1443> エロエロ団ナンバー１
<1443> エロエロ団ナンバー１

//<1444> ただのエロ少年
<1444> ただのエロ少年

//<1445> ユリブサイク
<1445> ユリブサイク

//<1446> ドピュッシー
<1446> ドピュッシー

//<1447> アメリカンエロドッグ
<1447> アメリカンエロドッグ

//<1448> ゼウス
<1448> ゼウス

//<1449> 日向markⅡ
<1449> 日向markⅡ

//<1450> 糞虫
<1450> 糞虫

//<1451> 量産型日向
<1451> 量産型日向

//<1452> ？？
<1452> ？？

//<1453> 「だから、どんな高いものでも買ってやれる。何が欲しい？」
<1453> 「だから、どんな高いものでも買ってやれる。何が欲しい？」

//<1454> 音無
<1454> 音無

//<1455> クソ坊主
<1455> クソ坊主

//<1456> 代理人
<1456> 代理人

//<1457> 微妙すぎるイケメン
<1457> 微妙すぎるイケメン

//<1458> ロリコン
<1458> ロリコン

//<1459> メガネ仲間
<1459> メガネ仲間

//<1460> 暗算日本記録保持者
<1460> 暗算日本記録保持者

//<1461> 通り魔
<1461> 通り魔

//<1462> 記憶ナシ男
<1462> 記憶ナシ男

//<1463> 音速
<1463> 音速

//<1464> 無限
<1464> 無限

//<1465> エロ侍
<1465> エロ侍

//<1466> エロエロ団ナンバー１
<1466> エロエロ団ナンバー１

//<1467> ただのエロ少年
<1467> ただのエロ少年

//<1468> ユリブサイク
<1468> ユリブサイク

//<1469> ドピュッシー
<1469> ドピュッシー

//<1470> アメリカンエロドッグ
<1470> アメリカンエロドッグ

//<1471> ゼウス
<1471> ゼウス

//<1472> 日向markⅡ
<1472> 日向markⅡ

//<1473> 糞虫
<1473> 糞虫

//<1474> 量産型日向
<1474> 量産型日向

//<1475> ？？
<1475> ？？

//<1476> 「まず店に入ろうか。宝石店でもいいぜ？」
<1476> 「まず店に入ろうか。宝石店でもいいぜ？」

//<1477> 音無
<1477> 音無

//<1478> クソ坊主
<1478> クソ坊主

//<1479> 代理人
<1479> 代理人

//<1480> 微妙すぎるイケメン
<1480> 微妙すぎるイケメン

//<1481> ロリコン
<1481> ロリコン

//<1482> メガネ仲間
<1482> メガネ仲間

//<1483> 暗算日本記録保持者
<1483> 暗算日本記録保持者

//<1484> 通り魔
<1484> 通り魔

//<1485> 記憶ナシ男
<1485> 記憶ナシ男

//<1486> 音速
<1486> 音速

//<1487> 無限
<1487> 無限

//<1488> エロ侍
<1488> エロ侍

//<1489> エロエロ団ナンバー１
<1489> エロエロ団ナンバー１

//<1490> ただのエロ少年
<1490> ただのエロ少年

//<1491> ユリブサイク
<1491> ユリブサイク

//<1492> ドピュッシー
<1492> ドピュッシー

//<1493> アメリカンエロドッグ
<1493> アメリカンエロドッグ

//<1494> ゼウス
<1494> ゼウス

//<1495> 日向markⅡ
<1495> 日向markⅡ

//<1496> 糞虫
<1496> 糞虫

//<1497> 量産型日向
<1497> 量産型日向

//<1498> ？？
<1498> ？？

//<1499> 「それとも普通にデパートがいいか？」
<1499> 「それとも普通にデパートがいいか？」

//<1500> 初音
<1500> 初音

//<1501> 「おにぃちゃん…」
<1501> 「おにぃちゃん…」

//<1502> 音無
<1502> 音無

//<1503> クソ坊主
<1503> クソ坊主

//<1504> 代理人
<1504> 代理人

//<1505> 微妙すぎるイケメン
<1505> 微妙すぎるイケメン

//<1506> ロリコン
<1506> ロリコン

//<1507> メガネ仲間
<1507> メガネ仲間

//<1508> 暗算日本記録保持者
<1508> 暗算日本記録保持者

//<1509> 通り魔
<1509> 通り魔

//<1510> 記憶ナシ男
<1510> 記憶ナシ男

//<1511> 音速
<1511> 音速

//<1512> 無限
<1512> 無限

//<1513> エロ侍
<1513> エロ侍

//<1514> エロエロ団ナンバー１
<1514> エロエロ団ナンバー１

//<1515> ただのエロ少年
<1515> ただのエロ少年

//<1516> ユリブサイク
<1516> ユリブサイク

//<1517> ドピュッシー
<1517> ドピュッシー

//<1518> アメリカンエロドッグ
<1518> アメリカンエロドッグ

//<1519> ゼウス
<1519> ゼウス

//<1520> 日向markⅡ
<1520> 日向markⅡ

//<1521> 糞虫
<1521> 糞虫

//<1522> 量産型日向
<1522> 量産型日向

//<1523> ？？
<1523> ？？

//<1524> 「ん？」
<1524> 「ん？」

//<1525> 初音
<1525> 初音

//<1526> 「…ありがとね」
<1526> 「…ありがとね」

//<1527> 音無
<1527> 音無

//<1528> クソ坊主
<1528> クソ坊主

//<1529> 代理人
<1529> 代理人

//<1530> 微妙すぎるイケメン
<1530> 微妙すぎるイケメン

//<1531> ロリコン
<1531> ロリコン

//<1532> メガネ仲間
<1532> メガネ仲間

//<1533> 暗算日本記録保持者
<1533> 暗算日本記録保持者

//<1534> 通り魔
<1534> 通り魔

//<1535> 記憶ナシ男
<1535> 記憶ナシ男

//<1536> 音速
<1536> 音速

//<1537> 無限
<1537> 無限

//<1538> エロ侍
<1538> エロ侍

//<1539> エロエロ団ナンバー１
<1539> エロエロ団ナンバー１

//<1540> ただのエロ少年
<1540> ただのエロ少年

//<1541> ユリブサイク
<1541> ユリブサイク

//<1542> ドピュッシー
<1542> ドピュッシー

//<1543> アメリカンエロドッグ
<1543> アメリカンエロドッグ

//<1544> ゼウス
<1544> ゼウス

//<1545> 日向markⅡ
<1545> 日向markⅡ

//<1546> 糞虫
<1546> 糞虫

//<1547> 量産型日向
<1547> 量産型日向

//<1548> ？？
<1548> ？？

//<1549> 「ああ」
<1549> 「ああ」

//<1550> その大通りを歩き始める。
<1550> その大通りを歩き始める。

//<1551> nothing
<1551> nothing

//<1552> 
<1552> 

//<1553> 
<1553> 

//<1554> nothing
<1554> nothing

//<1555> 音無
<1555> 音無

//<1556> クソ坊主
<1556> クソ坊主

//<1557> 代理人
<1557> 代理人

//<1558> 微妙すぎるイケメン
<1558> 微妙すぎるイケメン

//<1559> ロリコン
<1559> ロリコン

//<1560> メガネ仲間
<1560> メガネ仲間

//<1561> 暗算日本記録保持者
<1561> 暗算日本記録保持者

//<1562> 通り魔
<1562> 通り魔

//<1563> 記憶ナシ男
<1563> 記憶ナシ男

//<1564> 音速
<1564> 音速

//<1565> 無限
<1565> 無限

//<1566> エロ侍
<1566> エロ侍

//<1567> エロエロ団ナンバー１
<1567> エロエロ団ナンバー１

//<1568> ただのエロ少年
<1568> ただのエロ少年

//<1569> ユリブサイク
<1569> ユリブサイク

//<1570> ドピュッシー
<1570> ドピュッシー

//<1571> アメリカンエロドッグ
<1571> アメリカンエロドッグ

//<1572> ゼウス
<1572> ゼウス

//<1573> 日向markⅡ
<1573> 日向markⅡ

//<1574> 糞虫
<1574> 糞虫

//<1575> 量産型日向
<1575> 量産型日向

//<1576> ？？
<1576> ？？

//<1577> 「買い物の後にもな、いいこと待ってるんだぞ？」
<1577> 「買い物の後にもな、いいこと待ってるんだぞ？」

//<1578> 音無
<1578> 音無

//<1579> クソ坊主
<1579> クソ坊主

//<1580> 代理人
<1580> 代理人

//<1581> 微妙すぎるイケメン
<1581> 微妙すぎるイケメン

//<1582> ロリコン
<1582> ロリコン

//<1583> メガネ仲間
<1583> メガネ仲間

//<1584> 暗算日本記録保持者
<1584> 暗算日本記録保持者

//<1585> 通り魔
<1585> 通り魔

//<1586> 記憶ナシ男
<1586> 記憶ナシ男

//<1587> 音速
<1587> 音速

//<1588> 無限
<1588> 無限

//<1589> エロ侍
<1589> エロ侍

//<1590> エロエロ団ナンバー１
<1590> エロエロ団ナンバー１

//<1591> ただのエロ少年
<1591> ただのエロ少年

//<1592> ユリブサイク
<1592> ユリブサイク

//<1593> ドピュッシー
<1593> ドピュッシー

//<1594> アメリカンエロドッグ
<1594> アメリカンエロドッグ

//<1595> ゼウス
<1595> ゼウス

//<1596> 日向markⅡ
<1596> 日向markⅡ

//<1597> 糞虫
<1597> 糞虫

//<1598> 量産型日向
<1598> 量産型日向

//<1599> ？？
<1599> ？？

//<1600> 「今度は夕飯だ。よくわからないけど、雑誌に載ってたいい店予約してあるんだ」
<1600> 「今度は夕飯だ。よくわからないけど、雑誌に載ってたいい店予約してあるんだ」

//<1601> 音無
<1601> 音無

//<1602> クソ坊主
<1602> クソ坊主

//<1603> 代理人
<1603> 代理人

//<1604> 微妙すぎるイケメン
<1604> 微妙すぎるイケメン

//<1605> ロリコン
<1605> ロリコン

//<1606> メガネ仲間
<1606> メガネ仲間

//<1607> 暗算日本記録保持者
<1607> 暗算日本記録保持者

//<1608> 通り魔
<1608> 通り魔

//<1609> 記憶ナシ男
<1609> 記憶ナシ男

//<1610> 音速
<1610> 音速

//<1611> 無限
<1611> 無限

//<1612> エロ侍
<1612> エロ侍

//<1613> エロエロ団ナンバー１
<1613> エロエロ団ナンバー１

//<1614> ただのエロ少年
<1614> ただのエロ少年

//<1615> ユリブサイク
<1615> ユリブサイク

//<1616> ドピュッシー
<1616> ドピュッシー

//<1617> アメリカンエロドッグ
<1617> アメリカンエロドッグ

//<1618> ゼウス
<1618> ゼウス

//<1619> 日向markⅡ
<1619> 日向markⅡ

//<1620> 糞虫
<1620> 糞虫

//<1621> 量産型日向
<1621> 量産型日向

//<1622> ？？
<1622> ？？

//<1623> 「コースで決まったものが出てくるんだぞ。コース料理だぞ。すごいだろ。俺だって初めてだ」
<1623> 「コースで決まったものが出てくるんだぞ。コース料理だぞ。すごいだろ。俺だって初めてだ」

//<1624> 音無
<1624> 音無

//<1625> クソ坊主
<1625> クソ坊主

//<1626> 代理人
<1626> 代理人

//<1627> 微妙すぎるイケメン
<1627> 微妙すぎるイケメン

//<1628> ロリコン
<1628> ロリコン

//<1629> メガネ仲間
<1629> メガネ仲間

//<1630> 暗算日本記録保持者
<1630> 暗算日本記録保持者

//<1631> 通り魔
<1631> 通り魔

//<1632> 記憶ナシ男
<1632> 記憶ナシ男

//<1633> 音速
<1633> 音速

//<1634> 無限
<1634> 無限

//<1635> エロ侍
<1635> エロ侍

//<1636> エロエロ団ナンバー１
<1636> エロエロ団ナンバー１

//<1637> ただのエロ少年
<1637> ただのエロ少年

//<1638> ユリブサイク
<1638> ユリブサイク

//<1639> ドピュッシー
<1639> ドピュッシー

//<1640> アメリカンエロドッグ
<1640> アメリカンエロドッグ

//<1641> ゼウス
<1641> ゼウス

//<1642> 日向markⅡ
<1642> 日向markⅡ

//<1643> 糞虫
<1643> 糞虫

//<1644> 量産型日向
<1644> 量産型日向

//<1645> ？？
<1645> ？？

//<1646> 「そしてクライマックスは、クリスマスケーキだ」
<1646> 「そしてクライマックスは、クリスマスケーキだ」

//<1647> 音無
<1647> 音無

//<1648> クソ坊主
<1648> クソ坊主

//<1649> 代理人
<1649> 代理人

//<1650> 微妙すぎるイケメン
<1650> 微妙すぎるイケメン

//<1651> ロリコン
<1651> ロリコン

//<1652> メガネ仲間
<1652> メガネ仲間

//<1653> 暗算日本記録保持者
<1653> 暗算日本記録保持者

//<1654> 通り魔
<1654> 通り魔

//<1655> 記憶ナシ男
<1655> 記憶ナシ男

//<1656> 音速
<1656> 音速

//<1657> 無限
<1657> 無限

//<1658> エロ侍
<1658> エロ侍

//<1659> エロエロ団ナンバー１
<1659> エロエロ団ナンバー１

//<1660> ただのエロ少年
<1660> ただのエロ少年

//<1661> ユリブサイク
<1661> ユリブサイク

//<1662> ドピュッシー
<1662> ドピュッシー

//<1663> アメリカンエロドッグ
<1663> アメリカンエロドッグ

//<1664> ゼウス
<1664> ゼウス

//<1665> 日向markⅡ
<1665> 日向markⅡ

//<1666> 糞虫
<1666> 糞虫

//<1667> 量産型日向
<1667> 量産型日向

//<1668> ？？
<1668> ？？

//<1669> 「コンビニのケーキじゃない。いい店のケーキはきっと美味しいぞ」
<1669> 「コンビニのケーキじゃない。いい店のケーキはきっと美味しいぞ」

//<1670> 音無
<1670> 音無

//<1671> クソ坊主
<1671> クソ坊主

//<1672> 代理人
<1672> 代理人

//<1673> 微妙すぎるイケメン
<1673> 微妙すぎるイケメン

//<1674> ロリコン
<1674> ロリコン

//<1675> メガネ仲間
<1675> メガネ仲間

//<1676> 暗算日本記録保持者
<1676> 暗算日本記録保持者

//<1677> 通り魔
<1677> 通り魔

//<1678> 記憶ナシ男
<1678> 記憶ナシ男

//<1679> 音速
<1679> 音速

//<1680> 無限
<1680> 無限

//<1681> エロ侍
<1681> エロ侍

//<1682> エロエロ団ナンバー１
<1682> エロエロ団ナンバー１

//<1683> ただのエロ少年
<1683> ただのエロ少年

//<1684> ユリブサイク
<1684> ユリブサイク

//<1685> ドピュッシー
<1685> ドピュッシー

//<1686> アメリカンエロドッグ
<1686> アメリカンエロドッグ

//<1687> ゼウス
<1687> ゼウス

//<1688> 日向markⅡ
<1688> 日向markⅡ

//<1689> 糞虫
<1689> 糞虫

//<1690> 量産型日向
<1690> 量産型日向

//<1691> ？？
<1691> ？？

//<1692> 「その後もどこにだって連れてってやる」
<1692> 「その後もどこにだって連れてってやる」

//<1693> 音無
<1693> 音無

//<1694> クソ坊主
<1694> クソ坊主

//<1695> 代理人
<1695> 代理人

//<1696> 微妙すぎるイケメン
<1696> 微妙すぎるイケメン

//<1697> ロリコン
<1697> ロリコン

//<1698> メガネ仲間
<1698> メガネ仲間

//<1699> 暗算日本記録保持者
<1699> 暗算日本記録保持者

//<1700> 通り魔
<1700> 通り魔

//<1701> 記憶ナシ男
<1701> 記憶ナシ男

//<1702> 音速
<1702> 音速

//<1703> 無限
<1703> 無限

//<1704> エロ侍
<1704> エロ侍

//<1705> エロエロ団ナンバー１
<1705> エロエロ団ナンバー１

//<1706> ただのエロ少年
<1706> ただのエロ少年

//<1707> ユリブサイク
<1707> ユリブサイク

//<1708> ドピュッシー
<1708> ドピュッシー

//<1709> アメリカンエロドッグ
<1709> アメリカンエロドッグ

//<1710> ゼウス
<1710> ゼウス

//<1711> 日向markⅡ
<1711> 日向markⅡ

//<1712> 糞虫
<1712> 糞虫

//<1713> 量産型日向
<1713> 量産型日向

//<1714> ？？
<1714> ？？

//<1715> 「お前が眠るその瞬間まで、今日は楽しい日にするからな」
<1715> 「お前が眠るその瞬間まで、今日は楽しい日にするからな」

//<1716> 音無
<1716> 音無

//<1717> クソ坊主
<1717> クソ坊主

//<1718> 代理人
<1718> 代理人

//<1719> 微妙すぎるイケメン
<1719> 微妙すぎるイケメン

//<1720> ロリコン
<1720> ロリコン

//<1721> メガネ仲間
<1721> メガネ仲間

//<1722> 暗算日本記録保持者
<1722> 暗算日本記録保持者

//<1723> 通り魔
<1723> 通り魔

//<1724> 記憶ナシ男
<1724> 記憶ナシ男

//<1725> 音速
<1725> 音速

//<1726> 無限
<1726> 無限

//<1727> エロ侍
<1727> エロ侍

//<1728> エロエロ団ナンバー１
<1728> エロエロ団ナンバー１

//<1729> ただのエロ少年
<1729> ただのエロ少年

//<1730> ユリブサイク
<1730> ユリブサイク

//<1731> ドピュッシー
<1731> ドピュッシー

//<1732> アメリカンエロドッグ
<1732> アメリカンエロドッグ

//<1733> ゼウス
<1733> ゼウス

//<1734> 日向markⅡ
<1734> 日向markⅡ

//<1735> 糞虫
<1735> 糞虫

//<1736> 量産型日向
<1736> 量産型日向

//<1737> ？？
<1737> ？？

//<1738> 「毎年、クリスマスになったら今日のことを思い出して幸せな気持ちになれるぐらいにな」
<1738> 「毎年、クリスマスになったら今日のことを思い出して幸せな気持ちになれるぐらいにな」

//<1739> 白
<1739> 白

//<1740> ………。
<1740> ………。

//<1741> 初音からの返事はない。
<1741> 初音からの返事はない。

//<1742> それからは俺がひとりで喋り続けて、歩き続けた。
<1742> それからは俺がひとりで喋り続けて、歩き続けた。

//<1743> 白
<1743> 白

//<1744> 音無
<1744> 音無

//<1745> クソ坊主
<1745> クソ坊主

//<1746> 代理人
<1746> 代理人

//<1747> 微妙すぎるイケメン
<1747> 微妙すぎるイケメン

//<1748> ロリコン
<1748> ロリコン

//<1749> メガネ仲間
<1749> メガネ仲間

//<1750> 暗算日本記録保持者
<1750> 暗算日本記録保持者

//<1751> 通り魔
<1751> 通り魔

//<1752> 記憶ナシ男
<1752> 記憶ナシ男

//<1753> 音速
<1753> 音速

//<1754> 無限
<1754> 無限

//<1755> エロ侍
<1755> エロ侍

//<1756> エロエロ団ナンバー１
<1756> エロエロ団ナンバー１

//<1757> ただのエロ少年
<1757> ただのエロ少年

//<1758> ユリブサイク
<1758> ユリブサイク

//<1759> ドピュッシー
<1759> ドピュッシー

//<1760> アメリカンエロドッグ
<1760> アメリカンエロドッグ

//<1761> ゼウス
<1761> ゼウス

//<1762> 日向markⅡ
<1762> 日向markⅡ

//<1763> 糞虫
<1763> 糞虫

//<1764> 量産型日向
<1764> 量産型日向

//<1765> ？？
<1765> ？？

//<1766> 「ではいきます」
<1766> 「ではいきます」

//<1767> 背中には新しいリュック。
<1767> 背中には新しいリュック。

//<1768> 古いのでは遺品が入りきらなかったため新調した。
<1768> 古いのでは遺品が入りきらなかったため新調した。

//<1769> 叔母
<1769> 叔母

//<1770> 「このままひとりであの部屋で暮らしていくの？　寂しいだけでしょ？」
<1770> 「このままひとりであの部屋で暮らしていくの？　寂しいだけでしょ？」

//<1771> 音無
<1771> 音無

//<1772> クソ坊主
<1772> クソ坊主

//<1773> 代理人
<1773> 代理人

//<1774> 微妙すぎるイケメン
<1774> 微妙すぎるイケメン

//<1775> ロリコン
<1775> ロリコン

//<1776> メガネ仲間
<1776> メガネ仲間

//<1777> 暗算日本記録保持者
<1777> 暗算日本記録保持者

//<1778> 通り魔
<1778> 通り魔

//<1779> 記憶ナシ男
<1779> 記憶ナシ男

//<1780> 音速
<1780> 音速

//<1781> 無限
<1781> 無限

//<1782> エロ侍
<1782> エロ侍

//<1783> エロエロ団ナンバー１
<1783> エロエロ団ナンバー１

//<1784> ただのエロ少年
<1784> ただのエロ少年

//<1785> ユリブサイク
<1785> ユリブサイク

//<1786> ドピュッシー
<1786> ドピュッシー

//<1787> アメリカンエロドッグ
<1787> アメリカンエロドッグ

//<1788> ゼウス
<1788> ゼウス

//<1789> 日向markⅡ
<1789> 日向markⅡ

//<1790> 糞虫
<1790> 糞虫

//<1791> 量産型日向
<1791> 量産型日向

//<1792> ？？
<1792> ？？

//<1793> 「大丈夫です。慣れてますから」
<1793> 「大丈夫です。慣れてますから」

//<1794> 叔母
<1794> 叔母

//<1795> 「そう？」
<1795> 「そう？」

//<1796> その一言にちょっとした安堵感が帯びた気がした。
<1796> その一言にちょっとした安堵感が帯びた気がした。

//<1797> 叔母
<1797> 叔母

//<1798> 「本当に大丈夫かしら…」
<1798> 「本当に大丈夫かしら…」

//<1799> だから、後は取って付けたようにしか聞こえなかった。
<1799> だから、後は取って付けたようにしか聞こえなかった。

//<1800> 叔母
<1800> 叔母

//<1801> 「困ったことがあったらいつでも言っておいでね。ご飯だっていつでも食べさせてあげるから」
<1801> 「困ったことがあったらいつでも言っておいでね。ご飯だっていつでも食べさせてあげるから」

//<1802> 音無
<1802> 音無

//<1803> クソ坊主
<1803> クソ坊主

//<1804> 代理人
<1804> 代理人

//<1805> 微妙すぎるイケメン
<1805> 微妙すぎるイケメン

//<1806> ロリコン
<1806> ロリコン

//<1807> メガネ仲間
<1807> メガネ仲間

//<1808> 暗算日本記録保持者
<1808> 暗算日本記録保持者

//<1809> 通り魔
<1809> 通り魔

//<1810> 記憶ナシ男
<1810> 記憶ナシ男

//<1811> 音速
<1811> 音速

//<1812> 無限
<1812> 無限

//<1813> エロ侍
<1813> エロ侍

//<1814> エロエロ団ナンバー１
<1814> エロエロ団ナンバー１

//<1815> ただのエロ少年
<1815> ただのエロ少年

//<1816> ユリブサイク
<1816> ユリブサイク

//<1817> ドピュッシー
<1817> ドピュッシー

//<1818> アメリカンエロドッグ
<1818> アメリカンエロドッグ

//<1819> ゼウス
<1819> ゼウス

//<1820> 日向markⅡ
<1820> 日向markⅡ

//<1821> 糞虫
<1821> 糞虫

//<1822> 量産型日向
<1822> 量産型日向

//<1823> ？？
<1823> ？？

//<1824> 「はい。ありがとうございます…」
<1824> 「はい。ありがとうございます…」

//<1825> 音無
<1825> 音無

//<1826> クソ坊主
<1826> クソ坊主

//<1827> 代理人
<1827> 代理人

//<1828> 微妙すぎるイケメン
<1828> 微妙すぎるイケメン

//<1829> ロリコン
<1829> ロリコン

//<1830> メガネ仲間
<1830> メガネ仲間

//<1831> 暗算日本記録保持者
<1831> 暗算日本記録保持者

//<1832> 通り魔
<1832> 通り魔

//<1833> 記憶ナシ男
<1833> 記憶ナシ男

//<1834> 音速
<1834> 音速

//<1835> 無限
<1835> 無限

//<1836> エロ侍
<1836> エロ侍

//<1837> エロエロ団ナンバー１
<1837> エロエロ団ナンバー１

//<1838> ただのエロ少年
<1838> ただのエロ少年

//<1839> ユリブサイク
<1839> ユリブサイク

//<1840> ドピュッシー
<1840> ドピュッシー

//<1841> アメリカンエロドッグ
<1841> アメリカンエロドッグ

//<1842> ゼウス
<1842> ゼウス

//<1843> 日向markⅡ
<1843> 日向markⅡ

//<1844> 糞虫
<1844> 糞虫

//<1845> 量産型日向
<1845> 量産型日向

//<1846> ？？
<1846> ？？

//<1847> 「この度はほんとうにお世話になりました」
<1847> 「この度はほんとうにお世話になりました」

//<1848> 深く頭を下げ、親戚の家を後にした。
<1848> 深く頭を下げ、親戚の家を後にした。

//<1849> 白
<1849> 白

//<1850> nothing
<1850> nothing

//<1851> 
<1851> 

//<1852> 
<1852> 

//<1853> nothing
<1853> nothing

//<1854> 俺はちゃんと生き甲斐を持って生きていたんだ。
<1854> 俺はちゃんと生き甲斐を持って生きていたんだ。

//<1855> 生きる意味はすぐそばにあったんだ。
<1855> 生きる意味はすぐそばにあったんだ。

//<1856> 気づかなかっただけだ。
<1856> 気づかなかっただけだ。

//<1857> 俺はあいつに『ありがとう』…そう言ってもらえるだけで、生きていられたんだ。
<1857> 俺はあいつに『ありがとう』…そう言ってもらえるだけで、生きていられたんだ。

//<1858> あいつに感謝されるだけで、自分の存在する意味を知り、俺自身も報われた気持ちになっていたんだ。
<1858> あいつに感謝されるだけで、自分の存在する意味を知り、俺自身も報われた気持ちになっていたんだ。

//<1859> 生きていける気がしていたんだ。
<1859> 生きていける気がしていたんだ。

//<1860> 幸せだったんだ。
<1860> 幸せだったんだ。

//<1861> 馬鹿だ、俺…。
<1861> 馬鹿だ、俺…。

//<1862> 今頃気づくなんて…。
<1862> 今頃気づくなんて…。

//<1863> そんな大切な存在だったのに…
<1863> そんな大切な存在だったのに…

//<1864> 何もしてやれなかった…。
<1864> 何もしてやれなかった…。

//<1865> もっといろんなことしてやれたのに…。
<1865> もっといろんなことしてやれたのに…。

//<1866> ずっとあいつは寝てばかりで…俺の買ってきた漫画雑誌読むだけで…。
<1866> ずっとあいつは寝てばかりで…俺の買ってきた漫画雑誌読むだけで…。

//<1867> 白
<1867> 白

//<1868> nothing
<1868> nothing

//<1869> 
<1869> 

//<1870> 
<1870> 

//<1871> nothing
<1871> nothing

//<1872> それだけで…
<1872> それだけで…

//<1873> それだけの人生で、あいつは幸せだったのだろうか…。
<1873> それだけの人生で、あいつは幸せだったのだろうか…。

//<1874> そして…それを失った俺の人生も終わってしまったのだろうか…。
<1874> そして…それを失った俺の人生も終わってしまったのだろうか…。

//<1875> 気づかない幸せに満たされていた日々…。
<1875> 気づかない幸せに満たされていた日々…。

//<1876> その時間は終わりを迎えてしまった。
<1876> その時間は終わりを迎えてしまった。

//<1877> もう俺には何も残されていない…。
<1877> もう俺には何も残されていない…。

//<1878> 白
<1878> 白

//<1879> ずっと通っていた病院の前に俺は立っていた。
<1879> ずっと通っていた病院の前に俺は立っていた。

//<1880> まだ体が忘れられない習慣。
<1880> まだ体が忘れられない習慣。

//<1881> もうここに来たって意味はないんだ。
<1881> もうここに来たって意味はないんだ。

//<1882> 俺が会いたい人は居ないんだ。
<1882> 俺が会いたい人は居ないんだ。

//<1883> もう…。
<1883> もう…。

//<1884> どこにも…。
<1884> どこにも…。

//<1885> うなだれてしまう。
<1885> うなだれてしまう。

//<1886> ………。
<1886> ………。

