// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題
//<1573> ロリコン
<1573> ロリコン

//<1574> メガネ仲間
<1574> メガネ仲間

//<1575> 暗算日本記録保持者
<1575> 暗算日本記録保持者

//<1576> 通り魔
<1576> 通り魔

//<1577> 記憶ナシ男
<1577> 記憶ナシ男

//<1578> 音速
<1578> 音速

//<1579> 無限
<1579> 無限

//<1580> エロ侍
<1580> エロ侍

//<1581> エロエロ団ナンバー１
<1581> エロエロ団ナンバー１

//<1582> ただのエロ少年
<1582> ただのエロ少年

//<1583> ユリブサイク
<1583> ユリブサイク

//<1584> ドピュッシー
<1584> ドピュッシー

//<1585> アメリカンエロドッグ
<1585> アメリカンエロドッグ

//<1586> ゼウス
<1586> ゼウス

//<1587> 日向markⅡ
<1587> 日向markⅡ

//<1588> 糞虫
<1588> 糞虫

//<1589> 量産型日向
<1589> 量産型日向

//<1590> ？？
<1590> ？？

//<1591> 「ＢＢ弾ってのは、球形の遊戯銃用弾丸のことで、エアガン、ようは当たったら痛いけど、本物の銃のように人は殺せない、あくまでも遊びの銃弾だ」
<1591> 「ＢＢ弾ってのは、球形の遊戯銃用弾丸のことで、エアガン、ようは当たったら痛いけど、本物の銃のように人は殺せない、あくまでも遊びの銃弾だ」

//<1592> 音無
<1592> 音無

//<1593> クソ坊主
<1593> クソ坊主

//<1594> 代理人
<1594> 代理人

//<1595> 微妙すぎるイケメン
<1595> 微妙すぎるイケメン

//<1596> ロリコン
<1596> ロリコン

//<1597> メガネ仲間
<1597> メガネ仲間

//<1598> 暗算日本記録保持者
<1598> 暗算日本記録保持者

//<1599> 通り魔
<1599> 通り魔

//<1600> 記憶ナシ男
<1600> 記憶ナシ男

//<1601> 音速
<1601> 音速

//<1602> 無限
<1602> 無限

//<1603> エロ侍
<1603> エロ侍

//<1604> エロエロ団ナンバー１
<1604> エロエロ団ナンバー１

//<1605> ただのエロ少年
<1605> ただのエロ少年

//<1606> ユリブサイク
<1606> ユリブサイク

//<1607> ドピュッシー
<1607> ドピュッシー

//<1608> アメリカンエロドッグ
<1608> アメリカンエロドッグ

//<1609> ゼウス
<1609> ゼウス

//<1610> 日向markⅡ
<1610> 日向markⅡ

//<1611> 糞虫
<1611> 糞虫

//<1612> 量産型日向
<1612> 量産型日向

//<1613> ？？
<1613> ？？

//<1614> 「でも、エアガンでなくて長くて細いパイプの中を真空にして、ＢＢ弾を入り口に入れて、いきなりその真空状態の入り口を開放すると、気圧の差で、空気が一気に内部に入り込み、そのＢＢ弾が飛んでいく」
<1614> 「でも、エアガンでなくて長くて細いパイプの中を真空にして、ＢＢ弾を入り口に入れて、いきなりその真空状態の入り口を開放すると、気圧の差で、空気が一気に内部に入り込み、そのＢＢ弾が飛んでいく」
{20752} 10 // 1614

//<1615> nothing
<1615> nothing

//<1616> nothing
<1616> nothing

//<1617> nothing
<1617> nothing

//<1618> nothing
<1618> nothing

//<1619> nothing
<1619> nothing

//<1620> 岩沢
<1620> 岩沢

//<1621> 「へぇ」
<1621> 「へぇ」

//<1622> 音無
<1622> 音無

//<1623> クソ坊主
<1623> クソ坊主

//<1624> 代理人
<1624> 代理人

//<1625> 微妙すぎるイケメン
<1625> 微妙すぎるイケメン

//<1626> ロリコン
<1626> ロリコン

//<1627> メガネ仲間
<1627> メガネ仲間

//<1628> 暗算日本記録保持者
<1628> 暗算日本記録保持者

//<1629> 通り魔
<1629> 通り魔

//<1630> 記憶ナシ男
<1630> 記憶ナシ男

//<1631> 音速
<1631> 音速

//<1632> 無限
<1632> 無限

//<1633> エロ侍
<1633> エロ侍

//<1634> エロエロ団ナンバー１
<1634> エロエロ団ナンバー１

//<1635> ただのエロ少年
<1635> ただのエロ少年

//<1636> ユリブサイク
<1636> ユリブサイク

//<1637> ドピュッシー
<1637> ドピュッシー

//<1638> アメリカンエロドッグ
<1638> アメリカンエロドッグ

//<1639> ゼウス
<1639> ゼウス

//<1640> 日向markⅡ
<1640> 日向markⅡ

//<1641> 糞虫
<1641> 糞虫

//<1642> 量産型日向
<1642> 量産型日向

//<1643> ？？
<1643> ？？

//<1644> 「と言ったお前の言葉が俺の耳に届く同じスピード、時速１２００キロで飛んでいく」
<1644> 「と言ったお前の言葉が俺の耳に届く同じスピード、時速１２００キロで飛んでいく」

//<1645> nothing
<1645> nothing

//<1646> nothing
<1646> nothing

//<1647> nothing
<1647> nothing

//<1648> nothing
<1648> nothing

//<1649> nothing
<1649> nothing

//<1650> 岩沢
<1650> 岩沢

//<1651> 「ええぇぇ！？」
<1651> 「ええぇぇ！？」

//<1652> 今の俺の一言で、岩沢が激しく動揺した。
<1652> 今の俺の一言で、岩沢が激しく動揺した。

//<1653> nothing
<1653> nothing

//<1654> nothing
<1654> nothing

//<1655> nothing
<1655> nothing

//<1656> nothing
<1656> nothing

//<1657> nothing
<1657> nothing

//<1658> 岩沢
<1658> 岩沢

//<1659> 「この声がお前に届くスピードで、そのなんとか砲は球を飛ばすってのか！？」
<1659> 「この声がお前に届くスピードで、そのなんとか砲は球を飛ばすってのか！？」

//<1660> 音無
<1660> 音無

//<1661> クソ坊主
<1661> クソ坊主

//<1662> 代理人
<1662> 代理人

//<1663> 微妙すぎるイケメン
<1663> 微妙すぎるイケメン

//<1664> ロリコン
<1664> ロリコン

//<1665> メガネ仲間
<1665> メガネ仲間

//<1666> 暗算日本記録保持者
<1666> 暗算日本記録保持者

//<1667> 通り魔
<1667> 通り魔

//<1668> 記憶ナシ男
<1668> 記憶ナシ男

//<1669> 音速
<1669> 音速

//<1670> 無限
<1670> 無限

//<1671> エロ侍
<1671> エロ侍

//<1672> エロエロ団ナンバー１
<1672> エロエロ団ナンバー１

//<1673> ただのエロ少年
<1673> ただのエロ少年

//<1674> ユリブサイク
<1674> ユリブサイク

//<1675> ドピュッシー
<1675> ドピュッシー

//<1676> アメリカンエロドッグ
<1676> アメリカンエロドッグ

//<1677> ゼウス
<1677> ゼウス

//<1678> 日向markⅡ
<1678> 日向markⅡ

//<1679> 糞虫
<1679> 糞虫

//<1680> 量産型日向
<1680> 量産型日向

//<1681> ？？
<1681> ？？

//<1682> 「まあな。色々しっかりと準備が必要だけど、条件さえ揃えればそうなる」
<1682> 「まあな。色々しっかりと準備が必要だけど、条件さえ揃えればそうなる」

//<1683> nothing
<1683> nothing

//<1684> nothing
<1684> nothing

//<1685> nothing
<1685> nothing

//<1686> nothing
<1686> nothing

//<1687> nothing
<1687> nothing

//<1688> 岩沢
<1688> 岩沢

//<1689> 「すごいな、そのなんとか砲は…」
<1689> 「すごいな、そのなんとか砲は…」

//<1690> 音無
<1690> 音無

//<1691> クソ坊主
<1691> クソ坊主

//<1692> 代理人
<1692> 代理人

//<1693> 微妙すぎるイケメン
<1693> 微妙すぎるイケメン

//<1694> ロリコン
<1694> ロリコン

//<1695> メガネ仲間
<1695> メガネ仲間

//<1696> 暗算日本記録保持者
<1696> 暗算日本記録保持者

//<1697> 通り魔
<1697> 通り魔

//<1698> 記憶ナシ男
<1698> 記憶ナシ男

//<1699> 音速
<1699> 音速

//<1700> 無限
<1700> 無限

//<1701> エロ侍
<1701> エロ侍

//<1702> エロエロ団ナンバー１
<1702> エロエロ団ナンバー１

//<1703> ただのエロ少年
<1703> ただのエロ少年

//<1704> ユリブサイク
<1704> ユリブサイク

//<1705> ドピュッシー
<1705> ドピュッシー

//<1706> アメリカンエロドッグ
<1706> アメリカンエロドッグ

//<1707> ゼウス
<1707> ゼウス

//<1708> 日向markⅡ
<1708> 日向markⅡ

//<1709> 糞虫
<1709> 糞虫

//<1710> 量産型日向
<1710> 量産型日向

//<1711> ？？
<1711> ？？

//<1712> 「真空砲だ」
<1712> 「真空砲だ」

//<1713> nothing
<1713> nothing

//<1714> nothing
<1714> nothing

//<1715> nothing
<1715> nothing

//<1716> nothing
<1716> nothing

//<1717> nothing
<1717> nothing

//<1718> 岩沢
<1718> 岩沢

//<1719> 「こうして話してる声が相手に届くのと同じスピード…ラグなんて感じられない…」
<1719> 「こうして話してる声が相手に届くのと同じスピード…ラグなんて感じられない…」

//<1720> nothing
<1720> nothing

//<1721> nothing
<1721> nothing

//<1722> nothing
<1722> nothing

//<1723> nothing
<1723> nothing

//<1724> nothing
<1724> nothing

//<1725> 岩沢
<1725> 岩沢

//<1726> 「そしてあたしの歌も、そのスピードでみんなに届くってわけか」
<1726> 「そしてあたしの歌も、そのスピードでみんなに届くってわけか」

//<1727> 音無
<1727> 音無

//<1728> クソ坊主
<1728> クソ坊主

//<1729> 代理人
<1729> 代理人

//<1730> 微妙すぎるイケメン
<1730> 微妙すぎるイケメン

//<1731> ロリコン
<1731> ロリコン

//<1732> メガネ仲間
<1732> メガネ仲間

//<1733> 暗算日本記録保持者
<1733> 暗算日本記録保持者

//<1734> 通り魔
<1734> 通り魔

//<1735> 記憶ナシ男
<1735> 記憶ナシ男

//<1736> 音速
<1736> 音速

//<1737> 無限
<1737> 無限

//<1738> エロ侍
<1738> エロ侍

//<1739> エロエロ団ナンバー１
<1739> エロエロ団ナンバー１

//<1740> ただのエロ少年
<1740> ただのエロ少年

//<1741> ユリブサイク
<1741> ユリブサイク

//<1742> ドピュッシー
<1742> ドピュッシー

//<1743> アメリカンエロドッグ
<1743> アメリカンエロドッグ

//<1744> ゼウス
<1744> ゼウス

//<1745> 日向markⅡ
<1745> 日向markⅡ

//<1746> 糞虫
<1746> 糞虫

//<1747> 量産型日向
<1747> 量産型日向

//<1748> ？？
<1748> ？？

//<1749> 「まあ、そうなるな」
<1749> 「まあ、そうなるな」

//<1750> nothing
<1750> nothing

//<1751> nothing
<1751> nothing

//<1752> nothing
<1752> nothing

//<1753> nothing
<1753> nothing

//<1754> nothing
<1754> nothing

//<1755> 岩沢
<1755> 岩沢

//<1756> 「その真空砲ってのはすごいな…。いつか歌詞に活かしてみたい…」
<1756> 「その真空砲ってのはすごいな…。いつか歌詞に活かしてみたい…」

//<1757> 音無
<1757> 音無

//<1758> クソ坊主
<1758> クソ坊主

//<1759> 代理人
<1759> 代理人

//<1760> 微妙すぎるイケメン
<1760> 微妙すぎるイケメン

//<1761> ロリコン
<1761> ロリコン

//<1762> メガネ仲間
<1762> メガネ仲間

//<1763> 暗算日本記録保持者
<1763> 暗算日本記録保持者

//<1764> 通り魔
<1764> 通り魔

//<1765> 記憶ナシ男
<1765> 記憶ナシ男

//<1766> 音速
<1766> 音速

//<1767> 無限
<1767> 無限

//<1768> エロ侍
<1768> エロ侍

//<1769> エロエロ団ナンバー１
<1769> エロエロ団ナンバー１

//<1770> ただのエロ少年
<1770> ただのエロ少年

//<1771> ユリブサイク
<1771> ユリブサイク

//<1772> ドピュッシー
<1772> ドピュッシー

//<1773> アメリカンエロドッグ
<1773> アメリカンエロドッグ

//<1774> ゼウス
<1774> ゼウス

//<1775> 日向markⅡ
<1775> 日向markⅡ

//<1776> 糞虫
<1776> 糞虫

//<1777> 量産型日向
<1777> 量産型日向

//<1778> ？？
<1778> ？？

//<1779> 「いい題材だろ？」
<1779> 「いい題材だろ？」

//<1780> nothing
<1780> nothing

//<1781> nothing
<1781> nothing

//<1782> nothing
<1782> nothing

//<1783> nothing
<1783> nothing

//<1784> nothing
<1784> nothing

//<1785> 岩沢
<1785> 岩沢

//<1786> 「ああ」
<1786> 「ああ」

//<1787> nothing
<1787> nothing

//<1788> nothing
<1788> nothing

//<1789> nothing
<1789> nothing

//<1790> nothing
<1790> nothing

//<1791> nothing
<1791> nothing

//<1792> nothing
<1792> nothing

//<1793> よし、岩沢の反応はばっちりだ。
<1793> よし、岩沢の反応はばっちりだ。

//<1794> 音に関係する話なら、興味を持ちやすいのかも知れない。
<1794> 音に関係する話なら、興味を持ちやすいのかも知れない。

//<1795> 俺は確かな手応えを感じながら、空き教室を後にした。
<1795> 俺は確かな手応えを感じながら、空き教室を後にした。

//<1796> 音無
<1796> 音無

//<1797> クソ坊主
<1797> クソ坊主

//<1798> 代理人
<1798> 代理人

//<1799> 微妙すぎるイケメン
<1799> 微妙すぎるイケメン

//<1800> ロリコン
<1800> ロリコン

//<1801> メガネ仲間
<1801> メガネ仲間

//<1802> 暗算日本記録保持者
<1802> 暗算日本記録保持者

//<1803> 通り魔
<1803> 通り魔

//<1804> 記憶ナシ男
<1804> 記憶ナシ男

//<1805> 音速
<1805> 音速

//<1806> 無限
<1806> 無限

//<1807> エロ侍
<1807> エロ侍

//<1808> エロエロ団ナンバー１
<1808> エロエロ団ナンバー１

//<1809> ただのエロ少年
<1809> ただのエロ少年

//<1810> ユリブサイク
<1810> ユリブサイク

//<1811> ドピュッシー
<1811> ドピュッシー

//<1812> アメリカンエロドッグ
<1812> アメリカンエロドッグ

//<1813> ゼウス
<1813> ゼウス

//<1814> 日向markⅡ
<1814> 日向markⅡ

//<1815> 糞虫
<1815> 糞虫

//<1816> 量産型日向
<1816> 量産型日向

//<1817> ？？
<1817> ？？

//<1818> 「綺麗な色の花は好きか？」
<1818> 「綺麗な色の花は好きか？」

//<1819> nothing
<1819> nothing

//<1820> nothing
<1820> nothing

//<1821> nothing
<1821> nothing

//<1822> nothing
<1822> nothing

//<1823> nothing
<1823> nothing

//<1824> 岩沢
<1824> 岩沢

//<1825> 「いや、特に意識したことはないけど」
<1825> 「いや、特に意識したことはないけど」

//<1826> 音無
<1826> 音無

//<1827> クソ坊主
<1827> クソ坊主

//<1828> 代理人
<1828> 代理人

//<1829> 微妙すぎるイケメン
<1829> 微妙すぎるイケメン

//<1830> ロリコン
<1830> ロリコン

//<1831> メガネ仲間
<1831> メガネ仲間

//<1832> 暗算日本記録保持者
<1832> 暗算日本記録保持者

//<1833> 通り魔
<1833> 通り魔

//<1834> 記憶ナシ男
<1834> 記憶ナシ男

//<1835> 音速
<1835> 音速

//<1836> 無限
<1836> 無限

//<1837> エロ侍
<1837> エロ侍

//<1838> エロエロ団ナンバー１
<1838> エロエロ団ナンバー１

//<1839> ただのエロ少年
<1839> ただのエロ少年

//<1840> ユリブサイク
<1840> ユリブサイク

//<1841> ドピュッシー
<1841> ドピュッシー

//<1842> アメリカンエロドッグ
<1842> アメリカンエロドッグ

//<1843> ゼウス
<1843> ゼウス

//<1844> 日向markⅡ
<1844> 日向markⅡ

//<1845> 糞虫
<1845> 糞虫

//<1846> 量産型日向
<1846> 量産型日向

//<1847> ？？
<1847> ？？

//<1848> 「そっか。まあ、いい。綺麗な色の花は、婚活状態なんだ」
<1848> 「そっか。まあ、いい。綺麗な色の花は、婚活状態なんだ」

//<1849> nothing
<1849> nothing

//<1850> nothing
<1850> nothing

//<1851> nothing
<1851> nothing

//<1852> nothing
<1852> nothing

//<1853> nothing
<1853> nothing

//<1854> 岩沢
<1854> 岩沢

//<1855> 「婚活？」
<1855> 「婚活？」

//<1856> 音無
<1856> 音無

//<1857> クソ坊主
<1857> クソ坊主

//<1858> 代理人
<1858> 代理人

//<1859> 微妙すぎるイケメン
<1859> 微妙すぎるイケメン

//<1860> ロリコン
<1860> ロリコン

//<1861> メガネ仲間
<1861> メガネ仲間

//<1862> 暗算日本記録保持者
<1862> 暗算日本記録保持者

//<1863> 通り魔
<1863> 通り魔

//<1864> 記憶ナシ男
<1864> 記憶ナシ男

//<1865> 音速
<1865> 音速

//<1866> 無限
<1866> 無限

//<1867> エロ侍
<1867> エロ侍

//<1868> エロエロ団ナンバー１
<1868> エロエロ団ナンバー１

//<1869> ただのエロ少年
<1869> ただのエロ少年

//<1870> ユリブサイク
<1870> ユリブサイク

//<1871> ドピュッシー
<1871> ドピュッシー

//<1872> アメリカンエロドッグ
<1872> アメリカンエロドッグ

//<1873> ゼウス
<1873> ゼウス

//<1874> 日向markⅡ
<1874> 日向markⅡ

//<1875> 糞虫
<1875> 糞虫

//<1876> 量産型日向
<1876> 量産型日向

//<1877> ？？
<1877> ？？

//<1878> 「ようはハチとかに、繁殖のために花粉を運んでもらうため、あんな鮮やかな色をしているんだ」
<1878> 「ようはハチとかに、繁殖のために花粉を運んでもらうため、あんな鮮やかな色をしているんだ」

//<1879> nothing
<1879> nothing

//<1880> nothing
<1880> nothing

//<1881> nothing
<1881> nothing

//<1882> nothing
<1882> nothing

//<1883> nothing
<1883> nothing

//<1884> 岩沢
<1884> 岩沢

//<1885> 「へー」
<1885> 「へー」

//<1886> 音無
<1886> 音無

//<1887> クソ坊主
<1887> クソ坊主

//<1888> 代理人
<1888> 代理人

//<1889> 微妙すぎるイケメン
<1889> 微妙すぎるイケメン

//<1890> ロリコン
<1890> ロリコン

//<1891> メガネ仲間
<1891> メガネ仲間

//<1892> 暗算日本記録保持者
<1892> 暗算日本記録保持者

//<1893> 通り魔
<1893> 通り魔

//<1894> 記憶ナシ男
<1894> 記憶ナシ男

//<1895> 音速
<1895> 音速

//<1896> 無限
<1896> 無限

//<1897> エロ侍
<1897> エロ侍

//<1898> エロエロ団ナンバー１
<1898> エロエロ団ナンバー１

//<1899> ただのエロ少年
<1899> ただのエロ少年

//<1900> ユリブサイク
<1900> ユリブサイク

//<1901> ドピュッシー
<1901> ドピュッシー

//<1902> アメリカンエロドッグ
<1902> アメリカンエロドッグ

//<1903> ゼウス
<1903> ゼウス

//<1904> 日向markⅡ
<1904> 日向markⅡ

//<1905> 糞虫
<1905> 糞虫

//<1906> 量産型日向
<1906> 量産型日向

//<1907> ？？
<1907> ？？

//<1908> 「逆に地味な色をしている植物、杉とかは風を利用し、花粉を遠くまで飛ばすことにより、繁殖する」
<1908> 「逆に地味な色をしている植物、杉とかは風を利用し、花粉を遠くまで飛ばすことにより、繁殖する」

//<1909> 音無
<1909> 音無

//<1910> クソ坊主
<1910> クソ坊主

//<1911> 代理人
<1911> 代理人

//<1912> 微妙すぎるイケメン
<1912> 微妙すぎるイケメン

//<1913> ロリコン
<1913> ロリコン

//<1914> メガネ仲間
<1914> メガネ仲間

//<1915> 暗算日本記録保持者
<1915> 暗算日本記録保持者

//<1916> 通り魔
<1916> 通り魔

//<1917> 記憶ナシ男
<1917> 記憶ナシ男

//<1918> 音速
<1918> 音速

//<1919> 無限
<1919> 無限

//<1920> エロ侍
<1920> エロ侍

//<1921> エロエロ団ナンバー１
<1921> エロエロ団ナンバー１

//<1922> ただのエロ少年
<1922> ただのエロ少年

//<1923> ユリブサイク
<1923> ユリブサイク

//<1924> ドピュッシー
<1924> ドピュッシー

//<1925> アメリカンエロドッグ
<1925> アメリカンエロドッグ

//<1926> ゼウス
<1926> ゼウス

//<1927> 日向markⅡ
<1927> 日向markⅡ

//<1928> 糞虫
<1928> 糞虫

//<1929> 量産型日向
<1929> 量産型日向

//<1930> ？？
<1930> ？？

//<1931> 「同じ植物でも、それだけ繁殖方法が異なる」
<1931> 「同じ植物でも、それだけ繁殖方法が異なる」

//<1932> nothing
<1932> nothing

//<1933> nothing
<1933> nothing

//<1934> nothing
<1934> nothing

//<1935> nothing
<1935> nothing

//<1936> nothing
<1936> nothing

//<1937> 岩沢
<1937> 岩沢

//<1938> 「ふーーーん、そんな風に植物を見たことはなかったな」
<1938> 「ふーーーん、そんな風に植物を見たことはなかったな」

//<1939> nothing
<1939> nothing

//<1940> nothing
<1940> nothing

//<1941> nothing
<1941> nothing

//<1942> nothing
<1942> nothing

//<1943> nothing
<1943> nothing

//<1944> 岩沢
<1944> 岩沢

//<1945> 「なら少しそんなことを考えながら、作詞とかしてみるよ」
<1945> 「なら少しそんなことを考えながら、作詞とかしてみるよ」

//<1946> nothing
<1946> nothing

//<1947> nothing
<1947> nothing

//<1948> nothing
<1948> nothing

//<1949> nothing
<1949> nothing

//<1950> nothing
<1950> nothing

//<1951> nothing
<1951> nothing

//<1952> 俺の話から作詞に繋がるなんて、かなり気に入ってくれたネタのようだ。
<1952> 俺の話から作詞に繋がるなんて、かなり気に入ってくれたネタのようだ。

//<1953> ちょっと嬉しくなる。
<1953> ちょっと嬉しくなる。

//<1954> 俺は浮かれながら、空き教室を後にした。
<1954> 俺は浮かれながら、空き教室を後にした。

//<1955> 音無
<1955> 音無

//<1956> クソ坊主
<1956> クソ坊主

//<1957> 代理人
<1957> 代理人

//<1958> 微妙すぎるイケメン
<1958> 微妙すぎるイケメン

//<1959> ロリコン
<1959> ロリコン

//<1960> メガネ仲間
<1960> メガネ仲間

//<1961> 暗算日本記録保持者
<1961> 暗算日本記録保持者

//<1962> 通り魔
<1962> 通り魔

//<1963> 記憶ナシ男
<1963> 記憶ナシ男

//<1964> 音速
<1964> 音速

//<1965> 無限
<1965> 無限

//<1966> エロ侍
<1966> エロ侍

//<1967> エロエロ団ナンバー１
<1967> エロエロ団ナンバー１

//<1968> ただのエロ少年
<1968> ただのエロ少年

//<1969> ユリブサイク
<1969> ユリブサイク

//<1970> ドピュッシー
<1970> ドピュッシー

//<1971> アメリカンエロドッグ
<1971> アメリカンエロドッグ

//<1972> ゼウス
<1972> ゼウス

//<1973> 日向markⅡ
<1973> 日向markⅡ

//<1974> 糞虫
<1974> 糞虫

//<1975> 量産型日向
<1975> 量産型日向

//<1976> ？？
<1976> ？？

//<1977> 「日向って居るじゃん？」
<1977> 「日向って居るじゃん？」

//<1978> nothing
<1978> nothing

//<1979> nothing
<1979> nothing

//<1980> nothing
<1980> nothing

//<1981> nothing
<1981> nothing

//<1982> nothing
<1982> nothing

//<1983> 岩沢
<1983> 岩沢

//<1984> 「ああ、長い付き合いだが、あいつがどうした？」
<1984> 「ああ、長い付き合いだが、あいつがどうした？」

//<1985> 音無
<1985> 音無

//<1986> クソ坊主
<1986> クソ坊主

//<1987> 代理人
<1987> 代理人

//<1988> 微妙すぎるイケメン
<1988> 微妙すぎるイケメン

//<1989> ロリコン
<1989> ロリコン

//<1990> メガネ仲間
<1990> メガネ仲間

//<1991> 暗算日本記録保持者
<1991> 暗算日本記録保持者

//<1992> 通り魔
<1992> 通り魔

//<1993> 記憶ナシ男
<1993> 記憶ナシ男

//<1994> 音速
<1994> 音速

//<1995> 無限
<1995> 無限

//<1996> エロ侍
<1996> エロ侍

//<1997> エロエロ団ナンバー１
<1997> エロエロ団ナンバー１

//<1998> ただのエロ少年
<1998> ただのエロ少年

//<1999> ユリブサイク
<1999> ユリブサイク

//<2000> ドピュッシー
<2000> ドピュッシー

//<2001> アメリカンエロドッグ
<2001> アメリカンエロドッグ

//<2002> ゼウス
<2002> ゼウス

//<2003> 日向markⅡ
<2003> 日向markⅡ

//<2004> 糞虫
<2004> 糞虫

//<2005> 量産型日向
<2005> 量産型日向

//<2006> ？？
<2006> ？？

//<2007> 「一緒に風呂に入ったんだけどさ、アソコだけすげーイケてんだよっ！　あのひょろっとした体からは想像できないイケチンなんだ！」
<2007> 「一緒に風呂に入ったんだけどさ、アソコだけすげーイケてんだよっ！　あのひょろっとした体からは想像できないイケチンなんだ！」

//<2008> 音無
<2008> 音無

//<2009> クソ坊主
<2009> クソ坊主

//<2010> 代理人
<2010> 代理人

//<2011> 微妙すぎるイケメン
<2011> 微妙すぎるイケメン

//<2012> ロリコン
<2012> ロリコン

//<2013> メガネ仲間
<2013> メガネ仲間

//<2014> 暗算日本記録保持者
<2014> 暗算日本記録保持者

//<2015> 通り魔
<2015> 通り魔

//<2016> 記憶ナシ男
<2016> 記憶ナシ男

//<2017> 音速
<2017> 音速

//<2018> 無限
<2018> 無限

//<2019> エロ侍
<2019> エロ侍

//<2020> エロエロ団ナンバー１
<2020> エロエロ団ナンバー１

//<2021> ただのエロ少年
<2021> ただのエロ少年

//<2022> ユリブサイク
<2022> ユリブサイク

//<2023> ドピュッシー
<2023> ドピュッシー

//<2024> アメリカンエロドッグ
<2024> アメリカンエロドッグ

//<2025> ゼウス
<2025> ゼウス

//<2026> 日向markⅡ
<2026> 日向markⅡ

//<2027> 糞虫
<2027> 糞虫

//<2028> 量産型日向
<2028> 量産型日向

//<2029> ？？
<2029> ？？

//<2030> 「どうだ、面白いだろ！？　はっはっは！！」
<2030> 「どうだ、面白いだろ！？　はっはっは！！」

//<2031> nothing
<2031> nothing

//<2032> nothing
<2032> nothing

//<2033> nothing
<2033> nothing

//<2034> nothing
<2034> nothing

//<2035> nothing
<2035> nothing

//<2036> 岩沢
<2036> 岩沢

//<2037> 「…あんた、最低だな」
<2037> 「…あんた、最低だな」

//<2038> 冷たく言い放たれる。
<2038> 冷たく言い放たれる。

//<2039> 音無
<2039> 音無

//<2040> クソ坊主
<2040> クソ坊主

//<2041> 代理人
<2041> 代理人

//<2042> 微妙すぎるイケメン
<2042> 微妙すぎるイケメン

//<2043> ロリコン
<2043> ロリコン

//<2044> メガネ仲間
<2044> メガネ仲間

//<2045> 暗算日本記録保持者
<2045> 暗算日本記録保持者

//<2046> 通り魔
<2046> 通り魔

//<2047> 記憶ナシ男
<2047> 記憶ナシ男

//<2048> 音速
<2048> 音速

//<2049> 無限
<2049> 無限

//<2050> エロ侍
<2050> エロ侍

//<2051> エロエロ団ナンバー１
<2051> エロエロ団ナンバー１

//<2052> ただのエロ少年
<2052> ただのエロ少年

//<2053> ユリブサイク
<2053> ユリブサイク

//<2054> ドピュッシー
<2054> ドピュッシー

//<2055> アメリカンエロドッグ
<2055> アメリカンエロドッグ

//<2056> ゼウス
<2056> ゼウス

//<2057> 日向markⅡ
<2057> 日向markⅡ

//<2058> 糞虫
<2058> 糞虫

//<2059> 量産型日向
<2059> 量産型日向

//<2060> ？？
<2060> ？？

//<2061> 「ええっ…？」
<2061> 「ええっ…？」

//<2062> nothing
<2062> nothing

//<2063> nothing
<2063> nothing

//<2064> nothing
<2064> nothing

//<2065> nothing
<2065> nothing

//<2066> nothing
<2066> nothing

//<2067> 岩沢
<2067> 岩沢

//<2068> 「そんな身体的特徴をあざ笑えるなんて…」
<2068> 「そんな身体的特徴をあざ笑えるなんて…」

//<2069> 音無
<2069> 音無

//<2070> クソ坊主
<2070> クソ坊主

//<2071> 代理人
<2071> 代理人

//<2072> 微妙すぎるイケメン
<2072> 微妙すぎるイケメン

//<2073> ロリコン
<2073> ロリコン

//<2074> メガネ仲間
<2074> メガネ仲間

//<2075> 暗算日本記録保持者
<2075> 暗算日本記録保持者

//<2076> 通り魔
<2076> 通り魔

//<2077> 記憶ナシ男
<2077> 記憶ナシ男

//<2078> 音速
<2078> 音速

//<2079> 無限
<2079> 無限

//<2080> エロ侍
<2080> エロ侍

//<2081> エロエロ団ナンバー１
<2081> エロエロ団ナンバー１

//<2082> ただのエロ少年
<2082> ただのエロ少年

//<2083> ユリブサイク
<2083> ユリブサイク

//<2084> ドピュッシー
<2084> ドピュッシー

//<2085> アメリカンエロドッグ
<2085> アメリカンエロドッグ

//<2086> ゼウス
<2086> ゼウス

//<2087> 日向markⅡ
<2087> 日向markⅡ

//<2088> 糞虫
<2088> 糞虫

//<2089> 量産型日向
