// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> そうだ。図書館に行くと決めていたんだった。
<0000> そうだ。図書館に行くと決めていたんだった。
<1462> アメリカンエロドッグ

//<1463> ゼウス
<1463> ゼウス

//<1464> 日向markⅡ
<1464> 日向markⅡ

//<1465> 糞虫
<1465> 糞虫

//<1466> 量産型日向
<1466> 量産型日向

//<1467> ？？
<1467> ？？

//<1468> （全３１巻ーーーー！！）
<1468> （全３１巻ーーーー！！）

//<1469> 音無
<1469> 音無

//<1470> クソ坊主
<1470> クソ坊主

//<1471> 代理人
<1471> 代理人

//<1472> 微妙すぎるイケメン
<1472> 微妙すぎるイケメン

//<1473> ロリコン
<1473> ロリコン

//<1474> メガネ仲間
<1474> メガネ仲間

//<1475> 暗算日本記録保持者
<1475> 暗算日本記録保持者

//<1476> 通り魔
<1476> 通り魔

//<1477> 記憶ナシ男
<1477> 記憶ナシ男

//<1478> 音速
<1478> 音速

//<1479> 無限
<1479> 無限

//<1480> エロ侍
<1480> エロ侍

//<1481> エロエロ団ナンバー１
<1481> エロエロ団ナンバー１

//<1482> ただのエロ少年
<1482> ただのエロ少年

//<1483> ユリブサイク
<1483> ユリブサイク

//<1484> ドピュッシー
<1484> ドピュッシー

//<1485> アメリカンエロドッグ
<1485> アメリカンエロドッグ

//<1486> ゼウス
<1486> ゼウス

//<1487> 日向markⅡ
<1487> 日向markⅡ

//<1488> 糞虫
<1488> 糞虫

//<1489> 量産型日向
<1489> 量産型日向

//<1490> ？？
<1490> ？？

//<1491> （どう考えても、これは小分けにするべきだろーー！！）
<1491> （どう考えても、これは小分けにするべきだろーー！！）

//<1492> 白
<1492> 白
{224ef} 0a // 1492

//<1493> nothing
<1493> nothing

//<1494> nothing
<1494> nothing

//<1495> nothing
<1495> nothing

//<1496> nothing
<1496> nothing

//<1497> nothing
<1497> nothing

//<1498> 日向
<1498> 日向

//<1499> 男Ｂ
<1499> 男Ｂ

//<1500> エロエロ団総帥
<1500> エロエロ団総帥

//<1501> イケチン
<1501> イケチン

//<1502> ホモ太
<1502> ホモ太

//<1503> ひなチン
<1503> ひなチン

//<1504> 秀樹
<1504> 秀樹

//<1505> 男子生徒
<1505> 男子生徒

//<1506> ？？
<1506> ？？

//<1507> 「生きていた頃はそうかもしれねーけど、１０冊や２０冊以上借りようが何の文句も言われねーよ。実際俺もそうしてるし」
<1507> 「生きていた頃はそうかもしれねーけど、１０冊や２０冊以上借りようが何の文句も言われねーよ。実際俺もそうしてるし」

//<1508> 音無
<1508> 音無

//<1509> クソ坊主
<1509> クソ坊主

//<1510> 代理人
<1510> 代理人

//<1511> 微妙すぎるイケメン
<1511> 微妙すぎるイケメン

//<1512> ロリコン
<1512> ロリコン

//<1513> メガネ仲間
<1513> メガネ仲間

//<1514> 暗算日本記録保持者
<1514> 暗算日本記録保持者

//<1515> 通り魔
<1515> 通り魔

//<1516> 記憶ナシ男
<1516> 記憶ナシ男

//<1517> 音速
<1517> 音速

//<1518> 無限
<1518> 無限

//<1519> エロ侍
<1519> エロ侍

//<1520> エロエロ団ナンバー１
<1520> エロエロ団ナンバー１

//<1521> ただのエロ少年
<1521> ただのエロ少年

//<1522> ユリブサイク
<1522> ユリブサイク

//<1523> ドピュッシー
<1523> ドピュッシー

//<1524> アメリカンエロドッグ
<1524> アメリカンエロドッグ

//<1525> ゼウス
<1525> ゼウス

//<1526> 日向markⅡ
<1526> 日向markⅡ

//<1527> 糞虫
<1527> 糞虫

//<1528> 量産型日向
<1528> 量産型日向

//<1529> ？？
<1529> ？？

//<1530> （またもなんてフラッシュバックが！！）
<1530> （またもなんてフラッシュバックが！！）

//<1531> 音無
<1531> 音無

//<1532> クソ坊主
<1532> クソ坊主

//<1533> 代理人
<1533> 代理人

//<1534> 微妙すぎるイケメン
<1534> 微妙すぎるイケメン

//<1535> ロリコン
<1535> ロリコン

//<1536> メガネ仲間
<1536> メガネ仲間

//<1537> 暗算日本記録保持者
<1537> 暗算日本記録保持者

//<1538> 通り魔
<1538> 通り魔

//<1539> 記憶ナシ男
<1539> 記憶ナシ男

//<1540> 音速
<1540> 音速

//<1541> 無限
<1541> 無限

//<1542> エロ侍
<1542> エロ侍

//<1543> エロエロ団ナンバー１
<1543> エロエロ団ナンバー１

//<1544> ただのエロ少年
<1544> ただのエロ少年

//<1545> ユリブサイク
<1545> ユリブサイク

//<1546> ドピュッシー
<1546> ドピュッシー

//<1547> アメリカンエロドッグ
<1547> アメリカンエロドッグ

//<1548> ゼウス
<1548> ゼウス

//<1549> 日向markⅡ
<1549> 日向markⅡ

//<1550> 糞虫
<1550> 糞虫

//<1551> 量産型日向
<1551> 量産型日向

//<1552> ？？
<1552> ？？

//<1553> （１０冊、２０冊がいけるのなら、３０冊もいけるのかもしれない…）
<1553> （１０冊、２０冊がいけるのなら、３０冊もいけるのかもしれない…）

//<1554> 音無
<1554> 音無

//<1555> クソ坊主
<1555> クソ坊主

//<1556> 代理人
<1556> 代理人

//<1557> 微妙すぎるイケメン
<1557> 微妙すぎるイケメン

//<1558> ロリコン
<1558> ロリコン

//<1559> メガネ仲間
<1559> メガネ仲間

//<1560> 暗算日本記録保持者
<1560> 暗算日本記録保持者

//<1561> 通り魔
<1561> 通り魔

//<1562> 記憶ナシ男
<1562> 記憶ナシ男

//<1563> 音速
<1563> 音速

//<1564> 無限
<1564> 無限

//<1565> エロ侍
<1565> エロ侍

//<1566> エロエロ団ナンバー１
<1566> エロエロ団ナンバー１

//<1567> ただのエロ少年
<1567> ただのエロ少年

//<1568> ユリブサイク
<1568> ユリブサイク

//<1569> ドピュッシー
<1569> ドピュッシー

//<1570> アメリカンエロドッグ
<1570> アメリカンエロドッグ

//<1571> ゼウス
<1571> ゼウス

//<1572> 日向markⅡ
<1572> 日向markⅡ

//<1573> 糞虫
<1573> 糞虫

//<1574> 量産型日向
<1574> 量産型日向

//<1575> ？？
<1575> ？？

//<1576> 「ふーーーーーー…」
<1576> 「ふーーーーーー…」

//<1577> 深く息をついた後、決心する。
<1577> 深く息をついた後、決心する。

//<1578> nothing
<1578> nothing

//<1579> 
<1579> 

//<1580> 
<1580> 

//<1581> nothing
<1581> nothing

//<1582> １巻を除く、残る３０冊の一気借りをしよう。
<1582> １巻を除く、残る３０冊の一気借りをしよう。

//<1583> 音無
<1583> 音無

//<1584> クソ坊主
<1584> クソ坊主

//<1585> 代理人
<1585> 代理人

//<1586> 微妙すぎるイケメン
<1586> 微妙すぎるイケメン

//<1587> ロリコン
<1587> ロリコン

//<1588> メガネ仲間
<1588> メガネ仲間

//<1589> 暗算日本記録保持者
<1589> 暗算日本記録保持者

//<1590> 通り魔
<1590> 通り魔

//<1591> 記憶ナシ男
<1591> 記憶ナシ男

//<1592> 音速
<1592> 音速

//<1593> 無限
<1593> 無限

//<1594> エロ侍
<1594> エロ侍

//<1595> エロエロ団ナンバー１
<1595> エロエロ団ナンバー１

//<1596> ただのエロ少年
<1596> ただのエロ少年

//<1597> ユリブサイク
<1597> ユリブサイク

//<1598> ドピュッシー
<1598> ドピュッシー

//<1599> アメリカンエロドッグ
<1599> アメリカンエロドッグ

//<1600> ゼウス
<1600> ゼウス

//<1601> 日向markⅡ
<1601> 日向markⅡ

//<1602> 糞虫
<1602> 糞虫

//<1603> 量産型日向
<1603> 量産型日向

//<1604> ？？
<1604> ？？

//<1605> （勇者だな、俺…）
<1605> （勇者だな、俺…）

//<1606> でも、一気には運べない。小分けにして司書さんの待つカウンターへ運んだ。
<1606> でも、一気には運べない。小分けにして司書さんの待つカウンターへ運んだ。

//<1607> 音無
<1607> 音無

//<1608> クソ坊主
<1608> クソ坊主

//<1609> 代理人
<1609> 代理人

//<1610> 微妙すぎるイケメン
<1610> 微妙すぎるイケメン

//<1611> ロリコン
<1611> ロリコン

//<1612> メガネ仲間
<1612> メガネ仲間

//<1613> 暗算日本記録保持者
<1613> 暗算日本記録保持者

//<1614> 通り魔
<1614> 通り魔

//<1615> 記憶ナシ男
<1615> 記憶ナシ男

//<1616> 音速
<1616> 音速

//<1617> 無限
<1617> 無限

//<1618> エロ侍
<1618> エロ侍

//<1619> エロエロ団ナンバー１
<1619> エロエロ団ナンバー１

//<1620> ただのエロ少年
<1620> ただのエロ少年

//<1621> ユリブサイク
<1621> ユリブサイク

//<1622> ドピュッシー
<1622> ドピュッシー

//<1623> アメリカンエロドッグ
<1623> アメリカンエロドッグ

//<1624> ゼウス
<1624> ゼウス

//<1625> 日向markⅡ
<1625> 日向markⅡ

//<1626> 糞虫
<1626> 糞虫

//<1627> 量産型日向
<1627> 量産型日向

//<1628> ？？
<1628> ？？

//<1629> 「エロしく…いやっ、よろしくお願いしますっ」
<1629> 「エロしく…いやっ、よろしくお願いしますっ」

//<1630> そして、図書カードを提出する。
<1630> そして、図書カードを提出する。

//<1631> 本当にこの量が通るのか！？
<1631> 本当にこの量が通るのか！？

//<1632> 司書
<1632> 司書

//<1633> 「はい。少々お待ちください」
<1633> 「はい。少々お待ちください」

//<1634> バーコードリーダーで、通し始めた。
<1634> バーコードリーダーで、通し始めた。

//<1635> 音無
<1635> 音無

//<1636> クソ坊主
<1636> クソ坊主

//<1637> 代理人
<1637> 代理人

//<1638> 微妙すぎるイケメン
<1638> 微妙すぎるイケメン

//<1639> ロリコン
<1639> ロリコン

//<1640> メガネ仲間
<1640> メガネ仲間

//<1641> 暗算日本記録保持者
<1641> 暗算日本記録保持者

//<1642> 通り魔
<1642> 通り魔

//<1643> 記憶ナシ男
<1643> 記憶ナシ男

//<1644> 音速
<1644> 音速

//<1645> 無限
<1645> 無限

//<1646> エロ侍
<1646> エロ侍

//<1647> エロエロ団ナンバー１
<1647> エロエロ団ナンバー１

//<1648> ただのエロ少年
<1648> ただのエロ少年

//<1649> ユリブサイク
<1649> ユリブサイク

//<1650> ドピュッシー
<1650> ドピュッシー

//<1651> アメリカンエロドッグ
<1651> アメリカンエロドッグ

//<1652> ゼウス
<1652> ゼウス

//<1653> 日向markⅡ
<1653> 日向markⅡ

//<1654> 糞虫
<1654> 糞虫

//<1655> 量産型日向
<1655> 量産型日向

//<1656> ？？
<1656> ？？

//<1657> （通ったあぁぁぁーーーー！！）
<1657> （通ったあぁぁぁーーーー！！）

//<1658> 心の中でガッツポーズ。
<1658> 心の中でガッツポーズ。

//<1659> 音無
<1659> 音無

//<1660> クソ坊主
<1660> クソ坊主

//<1661> 代理人
<1661> 代理人

//<1662> 微妙すぎるイケメン
<1662> 微妙すぎるイケメン

//<1663> ロリコン
<1663> ロリコン

//<1664> メガネ仲間
<1664> メガネ仲間

//<1665> 暗算日本記録保持者
<1665> 暗算日本記録保持者

//<1666> 通り魔
<1666> 通り魔

//<1667> 記憶ナシ男
<1667> 記憶ナシ男

//<1668> 音速
<1668> 音速

//<1669> 無限
<1669> 無限

//<1670> エロ侍
<1670> エロ侍

//<1671> エロエロ団ナンバー１
<1671> エロエロ団ナンバー１

//<1672> ただのエロ少年
<1672> ただのエロ少年

//<1673> ユリブサイク
<1673> ユリブサイク

//<1674> ドピュッシー
<1674> ドピュッシー

//<1675> アメリカンエロドッグ
<1675> アメリカンエロドッグ

//<1676> ゼウス
<1676> ゼウス

//<1677> 日向markⅡ
<1677> 日向markⅡ

//<1678> 糞虫
<1678> 糞虫

//<1679> 量産型日向
<1679> 量産型日向

//<1680> ？？
<1680> ？？

//<1681> （せめて司書さんが男性だったらここまでのプレッシャーはなかったのに…）
<1681> （せめて司書さんが男性だったらここまでのプレッシャーはなかったのに…）

//<1682> ３０冊のバーコードを通すのも時間がかかり、後ろに人が並び始めた…。
<1682> ３０冊のバーコードを通すのも時間がかかり、後ろに人が並び始めた…。

//<1683> 音無
<1683> 音無

//<1684> クソ坊主
<1684> クソ坊主

//<1685> 代理人
<1685> 代理人

//<1686> 微妙すぎるイケメン
<1686> 微妙すぎるイケメン

//<1687> ロリコン
<1687> ロリコン

//<1688> メガネ仲間
<1688> メガネ仲間

//<1689> 暗算日本記録保持者
<1689> 暗算日本記録保持者

//<1690> 通り魔
<1690> 通り魔

//<1691> 記憶ナシ男
<1691> 記憶ナシ男

//<1692> 音速
<1692> 音速

//<1693> 無限
<1693> 無限

//<1694> エロ侍
<1694> エロ侍

//<1695> エロエロ団ナンバー１
<1695> エロエロ団ナンバー１

//<1696> ただのエロ少年
<1696> ただのエロ少年

//<1697> ユリブサイク
<1697> ユリブサイク

//<1698> ドピュッシー
<1698> ドピュッシー

//<1699> アメリカンエロドッグ
<1699> アメリカンエロドッグ

//<1700> ゼウス
<1700> ゼウス

//<1701> 日向markⅡ
<1701> 日向markⅡ

//<1702> 糞虫
<1702> 糞虫

//<1703> 量産型日向
<1703> 量産型日向

//<1704> ？？
<1704> ？？

//<1705> （うわあ！！　俺がエロ漫画を３０冊も借りようとしていることがバレバレだ！　公開処刑のようじゃないかぁーー！！）
<1705> （うわあ！！　俺がエロ漫画を３０冊も借りようとしていることがバレバレだ！　公開処刑のようじゃないかぁーー！！）

//<1706> どばっと冷や汗が出る。
<1706> どばっと冷や汗が出る。

//<1707> ようやく、ぴっ、と最後の一冊が通された。
<1707> ようやく、ぴっ、と最後の一冊が通された。

//<1708> 音無
<1708> 音無

//<1709> クソ坊主
<1709> クソ坊主

//<1710> 代理人
<1710> 代理人

//<1711> 微妙すぎるイケメン
<1711> 微妙すぎるイケメン

//<1712> ロリコン
<1712> ロリコン

//<1713> メガネ仲間
<1713> メガネ仲間

//<1714> 暗算日本記録保持者
<1714> 暗算日本記録保持者

//<1715> 通り魔
<1715> 通り魔

//<1716> 記憶ナシ男
<1716> 記憶ナシ男

//<1717> 音速
<1717> 音速

//<1718> 無限
<1718> 無限

//<1719> エロ侍
<1719> エロ侍

//<1720> エロエロ団ナンバー１
<1720> エロエロ団ナンバー１

//<1721> ただのエロ少年
<1721> ただのエロ少年

//<1722> ユリブサイク
<1722> ユリブサイク

//<1723> ドピュッシー
<1723> ドピュッシー

//<1724> アメリカンエロドッグ
<1724> アメリカンエロドッグ

//<1725> ゼウス
<1725> ゼウス

//<1726> 日向markⅡ
<1726> 日向markⅡ

//<1727> 糞虫
<1727> 糞虫

//<1728> 量産型日向
<1728> 量産型日向

//<1729> ？？
<1729> ？？

//<1730> （よし！）
<1730> （よし！）

//<1731> 司書
<1731> 司書

//<1732> 「袋はお持ちではないですか？」
<1732> 「袋はお持ちではないですか？」

//<1733> そう訊かれ、頭が真っ白になる。
<1733> そう訊かれ、頭が真っ白になる。

//<1734> 音無
<1734> 音無

//<1735> クソ坊主
<1735> クソ坊主

//<1736> 代理人
<1736> 代理人

//<1737> 微妙すぎるイケメン
<1737> 微妙すぎるイケメン

//<1738> ロリコン
<1738> ロリコン

//<1739> メガネ仲間
<1739> メガネ仲間

//<1740> 暗算日本記録保持者
<1740> 暗算日本記録保持者

//<1741> 通り魔
<1741> 通り魔

//<1742> 記憶ナシ男
<1742> 記憶ナシ男

//<1743> 音速
<1743> 音速

//<1744> 無限
<1744> 無限

//<1745> エロ侍
<1745> エロ侍

//<1746> エロエロ団ナンバー１
<1746> エロエロ団ナンバー１

//<1747> ただのエロ少年
<1747> ただのエロ少年

//<1748> ユリブサイク
<1748> ユリブサイク

//<1749> ドピュッシー
<1749> ドピュッシー

//<1750> アメリカンエロドッグ
<1750> アメリカンエロドッグ

//<1751> ゼウス
<1751> ゼウス

//<1752> 日向markⅡ
<1752> 日向markⅡ

//<1753> 糞虫
<1753> 糞虫

//<1754> 量産型日向
<1754> 量産型日向

//<1755> ？？
<1755> ？？

//<1756> （…！？　袋…なんの袋だ…？）
<1756> （…！？　袋…なんの袋だ…？）

//<1757> 本を入れる袋
<1757> 本を入れる袋

//<1758> 股の間の袋
<1758> 股の間の袋

//<1759> selbtn : 
<1759> selbtn : 

//<1760> 音無
<1760> 音無

//<1761> クソ坊主
<1761> クソ坊主

//<1762> 代理人
<1762> 代理人

//<1763> 微妙すぎるイケメン
<1763> 微妙すぎるイケメン

//<1764> ロリコン
<1764> ロリコン

//<1765> メガネ仲間
<1765> メガネ仲間

//<1766> 暗算日本記録保持者
<1766> 暗算日本記録保持者

//<1767> 通り魔
<1767> 通り魔

//<1768> 記憶ナシ男
<1768> 記憶ナシ男

//<1769> 音速
<1769> 音速

//<1770> 無限
<1770> 無限

//<1771> エロ侍
<1771> エロ侍

//<1772> エロエロ団ナンバー１
<1772> エロエロ団ナンバー１

//<1773> ただのエロ少年
<1773> ただのエロ少年

//<1774> ユリブサイク
<1774> ユリブサイク

//<1775> ドピュッシー
<1775> ドピュッシー

//<1776> アメリカンエロドッグ
<1776> アメリカンエロドッグ

//<1777> ゼウス
<1777> ゼウス

//<1778> 日向markⅡ
<1778> 日向markⅡ

//<1779> 糞虫
<1779> 糞虫

//<1780> 量産型日向
<1780> 量産型日向

//<1781> ？？
<1781> ？？

//<1782> （あーーーー！！）
<1782> （あーーーー！！）

//<1783> ようやく気づく。どうやってこの３０冊を部屋に持ち帰る？　それを入れる袋が必要だったんだ。
<1783> ようやく気づく。どうやってこの３０冊を部屋に持ち帰る？　それを入れる袋が必要だったんだ。

//<1784> 音無
<1784> 音無

//<1785> クソ坊主
<1785> クソ坊主

//<1786> 代理人
<1786> 代理人

//<1787> 微妙すぎるイケメン
<1787> 微妙すぎるイケメン

//<1788> ロリコン
<1788> ロリコン

//<1789> メガネ仲間
<1789> メガネ仲間

//<1790> 暗算日本記録保持者
<1790> 暗算日本記録保持者

//<1791> 通り魔
<1791> 通り魔

//<1792> 記憶ナシ男
<1792> 記憶ナシ男

//<1793> 音速
<1793> 音速

//<1794> 無限
<1794> 無限

//<1795> エロ侍
<1795> エロ侍

//<1796> エロエロ団ナンバー１
<1796> エロエロ団ナンバー１

//<1797> ただのエロ少年
<1797> ただのエロ少年

//<1798> ユリブサイク
<1798> ユリブサイク

//<1799> ドピュッシー
<1799> ドピュッシー

//<1800> アメリカンエロドッグ
<1800> アメリカンエロドッグ

//<1801> ゼウス
<1801> ゼウス

//<1802> 日向markⅡ
<1802> 日向markⅡ

//<1803> 糞虫
<1803> 糞虫

//<1804> 量産型日向
<1804> 量産型日向

//<1805> ？？
<1805> ？？

//<1806> 「ないです…」
<1806> 「ないです…」

//<1807> そう正直に答えるしかなかった…。
<1807> そう正直に答えるしかなかった…。

//<1808> 音無
<1808> 音無

//<1809> クソ坊主
<1809> クソ坊主

//<1810> 代理人
<1810> 代理人

//<1811> 微妙すぎるイケメン
<1811> 微妙すぎるイケメン

//<1812> ロリコン
<1812> ロリコン

//<1813> メガネ仲間
<1813> メガネ仲間

//<1814> 暗算日本記録保持者
<1814> 暗算日本記録保持者

//<1815> 通り魔
<1815> 通り魔

//<1816> 記憶ナシ男
<1816> 記憶ナシ男

//<1817> 音速
<1817> 音速

//<1818> 無限
<1818> 無限

//<1819> エロ侍
<1819> エロ侍

//<1820> エロエロ団ナンバー１
<1820> エロエロ団ナンバー１

//<1821> ただのエロ少年
<1821> ただのエロ少年

//<1822> ユリブサイク
<1822> ユリブサイク

//<1823> ドピュッシー
<1823> ドピュッシー

//<1824> アメリカンエロドッグ
<1824> アメリカンエロドッグ

//<1825> ゼウス
<1825> ゼウス

//<1826> 日向markⅡ
<1826> 日向markⅡ

//<1827> 糞虫
<1827> 糞虫

//<1828> 量産型日向
<1828> 量産型日向

//<1829> ？？
<1829> ？？

//<1830> （まさか、あそこの袋のことか…！？　それならある！！）
<1830> （まさか、あそこの袋のことか…！？　それならある！！）

//<1831> 音無
<1831> 音無

//<1832> クソ坊主
<1832> クソ坊主

//<1833> 代理人
<1833> 代理人

//<1834> 微妙すぎるイケメン
<1834> 微妙すぎるイケメン

//<1835> ロリコン
<1835> ロリコン

//<1836> メガネ仲間
<1836> メガネ仲間

//<1837> 暗算日本記録保持者
<1837> 暗算日本記録保持者

//<1838> 通り魔
<1838> 通り魔

//<1839> 記憶ナシ男
<1839> 記憶ナシ男

//<1840> 音速
<1840> 音速

//<1841> 無限
<1841> 無限

//<1842> エロ侍
<1842> エロ侍

//<1843> エロエロ団ナンバー１
<1843> エロエロ団ナンバー１

//<1844> ただのエロ少年
<1844> ただのエロ少年

//<1845> ユリブサイク
<1845> ユリブサイク

//<1846> ドピュッシー
<1846> ドピュッシー

//<1847> アメリカンエロドッグ
<1847> アメリカンエロドッグ

//<1848> ゼウス
<1848> ゼウス

//<1849> 日向markⅡ
<1849> 日向markⅡ

//<1850> 糞虫
<1850> 糞虫

//<1851> 量産型日向
<1851> 量産型日向

//<1852> ？？
<1852> ？？

//<1853> 「あ、あります…」
<1853> 「あ、あります…」

//<1854> 司書
<1854> 司書

//<1855> 「なら、このままで大丈夫ですね。どうぞ」
<1855> 「なら、このままで大丈夫ですね。どうぞ」

//<1856> 音無
<1856> 音無

//<1857> クソ坊主
<1857> クソ坊主

//<1858> 代理人
<1858> 代理人

//<1859> 微妙すぎるイケメン
<1859> 微妙すぎるイケメン

//<1860> ロリコン
<1860> ロリコン

//<1861> メガネ仲間
<1861> メガネ仲間

//<1862> 暗算日本記録保持者
<1862> 暗算日本記録保持者

//<1863> 通り魔
<1863> 通り魔

//<1864> 記憶ナシ男
<1864> 記憶ナシ男

//<1865> 音速
<1865> 音速

//<1866> 無限
<1866> 無限

//<1867> エロ侍
<1867> エロ侍

//<1868> エロエロ団ナンバー１
<1868> エロエロ団ナンバー１

//<1869> ただのエロ少年
<1869> ただのエロ少年

//<1870> ユリブサイク
<1870> ユリブサイク

//<1871> ドピュッシー
<1871> ドピュッシー

//<1872> アメリカンエロドッグ
<1872> アメリカンエロドッグ

//<1873> ゼウス
<1873> ゼウス

//<1874> 日向markⅡ
<1874> 日向markⅡ

//<1875> 糞虫
<1875> 糞虫

//<1876> 量産型日向
<1876> 量産型日向

//<1877> ？？
<1877> ？？

//<1878> 「ん？」
<1878> 「ん？」

//<1879> どうやってこの３０冊を部屋に持ち帰る？
<1879> どうやってこの３０冊を部屋に持ち帰る？

//<1880> se_cannon_destruction
<1880> se_cannon_destruction

//<1881> 音無
<1881> 音無

//<1882> クソ坊主
<1882> クソ坊主

//<1883> 代理人
<1883> 代理人

//<1884> 微妙すぎるイケメン
<1884> 微妙すぎるイケメン

//<1885> ロリコン
<1885> ロリコン

//<1886> メガネ仲間
<1886> メガネ仲間

//<1887> 暗算日本記録保持者
<1887> 暗算日本記録保持者

//<1888> 通り魔
<1888> 通り魔

//<1889> 記憶ナシ男
<1889> 記憶ナシ男

//<1890> 音速
<1890> 音速

//<1891> 無限
<1891> 無限

//<1892> エロ侍
<1892> エロ侍

//<1893> エロエロ団ナンバー１
<1893> エロエロ団ナンバー１

//<1894> ただのエロ少年
<1894> ただのエロ少年

//<1895> ユリブサイク
<1895> ユリブサイク

//<1896> ドピュッシー
<1896> ドピュッシー

//<1897> アメリカンエロドッグ
<1897> アメリカンエロドッグ

//<1898> ゼウス
<1898> ゼウス

//<1899> 日向markⅡ
<1899> 日向markⅡ

//<1900> 糞虫
<1900> 糞虫

//<1901> 量産型日向
<1901> 量産型日向

//<1902> ？？
<1902> ？？

//<1903> 「あーーーー！！」
<1903> 「あーーーー！！」

//<1904> ようやく気づく。
<1904> ようやく気づく。

//<1905> 音無
<1905> 音無

//<1906> クソ坊主
<1906> クソ坊主

//<1907> 代理人
<1907> 代理人

//<1908> 微妙すぎるイケメン
<1908> 微妙すぎるイケメン

//<1909> ロリコン
<1909> ロリコン

//<1910> メガネ仲間
<1910> メガネ仲間

//<1911> 暗算日本記録保持者
<1911> 暗算日本記録保持者

//<1912> 通り魔
<1912> 通り魔

//<1913> 記憶ナシ男
<1913> 記憶ナシ男

//<1914> 音速
<1914> 音速

//<1915> 無限
<1915> 無限

//<1916> エロ侍
<1916> エロ侍

//<1917> エロエロ団ナンバー１
<1917> エロエロ団ナンバー１

//<1918> ただのエロ少年
<1918> ただのエロ少年

//<1919> ユリブサイク
<1919> ユリブサイク

//<1920> ドピュッシー
<1920> ドピュッシー

//<1921> アメリカンエロドッグ
<1921> アメリカンエロドッグ

//<1922> ゼウス
<1922> ゼウス

//<1923> 日向markⅡ
<1923> 日向markⅡ

//<1924> 糞虫
<1924> 糞虫

//<1925> 量産型日向
<1925> 量産型日向

//<1926> ？？
<1926> ？？

//<1927> （さっきの袋は、本を入れるための袋のことを指していたんだぁーーー！！）
<1927> （さっきの袋は、本を入れるための袋のことを指していたんだぁーーー！！）

//<1928> 司書
<1928> 司書

//<1929> 「どうしました？」
<1929> 「どうしました？」

//<1930> 立ち往生している俺に司書さんが声をかけてくる。こうなりゃ、開き直って言うしかない。
<1930> 立ち往生している俺に司書さんが声をかけてくる。こうなりゃ、開き直って言うしかない。

//<1931> 音無
<1931> 音無

//<1932> クソ坊主
<1932> クソ坊主

//<1933> 代理人
<1933> 代理人

//<1934> 微妙すぎるイケメン
<1934> 微妙すぎるイケメン

//<1935> ロリコン
<1935> ロリコン

//<1936> メガネ仲間
<1936> メガネ仲間

//<1937> 暗算日本記録保持者
<1937> 暗算日本記録保持者

//<1938> 通り魔
<1938> 通り魔

//<1939> 記憶ナシ男
<1939> 記憶ナシ男

//<1940> 音速
<1940> 音速

//<1941> 無限
<1941> 無限

//<1942> エロ侍
<1942> エロ侍

//<1943> エロエロ団ナンバー１
<1943> エロエロ団ナンバー１

//<1944> ただのエロ少年
<1944> ただのエロ少年

//<1945> ユリブサイク
<1945> ユリブサイク

//<1946> ドピュッシー
<1946> ドピュッシー

//<1947> アメリカンエロドッグ
<1947> アメリカンエロドッグ

//<1948> ゼウス
<1948> ゼウス

//<1949> 日向markⅡ
<1949> 日向markⅡ

//<1950> 糞虫
<1950> 糞虫

//<1951> 量産型日向
<1951> 量産型日向

//<1952> ？？
<1952> ？？

//<1953> 「すみません、違う袋と勘違いしていました…。袋はありません…」
<1953> 「すみません、違う袋と勘違いしていました…。袋はありません…」

//<1954> 司書
<1954> 司書

//<1955> 「では、こちらをお使いください」
<1955> 「では、こちらをお使いください」

//<1956> すると、布製の緑色をした大きなバッグが差し出された。
<1956> すると、布製の緑色をした大きなバッグが差し出された。

//<1957> 音無
<1957> 音無

//<1958> クソ坊主
<1958> クソ坊主

//<1959> 代理人
<1959> 代理人

//<1960> 微妙すぎるイケメン
<1960> 微妙すぎるイケメン

//<1961> ロリコン
<1961> ロリコン

//<1962> メガネ仲間
<1962> メガネ仲間

//<1963> 暗算日本記録保持者
<1963> 暗算日本記録保持者

//<1964> 通り魔
<1964> 通り魔

//<1965> 記憶ナシ男
<1965> 記憶ナシ男

//<1966> 音速
<1966> 音速

//<1967> 無限
<1967> 無限

//<1968> エロ侍
<1968> エロ侍

//<1969> エロエロ団ナンバー１
<1969> エロエロ団ナンバー１

//<1970> ただのエロ少年
<1970> ただのエロ少年

//<1971> ユリブサイク
