// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ

//<2803> 通り魔
<2803> 通り魔

//<2804> 記憶ナシ男
<2804> 記憶ナシ男

//<2805> 音速
<2805> 音速

//<2806> 無限
<2806> 無限

//<2807> エロ侍
<2807> エロ侍

//<2808> エロエロ団ナンバー１
<2808> エロエロ団ナンバー１

//<2809> ただのエロ少年
<2809> ただのエロ少年

//<2810> ユリブサイク
<2810> ユリブサイク

//<2811> ドピュッシー
<2811> ドピュッシー

//<2812> アメリカンエロドッグ
<2812> アメリカンエロドッグ

//<2813> ゼウス
<2813> ゼウス

//<2814> 日向markⅡ
<2814> 日向markⅡ

//<2815> 糞虫
<2815> 糞虫

//<2816> 量産型日向
<2816> 量産型日向

//<2817> ？？
<2817> ？？

//<2818> （天使が居る…？）
<2818> （天使が居る…？）

//<2819> いや、岩沢だって居るじゃないか。
<2819> いや、岩沢だって居るじゃないか。

//<2820> 音無
<2820> 音無

//<2821> クソ坊主
<2821> クソ坊主

//<2822> 代理人
<2822> 代理人

//<2823> 微妙すぎるイケメン
<2823> 微妙すぎるイケメン

//<2824> ロリコン
<2824> ロリコン

//<2825> メガネ仲間
<2825> メガネ仲間

//<2826> 暗算日本記録保持者
<2826> 暗算日本記録保持者

//<2827> 通り魔
<2827> 通り魔

//<2828> 記憶ナシ男
<2828> 記憶ナシ男

//<2829> 音速
<2829> 音速

//<2830> 無限
<2830> 無限

//<2831> エロ侍
<2831> エロ侍

//<2832> エロエロ団ナンバー１
<2832> エロエロ団ナンバー１

//<2833> ただのエロ少年
<2833> ただのエロ少年

//<2834> ユリブサイク
<2834> ユリブサイク

//<2835> ドピュッシー
<2835> ドピュッシー

//<2836> アメリカンエロドッグ
<2836> アメリカンエロドッグ

//<2837> ゼウス
<2837> ゼウス

//<2838> 日向markⅡ
<2838> 日向markⅡ

//<2839> 糞虫
<2839> 糞虫

//<2840> 量産型日向
<2840> 量産型日向

//<2841> ？？
<2841> ？？

//<2842> （いやいや、俺には日向が居るじゃないか！）
<2842> （いやいや、俺には日向が居るじゃないか！）

//<2843> 日向と居続けられるように、今後は慎重に動こう…。
<2843> 日向と居続けられるように、今後は慎重に動こう…。

//<2844> 音無
<2844> 音無

//<2845> クソ坊主
<2845> クソ坊主

//<2846> 代理人
<2846> 代理人

//<2847> 微妙すぎるイケメン
<2847> 微妙すぎるイケメン

//<2848> ロリコン
<2848> ロリコン

//<2849> メガネ仲間
<2849> メガネ仲間

//<2850> 暗算日本記録保持者
<2850> 暗算日本記録保持者

//<2851> 通り魔
<2851> 通り魔

//<2852> 記憶ナシ男
<2852> 記憶ナシ男

//<2853> 音速
<2853> 音速

//<2854> 無限
<2854> 無限

//<2855> エロ侍
<2855> エロ侍

//<2856> エロエロ団ナンバー１
<2856> エロエロ団ナンバー１

//<2857> ただのエロ少年
<2857> ただのエロ少年

//<2858> ユリブサイク
<2858> ユリブサイク

//<2859> ドピュッシー
<2859> ドピュッシー

//<2860> アメリカンエロドッグ
<2860> アメリカンエロドッグ

//<2861> ゼウス
<2861> ゼウス

//<2862> 日向markⅡ
<2862> 日向markⅡ

//<2863> 糞虫
<2863> 糞虫

//<2864> 量産型日向
<2864> 量産型日向

//<2865> ？？
<2865> ？？

//<2866> （いやいや、俺には野田が居るじゃないか！）
<2866> （いやいや、俺には野田が居るじゃないか！）

//<2867> 野田と居続けられるように、今後は慎重に動こう…。
<2867> 野田と居続けられるように、今後は慎重に動こう…。

//<2868> ゆり
<2868> ゆり

//<2869> 女生徒
<2869> 女生徒

//<2870> ？？
<2870> ？？

//<2871> 「いいわね？」
<2871> 「いいわね？」

//<2872> 音無
<2872> 音無

//<2873> クソ坊主
<2873> クソ坊主

//<2874> 代理人
<2874> 代理人

//<2875> 微妙すぎるイケメン
<2875> 微妙すぎるイケメン

//<2876> ロリコン
<2876> ロリコン

//<2877> メガネ仲間
<2877> メガネ仲間

//<2878> 暗算日本記録保持者
<2878> 暗算日本記録保持者

//<2879> 通り魔
<2879> 通り魔

//<2880> 記憶ナシ男
<2880> 記憶ナシ男

//<2881> 音速
<2881> 音速

//<2882> 無限
<2882> 無限

//<2883> エロ侍
<2883> エロ侍

//<2884> エロエロ団ナンバー１
<2884> エロエロ団ナンバー１

//<2885> ただのエロ少年
<2885> ただのエロ少年

//<2886> ユリブサイク
<2886> ユリブサイク

//<2887> ドピュッシー
<2887> ドピュッシー

//<2888> アメリカンエロドッグ
<2888> アメリカンエロドッグ

//<2889> ゼウス
<2889> ゼウス

//<2890> 日向markⅡ
<2890> 日向markⅡ

//<2891> 糞虫
<2891> 糞虫

//<2892> 量産型日向
<2892> 量産型日向

//<2893> ？？
<2893> ？？

//<2894> 「ああ」
<2894> 「ああ」

//<2895> nothing
<2895> nothing

//<2896> nothing
<2896> nothing

//<2897> nothing
<2897> nothing

//<2898> nothing
<2898> nothing

//<2899> nothing
<2899> nothing

//<2900> ゆり
<2900> ゆり

//<2901> 女生徒
<2901> 女生徒

//<2902> ？？
<2902> ？？

//<2903> 「じゃ、帰っていいわよ。おやすみなさい」
<2903> 「じゃ、帰っていいわよ。おやすみなさい」

//<2904> 音無
<2904> 音無

//<2905> クソ坊主
<2905> クソ坊主

//<2906> 代理人
<2906> 代理人

//<2907> 微妙すぎるイケメン
<2907> 微妙すぎるイケメン

//<2908> ロリコン
<2908> ロリコン

//<2909> メガネ仲間
<2909> メガネ仲間

//<2910> 暗算日本記録保持者
<2910> 暗算日本記録保持者

//<2911> 通り魔
<2911> 通り魔

//<2912> 記憶ナシ男
<2912> 記憶ナシ男

//<2913> 音速
<2913> 音速

//<2914> 無限
<2914> 無限

//<2915> エロ侍
<2915> エロ侍

//<2916> エロエロ団ナンバー１
<2916> エロエロ団ナンバー１

//<2917> ただのエロ少年
<2917> ただのエロ少年

//<2918> ユリブサイク
<2918> ユリブサイク

//<2919> ドピュッシー
<2919> ドピュッシー

//<2920> アメリカンエロドッグ
<2920> アメリカンエロドッグ

//<2921> ゼウス
<2921> ゼウス

//<2922> 日向markⅡ
<2922> 日向markⅡ

//<2923> 糞虫
<2923> 糞虫

//<2924> 量産型日向
<2924> 量産型日向

//<2925> ？？
<2925> ？？

//<2926> 「ああ、おやすみ」
<2926> 「ああ、おやすみ」

//<2927> nothing
<2927> nothing

//<2928> nothing
<2928> nothing

//<2929> nothing
<2929> nothing

//<2930> nothing
<2930> nothing

//<2931> nothing
<2931> nothing

//<2932> 日向
<2932> 日向

//<2933> 男Ｂ
<2933> 男Ｂ

//<2934> エロエロ団総帥
<2934> エロエロ団総帥

//<2935> イケチン
<2935> イケチン

//<2936> ホモ太
<2936> ホモ太

//<2937> ひなチン
<2937> ひなチン

//<2938> 秀樹
<2938> 秀樹

//<2939> 男子生徒
<2939> 男子生徒

//<2940> ？？
<2940> ？？

//<2941> 「どーした？　ゆりっぺに何言われた？」
<2941> 「どーした？　ゆりっぺに何言われた？」

//<2942> 日向はちょうど風呂上がりのようで、ジャージ姿でさっぱりとしていた。
<2942> 日向はちょうど風呂上がりのようで、ジャージ姿でさっぱりとしていた。

//<2943> 音無
<2943> 音無

//<2944> クソ坊主
<2944> クソ坊主

//<2945> 代理人
<2945> 代理人

//<2946> 微妙すぎるイケメン
<2946> 微妙すぎるイケメン

//<2947> ロリコン
<2947> ロリコン

//<2948> メガネ仲間
<2948> メガネ仲間

//<2949> 暗算日本記録保持者
<2949> 暗算日本記録保持者

//<2950> 通り魔
<2950> 通り魔

//<2951> 記憶ナシ男
<2951> 記憶ナシ男

//<2952> 音速
<2952> 音速

//<2953> 無限
<2953> 無限

//<2954> エロ侍
<2954> エロ侍

//<2955> エロエロ団ナンバー１
<2955> エロエロ団ナンバー１

//<2956> ただのエロ少年
<2956> ただのエロ少年

//<2957> ユリブサイク
<2957> ユリブサイク

//<2958> ドピュッシー
<2958> ドピュッシー

//<2959> アメリカンエロドッグ
<2959> アメリカンエロドッグ

//<2960> ゼウス
<2960> ゼウス

//<2961> 日向markⅡ
<2961> 日向markⅡ

//<2962> 糞虫
<2962> 糞虫

//<2963> 量産型日向
<2963> 量産型日向

//<2964> ？？
<2964> ？？

//<2965> 「ちょっと注意されただけだ。気にしないでくれ」
<2965> 「ちょっと注意されただけだ。気にしないでくれ」

//<2966> nothing
<2966> nothing

//<2967> nothing
<2967> nothing

//<2968> nothing
<2968> nothing

//<2969> nothing
<2969> nothing

//<2970> nothing
<2970> nothing

//<2971> 日向
<2971> 日向

//<2972> 男Ｂ
<2972> 男Ｂ

//<2973> エロエロ団総帥
<2973> エロエロ団総帥

//<2974> イケチン
<2974> イケチン

//<2975> ホモ太
<2975> ホモ太

//<2976> ひなチン
<2976> ひなチン

//<2977> 秀樹
<2977> 秀樹

//<2978> 男子生徒
<2978> 男子生徒

//<2979> ？？
<2979> ？？

//<2980> 「そっかー。ゆりっぺは言葉巧みだからなぁー。信念は突き通すべきだぜ？」
<2980> 「そっかー。ゆりっぺは言葉巧みだからなぁー。信念は突き通すべきだぜ？」

//<2981> 音無
<2981> 音無

//<2982> クソ坊主
<2982> クソ坊主

//<2983> 代理人
<2983> 代理人

//<2984> 微妙すぎるイケメン
<2984> 微妙すぎるイケメン

//<2985> ロリコン
<2985> ロリコン

//<2986> メガネ仲間
<2986> メガネ仲間

//<2987> 暗算日本記録保持者
<2987> 暗算日本記録保持者

//<2988> 通り魔
<2988> 通り魔

//<2989> 記憶ナシ男
<2989> 記憶ナシ男

//<2990> 音速
<2990> 音速

//<2991> 無限
<2991> 無限

//<2992> エロ侍
<2992> エロ侍

//<2993> エロエロ団ナンバー１
<2993> エロエロ団ナンバー１

//<2994> ただのエロ少年
<2994> ただのエロ少年

//<2995> ユリブサイク
<2995> ユリブサイク

//<2996> ドピュッシー
<2996> ドピュッシー

//<2997> アメリカンエロドッグ
<2997> アメリカンエロドッグ

//<2998> ゼウス
<2998> ゼウス

//<2999> 日向markⅡ
<2999> 日向markⅡ

//<3000> 糞虫
<3000> 糞虫

//<3001> 量産型日向
<3001> 量産型日向

//<3002> ？？
<3002> ？？

//<3003> 「ああ、だな…」
<3003> 「ああ、だな…」

//<3004> nothing
<3004> nothing

//<3005> nothing
<3005> nothing

//<3006> nothing
<3006> nothing

//<3007> nothing
<3007> nothing

//<3008> nothing
<3008> nothing

//<3009> 日向
<3009> 日向

//<3010> 男Ｂ
<3010> 男Ｂ

//<3011> エロエロ団総帥
<3011> エロエロ団総帥

//<3012> イケチン
<3012> イケチン

//<3013> ホモ太
<3013> ホモ太

//<3014> ひなチン
<3014> ひなチン

//<3015> 秀樹
<3015> 秀樹

//<3016> 男子生徒
<3016> 男子生徒

//<3017> ？？
<3017> ？？

//<3018> 「どーした？　ゆりっぺに何言われた？」
<3018> 「どーした？　ゆりっぺに何言われた？」

//<3019> 日向は制服姿のままで待ってくれていた。
<3019> 日向は制服姿のままで待ってくれていた。

//<3020> 音無
<3020> 音無

//<3021> クソ坊主
<3021> クソ坊主

//<3022> 代理人
<3022> 代理人

//<3023> 微妙すぎるイケメン
<3023> 微妙すぎるイケメン

//<3024> ロリコン
<3024> ロリコン

//<3025> メガネ仲間
<3025> メガネ仲間

//<3026> 暗算日本記録保持者
<3026> 暗算日本記録保持者

//<3027> 通り魔
<3027> 通り魔

//<3028> 記憶ナシ男
<3028> 記憶ナシ男

//<3029> 音速
<3029> 音速

//<3030> 無限
<3030> 無限

//<3031> エロ侍
<3031> エロ侍

//<3032> エロエロ団ナンバー１
<3032> エロエロ団ナンバー１

//<3033> ただのエロ少年
<3033> ただのエロ少年

//<3034> ユリブサイク
<3034> ユリブサイク

//<3035> ドピュッシー
<3035> ドピュッシー

//<3036> アメリカンエロドッグ
<3036> アメリカンエロドッグ

//<3037> ゼウス
<3037> ゼウス

//<3038> 日向markⅡ
<3038> 日向markⅡ

//<3039> 糞虫
<3039> 糞虫

//<3040> 量産型日向
<3040> 量産型日向

//<3041> ？？
<3041> ？？

//<3042> 「ちょっと注意されただけだ。気にしないでくれ」
<3042> 「ちょっと注意されただけだ。気にしないでくれ」

//<3043> nothing
<3043> nothing

//<3044> nothing
<3044> nothing

//<3045> nothing
<3045> nothing

//<3046> nothing
<3046> nothing

//<3047> nothing
<3047> nothing

//<3048> 日向
<3048> 日向

//<3049> 男Ｂ
<3049> 男Ｂ

//<3050> エロエロ団総帥
<3050> エロエロ団総帥

//<3051> イケチン
<3051> イケチン

//<3052> ホモ太
<3052> ホモ太

//<3053> ひなチン
<3053> ひなチン

//<3054> 秀樹
<3054> 秀樹

//<3055> 男子生徒
<3055> 男子生徒

//<3056> ？？
<3056> ？？

//<3057> 「そっかー。ゆりっぺは言葉巧みだからなぁー。信念は突き通すべきだぜ？」
<3057> 「そっかー。ゆりっぺは言葉巧みだからなぁー。信念は突き通すべきだぜ？」

//<3058> 音無
<3058> 音無

//<3059> クソ坊主
<3059> クソ坊主

//<3060> 代理人
<3060> 代理人

//<3061> 微妙すぎるイケメン
<3061> 微妙すぎるイケメン

//<3062> ロリコン
<3062> ロリコン

//<3063> メガネ仲間
<3063> メガネ仲間

//<3064> 暗算日本記録保持者
<3064> 暗算日本記録保持者

//<3065> 通り魔
<3065> 通り魔

//<3066> 記憶ナシ男
<3066> 記憶ナシ男

//<3067> 音速
<3067> 音速

//<3068> 無限
<3068> 無限

//<3069> エロ侍
<3069> エロ侍

//<3070> エロエロ団ナンバー１
<3070> エロエロ団ナンバー１

//<3071> ただのエロ少年
<3071> ただのエロ少年

//<3072> ユリブサイク
<3072> ユリブサイク

//<3073> ドピュッシー
<3073> ドピュッシー

//<3074> アメリカンエロドッグ
<3074> アメリカンエロドッグ

//<3075> ゼウス
<3075> ゼウス

//<3076> 日向markⅡ
<3076> 日向markⅡ

//<3077> 糞虫
<3077> 糞虫

//<3078> 量産型日向
<3078> 量産型日向

//<3079> ？？
<3079> ？？

//<3080> 「ああ、だな…」
<3080> 「ああ、だな…」

//<3081> nothing
<3081> nothing

//<3082> nothing
<3082> nothing

//<3083> nothing
<3083> nothing

//<3084> nothing
<3084> nothing

//<3085> nothing
<3085> nothing

//<3086> 日向
<3086> 日向

//<3087> 男Ｂ
<3087> 男Ｂ

//<3088> エロエロ団総帥
<3088> エロエロ団総帥

//<3089> イケチン
<3089> イケチン

//<3090> ホモ太
<3090> ホモ太

//<3091> ひなチン
<3091> ひなチン

//<3092> 秀樹
<3092> 秀樹

//<3093> 男子生徒
<3093> 男子生徒

//<3094> ？？
<3094> ？？

//<3095> 「じゃ、また先に風呂行くな」
<3095> 「じゃ、また先に風呂行くな」

//<3096> 音無
<3096> 音無

//<3097> クソ坊主
<3097> クソ坊主

//<3098> 代理人
<3098> 代理人

//<3099> 微妙すぎるイケメン
<3099> 微妙すぎるイケメン

//<3100> ロリコン
<3100> ロリコン

//<3101> メガネ仲間
<3101> メガネ仲間

//<3102> 暗算日本記録保持者
<3102> 暗算日本記録保持者

//<3103> 通り魔
<3103> 通り魔

//<3104> 記憶ナシ男
<3104> 記憶ナシ男

//<3105> 音速
<3105> 音速

//<3106> 無限
<3106> 無限

//<3107> エロ侍
<3107> エロ侍

//<3108> エロエロ団ナンバー１
<3108> エロエロ団ナンバー１

//<3109> ただのエロ少年
<3109> ただのエロ少年

//<3110> ユリブサイク
<3110> ユリブサイク

//<3111> ドピュッシー
<3111> ドピュッシー

//<3112> アメリカンエロドッグ
<3112> アメリカンエロドッグ

//<3113> ゼウス
<3113> ゼウス

//<3114> 日向markⅡ
<3114> 日向markⅡ

//<3115> 糞虫
<3115> 糞虫

//<3116> 量産型日向
<3116> 量産型日向

//<3117> ？？
<3117> ？？

//<3118> 「ああ」
<3118> 「ああ」

//<3119> 日向とふたりでお風呂に入り、ジャージに着替える。
<3119> 日向とふたりでお風呂に入り、ジャージに着替える。

//<3120> 音無
<3120> 音無

//<3121> クソ坊主
<3121> クソ坊主

//<3122> 代理人
<3122> 代理人

//<3123> 微妙すぎるイケメン
<3123> 微妙すぎるイケメン

//<3124> ロリコン
<3124> ロリコン

//<3125> メガネ仲間
<3125> メガネ仲間

//<3126> 暗算日本記録保持者
<3126> 暗算日本記録保持者

//<3127> 通り魔
<3127> 通り魔

//<3128> 記憶ナシ男
<3128> 記憶ナシ男

//<3129> 音速
<3129> 音速

//<3130> 無限
<3130> 無限

//<3131> エロ侍
<3131> エロ侍

//<3132> エロエロ団ナンバー１
<3132> エロエロ団ナンバー１

//<3133> ただのエロ少年
<3133> ただのエロ少年

//<3134> ユリブサイク
<3134> ユリブサイク

//<3135> ドピュッシー
<3135> ドピュッシー

//<3136> アメリカンエロドッグ
<3136> アメリカンエロドッグ

//<3137> ゼウス
<3137> ゼウス

//<3138> 日向markⅡ
<3138> 日向markⅡ

//<3139> 糞虫
<3139> 糞虫

//<3140> 量産型日向
<3140> 量産型日向

//<3141> ？？
<3141> ？？

//<3142> 「先に行く」
<3142> 「先に行く」

//<3143> 日向
<3143> 日向

//<3144> 男Ｂ
<3144> 男Ｂ

//<3145> エロエロ団総帥
<3145> エロエロ団総帥

//<3146> イケチン
<3146> イケチン

//<3147> ホモ太
<3147> ホモ太

//<3148> ひなチン
<3148> ひなチン

//<3149> 秀樹
<3149> 秀樹

//<3150> 男子生徒
<3150> 男子生徒

//<3151> ？？
<3151> ？？

//<3152> 「えっ！？　おいっ！！」
<3152> 「えっ！？　おいっ！！」

//<3153> 脱衣所を飛び出ると、また部屋へと駆けた。
<3153> 脱衣所を飛び出ると、また部屋へと駆けた。

//<3154> 日向とふたりでお風呂に入り、ジャージに着替え、部屋に戻ってくる。
<3154> 日向とふたりでお風呂に入り、ジャージに着替え、部屋に戻ってくる。

//<3155> 日向と入れ替わりに風呂に入り、ジャージ姿になり、ダッシュで部屋に戻る。
<3155> 日向と入れ替わりに風呂に入り、ジャージ姿になり、ダッシュで部屋に戻る。

//<3156> 日向と入れ替わりに風呂に入り、ジャージ姿になり、部屋に戻る。
<3156> 日向と入れ替わりに風呂に入り、ジャージ姿になり、部屋に戻る。

//<3157> ドアを開くと、すぐベッドへ向けて一足飛び。どーーん！と壁に激突する。
<3157> ドアを開くと、すぐベッドへ向けて一足飛び。どーーん！と壁に激突する。

//<3158> 日向
<3158> 日向

//<3159> 男Ｂ
<3159> 男Ｂ

//<3160> エロエロ団総帥
<3160> エロエロ団総帥

//<3161> イケチン
<3161> イケチン

//<3162> ホモ太
<3162> ホモ太

//<3163> ひなチン
<3163> ひなチン

//<3164> 秀樹
<3164> 秀樹

//<3165> 男子生徒
<3165> 男子生徒

//<3166> ？？
<3166> ？？

//<3167> 「だからどんな勢いで戻ってくんだよっ！！」
<3167> 「だからどんな勢いで戻ってくんだよっ！！」

//<3168> 隣人
<3168> 隣人

//<3169> 「うるさいぞー」
<3169> 「うるさいぞー」

//<3170> 日向
<3170> 日向

//<3171> 男Ｂ
<3171> 男Ｂ

//<3172> エロエロ団総帥
<3172> エロエロ団総帥

//<3173> イケチン
<3173> イケチン

//<3174> ホモ太
<3174> ホモ太

//<3175> ひなチン
<3175> ひなチン

//<3176> 秀樹
<3176> 秀樹

//<3177> 男子生徒
<3177> 男子生徒

//<3178> ？？
<3178> ？？

//<3179> 「すみませーん！」
<3179> 「すみませーん！」

//<3180> 日向
<3180> 日向

//<3181> 男Ｂ
<3181> 男Ｂ

//<3182> エロエロ団総帥
<3182> エロエロ団総帥

//<3183> イケチン
<3183> イケチン

//<3184> ホモ太
<3184> ホモ太

//<3185> ひなチン
<3185> ひなチン

//<3186> 秀樹
<3186> 秀樹

//<3187> 男子生徒
<3187> 男子生徒

//<3188> ？？
<3188> ？？

//<3189> 「ってお前が謝れよっ！！」
<3189> 「ってお前が謝れよっ！！」

//<3190> 上の段から日向の声が聞こえてくるが、そんなものは無視して、読書だ。
<3190> 上の段から日向の声が聞こえてくるが、そんなものは無視して、読書だ。

//<3191> もちろん、いやらしい漫画だ。
<3191> もちろん、いやらしい漫画だ。

//<3192> 音無
<3192> 音無

//<3193> クソ坊主
<3193> クソ坊主

//<3194> 代理人
<3194> 代理人

//<3195> 微妙すぎるイケメン
<3195> 微妙すぎるイケメン

//<3196> ロリコン
<3196> ロリコン

//<3197> メガネ仲間
<3197> メガネ仲間

//<3198> 暗算日本記録保持者
<3198> 暗算日本記録保持者

//<3199> 通り魔
<3199> 通り魔

//<3200> 記憶ナシ男
<3200> 記憶ナシ男

//<3201> 音速
<3201> 音速

//<3202> 無限
<3202> 無限

//<3203> エロ侍
<3203> エロ侍

//<3204> エロエロ団ナンバー１
<3204> エロエロ団ナンバー１

//<3205> ただのエロ少年
<3205> ただのエロ少年

//<3206> ユリブサイク
<3206> ユリブサイク

//<3207> ドピュッシー
<3207> ドピュッシー

//<3208> アメリカンエロドッグ
<3208> アメリカンエロドッグ

//<3209> ゼウス
<3209> ゼウス

//<3210> 日向markⅡ
<3210> 日向markⅡ

//<3211> 糞虫
<3211> 糞虫

//<3212> 量産型日向
<3212> 量産型日向

//<3213> ？？
<3213> ？？

//<3214> （うお！　うおうおうおうおぉーーー！！）
<3214> （うお！　うおうおうおうおぉーーー！！）

//<3215> 夢中でページをめくり続けた。
<3215> 夢中でページをめくり続けた。

//<3216> 部屋のドアを開け、ベッドに素早く寝転がる。その回転の中でベッド下にすっと手を伸ばし、いやらしい漫画を掴み取り、ページも開くという大技を炸裂させた。
<3216> 部屋のドアを開け、ベッドに素早く寝転がる。その回転の中でベッド下にすっと手を伸ばし、いやらしい漫画を掴み取り、ページも開くという大技を炸裂させた。

//<3217> それにより、たった１秒で漫画を読み始められた。
<3217> それにより、たった１秒で漫画を読み始められた。

//<3218> 音無
<3218> 音無

//<3219> クソ坊主
<3219> クソ坊主

//<3220> 代理人
<3220> 代理人

//<3221> 微妙すぎるイケメン
<3221> 微妙すぎるイケメン

//<3222> ロリコン
<3222> ロリコン

//<3223> メガネ仲間
<3223> メガネ仲間

//<3224> 暗算日本記録保持者
<3224> 暗算日本記録保持者

//<3225> 通り魔
<3225> 通り魔

//<3226> 記憶ナシ男
<3226> 記憶ナシ男

//<3227> 音速
<3227> 音速

//<3228> 無限
<3228> 無限

//<3229> エロ侍
<3229> エロ侍

//<3230> エロエロ団ナンバー１
<3230> エロエロ団ナンバー１

//<3231> ただのエロ少年
<3231> ただのエロ少年

//<3232> ユリブサイク
<3232> ユリブサイク

//<3233> ドピュッシー
<3233> ドピュッシー

//<3234> アメリカンエロドッグ
<3234> アメリカンエロドッグ

//<3235> ゼウス
<3235> ゼウス

//<3236> 日向markⅡ
<3236> 日向markⅡ

//<3237> 糞虫
<3237> 糞虫

//<3238> 量産型日向
<3238> 量産型日向

//<3239> ？？
<3239> ？？

//<3240> （うおぉっ！！　えええぇぇぇえええーーー！？）
<3240> （うおぉっ！！　えええぇぇぇえええーーー！？）

//<3241> nothing
<3241> nothing

//<3242> nothing
<3242> nothing

//<3243> nothing
<3243> nothing

//<3244> nothing
<3244> nothing

//<3245> nothing
<3245> nothing

//<3246> 日向
<3246> 日向

//<3247> 男Ｂ
<3247> 男Ｂ

//<3248> エロエロ団総帥
<3248> エロエロ団総帥

//<3249> イケチン
<3249> イケチン

//<3250> ホモ太
<3250> ホモ太

//<3251> ひなチン
<3251> ひなチン

//<3252> 秀樹
<3252> 秀樹

//<3253> 男子生徒
<3253> 男子生徒

//<3254> ？？
<3254> ？？

//<3255> 「また、漫画読むためだけに急いでたのかよ…」
<3255> 「また、漫画読むためだけに急いでたのかよ…」

//<3256> nothing
<3256> nothing

//<3257> nothing
<3257> nothing

//<3258> nothing
<3258> nothing

//<3259> nothing
<3259> nothing

//<3260> nothing
<3260> nothing

//<3261> 日向
<3261> 日向

//<3262> 男Ｂ
<3262> 男Ｂ

//<3263> エロエロ団総帥
<3263> エロエロ団総帥

//<3264> イケチン
<3264> イケチン

//<3265> ホモ太
<3265> ホモ太

//<3266> ひなチン
<3266> ひなチン

//<3267> 秀樹
<3267> 秀樹

//<3268> 男子生徒
<3268> 男子生徒

//<3269> ？？
<3269> ？？

//<3270> 「下のジャージぐらい履いてから出ろよ」
<3270> 「下のジャージぐらい履いてから出ろよ」

//<3271> nothing
<3271> nothing

//<3272> nothing
<3272> nothing

//<3273> nothing
<3273> nothing

//<3274> nothing
<3274> nothing

//<3275> nothing
<3275> nothing

//<3276> 日向
<3276> 日向

//<3277> 男Ｂ
<3277> 男Ｂ

//<3278> エロエロ団総帥
<3278> エロエロ団総帥

//<3279> イケチン
<3279> イケチン

//<3280> ホモ太
<3280> ホモ太

//<3281> ひなチン
<3281> ひなチン

//<3282> 秀樹
<3282> 秀樹

//<3283> 男子生徒
<3283> 男子生徒

//<3284> ？？
<3284> ？？

//<3285> 「で、また、ドアも全開、靴も脱いでねーし、お前は子供か」
<3285> 「で、また、ドアも全開、靴も脱いでねーし、お前は子供か」

//<3286> nothing
<3286> nothing

//<3287> nothing
<3287> nothing

//<3288> nothing
<3288> nothing

//<3289> nothing
<3289> nothing

//<3290> nothing
<3290> nothing

//<3291> nothing
<3291> nothing

//<3292> 日向の声が聞こえた気がしたが、そんなものは無視だ。
<3292> 日向の声が聞こえた気がしたが、そんなものは無視だ。

//<3293> 音無
<3293> 音無

//<3294> クソ坊主
<3294> クソ坊主

//<3295> 代理人
<3295> 代理人

//<3296> 微妙すぎるイケメン
<3296> 微妙すぎるイケメン

//<3297> ロリコン
<3297> ロリコン

//<3298> メガネ仲間
<3298> メガネ仲間

//<3299> 暗算日本記録保持者
<3299> 暗算日本記録保持者

//<3300> 通り魔
<3300> 通り魔

//<3301> 記憶ナシ男
<3301> 記憶ナシ男

//<3302> 音速
<3302> 音速

//<3303> 無限
<3303> 無限

//<3304> エロ侍
<3304> エロ侍

//<3305> エロエロ団ナンバー１
<3305> エロエロ団ナンバー１

//<3306> ただのエロ少年
<3306> ただのエロ少年

//<3307> ユリブサイク
<3307> ユリブサイク

//<3308> ドピュッシー
<3308> ドピュッシー

//<3309> アメリカンエロドッグ
<3309> アメリカンエロドッグ

//<3310> ゼウス
<3310> ゼウス

//<3311> 日向markⅡ
<3311> 日向markⅡ

//<3312> 糞虫
<3312> 糞虫

//<3313> 量産型日向
<3313> 量産型日向

//<3314> ？？
<3314> ？？

//<3315> （うおおおぉぉぉーーーーーー！！）
<3315> （うおおおぉぉぉーーーーーー！！）

//<3316> 音無
<3316> 音無

//<3317> クソ坊主
<3317> クソ坊主

//<3318> 代理人
<3318> 代理人

//<3319> 微妙すぎるイケメン
<3319> 微妙すぎるイケメン

//<3320> ロリコン
<3320> ロリコン

//<3321> メガネ仲間
<3321> メガネ仲間

//<3322> 暗算日本記録保持者
<3322> 暗算日本記録保持者

//<3323> 通り魔
<3323> 通り魔

