// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。

//<14328> nothing
<14328> nothing

//<14329> nothing
<14329> nothing

//<14330> 日向
<14330> 日向

//<14331> 男Ｂ
<14331> 男Ｂ

//<14332> エロエロ団総帥
<14332> エロエロ団総帥

//<14333> イケチン
<14333> イケチン

//<14334> ホモ太
<14334> ホモ太

//<14335> ひなチン
<14335> ひなチン

//<14336> 秀樹
<14336> 秀樹

//<14337> 男子生徒
<14337> 男子生徒

//<14338> ？？
<14338> ？？

//<14339> 「なんの問題もねーよ。ガルデモチームに精一杯貢献してやりな」
<14339> 「なんの問題もねーよ。ガルデモチームに精一杯貢献してやりな」

//<14340> 音無
<14340> 音無

//<14341> クソ坊主
<14341> クソ坊主

//<14342> 代理人
<14342> 代理人

//<14343> 微妙すぎるイケメン
<14343> 微妙すぎるイケメン

//<14344> ロリコン
<14344> ロリコン

//<14345> メガネ仲間
<14345> メガネ仲間

//<14346> 暗算日本記録保持者
<14346> 暗算日本記録保持者

//<14347> 通り魔
<14347> 通り魔

//<14348> 記憶ナシ男
<14348> 記憶ナシ男

//<14349> 音速
<14349> 音速

//<14350> 無限
<14350> 無限

//<14351> エロ侍
<14351> エロ侍

//<14352> エロエロ団ナンバー１
<14352> エロエロ団ナンバー１

//<14353> ただのエロ少年
<14353> ただのエロ少年

//<14354> ユリブサイク
<14354> ユリブサイク

//<14355> ドピュッシー
<14355> ドピュッシー

//<14356> アメリカンエロドッグ
<14356> アメリカンエロドッグ

//<14357> ゼウス
<14357> ゼウス

//<14358> 日向markⅡ
<14358> 日向markⅡ

//<14359> 糞虫
<14359> 糞虫

//<14360> 量産型日向
<14360> 量産型日向

//<14361> ？？
<14361> ？？

//<14362> 「お前はほんとにいい奴だな」
<14362> 「お前はほんとにいい奴だな」

//<14363> nothing
<14363> nothing

//<14364> nothing
<14364> nothing

//<14365> nothing
<14365> nothing

//<14366> nothing
<14366> nothing

//<14367> nothing
<14367> nothing

//<14368> 日向
<14368> 日向

//<14369> 男Ｂ
<14369> 男Ｂ

//<14370> エロエロ団総帥
<14370> エロエロ団総帥

//<14371> イケチン
<14371> イケチン

//<14372> ホモ太
<14372> ホモ太

//<14373> ひなチン
<14373> ひなチン

//<14374> 秀樹
<14374> 秀樹

//<14375> 男子生徒
<14375> 男子生徒

//<14376> ？？
<14376> ？？

//<14377> 「そんなこと言うなよ。照れるじゃねーかよっ」
<14377> 「そんなこと言うなよ。照れるじゃねーかよっ」

//<14378> その姿が実に可愛い。
<14378> その姿が実に可愛い。

//<14379> none
<14379> none

//<14380> bs3_
<14380> bs3_

//<14381> nothing
<14381> nothing

//<14382> nothing
<14382> nothing

//<14383> nothing
<14383> nothing

//<14384> nothing
<14384> nothing

//<14385> nothing
<14385> nothing

//<14386> nothing
<14386> nothing

//<14387> 
<14387> 

//<14388> 
<14388> 

//<14389> nothing
<14389> nothing

//<14390> 音無
<14390> 音無

//<14391> クソ坊主
<14391> クソ坊主

//<14392> 代理人
<14392> 代理人

//<14393> 微妙すぎるイケメン
<14393> 微妙すぎるイケメン

//<14394> ロリコン
<14394> ロリコン

//<14395> メガネ仲間
<14395> メガネ仲間

//<14396> 暗算日本記録保持者
<14396> 暗算日本記録保持者

//<14397> 通り魔
<14397> 通り魔

//<14398> 記憶ナシ男
<14398> 記憶ナシ男

//<14399> 音速
<14399> 音速

//<14400> 無限
<14400> 無限

//<14401> エロ侍
<14401> エロ侍

//<14402> エロエロ団ナンバー１
<14402> エロエロ団ナンバー１

//<14403> ただのエロ少年
<14403> ただのエロ少年

//<14404> ユリブサイク
<14404> ユリブサイク

//<14405> ドピュッシー
<14405> ドピュッシー

//<14406> アメリカンエロドッグ
<14406> アメリカンエロドッグ

//<14407> ゼウス
<14407> ゼウス

//<14408> 日向markⅡ
<14408> 日向markⅡ

//<14409> 糞虫
<14409> 糞虫

//<14410> 量産型日向
<14410> 量産型日向

//<14411> ？？
<14411> ？？

//<14412> 「よっ、戦線きっての、イケハート！」
<14412> 「よっ、戦線きっての、イケハート！」

//<14413> nothing
<14413> nothing

//<14414> nothing
<14414> nothing

//<14415> nothing
<14415> nothing

//<14416> nothing
<14416> nothing

//<14417> nothing
<14417> nothing

//<14418> 日向
<14418> 日向

//<14419> 男Ｂ
<14419> 男Ｂ

//<14420> エロエロ団総帥
<14420> エロエロ団総帥

//<14421> イケチン
<14421> イケチン

//<14422> ホモ太
<14422> ホモ太

//<14423> ひなチン
<14423> ひなチン

//<14424> 秀樹
<14424> 秀樹

//<14425> 男子生徒
<14425> 男子生徒

//<14426> ？？
<14426> ？？

//<14427> 「イケハート？」
<14427> 「イケハート？」

//<14428> 音無
<14428> 音無

//<14429> クソ坊主
<14429> クソ坊主

//<14430> 代理人
<14430> 代理人

//<14431> 微妙すぎるイケメン
<14431> 微妙すぎるイケメン

//<14432> ロリコン
<14432> ロリコン

//<14433> メガネ仲間
<14433> メガネ仲間

//<14434> 暗算日本記録保持者
<14434> 暗算日本記録保持者

//<14435> 通り魔
<14435> 通り魔

//<14436> 記憶ナシ男
<14436> 記憶ナシ男

//<14437> 音速
<14437> 音速

//<14438> 無限
<14438> 無限

//<14439> エロ侍
<14439> エロ侍

//<14440> エロエロ団ナンバー１
<14440> エロエロ団ナンバー１

//<14441> ただのエロ少年
<14441> ただのエロ少年

//<14442> ユリブサイク
<14442> ユリブサイク

//<14443> ドピュッシー
<14443> ドピュッシー

//<14444> アメリカンエロドッグ
<14444> アメリカンエロドッグ

//<14445> ゼウス
<14445> ゼウス

//<14446> 日向markⅡ
<14446> 日向markⅡ

//<14447> 糞虫
<14447> 糞虫

//<14448> 量産型日向
<14448> 量産型日向

//<14449> ？？
<14449> ？？

//<14450> 「イケてる心の持ち主って意味さ！」
<14450> 「イケてる心の持ち主って意味さ！」

//<14451> nothing
<14451> nothing

//<14452> nothing
<14452> nothing

//<14453> nothing
<14453> nothing

//<14454> nothing
<14454> nothing

//<14455> nothing
<14455> nothing

//<14456> 日向
<14456> 日向

//<14457> 男Ｂ
<14457> 男Ｂ

//<14458> エロエロ団総帥
<14458> エロエロ団総帥

//<14459> イケチン
<14459> イケチン

//<14460> ホモ太
<14460> ホモ太

//<14461> ひなチン
<14461> ひなチン

//<14462> 秀樹
<14462> 秀樹

//<14463> 男子生徒
<14463> 男子生徒

//<14464> ？？
<14464> ？？

//<14465> 「俺なんて全然イケてねーぜ！　俺よりもっとイケハートな奴が戦線にはいるぜ！？」
<14465> 「俺なんて全然イケてねーぜ！　俺よりもっとイケハートな奴が戦線にはいるぜ！？」

//<14466> 音無
<14466> 音無

//<14467> クソ坊主
<14467> クソ坊主

//<14468> 代理人
<14468> 代理人

//<14469> 微妙すぎるイケメン
<14469> 微妙すぎるイケメン

//<14470> ロリコン
<14470> ロリコン

//<14471> メガネ仲間
<14471> メガネ仲間

//<14472> 暗算日本記録保持者
<14472> 暗算日本記録保持者

//<14473> 通り魔
<14473> 通り魔

//<14474> 記憶ナシ男
<14474> 記憶ナシ男

//<14475> 音速
<14475> 音速

//<14476> 無限
<14476> 無限

//<14477> エロ侍
<14477> エロ侍

//<14478> エロエロ団ナンバー１
<14478> エロエロ団ナンバー１

//<14479> ただのエロ少年
<14479> ただのエロ少年

//<14480> ユリブサイク
<14480> ユリブサイク

//<14481> ドピュッシー
<14481> ドピュッシー

//<14482> アメリカンエロドッグ
<14482> アメリカンエロドッグ

//<14483> ゼウス
<14483> ゼウス

//<14484> 日向markⅡ
<14484> 日向markⅡ

//<14485> 糞虫
<14485> 糞虫

//<14486> 量産型日向
<14486> 量産型日向

//<14487> ？？
<14487> ？？

//<14488> 「いやいや、新米にこれだけイケてる気遣いをしてくれるお前こそ、真のイケハートだぜ！！」
<14488> 「いやいや、新米にこれだけイケてる気遣いをしてくれるお前こそ、真のイケハートだぜ！！」

//<14489> nothing
<14489> nothing

//<14490> nothing
<14490> nothing

//<14491> nothing
<14491> nothing

//<14492> nothing
<14492> nothing

//<14493> nothing
<14493> nothing

//<14494> 日向
<14494> 日向

//<14495> 男Ｂ
<14495> 男Ｂ

//<14496> エロエロ団総帥
<14496> エロエロ団総帥

//<14497> イケチン
<14497> イケチン

//<14498> ホモ太
<14498> ホモ太

//<14499> ひなチン
<14499> ひなチン

//<14500> 秀樹
<14500> 秀樹

//<14501> 男子生徒
<14501> 男子生徒

//<14502> ？？
<14502> ？？

//<14503> 「いやいや、俺よりお前のほうがイケハートだってーの！！」
<14503> 「いやいや、俺よりお前のほうがイケハートだってーの！！」

//<14504> また日向とキャッキャウフフした。
<14504> また日向とキャッキャウフフした。

//<14505> none
<14505> none

//<14506> none
<14506> none

//<14507> none
<14507> none

//<14508> none
<14508> none

//<14509> none
<14509> none

//<14510> none
<14510> none

//<14511> 
<14511> 

//<14512> 音無
<14512> 音無

//<14513> クソ坊主
<14513> クソ坊主

//<14514> 代理人
<14514> 代理人

//<14515> 微妙すぎるイケメン
<14515> 微妙すぎるイケメン

//<14516> ロリコン
<14516> ロリコン

//<14517> メガネ仲間
<14517> メガネ仲間

//<14518> 暗算日本記録保持者
<14518> 暗算日本記録保持者

//<14519> 通り魔
<14519> 通り魔

//<14520> 記憶ナシ男
<14520> 記憶ナシ男

//<14521> 音速
<14521> 音速

//<14522> 無限
<14522> 無限

//<14523> エロ侍
<14523> エロ侍

//<14524> エロエロ団ナンバー１
<14524> エロエロ団ナンバー１

//<14525> ただのエロ少年
<14525> ただのエロ少年

//<14526> ユリブサイク
<14526> ユリブサイク

//<14527> ドピュッシー
<14527> ドピュッシー

//<14528> アメリカンエロドッグ
<14528> アメリカンエロドッグ

//<14529> ゼウス
<14529> ゼウス

//<14530> 日向markⅡ
<14530> 日向markⅡ

//<14531> 糞虫
<14531> 糞虫

//<14532> 量産型日向
<14532> 量産型日向

//<14533> ？？
<14533> ？？

//<14534> 「ああ」
<14534> 「ああ」

//<14535> nothing
<14535> nothing

//<14536> nothing
<14536> nothing

//<14537> nothing
<14537> nothing

//<14538> nothing
<14538> nothing

//<14539> nothing
<14539> nothing

//<14540> nothing
<14540> nothing

//<14541> 未だ、日向のイケチンを見た感動が続いている。
<14541> 未だ、日向のイケチンを見た感動が続いている。

//<14542> まともに日向と顔を合わせられない。
<14542> まともに日向と顔を合わせられない。

//<14543> 今、日向と顔を合わせたなら、俺はあたふたしそうだから。そんな格好悪い姿、見せたくない。
<14543> 今、日向と顔を合わせたなら、俺はあたふたしそうだから。そんな格好悪い姿、見せたくない。

//<14544> だから、すぐさまベッドに寝転がり、また医学書の続きを読むことに。
<14544> だから、すぐさまベッドに寝転がり、また医学書の続きを読むことに。

//<14545> すぐ没入して、夢中で読み進めてしまう。
<14545> すぐ没入して、夢中で読み進めてしまう。

//<14546> だからベッドに寝転がり、一気借りしてきたいやらしい漫画の続きを読むことに。
<14546> だからベッドに寝転がり、一気借りしてきたいやらしい漫画の続きを読むことに。

//<14547> 音無
<14547> 音無

//<14548> クソ坊主
<14548> クソ坊主

//<14549> 代理人
<14549> 代理人

//<14550> 微妙すぎるイケメン
<14550> 微妙すぎるイケメン

//<14551> ロリコン
<14551> ロリコン

//<14552> メガネ仲間
<14552> メガネ仲間

//<14553> 暗算日本記録保持者
<14553> 暗算日本記録保持者

//<14554> 通り魔
<14554> 通り魔

//<14555> 記憶ナシ男
<14555> 記憶ナシ男

//<14556> 音速
<14556> 音速

//<14557> 無限
<14557> 無限

//<14558> エロ侍
<14558> エロ侍

//<14559> エロエロ団ナンバー１
<14559> エロエロ団ナンバー１

//<14560> ただのエロ少年
<14560> ただのエロ少年

//<14561> ユリブサイク
<14561> ユリブサイク

//<14562> ドピュッシー
<14562> ドピュッシー

//<14563> アメリカンエロドッグ
<14563> アメリカンエロドッグ

//<14564> ゼウス
<14564> ゼウス

//<14565> 日向markⅡ
<14565> 日向markⅡ

//<14566> 糞虫
<14566> 糞虫

//<14567> 量産型日向
<14567> 量産型日向

//<14568> ？？
<14568> ？？

//<14569> （うおお…）
<14569> （うおお…）

//<14570> 音無
<14570> 音無

//<14571> クソ坊主
<14571> クソ坊主

//<14572> 代理人
<14572> 代理人

//<14573> 微妙すぎるイケメン
<14573> 微妙すぎるイケメン

//<14574> ロリコン
<14574> ロリコン

//<14575> メガネ仲間
<14575> メガネ仲間

//<14576> 暗算日本記録保持者
<14576> 暗算日本記録保持者

//<14577> 通り魔
<14577> 通り魔

//<14578> 記憶ナシ男
<14578> 記憶ナシ男

//<14579> 音速
<14579> 音速

//<14580> 無限
<14580> 無限

//<14581> エロ侍
<14581> エロ侍

//<14582> エロエロ団ナンバー１
<14582> エロエロ団ナンバー１

//<14583> ただのエロ少年
<14583> ただのエロ少年

//<14584> ユリブサイク
<14584> ユリブサイク

//<14585> ドピュッシー
<14585> ドピュッシー

//<14586> アメリカンエロドッグ
<14586> アメリカンエロドッグ

//<14587> ゼウス
<14587> ゼウス

//<14588> 日向markⅡ
<14588> 日向markⅡ

//<14589> 糞虫
<14589> 糞虫

//<14590> 量産型日向
<14590> 量産型日向

//<14591> ？？
<14591> ？？

//<14592> （ええっ！？　ええぇぇええぇーーー！！）
<14592> （ええっ！？　ええぇぇええぇーーー！！）

//<14593> そのエロい展開に、日向のことなど忘れ、夢中になってしまう。
<14593> そのエロい展開に、日向のことなど忘れ、夢中になってしまう。

//<14594> だから、ベッドに寝転がり、漫画の続きを読むことに。
<14594> だから、ベッドに寝転がり、漫画の続きを読むことに。

//<14595> しかし、なかなか頭に入ってこない…。
<14595> しかし、なかなか頭に入ってこない…。

//<14596> ベッドに寝転がり、また医学書の続きを読むことに。
<14596> ベッドに寝転がり、また医学書の続きを読むことに。

//<14597> ベッドに寝転がり、一気借りしてきたいやらしい漫画の続きを読むことに。
<14597> ベッドに寝転がり、一気借りしてきたいやらしい漫画の続きを読むことに。

//<14598> 音無
<14598> 音無

//<14599> クソ坊主
<14599> クソ坊主

//<14600> 代理人
<14600> 代理人

//<14601> 微妙すぎるイケメン
<14601> 微妙すぎるイケメン

//<14602> ロリコン
<14602> ロリコン

//<14603> メガネ仲間
<14603> メガネ仲間

//<14604> 暗算日本記録保持者
<14604> 暗算日本記録保持者

//<14605> 通り魔
<14605> 通り魔

//<14606> 記憶ナシ男
<14606> 記憶ナシ男

//<14607> 音速
<14607> 音速

//<14608> 無限
<14608> 無限

//<14609> エロ侍
<14609> エロ侍

//<14610> エロエロ団ナンバー１
<14610> エロエロ団ナンバー１

//<14611> ただのエロ少年
<14611> ただのエロ少年

//<14612> ユリブサイク
<14612> ユリブサイク

//<14613> ドピュッシー
<14613> ドピュッシー

//<14614> アメリカンエロドッグ
<14614> アメリカンエロドッグ

//<14615> ゼウス
<14615> ゼウス

//<14616> 日向markⅡ
<14616> 日向markⅡ

//<14617> 糞虫
<14617> 糞虫

//<14618> 量産型日向
<14618> 量産型日向

//<14619> ？？
<14619> ？？

//<14620> （うおお…）
<14620> （うおお…）

//<14621> 音無
<14621> 音無

//<14622> クソ坊主
<14622> クソ坊主

//<14623> 代理人
<14623> 代理人

//<14624> 微妙すぎるイケメン
<14624> 微妙すぎるイケメン

//<14625> ロリコン
<14625> ロリコン

//<14626> メガネ仲間
<14626> メガネ仲間

//<14627> 暗算日本記録保持者
<14627> 暗算日本記録保持者

//<14628> 通り魔
<14628> 通り魔

//<14629> 記憶ナシ男
<14629> 記憶ナシ男

//<14630> 音速
<14630> 音速

//<14631> 無限
<14631> 無限

//<14632> エロ侍
<14632> エロ侍

//<14633> エロエロ団ナンバー１
<14633> エロエロ団ナンバー１

//<14634> ただのエロ少年
<14634> ただのエロ少年

//<14635> ユリブサイク
<14635> ユリブサイク

//<14636> ドピュッシー
<14636> ドピュッシー

//<14637> アメリカンエロドッグ
<14637> アメリカンエロドッグ

//<14638> ゼウス
<14638> ゼウス

//<14639> 日向markⅡ
<14639> 日向markⅡ

//<14640> 糞虫
<14640> 糞虫

//<14641> 量産型日向
<14641> 量産型日向

//<14642> ？？
<14642> ？？

//<14643> （ええっ！？　ええぇぇええぇーーー！！）
<14643> （ええっ！？　ええぇぇええぇーーー！！）

//<14644> ベッドに寝転がり、また漫画の続きを読むことに。
<14644> ベッドに寝転がり、また漫画の続きを読むことに。

//<14645> nothing
<14645> nothing

//<14646> nothing
<14646> nothing

//<14647> nothing
<14647> nothing

//<14648> nothing
<14648> nothing

//<14649> nothing
<14649> nothing

//<14650> 日向
<14650> 日向

//<14651> 男Ｂ
<14651> 男Ｂ

//<14652> エロエロ団総帥
<14652> エロエロ団総帥

//<14653> イケチン
<14653> イケチン

//<14654> ホモ太
<14654> ホモ太

//<14655> ひなチン
<14655> ひなチン

//<14656> 秀樹
<14656> 秀樹

//<14657> 男子生徒
<14657> 男子生徒

//<14658> ？？
<14658> ？？

//<14659> 「じゃ、そろそろ寝るか」
<14659> 「じゃ、そろそろ寝るか」

//<14660> nothing
<14660> nothing

//<14661> nothing
<14661> nothing

//<14662> nothing
<14662> nothing

//<14663> nothing
<14663> nothing

//<14664> nothing
<14664> nothing

//<14665> nothing
<14665> nothing

//<14666> 音無
<14666> 音無

//<14667> クソ坊主
<14667> クソ坊主

//<14668> 代理人
<14668> 代理人

//<14669> 微妙すぎるイケメン
<14669> 微妙すぎるイケメン

//<14670> ロリコン
<14670> ロリコン

//<14671> メガネ仲間
<14671> メガネ仲間

//<14672> 暗算日本記録保持者
<14672> 暗算日本記録保持者

//<14673> 通り魔
<14673> 通り魔

//<14674> 記憶ナシ男
<14674> 記憶ナシ男

//<14675> 音速
<14675> 音速

//<14676> 無限
<14676> 無限

//<14677> エロ侍
<14677> エロ侍

//<14678> エロエロ団ナンバー１
<14678> エロエロ団ナンバー１

//<14679> ただのエロ少年
<14679> ただのエロ少年

//<14680> ユリブサイク
<14680> ユリブサイク

//<14681> ドピュッシー
<14681> ドピュッシー

//<14682> アメリカンエロドッグ
<14682> アメリカンエロドッグ

//<14683> ゼウス
<14683> ゼウス

//<14684> 日向markⅡ
<14684> 日向markⅡ

//<14685> 糞虫
<14685> 糞虫

//<14686> 量産型日向
<14686> 量産型日向

//<14687> ？？
<14687> ？？

//<14688> （くっそ、内藤さんがこれからあられもない姿になる展開だったのに…！！）
<14688> （くっそ、内藤さんがこれからあられもない姿になる展開だったのに…！！）

//<14689> 音無
<14689> 音無

//<14690> クソ坊主
<14690> クソ坊主

//<14691> 代理人
<14691> 代理人

//<14692> 微妙すぎるイケメン
<14692> 微妙すぎるイケメン

//<14693> ロリコン
<14693> ロリコン

//<14694> メガネ仲間
<14694> メガネ仲間

//<14695> 暗算日本記録保持者
<14695> 暗算日本記録保持者

//<14696> 通り魔
<14696> 通り魔

//<14697> 記憶ナシ男
<14697> 記憶ナシ男

//<14698> 音速
<14698> 音速

//<14699> 無限
<14699> 無限

//<14700> エロ侍
<14700> エロ侍

//<14701> エロエロ団ナンバー１
<14701> エロエロ団ナンバー１

//<14702> ただのエロ少年
<14702> ただのエロ少年

//<14703> ユリブサイク
<14703> ユリブサイク

//<14704> ドピュッシー
<14704> ドピュッシー

//<14705> アメリカンエロドッグ
<14705> アメリカンエロドッグ

//<14706> ゼウス
<14706> ゼウス

//<14707> 日向markⅡ
<14707> 日向markⅡ

//<14708> 糞虫
<14708> 糞虫

//<14709> 量産型日向
<14709> 量産型日向

//<14710> ？？
<14710> ？？

//<14711> （って、日向のアレでも興奮して、いやらしい漫画でも興奮して…俺は両刀使いなのか…？）
<14711> （って、日向のアレでも興奮して、いやらしい漫画でも興奮して…俺は両刀使いなのか…？）

//<14712> 音無
<14712> 音無

//<14713> クソ坊主
<14713> クソ坊主

//<14714> 代理人
<14714> 代理人

//<14715> 微妙すぎるイケメン
<14715> 微妙すぎるイケメン

//<14716> ロリコン
<14716> ロリコン

//<14717> メガネ仲間
<14717> メガネ仲間

//<14718> 暗算日本記録保持者
<14718> 暗算日本記録保持者

//<14719> 通り魔
<14719> 通り魔

//<14720> 記憶ナシ男
<14720> 記憶ナシ男

//<14721> 音速
<14721> 音速

//<14722> 無限
<14722> 無限

//<14723> エロ侍
<14723> エロ侍

//<14724> エロエロ団ナンバー１
<14724> エロエロ団ナンバー１

//<14725> ただのエロ少年
<14725> ただのエロ少年

//<14726> ユリブサイク
<14726> ユリブサイク

//<14727> ドピュッシー
<14727> ドピュッシー

//<14728> アメリカンエロドッグ
<14728> アメリカンエロドッグ

//<14729> ゼウス
<14729> ゼウス

//<14730> 日向markⅡ
<14730> 日向markⅡ

//<14731> 糞虫
<14731> 糞虫

//<14732> 量産型日向
<14732> 量産型日向

//<14733> ？？
<14733> ？？

//<14734> （いやいや、まさか…！）
<14734> （いやいや、まさか…！）

//<14735> 仕方なく、本を閉じる。
<14735> 仕方なく、本を閉じる。

//<14736> 音無
<14736> 音無

//<14737> クソ坊主
<14737> クソ坊主

//<14738> 代理人
<14738> 代理人

//<14739> 微妙すぎるイケメン
<14739> 微妙すぎるイケメン

//<14740> ロリコン
<14740> ロリコン

//<14741> メガネ仲間
<14741> メガネ仲間

//<14742> 暗算日本記録保持者
<14742> 暗算日本記録保持者

//<14743> 通り魔
<14743> 通り魔

//<14744> 記憶ナシ男
<14744> 記憶ナシ男

//<14745> 音速
<14745> 音速

//<14746> 無限
<14746> 無限

//<14747> エロ侍
<14747> エロ侍

//<14748> エロエロ団ナンバー１
<14748> エロエロ団ナンバー１

//<14749> ただのエロ少年
<14749> ただのエロ少年

//<14750> ユリブサイク
<14750> ユリブサイク

//<14751> ドピュッシー
<14751> ドピュッシー

//<14752> アメリカンエロドッグ
<14752> アメリカンエロドッグ

//<14753> ゼウス
<14753> ゼウス

//<14754> 日向markⅡ
<14754> 日向markⅡ

//<14755> 糞虫
<14755> 糞虫

//<14756> 量産型日向
<14756> 量産型日向

//<14757> ？？
<14757> ？？

//<14758> 「ああ、そうだな」
<14758> 「ああ、そうだな」

//<14759> nothing
<14759> nothing

//<14760> nothing
<14760> nothing

//<14761> nothing
<14761> nothing

//<14762> nothing
<14762> nothing

//<14763> nothing
<14763> nothing

//<14764> nothing
<14764> nothing

//<14765> 漫画を閉じてベッド脇に積む。
<14765> 漫画を閉じてベッド脇に積む。

//<14766> nothing
<14766> nothing

//<14767> nothing
<14767> nothing

//<14768> nothing
<14768> nothing

//<14769> nothing
<14769> nothing

//<14770> nothing
<14770> nothing

//<14771> nothing
<14771> nothing

//<14772> 音無
<14772> 音無

//<14773> クソ坊主
<14773> クソ坊主

//<14774> 代理人
<14774> 代理人

//<14775> 微妙すぎるイケメン
<14775> 微妙すぎるイケメン

//<14776> ロリコン
<14776> ロリコン

//<14777> メガネ仲間
<14777> メガネ仲間

//<14778> 暗算日本記録保持者
<14778> 暗算日本記録保持者

//<14779> 通り魔
<14779> 通り魔

//<14780> 記憶ナシ男
<14780> 記憶ナシ男

//<14781> 音速
<14781> 音速

//<14782> 無限
<14782> 無限

//<14783> エロ侍
<14783> エロ侍

//<14784> エロエロ団ナンバー１
<14784> エロエロ団ナンバー１

//<14785> ただのエロ少年
<14785> ただのエロ少年

//<14786> ユリブサイク
<14786> ユリブサイク

//<14787> ドピュッシー
<14787> ドピュッシー

//<14788> アメリカンエロドッグ
<14788> アメリカンエロドッグ

//<14789> ゼウス
<14789> ゼウス

//<14790> 日向markⅡ
<14790> 日向markⅡ

//<14791> 糞虫
<14791> 糞虫

//<14792> 量産型日向
<14792> 量産型日向

//<14793> ？？
<14793> ？？

//<14794> 「………」
<14794> 「………」

//<14795> 日向
<14795> 日向

//<14796> 男Ｂ
<14796> 男Ｂ

//<14797> エロエロ団総帥
<14797> エロエロ団総帥

//<14798> イケチン
<14798> イケチン

//<14799> ホモ太
<14799> ホモ太

//<14800> ひなチン
<14800> ひなチン

//<14801> 秀樹
<14801> 秀樹

//<14802> 男子生徒
<14802> 男子生徒

//<14803> ？？
<14803> ？？

//<14804> 「おーーい」
<14804> 「おーーい」

//<14805> nothing
<14805> nothing

//<14806> nothing
<14806> nothing

//<14807> nothing
<14807> nothing

//<14808> nothing
<14808> nothing

//<14809> nothing
<14809> nothing

//<14810> すぐ横に日向の顔。
<14810> すぐ横に日向の顔。

//<14811> 音無
<14811> 音無

//<14812> クソ坊主
<14812> クソ坊主

//<14813> 代理人
<14813> 代理人

//<14814> 微妙すぎるイケメン
<14814> 微妙すぎるイケメン

//<14815> ロリコン
<14815> ロリコン

//<14816> メガネ仲間
<14816> メガネ仲間

//<14817> 暗算日本記録保持者
<14817> 暗算日本記録保持者

//<14818> 通り魔
<14818> 通り魔

//<14819> 記憶ナシ男
<14819> 記憶ナシ男

//<14820> 音速
<14820> 音速

//<14821> 無限
<14821> 無限

//<14822> エロ侍
<14822> エロ侍

//<14823> エロエロ団ナンバー１
<14823> エロエロ団ナンバー１

//<14824> ただのエロ少年
<14824> ただのエロ少年

//<14825> ユリブサイク
<14825> ユリブサイク

//<14826> ドピュッシー
<14826> ドピュッシー

//<14827> アメリカンエロドッグ
<14827> アメリカンエロドッグ

//<14828> ゼウス
<14828> ゼウス

//<14829> 日向markⅡ
<14829> 日向markⅡ

//<14830> 糞虫
<14830> 糞虫

//<14831> 量産型日向
<14831> 量産型日向

//<14832> ？？
<14832> ？？

//<14833> 「うわああぁぁぁぁーーーー！！」
<14833> 「うわああぁぁぁぁーーーー！！」

//<14834> nothing
<14834> nothing

//<14835> nothing
<14835> nothing

//<14836> nothing
<14836> nothing

//<14837> nothing
<14837> nothing

//<14838> nothing
<14838> nothing

//<14839> 日向
<14839> 日向

//<14840> 男Ｂ
<14840> 男Ｂ

//<14841> エロエロ団総帥
<14841> エロエロ団総帥

//<14842> イケチン
<14842> イケチン

//<14843> ホモ太
<14843> ホモ太

//<14844> ひなチン
<14844> ひなチン

//<14845> 秀樹
<14845> 秀樹

//<14846> 男子生徒
<14846> 男子生徒

//<14847> ？？
<14847> ？？

//<14848> 「おっと、驚かしちまったか…」
<14848> 「おっと、驚かしちまったか…」

//<14849> 音無
<14849> 音無

//<14850> クソ坊主
<14850> クソ坊主

//<14851> 代理人
<14851> 代理人

//<14852> 微妙すぎるイケメン
<14852> 微妙すぎるイケメン

//<14853> ロリコン
<14853> ロリコン

//<14854> メガネ仲間
<14854> メガネ仲間

//<14855> 暗算日本記録保持者
<14855> 暗算日本記録保持者

//<14856> 通り魔
<14856> 通り魔

//<14857> 記憶ナシ男
<14857> 記憶ナシ男

//<14858> 音速
<14858> 音速

//<14859> 無限
<14859> 無限

//<14860> エロ侍
<14860> エロ侍

//<14861> エロエロ団ナンバー１
<14861> エロエロ団ナンバー１

