// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<2936> 無限

//<2937> エロ侍
<2937> エロ侍

//<2938> エロエロ団ナンバー１
<2938> エロエロ団ナンバー１

//<2939> ただのエロ少年
<2939> ただのエロ少年

//<2940> ユリブサイク
<2940> ユリブサイク

//<2941> ドピュッシー
<2941> ドピュッシー

//<2942> アメリカンエロドッグ
<2942> アメリカンエロドッグ

//<2943> ゼウス
<2943> ゼウス

//<2944> 日向markⅡ
<2944> 日向markⅡ

//<2945> 糞虫
<2945> 糞虫

//<2946> 量産型日向
<2946> 量産型日向

//<2947> ？？
<2947> ？？

//<2948> 「何がだよ…」
<2948> 「何がだよ…」

//<2949> nothing
<2949> nothing

//<2950> nothing
<2950> nothing

//<2951> nothing
<2951> nothing

//<2952> nothing
<2952> nothing

//<2953> nothing
<2953> nothing

//<2954> 関根
<2954> 関根

//<2955> 「夜の蝶に例えるのはどーかと」
<2955> 「夜の蝶に例えるのはどーかと」

//<2956> nothing
<2956> nothing

//<2957> nothing
<2957> nothing

//<2958> nothing
<2958> nothing

//<2959> nothing
<2959> nothing

//<2960> nothing
<2960> nothing

//<2961> 入江
<2961> 入江

//<2962> 「意味、違っちゃうもんねぇ…」
<2962> 「意味、違っちゃうもんねぇ…」

//<2963> nothing
<2963> nothing

//<2964> nothing
<2964> nothing

//<2965> nothing
<2965> nothing

//<2966> nothing
<2966> nothing

//<2967> 関根
<2967> 関根

//<2968> 「惜しい！　いや、おかしい！！」
<2968> 「惜しい！　いや、おかしい！！」

//<2969> 音無
<2969> 音無

//<2970> クソ坊主
<2970> クソ坊主

//<2971> 代理人
<2971> 代理人

//<2972> 微妙すぎるイケメン
<2972> 微妙すぎるイケメン

//<2973> ロリコン
<2973> ロリコン

//<2974> メガネ仲間
<2974> メガネ仲間

//<2975> 暗算日本記録保持者
<2975> 暗算日本記録保持者

//<2976> 通り魔
<2976> 通り魔

//<2977> 記憶ナシ男
<2977> 記憶ナシ男

//<2978> 音速
<2978> 音速

//<2979> 無限
<2979> 無限

//<2980> エロ侍
<2980> エロ侍

//<2981> エロエロ団ナンバー１
<2981> エロエロ団ナンバー１

//<2982> ただのエロ少年
<2982> ただのエロ少年

//<2983> ユリブサイク
<2983> ユリブサイク

//<2984> ドピュッシー
<2984> ドピュッシー

//<2985> アメリカンエロドッグ
<2985> アメリカンエロドッグ

//<2986> ゼウス
<2986> ゼウス

//<2987> 日向markⅡ
<2987> 日向markⅡ

//<2988> 糞虫
<2988> 糞虫

//<2989> 量産型日向
<2989> 量産型日向

//<2990> ？？
<2990> ？？

//<2991> 「何がだよ…」
<2991> 「何がだよ…」

//<2992> nothing
<2992> nothing

//<2993> nothing
<2993> nothing

//<2994> nothing
<2994> nothing

//<2995> nothing
<2995> nothing

//<2996> nothing
<2996> nothing

//<2997> 関根
<2997> 関根

//<2998> 「蛾に例えるのはさすがにどーかと」
<2998> 「蛾に例えるのはさすがにどーかと」

//<2999> nothing
<2999> nothing

//<3000> nothing
<3000> nothing

//<3001> nothing
<3001> nothing

//<3002> nothing
<3002> nothing

//<3003> nothing
<3003> nothing

//<3004> 入江
<3004> 入江

//<3005> 「あたし、蛾、すごく苦手…」
<3005> 「あたし、蛾、すごく苦手…」

//<3006> 音無
<3006> 音無

//<3007> クソ坊主
<3007> クソ坊主

//<3008> 代理人
<3008> 代理人

//<3009> 微妙すぎるイケメン
<3009> 微妙すぎるイケメン

//<3010> ロリコン
<3010> ロリコン

//<3011> メガネ仲間
<3011> メガネ仲間

//<3012> 暗算日本記録保持者
<3012> 暗算日本記録保持者

//<3013> 通り魔
<3013> 通り魔

//<3014> 記憶ナシ男
<3014> 記憶ナシ男

//<3015> 音速
<3015> 音速

//<3016> 無限
<3016> 無限

//<3017> エロ侍
<3017> エロ侍

//<3018> エロエロ団ナンバー１
<3018> エロエロ団ナンバー１

//<3019> ただのエロ少年
<3019> ただのエロ少年

//<3020> ユリブサイク
<3020> ユリブサイク

//<3021> ドピュッシー
<3021> ドピュッシー

//<3022> アメリカンエロドッグ
<3022> アメリカンエロドッグ

//<3023> ゼウス
<3023> ゼウス

//<3024> 日向markⅡ
<3024> 日向markⅡ

//<3025> 糞虫
<3025> 糞虫

//<3026> 量産型日向
<3026> 量産型日向

//<3027> ？？
<3027> ？？

//<3028> 「だよなぁ…つか、また見てたのかよ、お前らっ！？」
<3028> 「だよなぁ…つか、また見てたのかよ、お前らっ！？」

//<3029> nothing
<3029> nothing

//<3030> nothing
<3030> nothing

//<3031> nothing
<3031> nothing

//<3032> nothing
<3032> nothing

//<3033> 関根
<3033> 関根

//<3034> 「いえいえ、たまたま隠れん坊をみゆきちとしていたら、いきなりふたりがやってきまして…」
<3034> 「いえいえ、たまたま隠れん坊をみゆきちとしていたら、いきなりふたりがやってきまして…」

//<3035> 音無
<3035> 音無

//<3036> クソ坊主
<3036> クソ坊主

//<3037> 代理人
<3037> 代理人

//<3038> 微妙すぎるイケメン
<3038> 微妙すぎるイケメン

//<3039> ロリコン
<3039> ロリコン

//<3040> メガネ仲間
<3040> メガネ仲間

//<3041> 暗算日本記録保持者
<3041> 暗算日本記録保持者

//<3042> 通り魔
<3042> 通り魔

//<3043> 記憶ナシ男
<3043> 記憶ナシ男

//<3044> 音速
<3044> 音速

//<3045> 無限
<3045> 無限

//<3046> エロ侍
<3046> エロ侍

//<3047> エロエロ団ナンバー１
<3047> エロエロ団ナンバー１

//<3048> ただのエロ少年
<3048> ただのエロ少年

//<3049> ユリブサイク
<3049> ユリブサイク

//<3050> ドピュッシー
<3050> ドピュッシー

//<3051> アメリカンエロドッグ
<3051> アメリカンエロドッグ

//<3052> ゼウス
<3052> ゼウス

//<3053> 日向markⅡ
<3053> 日向markⅡ

//<3054> 糞虫
<3054> 糞虫

//<3055> 量産型日向
<3055> 量産型日向

//<3056> ？？
<3056> ？？

//<3057> 「もっとマシな嘘を考えておけよ」
<3057> 「もっとマシな嘘を考えておけよ」

//<3058> nothing
<3058> nothing

//<3059> nothing
<3059> nothing

//<3060> nothing
<3060> nothing

//<3061> nothing
<3061> nothing

//<3062> nothing
<3062> nothing

//<3063> 関根
<3063> 関根

//<3064> 「でも、ここまであの音楽キチな岩沢先輩から心を許されている存在…ぱねぇっす！」
<3064> 「でも、ここまであの音楽キチな岩沢先輩から心を許されている存在…ぱねぇっす！」

//<3065> nothing
<3065> nothing

//<3066> nothing
<3066> nothing

//<3067> nothing
<3067> nothing

//<3068> nothing
<3068> nothing

//<3069> 関根
<3069> 関根

//<3070> 「ぱねぇっす！　音無さん、ぱねぇっす！」
<3070> 「ぱねぇっす！　音無さん、ぱねぇっす！」

//<3071> 音無
<3071> 音無

//<3072> クソ坊主
<3072> クソ坊主

//<3073> 代理人
<3073> 代理人

//<3074> 微妙すぎるイケメン
<3074> 微妙すぎるイケメン

//<3075> ロリコン
<3075> ロリコン

//<3076> メガネ仲間
<3076> メガネ仲間

//<3077> 暗算日本記録保持者
<3077> 暗算日本記録保持者

//<3078> 通り魔
<3078> 通り魔

//<3079> 記憶ナシ男
<3079> 記憶ナシ男

//<3080> 音速
<3080> 音速

//<3081> 無限
<3081> 無限

//<3082> エロ侍
<3082> エロ侍

//<3083> エロエロ団ナンバー１
<3083> エロエロ団ナンバー１

//<3084> ただのエロ少年
<3084> ただのエロ少年

//<3085> ユリブサイク
<3085> ユリブサイク

//<3086> ドピュッシー
<3086> ドピュッシー

//<3087> アメリカンエロドッグ
<3087> アメリカンエロドッグ

//<3088> ゼウス
<3088> ゼウス

//<3089> 日向markⅡ
<3089> 日向markⅡ

//<3090> 糞虫
<3090> 糞虫

//<3091> 量産型日向
<3091> 量産型日向

//<3092> ？？
<3092> ？？

//<3093> 「また完璧、それ以上だったのか？」
<3093> 「また完璧、それ以上だったのか？」

//<3094> nothing
<3094> nothing

//<3095> nothing
<3095> nothing

//<3096> nothing
<3096> nothing

//<3097> nothing
<3097> nothing

//<3098> 関根
<3098> 関根

//<3099> 「その通りです！」
<3099> 「その通りです！」

//<3100> nothing
<3100> nothing

//<3101> nothing
<3101> nothing

//<3102> nothing
<3102> nothing

//<3103> nothing
<3103> nothing

//<3104> nothing
<3104> nothing

//<3105> 関根
<3105> 関根

//<3106> 「俺は…カラスのほうが好きだ…」
<3106> 「俺は…カラスのほうが好きだ…」

//<3107> nothing
<3107> nothing

//<3108> nothing
<3108> nothing

//<3109> nothing
<3109> nothing

//<3110> nothing
<3110> nothing

//<3111> nothing
<3111> nothing

//<3112> 関根
<3112> 関根

//<3113> 「それって、もう岩沢先輩にコクってるも同然じゃないですか！」
<3113> 「それって、もう岩沢先輩にコクってるも同然じゃないですか！」

//<3114> nothing
<3114> nothing

//<3115> nothing
<3115> nothing

//<3116> nothing
<3116> nothing

//<3117> nothing
<3117> nothing

//<3118> nothing
<3118> nothing

//<3119> 関根
<3119> 関根

//<3120> 「そして極めつけは、ふたりして…」
<3120> 「そして極めつけは、ふたりして…」

//<3121> nothing
<3121> nothing

//<3122> nothing
<3122> nothing

//<3123> nothing
<3123> nothing

//<3124> nothing
<3124> nothing

//<3125> ２人
<3125> ２人

//<3126> 「ビッグなストーリー」
<3126> 「ビッグなストーリー」

//<3127> nothing
<3127> nothing

//<3128> nothing
<3128> nothing

//<3129> nothing
<3129> nothing

//<3130> nothing
<3130> nothing

//<3131> 関根
<3131> 関根

//<3132> 「ぱねぇっす！」
<3132> 「ぱねぇっす！」

//<3133> nothing
<3133> nothing

//<3134> nothing
<3134> nothing

//<3135> nothing
<3135> nothing

//<3136> nothing
<3136> nothing

//<3137> nothing
<3137> nothing

//<3138> 入江
<3138> 入江

//<3139> 「あたしたちだって、演奏中にあんなユニゾンしたことないのに…」
<3139> 「あたしたちだって、演奏中にあんなユニゾンしたことないのに…」

//<3140> 音無
<3140> 音無

//<3141> クソ坊主
<3141> クソ坊主

//<3142> 代理人
<3142> 代理人

//<3143> 微妙すぎるイケメン
<3143> 微妙すぎるイケメン

//<3144> ロリコン
<3144> ロリコン

//<3145> メガネ仲間
<3145> メガネ仲間

//<3146> 暗算日本記録保持者
<3146> 暗算日本記録保持者

//<3147> 通り魔
<3147> 通り魔

//<3148> 記憶ナシ男
<3148> 記憶ナシ男

//<3149> 音速
<3149> 音速

//<3150> 無限
<3150> 無限

//<3151> エロ侍
<3151> エロ侍

//<3152> エロエロ団ナンバー１
<3152> エロエロ団ナンバー１

//<3153> ただのエロ少年
<3153> ただのエロ少年

//<3154> ユリブサイク
<3154> ユリブサイク

//<3155> ドピュッシー
<3155> ドピュッシー

//<3156> アメリカンエロドッグ
<3156> アメリカンエロドッグ

//<3157> ゼウス
<3157> ゼウス

//<3158> 日向markⅡ
<3158> 日向markⅡ

//<3159> 糞虫
<3159> 糞虫

//<3160> 量産型日向
<3160> 量産型日向

//<3161> ？？
<3161> ？？

//<3162> 「思い出させないでくれ、恥ずかしいから…」
<3162> 「思い出させないでくれ、恥ずかしいから…」

//<3163> 音無
<3163> 音無

//<3164> クソ坊主
<3164> クソ坊主

//<3165> 代理人
<3165> 代理人

//<3166> 微妙すぎるイケメン
<3166> 微妙すぎるイケメン

//<3167> ロリコン
<3167> ロリコン

//<3168> メガネ仲間
<3168> メガネ仲間

//<3169> 暗算日本記録保持者
<3169> 暗算日本記録保持者

//<3170> 通り魔
<3170> 通り魔

//<3171> 記憶ナシ男
<3171> 記憶ナシ男

//<3172> 音速
<3172> 音速

//<3173> 無限
<3173> 無限

//<3174> エロ侍
<3174> エロ侍

//<3175> エロエロ団ナンバー１
<3175> エロエロ団ナンバー１

//<3176> ただのエロ少年
<3176> ただのエロ少年

//<3177> ユリブサイク
<3177> ユリブサイク

//<3178> ドピュッシー
<3178> ドピュッシー

//<3179> アメリカンエロドッグ
<3179> アメリカンエロドッグ

//<3180> ゼウス
<3180> ゼウス

//<3181> 日向markⅡ
<3181> 日向markⅡ

//<3182> 糞虫
<3182> 糞虫

//<3183> 量産型日向
<3183> 量産型日向

//<3184> ？？
<3184> ？？

//<3185> 「つか、また見てたのかよ、お前らっ！？」
<3185> 「つか、また見てたのかよ、お前らっ！？」

//<3186> nothing
<3186> nothing

//<3187> nothing
<3187> nothing

//<3188> nothing
<3188> nothing

//<3189> nothing
<3189> nothing

//<3190> 関根
<3190> 関根

//<3191> 「いえいえ、たまたま隠れん坊をみゆきちとしていたら、いきなりふたりがやってきまして…」
<3191> 「いえいえ、たまたま隠れん坊をみゆきちとしていたら、いきなりふたりがやってきまして…」

//<3192> 音無
<3192> 音無

//<3193> クソ坊主
<3193> クソ坊主

//<3194> 代理人
<3194> 代理人

//<3195> 微妙すぎるイケメン
<3195> 微妙すぎるイケメン

//<3196> ロリコン
<3196> ロリコン

//<3197> メガネ仲間
<3197> メガネ仲間

//<3198> 暗算日本記録保持者
<3198> 暗算日本記録保持者

//<3199> 通り魔
<3199> 通り魔

//<3200> 記憶ナシ男
<3200> 記憶ナシ男

//<3201> 音速
<3201> 音速

//<3202> 無限
<3202> 無限

//<3203> エロ侍
<3203> エロ侍

//<3204> エロエロ団ナンバー１
<3204> エロエロ団ナンバー１

//<3205> ただのエロ少年
<3205> ただのエロ少年

//<3206> ユリブサイク
<3206> ユリブサイク

//<3207> ドピュッシー
<3207> ドピュッシー

//<3208> アメリカンエロドッグ
<3208> アメリカンエロドッグ

//<3209> ゼウス
<3209> ゼウス

//<3210> 日向markⅡ
<3210> 日向markⅡ

//<3211> 糞虫
<3211> 糞虫

//<3212> 量産型日向
<3212> 量産型日向

//<3213> ？？
<3213> ？？

//<3214> 「もっとマシな嘘を考えておけよ…」
<3214> 「もっとマシな嘘を考えておけよ…」

//<3215> nothing
<3215> nothing

//<3216> nothing
<3216> nothing

//<3217> nothing
<3217> nothing

//<3218> nothing
<3218> nothing

//<3219> 関根
<3219> 関根

//<3220> 「ともかく、あの岩沢先輩の過去をあんなにもスムーズに引き出せるとは思ってもみなかったことですよ！」
<3220> 「ともかく、あの岩沢先輩の過去をあんなにもスムーズに引き出せるとは思ってもみなかったことですよ！」

//<3221> 音無
<3221> 音無

//<3222> クソ坊主
<3222> クソ坊主

//<3223> 代理人
<3223> 代理人

//<3224> 微妙すぎるイケメン
<3224> 微妙すぎるイケメン

//<3225> ロリコン
<3225> ロリコン

//<3226> メガネ仲間
<3226> メガネ仲間

//<3227> 暗算日本記録保持者
<3227> 暗算日本記録保持者

//<3228> 通り魔
<3228> 通り魔

//<3229> 記憶ナシ男
<3229> 記憶ナシ男

//<3230> 音速
<3230> 音速

//<3231> 無限
<3231> 無限

//<3232> エロ侍
<3232> エロ侍

//<3233> エロエロ団ナンバー１
<3233> エロエロ団ナンバー１

//<3234> ただのエロ少年
<3234> ただのエロ少年

//<3235> ユリブサイク
<3235> ユリブサイク

//<3236> ドピュッシー
<3236> ドピュッシー

//<3237> アメリカンエロドッグ
<3237> アメリカンエロドッグ

//<3238> ゼウス
<3238> ゼウス

//<3239> 日向markⅡ
<3239> 日向markⅡ

//<3240> 糞虫
<3240> 糞虫

//<3241> 量産型日向
<3241> 量産型日向

//<3242> ？？
<3242> ？？

//<3243> 「そうなのか？」
<3243> 「そうなのか？」

//<3244> nothing
<3244> nothing

//<3245> nothing
<3245> nothing

//<3246> nothing
<3246> nothing

//<3247> nothing
<3247> nothing

//<3248> nothing
<3248> nothing

//<3249> 関根
<3249> 関根
{41d13} 33 // 3249

//<3250> 「あたしの知るところ、男に話したのは、音無さん、あんたが初めてだよ！」
<3250> 「あたしの知るところ、男に話したのは、音無さん、あんたが初めてだよ！」

//<3251> nothing
<3251> nothing

//<3252> nothing
<3252> nothing

//<3253> nothing
<3253> nothing

//<3254> nothing
<3254> nothing

//<3255> nothing
<3255> nothing

//<3256> 音無
<3256> 音無

//<3257> クソ坊主
<3257> クソ坊主

//<3258> 代理人
<3258> 代理人

//<3259> 微妙すぎるイケメン
<3259> 微妙すぎるイケメン

//<3260> ロリコン
<3260> ロリコン

//<3261> メガネ仲間
<3261> メガネ仲間

//<3262> 暗算日本記録保持者
<3262> 暗算日本記録保持者

//<3263> 通り魔
<3263> 通り魔

//<3264> 記憶ナシ男
<3264> 記憶ナシ男

//<3265> 音速
<3265> 音速

//<3266> 無限
<3266> 無限

//<3267> エロ侍
<3267> エロ侍

//<3268> エロエロ団ナンバー１
<3268> エロエロ団ナンバー１

//<3269> ただのエロ少年
<3269> ただのエロ少年

//<3270> ユリブサイク
<3270> ユリブサイク

//<3271> ドピュッシー
<3271> ドピュッシー

//<3272> アメリカンエロドッグ
<3272> アメリカンエロドッグ

//<3273> ゼウス
<3273> ゼウス

//<3274> 日向markⅡ
<3274> 日向markⅡ

//<3275> 糞虫
<3275> 糞虫

//<3276> 量産型日向
<3276> 量産型日向

//<3277> ？？
<3277> ？？

//<3278> 「そりゃ光栄な話で…」
<3278> 「そりゃ光栄な話で…」

//<3279> nothing
<3279> nothing

//<3280> nothing
<3280> nothing

//<3281> nothing
<3281> nothing

//<3282> nothing
<3282> nothing

//<3283> nothing
<3283> nothing

//<3284> 入江
<3284> 入江

//<3285> 「ああ、蝶と戯れてる岩沢先輩、可愛かったなあ…」
<3285> 「ああ、蝶と戯れてる岩沢先輩、可愛かったなあ…」

//<3286> nothing
<3286> nothing

//<3287> nothing
<3287> nothing

//<3288> nothing
<3288> nothing

//<3289> nothing
<3289> nothing

//<3290> nothing
<3290> nothing

//<3291> 関根
<3291> 関根

//<3292> 「あれはビデオに撮ってガルデモの財産として残しておくべき光景でした」
<3292> 「あれはビデオに撮ってガルデモの財産として残しておくべき光景でした」

//<3293> 音無
<3293> 音無

//<3294> クソ坊主
<3294> クソ坊主

//<3295> 代理人
<3295> 代理人

//<3296> 微妙すぎるイケメン
<3296> 微妙すぎるイケメン

//<3297> ロリコン
<3297> ロリコン

//<3298> メガネ仲間
<3298> メガネ仲間

//<3299> 暗算日本記録保持者
<3299> 暗算日本記録保持者

//<3300> 通り魔
<3300> 通り魔

//<3301> 記憶ナシ男
<3301> 記憶ナシ男

//<3302> 音速
<3302> 音速

//<3303> 無限
<3303> 無限

//<3304> エロ侍
<3304> エロ侍

//<3305> エロエロ団ナンバー１
<3305> エロエロ団ナンバー１

//<3306> ただのエロ少年
<3306> ただのエロ少年

//<3307> ユリブサイク
<3307> ユリブサイク

//<3308> ドピュッシー
<3308> ドピュッシー

//<3309> アメリカンエロドッグ
<3309> アメリカンエロドッグ

//<3310> ゼウス
<3310> ゼウス

//<3311> 日向markⅡ
<3311> 日向markⅡ

//<3312> 糞虫
<3312> 糞虫

//<3313> 量産型日向
<3313> 量産型日向

//<3314> ？？
<3314> ？？

//<3315> 「まあ、二度とないだろうけどな」
<3315> 「まあ、二度とないだろうけどな」

//<3316> nothing
<3316> nothing

//<3317> nothing
<3317> nothing

//<3318> nothing
<3318> nothing

//<3319> nothing
<3319> nothing

//<3320> 関根
<3320> 関根

//<3321> 「いやいや、クライマックスはこれからですよ！」
<3321> 「いやいや、クライマックスはこれからですよ！」

//<3322> 音無
<3322> 音無

//<3323> クソ坊主
<3323> クソ坊主

//<3324> 代理人
<3324> 代理人

//<3325> 微妙すぎるイケメン
<3325> 微妙すぎるイケメン

//<3326> ロリコン
<3326> ロリコン

//<3327> メガネ仲間
<3327> メガネ仲間

//<3328> 暗算日本記録保持者
<3328> 暗算日本記録保持者

//<3329> 通り魔
<3329> 通り魔

//<3330> 記憶ナシ男
<3330> 記憶ナシ男

//<3331> 音速
<3331> 音速

//<3332> 無限
<3332> 無限

//<3333> エロ侍
<3333> エロ侍

//<3334> エロエロ団ナンバー１
<3334> エロエロ団ナンバー１

//<3335> ただのエロ少年
<3335> ただのエロ少年

//<3336> ユリブサイク
<3336> ユリブサイク

//<3337> ドピュッシー
<3337> ドピュッシー

//<3338> アメリカンエロドッグ
<3338> アメリカンエロドッグ

//<3339> ゼウス
<3339> ゼウス

//<3340> 日向markⅡ
<3340> 日向markⅡ

//<3341> 糞虫
<3341> 糞虫

//<3342> 量産型日向
<3342> 量産型日向

//<3343> ？？
<3343> ？？

//<3344> 「今度は何させようってんだよ…」
<3344> 「今度は何させようってんだよ…」

//<3345> nothing
<3345> nothing

//<3346> nothing
<3346> nothing

//<3347> nothing
<3347> nothing

//<3348> nothing
<3348> nothing

//<3349> 関根
<3349> 関根

//<3350> 「もう、岩沢先輩は音無さんにメロメロ」
<3350> 「もう、岩沢先輩は音無さんにメロメロ」

//<3351> 音無
<3351> 音無

//<3352> クソ坊主
<3352> クソ坊主

//<3353> 代理人
<3353> 代理人

//<3354> 微妙すぎるイケメン
<3354> 微妙すぎるイケメン

//<3355> ロリコン
<3355> ロリコン

//<3356> メガネ仲間
<3356> メガネ仲間

//<3357> 暗算日本記録保持者
<3357> 暗算日本記録保持者

//<3358> 通り魔
<3358> 通り魔

//<3359> 記憶ナシ男
<3359> 記憶ナシ男

//<3360> 音速
<3360> 音速

//<3361> 無限
<3361> 無限

//<3362> エロ侍
<3362> エロ侍

//<3363> エロエロ団ナンバー１
<3363> エロエロ団ナンバー１

//<3364> ただのエロ少年
<3364> ただのエロ少年

//<3365> ユリブサイク
<3365> ユリブサイク

//<3366> ドピュッシー
<3366> ドピュッシー

//<3367> アメリカンエロドッグ
<3367> アメリカンエロドッグ

//<3368> ゼウス
<3368> ゼウス

//<3369> 日向markⅡ
<3369> 日向markⅡ

//<3370> 糞虫
<3370> 糞虫

//<3371> 量産型日向
<3371> 量産型日向

//<3372> ？？
<3372> ？？

//<3373> 「まったく、そんな自覚はないけどな」
<3373> 「まったく、そんな自覚はないけどな」

//<3374> nothing
<3374> nothing

//<3375> nothing
<3375> nothing

//<3376> nothing
<3376> nothing

//<3377> nothing
<3377> nothing

//<3378> nothing
<3378> nothing

//<3379> 関根
<3379> 関根

//<3380> 「次、いつものように空き教室に訪れた時には、あなたを想う曲を書いてるに違いない！」
<3380> 「次、いつものように空き教室に訪れた時には、あなたを想う曲を書いてるに違いない！」

//<3381> nothing
<3381> nothing

//<3382> nothing
<3382> nothing

//<3383> nothing
<3383> nothing

//<3384> nothing
<3384> nothing

//<3385> nothing
<3385> nothing

//<3386> 入江
<3386> 入江

//<3387> 「えー、岩沢先輩がラブソングは書かないと思うよー」
<3387> 「えー、岩沢先輩がラブソングは書かないと思うよー」

//<3388> nothing
<3388> nothing

//<3389> nothing
<3389> nothing

//<3390> nothing
<3390> nothing

//<3391> nothing
<3391> nothing

//<3392> nothing
<3392> nothing

//<3393> 関根
<3393> 関根

//<3394> 「今、この男がその根底を覆そうとしている！　まさにガルデモ新生の時！！」
<3394> 「今、この男がその根底を覆そうとしている！　まさにガルデモ新生の時！！」

//<3395> nothing
<3395> nothing

//<3396> nothing
<3396> nothing

//<3397> nothing
<3397> nothing

//<3398> nothing
<3398> nothing

//<3399> nothing
<3399> nothing

//<3400> 入江
<3400> 入江

//<3401> 「そんなっ！」
<3401> 「そんなっ！」

//<3402> nothing
<3402> nothing

//<3403> nothing
<3403> nothing

//<3404> nothing
<3404> nothing

//<3405> nothing
<3405> nothing

//<3406> 関根
<3406> 関根
{447ab} 33 // 3406

//<3407> 「は～…しかし、本当によくやってくれてるよ、あんなお花畑で蝶と戯れてる岩沢先輩の姿が見れるなんて！」
<3407> 「は～…しかし、本当によくやってくれてるよ、あんなお花畑で蝶と戯れてる岩沢先輩の姿が見れるなんて！」

//<3408> nothing
<3408> nothing

//<3409> nothing
<3409> nothing

//<3410> nothing
<3410> nothing

//<3411> nothing
<3411> nothing

//<3412> nothing
<3412> nothing

//<3413> nothing
<3413> nothing

//<3414> nothing
<3414> nothing

//<3415> nothing
<3415> nothing

//<3416> nothing
<3416> nothing

//<3417> nothing
<3417> nothing

//<3418> 入江
<3418> 入江

//<3419> 「うん！　うん！」
<3419> 「うん！　うん！」

//<3420> 音無
<3420> 音無

//<3421> クソ坊主
<3421> クソ坊主

//<3422> 代理人
<3422> 代理人

//<3423> 微妙すぎるイケメン
<3423> 微妙すぎるイケメン

//<3424> ロリコン
<3424> ロリコン

//<3425> メガネ仲間
<3425> メガネ仲間

//<3426> 暗算日本記録保持者
<3426> 暗算日本記録保持者

//<3427> 通り魔
<3427> 通り魔

//<3428> 記憶ナシ男
<3428> 記憶ナシ男

//<3429> 音速
<3429> 音速

//<3430> 無限
<3430> 無限

//<3431> エロ侍
<3431> エロ侍

//<3432> エロエロ団ナンバー１
<3432> エロエロ団ナンバー１

//<3433> ただのエロ少年
<3433> ただのエロ少年

//<3434> ユリブサイク
<3434> ユリブサイク

//<3435> ドピュッシー
<3435> ドピュッシー

//<3436> アメリカンエロドッグ
<3436> アメリカンエロドッグ

//<3437> ゼウス
<3437> ゼウス

//<3438> 日向markⅡ
<3438> 日向markⅡ

//<3439> 糞虫
<3439> 糞虫

//<3440> 量産型日向
<3440> 量産型日向

//<3441> ？？
<3441> ？？

//<3442> 「ただの花壇だからな…」
<3442> 「ただの花壇だからな…」

//<3443> nothing
<3443> nothing

//<3444> nothing
<3444> nothing

//<3445> nothing
<3445> nothing

//<3446> nothing
<3446> nothing

//<3447> nothing
<3447> nothing

//<3448> nothing
<3448> nothing

//<3449> 腕時計を見る。ちょうど定例会議の時間だ。
<3449> 腕時計を見る。ちょうど定例会議の時間だ。

//<3450> nothing
<3450> nothing

//<3451> nothing
<3451> nothing

//<3452> nothing
<3452> nothing

//<3453> nothing
<3453> nothing

//<3454> 音無
<3454> 音無

//<3455> クソ坊主
<3455> クソ坊主

//<3456> 代理人
<3456> 代理人

//<3457> 微妙すぎるイケメン
<3457> 微妙すぎるイケメン

//<3458> ロリコン
<3458> ロリコン

//<3459> メガネ仲間
<3459> メガネ仲間

//<3460> 暗算日本記録保持者
<3460> 暗算日本記録保持者

//<3461> 通り魔
<3461> 通り魔

//<3462> 記憶ナシ男
<3462> 記憶ナシ男

//<3463> 音速
<3463> 音速

//<3464> 無限
<3464> 無限

//<3465> エロ侍
<3465> エロ侍

//<3466> エロエロ団ナンバー１
<3466> エロエロ団ナンバー１

//<3467> ただのエロ少年
<3467> ただのエロ少年

//<3468> ユリブサイク
<3468> ユリブサイク

//<3469> ドピュッシー
<3469> ドピュッシー

//<3470> アメリカンエロドッグ
<3470> アメリカンエロドッグ

//<3471> ゼウス
<3471> ゼウス

//<3472> 日向markⅡ
<3472> 日向markⅡ

//<3473> 糞虫
<3473> 糞虫

//<3474> 量産型日向
<3474> 量産型日向

//<3475> ？？
<3475> ？？

//<3476> 「じゃあ、俺は本部に行くから。お前らもこれから練習だろ」
