// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<1583> 量産型日向

//<1584> ？？
<1584> ？？

//<1585> 「今日は痛いままなんじゃないかよ…イテテ…」
<1585> 「今日は痛いままなんじゃないかよ…イテテ…」

//<1586> nothing
<1586> nothing

//<1587> nothing
<1587> nothing

//<1588> nothing
<1588> nothing

//<1589> nothing
<1589> nothing

//<1590> nothing
<1590> nothing

//<1591> 松下
<1591> 松下

//<1592> 「それは、すまん。これ以上練習はできないな」
<1592> 「それは、すまん。これ以上練習はできないな」

//<1593> 音無
<1593> 音無

//<1594> クソ坊主
<1594> クソ坊主

//<1595> 代理人
<1595> 代理人

//<1596> 微妙すぎるイケメン
<1596> 微妙すぎるイケメン

//<1597> ロリコン
<1597> ロリコン

//<1598> メガネ仲間
<1598> メガネ仲間

//<1599> 暗算日本記録保持者
<1599> 暗算日本記録保持者

//<1600> 通り魔
<1600> 通り魔

//<1601> 記憶ナシ男
<1601> 記憶ナシ男

//<1602> 音速
<1602> 音速

//<1603> 無限
<1603> 無限

//<1604> エロ侍
<1604> エロ侍

//<1605> エロエロ団ナンバー１
<1605> エロエロ団ナンバー１

//<1606> ただのエロ少年
<1606> ただのエロ少年

//<1607> ユリブサイク
<1607> ユリブサイク

//<1608> ドピュッシー
<1608> ドピュッシー

//<1609> アメリカンエロドッグ
<1609> アメリカンエロドッグ

//<1610> ゼウス
<1610> ゼウス

//<1611> 日向markⅡ
<1611> 日向markⅡ

//<1612> 糞虫
<1612> 糞虫

//<1613> 量産型日向
<1613> 量産型日向

//<1614> ？？
<1614> ？？

//<1615> 「当たり前だ！」
<1615> 「当たり前だ！」

//<1616> 俺は立ち去ることにする。慎重に歩かないと痛みが走るレベルだ…。
<1616> 俺は立ち去ることにする。慎重に歩かないと痛みが走るレベルだ…。

//<1617> nothing
<1617> nothing

//<1618> nothing
<1618> nothing

//<1619> nothing
<1619> nothing

//<1620> nothing
<1620> nothing

//<1621> nothing
<1621> nothing

//<1622> nothing
<1622> nothing

//<1623> 痛みの残る体を休める為に、少し座る。
<1623> 痛みの残る体を休める為に、少し座る。

//<1624> nothing
<1624> nothing

//<1625> nothing
<1625> nothing

//<1626> nothing
<1626> nothing

//<1627> nothing
<1627> nothing

//<1628> nothing
<1628> nothing

//<1629> 松下五段も少し離れた場所に座ると、また巾着袋の中から巨大おにぎりを掴み出す。
<1629> 松下五段も少し離れた場所に座ると、また巾着袋の中から巨大おにぎりを掴み出す。

//<1630> 音無
<1630> 音無

//<1631> クソ坊主
<1631> クソ坊主

//<1632> 代理人
<1632> 代理人

//<1633> 微妙すぎるイケメン
<1633> 微妙すぎるイケメン

//<1634> ロリコン
<1634> ロリコン

//<1635> メガネ仲間
<1635> メガネ仲間

//<1636> 暗算日本記録保持者
<1636> 暗算日本記録保持者

//<1637> 通り魔
<1637> 通り魔

//<1638> 記憶ナシ男
<1638> 記憶ナシ男

//<1639> 音速
<1639> 音速

//<1640> 無限
<1640> 無限

//<1641> エロ侍
<1641> エロ侍

//<1642> エロエロ団ナンバー１
<1642> エロエロ団ナンバー１

//<1643> ただのエロ少年
<1643> ただのエロ少年

//<1644> ユリブサイク
<1644> ユリブサイク

//<1645> ドピュッシー
<1645> ドピュッシー

//<1646> アメリカンエロドッグ
<1646> アメリカンエロドッグ

//<1647> ゼウス
<1647> ゼウス

//<1648> 日向markⅡ
<1648> 日向markⅡ

//<1649> 糞虫
<1649> 糞虫

//<1650> 量産型日向
<1650> 量産型日向

//<1651> ？？
<1651> ？？

//<1652> 「…前にも聞いたけどそれって…昼飯とかじゃなく間食なんだよな？」
<1652> 「…前にも聞いたけどそれって…昼飯とかじゃなく間食なんだよな？」

//<1653> nothing
<1653> nothing

//<1654> nothing
<1654> nothing

//<1655> nothing
<1655> nothing

//<1656> nothing
<1656> nothing

//<1657> nothing
<1657> nothing

//<1658> 松下
<1658> 松下

//<1659> 「無論」
<1659> 「無論」

//<1660> 音無
<1660> 音無

//<1661> クソ坊主
<1661> クソ坊主

//<1662> 代理人
<1662> 代理人

//<1663> 微妙すぎるイケメン
<1663> 微妙すぎるイケメン

//<1664> ロリコン
<1664> ロリコン

//<1665> メガネ仲間
<1665> メガネ仲間

//<1666> 暗算日本記録保持者
<1666> 暗算日本記録保持者

//<1667> 通り魔
<1667> 通り魔

//<1668> 記憶ナシ男
<1668> 記憶ナシ男

//<1669> 音速
<1669> 音速

//<1670> 無限
<1670> 無限

//<1671> エロ侍
<1671> エロ侍

//<1672> エロエロ団ナンバー１
<1672> エロエロ団ナンバー１

//<1673> ただのエロ少年
<1673> ただのエロ少年

//<1674> ユリブサイク
<1674> ユリブサイク

//<1675> ドピュッシー
<1675> ドピュッシー

//<1676> アメリカンエロドッグ
<1676> アメリカンエロドッグ

//<1677> ゼウス
<1677> ゼウス

//<1678> 日向markⅡ
<1678> 日向markⅡ

//<1679> 糞虫
<1679> 糞虫

//<1680> 量産型日向
<1680> 量産型日向

//<1681> ？？
<1681> ？？

//<1682> 「そっか…」
<1682> 「そっか…」

//<1683> …今なら言って良いのかもしれない。
<1683> …今なら言って良いのかもしれない。

//<1684> 俺は息を大きく吸う。
<1684> 俺は息を大きく吸う。

//<1685> 音無
<1685> 音無

//<1686> クソ坊主
<1686> クソ坊主

//<1687> 代理人
<1687> 代理人

//<1688> 微妙すぎるイケメン
<1688> 微妙すぎるイケメン

//<1689> ロリコン
<1689> ロリコン

//<1690> メガネ仲間
<1690> メガネ仲間

//<1691> 暗算日本記録保持者
<1691> 暗算日本記録保持者

//<1692> 通り魔
<1692> 通り魔

//<1693> 記憶ナシ男
<1693> 記憶ナシ男

//<1694> 音速
<1694> 音速

//<1695> 無限
<1695> 無限

//<1696> エロ侍
<1696> エロ侍

//<1697> エロエロ団ナンバー１
<1697> エロエロ団ナンバー１

//<1698> ただのエロ少年
<1698> ただのエロ少年

//<1699> ユリブサイク
<1699> ユリブサイク

//<1700> ドピュッシー
<1700> ドピュッシー

//<1701> アメリカンエロドッグ
<1701> アメリカンエロドッグ

//<1702> ゼウス
<1702> ゼウス

//<1703> 日向markⅡ
<1703> 日向markⅡ

//<1704> 糞虫
<1704> 糞虫

//<1705> 量産型日向
<1705> 量産型日向

//<1706> ？？
<1706> ？？

//<1707> 「胃に重すぎだろぉぉーー！！　カロリー高すぎだろおぉぉーーー！！」
<1707> 「胃に重すぎだろぉぉーー！！　カロリー高すぎだろおぉぉーーー！！」

//<1708> 全力で突っ込んだ。
<1708> 全力で突っ込んだ。

//<1709> nothing
<1709> nothing

//<1710> nothing
<1710> nothing

//<1711> nothing
<1711> nothing

//<1712> nothing
<1712> nothing

//<1713> nothing
<1713> nothing

//<1714> 松下
<1714> 松下

//<1715> 「ちなみにまだあるぞ？」
<1715> 「ちなみにまだあるぞ？」

//<1716> 涼しい顔をして、もう一個取り出す。
<1716> 涼しい顔をして、もう一個取り出す。

//<1717> nothing
<1717> nothing

//<1718> nothing
<1718> nothing

//<1719> nothing
<1719> nothing

//<1720> nothing
<1720> nothing

//<1721> nothing
<1721> nothing

//<1722> 松下
<1722> 松下

//<1723> 「これを一日最低３つは食べる」
<1723> 「これを一日最低３つは食べる」

//<1724> 音無
<1724> 音無

//<1725> クソ坊主
<1725> クソ坊主

//<1726> 代理人
<1726> 代理人

//<1727> 微妙すぎるイケメン
<1727> 微妙すぎるイケメン

//<1728> ロリコン
<1728> ロリコン

//<1729> メガネ仲間
<1729> メガネ仲間

//<1730> 暗算日本記録保持者
<1730> 暗算日本記録保持者

//<1731> 通り魔
<1731> 通り魔

//<1732> 記憶ナシ男
<1732> 記憶ナシ男

//<1733> 音速
<1733> 音速

//<1734> 無限
<1734> 無限

//<1735> エロ侍
<1735> エロ侍

//<1736> エロエロ団ナンバー１
<1736> エロエロ団ナンバー１

//<1737> ただのエロ少年
<1737> ただのエロ少年

//<1738> ユリブサイク
<1738> ユリブサイク

//<1739> ドピュッシー
<1739> ドピュッシー

//<1740> アメリカンエロドッグ
<1740> アメリカンエロドッグ

//<1741> ゼウス
<1741> ゼウス

//<1742> 日向markⅡ
<1742> 日向markⅡ

//<1743> 糞虫
<1743> 糞虫

//<1744> 量産型日向
<1744> 量産型日向

//<1745> ？？
<1745> ？？

//<1746> 「ご飯とは別にだろ…？」
<1746> 「ご飯とは別にだろ…？」

//<1747> nothing
<1747> nothing

//<1748> nothing
<1748> nothing

//<1749> nothing
<1749> nothing

//<1750> nothing
<1750> nothing

//<1751> nothing
<1751> nothing

//<1752> 松下
<1752> 松下

//<1753> 「うむ」
<1753> 「うむ」

//<1754> 音無
<1754> 音無

//<1755> クソ坊主
<1755> クソ坊主

//<1756> 代理人
<1756> 代理人

//<1757> 微妙すぎるイケメン
<1757> 微妙すぎるイケメン

//<1758> ロリコン
<1758> ロリコン

//<1759> メガネ仲間
<1759> メガネ仲間

//<1760> 暗算日本記録保持者
<1760> 暗算日本記録保持者

//<1761> 通り魔
<1761> 通り魔

//<1762> 記憶ナシ男
<1762> 記憶ナシ男

//<1763> 音速
<1763> 音速

//<1764> 無限
<1764> 無限

//<1765> エロ侍
<1765> エロ侍

//<1766> エロエロ団ナンバー１
<1766> エロエロ団ナンバー１

//<1767> ただのエロ少年
<1767> ただのエロ少年

//<1768> ユリブサイク
<1768> ユリブサイク

//<1769> ドピュッシー
<1769> ドピュッシー

//<1770> アメリカンエロドッグ
<1770> アメリカンエロドッグ

//<1771> ゼウス
<1771> ゼウス

//<1772> 日向markⅡ
<1772> 日向markⅡ

//<1773> 糞虫
<1773> 糞虫

//<1774> 量産型日向
<1774> 量産型日向

//<1775> ？？
<1775> ？？

//<1776> 「ご飯もすげー食うよな…？」
<1776> 「ご飯もすげー食うよな…？」

//<1777> nothing
<1777> nothing

//<1778> nothing
<1778> nothing

//<1779> nothing
<1779> nothing

//<1780> nothing
<1780> nothing

//<1781> nothing
<1781> nothing

//<1782> 松下
<1782> 松下

//<1783> 「三人前を」
<1783> 「三人前を」

//<1784> 音無
<1784> 音無

//<1785> クソ坊主
<1785> クソ坊主

//<1786> 代理人
<1786> 代理人

//<1787> 微妙すぎるイケメン
<1787> 微妙すぎるイケメン

//<1788> ロリコン
<1788> ロリコン

//<1789> メガネ仲間
<1789> メガネ仲間

//<1790> 暗算日本記録保持者
<1790> 暗算日本記録保持者

//<1791> 通り魔
<1791> 通り魔

//<1792> 記憶ナシ男
<1792> 記憶ナシ男

//<1793> 音速
<1793> 音速

//<1794> 無限
<1794> 無限

//<1795> エロ侍
<1795> エロ侍

//<1796> エロエロ団ナンバー１
<1796> エロエロ団ナンバー１

//<1797> ただのエロ少年
<1797> ただのエロ少年

//<1798> ユリブサイク
<1798> ユリブサイク

//<1799> ドピュッシー
<1799> ドピュッシー

//<1800> アメリカンエロドッグ
<1800> アメリカンエロドッグ

//<1801> ゼウス
<1801> ゼウス

//<1802> 日向markⅡ
<1802> 日向markⅡ

//<1803> 糞虫
<1803> 糞虫

//<1804> 量産型日向
<1804> 量産型日向

//<1805> ？？
<1805> ？？

//<1806> 「朝、昼、晩全部？」
<1806> 「朝、昼、晩全部？」

//<1807> nothing
<1807> nothing

//<1808> nothing
<1808> nothing

//<1809> nothing
<1809> nothing

//<1810> nothing
<1810> nothing

//<1811> nothing
<1811> nothing

//<1812> 松下
<1812> 松下

//<1813> 「うむ」
<1813> 「うむ」

//<1814> 音無
<1814> 音無

//<1815> クソ坊主
<1815> クソ坊主

//<1816> 代理人
<1816> 代理人

//<1817> 微妙すぎるイケメン
<1817> 微妙すぎるイケメン

//<1818> ロリコン
<1818> ロリコン

//<1819> メガネ仲間
<1819> メガネ仲間

//<1820> 暗算日本記録保持者
<1820> 暗算日本記録保持者

//<1821> 通り魔
<1821> 通り魔

//<1822> 記憶ナシ男
<1822> 記憶ナシ男

//<1823> 音速
<1823> 音速

//<1824> 無限
<1824> 無限

//<1825> エロ侍
<1825> エロ侍

//<1826> エロエロ団ナンバー１
<1826> エロエロ団ナンバー１

//<1827> ただのエロ少年
<1827> ただのエロ少年

//<1828> ユリブサイク
<1828> ユリブサイク

//<1829> ドピュッシー
<1829> ドピュッシー

//<1830> アメリカンエロドッグ
<1830> アメリカンエロドッグ

//<1831> ゼウス
<1831> ゼウス

//<1832> 日向markⅡ
<1832> 日向markⅡ

//<1833> 糞虫
<1833> 糞虫

//<1834> 量産型日向
<1834> 量産型日向

//<1835> ？？
<1835> ？？

//<1836> 「体、大丈夫か？」
<1836> 「体、大丈夫か？」

//<1837> nothing
<1837> nothing

//<1838> nothing
<1838> nothing

//<1839> nothing
<1839> nothing

//<1840> nothing
<1840> nothing

//<1841> nothing
<1841> nothing

//<1842> 松下
<1842> 松下

//<1843> 「む…？　それはまさか…中性脂肪的な話か？」
<1843> 「む…？　それはまさか…中性脂肪的な話か？」

//<1844> 音無
<1844> 音無

//<1845> クソ坊主
<1845> クソ坊主

//<1846> 代理人
<1846> 代理人

//<1847> 微妙すぎるイケメン
<1847> 微妙すぎるイケメン

//<1848> ロリコン
<1848> ロリコン

//<1849> メガネ仲間
<1849> メガネ仲間

//<1850> 暗算日本記録保持者
<1850> 暗算日本記録保持者

//<1851> 通り魔
<1851> 通り魔

//<1852> 記憶ナシ男
<1852> 記憶ナシ男

//<1853> 音速
<1853> 音速

//<1854> 無限
<1854> 無限

//<1855> エロ侍
<1855> エロ侍

//<1856> エロエロ団ナンバー１
<1856> エロエロ団ナンバー１

//<1857> ただのエロ少年
<1857> ただのエロ少年

//<1858> ユリブサイク
<1858> ユリブサイク

//<1859> ドピュッシー
<1859> ドピュッシー

//<1860> アメリカンエロドッグ
<1860> アメリカンエロドッグ

//<1861> ゼウス
<1861> ゼウス

//<1862> 日向markⅡ
<1862> 日向markⅡ

//<1863> 糞虫
<1863> 糞虫

//<1864> 量産型日向
<1864> 量産型日向

//<1865> ？？
<1865> ？？

//<1866> 「ま、コレステロール値とか…」
<1866> 「ま、コレステロール値とか…」

//<1867> nothing
<1867> nothing

//<1868> nothing
<1868> nothing

//<1869> nothing
<1869> nothing

//<1870> nothing
<1870> nothing

//<1871> nothing
<1871> nothing

//<1872> 松下
<1872> 松下

//<1873> 「それは…」
<1873> 「それは…」

//<1874> 表情を曇らせ、言いよどむ。
<1874> 表情を曇らせ、言いよどむ。

//<1875> nothing
<1875> nothing

//<1876> nothing
<1876> nothing

//<1877> nothing
<1877> nothing

//<1878> nothing
<1878> nothing

//<1879> nothing
<1879> nothing

//<1880> 松下
<1880> 松下

//<1881> 「見て見ぬ振りをしてきたところだ…」
<1881> 「見て見ぬ振りをしてきたところだ…」

//<1882> 日向の話では、『自身に取ってプラスになることは都合良く生きていた時のようになる』と言っていたが、マイナスの部分は知らない。
<1882> 日向の話では、『自身に取ってプラスになることは都合良く生きていた時のようになる』と言っていたが、マイナスの部分は知らない。

//<1883> 音無
<1883> 音無

//<1884> クソ坊主
<1884> クソ坊主

//<1885> 代理人
<1885> 代理人

//<1886> 微妙すぎるイケメン
<1886> 微妙すぎるイケメン

//<1887> ロリコン
<1887> ロリコン

//<1888> メガネ仲間
<1888> メガネ仲間

//<1889> 暗算日本記録保持者
<1889> 暗算日本記録保持者

//<1890> 通り魔
<1890> 通り魔

//<1891> 記憶ナシ男
<1891> 記憶ナシ男

//<1892> 音速
<1892> 音速

//<1893> 無限
<1893> 無限

//<1894> エロ侍
<1894> エロ侍

//<1895> エロエロ団ナンバー１
<1895> エロエロ団ナンバー１

//<1896> ただのエロ少年
<1896> ただのエロ少年

//<1897> ユリブサイク
<1897> ユリブサイク

//<1898> ドピュッシー
<1898> ドピュッシー

//<1899> アメリカンエロドッグ
<1899> アメリカンエロドッグ

//<1900> ゼウス
<1900> ゼウス

//<1901> 日向markⅡ
<1901> 日向markⅡ

//<1902> 糞虫
<1902> 糞虫

//<1903> 量産型日向
<1903> 量産型日向

//<1904> ？？
<1904> ？？

//<1905> 「ちょっとお腹見せてもらえる？」
<1905> 「ちょっとお腹見せてもらえる？」

//<1906> nothing
<1906> nothing

//<1907> nothing
<1907> nothing

//<1908> nothing
<1908> nothing

//<1909> nothing
<1909> nothing

//<1910> nothing
<1910> nothing

//<1911> 松下
<1911> 松下

//<1912> 「そ、それは…」
<1912> 「そ、それは…」

//<1913> あれだけ落ち着き払っていた男が、狼狽し始める。
<1913> あれだけ落ち着き払っていた男が、狼狽し始める。

//<1914> 音無
<1914> 音無

//<1915> クソ坊主
<1915> クソ坊主

//<1916> 代理人
<1916> 代理人

//<1917> 微妙すぎるイケメン
<1917> 微妙すぎるイケメン

//<1918> ロリコン
<1918> ロリコン

//<1919> メガネ仲間
<1919> メガネ仲間

//<1920> 暗算日本記録保持者
<1920> 暗算日本記録保持者

//<1921> 通り魔
<1921> 通り魔

//<1922> 記憶ナシ男
<1922> 記憶ナシ男

//<1923> 音速
<1923> 音速

//<1924> 無限
<1924> 無限

//<1925> エロ侍
<1925> エロ侍

//<1926> エロエロ団ナンバー１
<1926> エロエロ団ナンバー１

//<1927> ただのエロ少年
<1927> ただのエロ少年

//<1928> ユリブサイク
<1928> ユリブサイク

//<1929> ドピュッシー
<1929> ドピュッシー

//<1930> アメリカンエロドッグ
<1930> アメリカンエロドッグ

//<1931> ゼウス
<1931> ゼウス

//<1932> 日向markⅡ
<1932> 日向markⅡ

//<1933> 糞虫
<1933> 糞虫

//<1934> 量産型日向
<1934> 量産型日向

//<1935> ？？
<1935> ？？

//<1936> 「毎日鍛錬していても、カロリーの消費が追いついていないんじゃね？」
<1936> 「毎日鍛錬していても、カロリーの消費が追いついていないんじゃね？」

//<1937> nothing
<1937> nothing

//<1938> nothing
<1938> nothing

//<1939> nothing
<1939> nothing

//<1940> nothing
<1940> nothing

//<1941> nothing
<1941> nothing

//<1942> 松下
<1942> 松下

//<1943> 「………」
<1943> 「………」

//<1944> とうとう無言になってしまった。
<1944> とうとう無言になってしまった。

//<1945> なんだか踏み込んではいけないところに踏み込んでしまったようで、申し訳ない気持ちになる。
<1945> なんだか踏み込んではいけないところに踏み込んでしまったようで、申し訳ない気持ちになる。

//<1946> さて…。
<1946> さて…。

//<1947> ダイエットを薦める
<1947> ダイエットを薦める

//<1948> 今のままで居てくれ
<1948> 今のままで居てくれ

//<1949> selbtn : 
<1949> selbtn : 

//<1950> 音無
<1950> 音無

//<1951> クソ坊主
<1951> クソ坊主

//<1952> 代理人
<1952> 代理人

//<1953> 微妙すぎるイケメン
<1953> 微妙すぎるイケメン

//<1954> ロリコン
<1954> ロリコン

//<1955> メガネ仲間
<1955> メガネ仲間

//<1956> 暗算日本記録保持者
<1956> 暗算日本記録保持者

//<1957> 通り魔
<1957> 通り魔

//<1958> 記憶ナシ男
<1958> 記憶ナシ男

//<1959> 音速
<1959> 音速

//<1960> 無限
<1960> 無限

//<1961> エロ侍
<1961> エロ侍

//<1962> エロエロ団ナンバー１
<1962> エロエロ団ナンバー１

//<1963> ただのエロ少年
<1963> ただのエロ少年

//<1964> ユリブサイク
<1964> ユリブサイク

//<1965> ドピュッシー
<1965> ドピュッシー

//<1966> アメリカンエロドッグ
<1966> アメリカンエロドッグ

//<1967> ゼウス
<1967> ゼウス

//<1968> 日向markⅡ
<1968> 日向markⅡ

//<1969> 糞虫
<1969> 糞虫

//<1970> 量産型日向
<1970> 量産型日向

//<1971> ？？
<1971> ？？

//<1972> 「その…ダイエットしてみたらどうだ？」
<1972> 「その…ダイエットしてみたらどうだ？」

//<1973> nothing
<1973> nothing

//<1974> nothing
<1974> nothing

//<1975> nothing
<1975> nothing

//<1976> nothing
<1976> nothing

//<1977> nothing
<1977> nothing

//<1978> 松下
<1978> 松下

//<1979> 「………」
<1979> 「………」

//<1980> nothing
<1980> nothing

//<1981> nothing
<1981> nothing

//<1982> nothing
<1982> nothing

//<1983> nothing
<1983> nothing

//<1984> nothing
<1984> nothing

//<1985> 松下
<1985> 松下

//<1986> 「ついにそれを言う奴が現れた、ということか…」
<1986> 「ついにそれを言う奴が現れた、ということか…」

//<1987> nothing
<1987> nothing

//<1988> nothing
<1988> nothing

//<1989> nothing
<1989> nothing

//<1990> nothing
<1990> nothing

//<1991> nothing
<1991> nothing

//<1992> 松下
<1992> 松下

//<1993> 「お前と出会ったのは運命だったのかも知れないな…」
<1993> 「お前と出会ったのは運命だったのかも知れないな…」

//<1994> なんだか相当重く捉えられている…。
<1994> なんだか相当重く捉えられている…。

//<1995> nothing
<1995> nothing

//<1996> nothing
<1996> nothing

//<1997> nothing
<1997> nothing

//<1998> nothing
<1998> nothing

//<1999> nothing
<1999> nothing

//<2000> 松下
<2000> 松下

//<2001> 「お前はそれを俺に告げるためにこの世界に来たのかもしれない」
<2001> 「お前はそれを俺に告げるためにこの世界に来たのかもしれない」

//<2002> それはない。
<2002> それはない。

//<2003> nothing
<2003> nothing

//<2004> nothing
<2004> nothing

//<2005> nothing
<2005> nothing

//<2006> nothing
<2006> nothing

//<2007> nothing
<2007> nothing

//<2008> 松下
<2008> 松下

//<2009> 「わかったこの松下五段、ダイエットに励もうじゃないかぁぁーー！！」
<2009> 「わかったこの松下五段、ダイエットに励もうじゃないかぁぁーー！！」

//<2010> いきなり決意し立ち上がった。
<2010> いきなり決意し立ち上がった。

//<2011> nothing
<2011> nothing

//<2012> nothing
<2012> nothing

//<2013> nothing
<2013> nothing

//<2014> nothing
<2014> nothing

//<2015> nothing
<2015> nothing

//<2016> 松下
<2016> 松下

//<2017> 「皆に伝えておいてくれ。この俺はしばらく居なくなると」
<2017> 「皆に伝えておいてくれ。この俺はしばらく居なくなると」

//<2018> 音無
<2018> 音無

//<2019> クソ坊主
<2019> クソ坊主

//<2020> 代理人
<2020> 代理人

//<2021> 微妙すぎるイケメン
<2021> 微妙すぎるイケメン

//<2022> ロリコン
<2022> ロリコン

//<2023> メガネ仲間
<2023> メガネ仲間

//<2024> 暗算日本記録保持者
<2024> 暗算日本記録保持者

//<2025> 通り魔
<2025> 通り魔

//<2026> 記憶ナシ男
<2026> 記憶ナシ男

//<2027> 音速
<2027> 音速

//<2028> 無限
<2028> 無限

//<2029> エロ侍
<2029> エロ侍

//<2030> エロエロ団ナンバー１
<2030> エロエロ団ナンバー１

//<2031> ただのエロ少年
<2031> ただのエロ少年

//<2032> ユリブサイク
<2032> ユリブサイク

//<2033> ドピュッシー
<2033> ドピュッシー

//<2034> アメリカンエロドッグ
<2034> アメリカンエロドッグ

//<2035> ゼウス
<2035> ゼウス

//<2036> 日向markⅡ
<2036> 日向markⅡ

//<2037> 糞虫
<2037> 糞虫

//<2038> 量産型日向
<2038> 量産型日向

//<2039> ？？
<2039> ？？

//<2040> 「えっ」
<2040> 「えっ」

//<2041> nothing
<2041> nothing

//<2042> nothing
<2042> nothing

//<2043> nothing
<2043> nothing

//<2044> nothing
<2044> nothing

//<2045> nothing
<2045> nothing

//<2046> 松下
<2046> 松下

//<2047> 「ではなっ、またいつの日か会おう！」
<2047> 「ではなっ、またいつの日か会おう！」

//<2048> nothing
<2048> nothing

//<2049> nothing
<2049> nothing

//<2050> nothing
<2050> nothing

//<2051> nothing
<2051> nothing

//<2052> nothing
<2052> nothing

//<2053> nothing
<2053> nothing

//<2054> 松下は何も持たずに走り出すと、木々の中に消えていった。
<2054> 松下は何も持たずに走り出すと、木々の中に消えていった。

//<2055> ………。
<2055> ………。

//<2056> 俺、余計なことしたかな…。
<2056> 俺、余計なことしたかな…。

//<2057> 音無
<2057> 音無

//<2058> クソ坊主
<2058> クソ坊主

//<2059> 代理人
<2059> 代理人

//<2060> 微妙すぎるイケメン
<2060> 微妙すぎるイケメン

//<2061> ロリコン
<2061> ロリコン

//<2062> メガネ仲間
<2062> メガネ仲間

//<2063> 暗算日本記録保持者
<2063> 暗算日本記録保持者

//<2064> 通り魔
<2064> 通り魔

//<2065> 記憶ナシ男
<2065> 記憶ナシ男

//<2066> 音速
<2066> 音速

//<2067> 無限
<2067> 無限

//<2068> エロ侍
<2068> エロ侍

//<2069> エロエロ団ナンバー１
<2069> エロエロ団ナンバー１

//<2070> ただのエロ少年
<2070> ただのエロ少年

//<2071> ユリブサイク
<2071> ユリブサイク

//<2072> ドピュッシー
<2072> ドピュッシー

//<2073> アメリカンエロドッグ
<2073> アメリカンエロドッグ

//<2074> ゼウス
<2074> ゼウス

//<2075> 日向markⅡ
<2075> 日向markⅡ

//<2076> 糞虫
<2076> 糞虫

//<2077> 量産型日向
<2077> 量産型日向

//<2078> ？？
<2078> ？？

//<2079> 「今のままで居てくれ」
<2079> 「今のままで居てくれ」

//<2080> nothing
<2080> nothing

//<2081> nothing
<2081> nothing

//<2082> nothing
<2082> nothing

//<2083> nothing
<2083> nothing

//<2084> nothing
<2084> nothing

//<2085> 松下
<2085> 松下

//<2086> 「うおおーーー！　ありがたいっ！」
<2086> 「うおおーーー！　ありがたいっ！」

//<2087> 手を握られ、ぶんぶん上下に振られる。
<2087> 手を握られ、ぶんぶん上下に振られる。

//<2088> 俺なんて新入りの言葉がそこまで響くのか…！
<2088> 俺なんて新入りの言葉がそこまで響くのか…！

//<2089> dummy
<2089> dummy

//<2090> bg_kuro
<2090> bg_kuro

//<2091> ep04_bg008
<2091> ep04_bg008

//<2092> mt0102
<2092> mt0102

//<2093> sys_bk_selline00
<2093> sys_bk_selline00

//<2094> mt0106
<2094> mt0106

//<2095> bg_kuro
<2095> bg_kuro

//<2096> mt0108
<2096> mt0108

//<2097> mt0101
<2097> mt0101

//<2098> mt0106
<2098> mt0106

//<2099> mt0106_01
<2099> mt0106_01

//<2100> mt0102
<2100> mt0102

//<2101> m105
<2101> m105

//<2102> mt0101
<2102> mt0101

//<2103> mt0103
<2103> mt0103

//<2104> mt0102
<2104> mt0102

//<2105> mt0101
<2105> mt0101

//<2106> mt0108
<2106> mt0108

//<2107> ep04_bg008
<2107> ep04_bg008

//<2108> mt0101
<2108> mt0101

//<2109> mt0102
<2109> mt0102

//<2110> mt0101
<2110> mt0101

//<2111> mt0102
<2111> mt0102

//<2112> mt0101
<2112> mt0101

//<2113> mt0104
<2113> mt0104

//<2114> mt0104
<2114> mt0104

//<2115> evmt_0101
<2115> evmt_0101

//<2116> m118
<2116> m118
{bc7a} 0a // 2116

//<2117> ep04_bg008
<2117> ep04_bg008

//<2118> mt0308
<2118> mt0308

//<2119> mt0306
<2119> mt0306

//<2120> bs3_mt030100a0
<2120> bs3_mt030100a0

//<2121> mt0308
<2121> mt0308

//<2122> mt0302
<2122> mt0302

//<2123> mt0306
<2123> mt0306

//<2124> sys_bk_selline00
<2124> sys_bk_selline00

//<2125> mt0302
<2125> mt0302

