// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 素っ気なく本部を後にする岩沢を追う。
<0000> 素っ気なく本部を後にする岩沢を追う。
<1576> アメリカンエロドッグ

//<1577> ゼウス
<1577> ゼウス

//<1578> 日向markⅡ
<1578> 日向markⅡ

//<1579> 糞虫
<1579> 糞虫

//<1580> 量産型日向
<1580> 量産型日向

//<1581> ？？
<1581> ？？

//<1582> 「恐らく…悪いほうだ」
<1582> 「恐らく…悪いほうだ」

//<1583> nothing
<1583> nothing

//<1584> nothing
<1584> nothing

//<1585> nothing
<1585> nothing

//<1586> nothing
<1586> nothing

//<1587> nothing
<1587> nothing

//<1588> ひさ子
<1588> ひさ子

//<1589> 「だろうな。身長の割りにひょろい体してるからな」
<1589> 「だろうな。身長の割りにひょろい体してるからな」

//<1590> nothing
<1590> nothing

//<1591> nothing
<1591> nothing

//<1592> nothing
<1592> nothing

//<1593> nothing
<1593> nothing

//<1594> nothing
<1594> nothing

//<1595> 岩沢
<1595> 岩沢

//<1596> 「じゃ、解散」
<1596> 「じゃ、解散」

//<1597> 音無
<1597> 音無

//<1598> クソ坊主
<1598> クソ坊主

//<1599> 代理人
<1599> 代理人

//<1600> 微妙すぎるイケメン
<1600> 微妙すぎるイケメン

//<1601> ロリコン
<1601> ロリコン

//<1602> メガネ仲間
<1602> メガネ仲間

//<1603> 暗算日本記録保持者
<1603> 暗算日本記録保持者

//<1604> 通り魔
<1604> 通り魔

//<1605> 記憶ナシ男
<1605> 記憶ナシ男

//<1606> 音速
<1606> 音速

//<1607> 無限
<1607> 無限

//<1608> エロ侍
<1608> エロ侍

//<1609> エロエロ団ナンバー１
<1609> エロエロ団ナンバー１

//<1610> ただのエロ少年
<1610> ただのエロ少年

//<1611> ユリブサイク
<1611> ユリブサイク

//<1612> ドピュッシー
<1612> ドピュッシー

//<1613> アメリカンエロドッグ
<1613> アメリカンエロドッグ

//<1614> ゼウス
<1614> ゼウス

//<1615> 日向markⅡ
<1615> 日向markⅡ

//<1616> 糞虫
<1616> 糞虫

//<1617> 量産型日向
<1617> 量産型日向

//<1618> ？？
<1618> ？？

//<1619> 「えぇーー！？　これから練習するんじゃないのか！？」
<1619> 「えぇーー！？　これから練習するんじゃないのか！？」

//<1620> nothing
<1620> nothing

//<1621> nothing
<1621> nothing

//<1622> nothing
<1622> nothing

//<1623> nothing
<1623> nothing

//<1624> nothing
<1624> nothing

//<1625> 岩沢
<1625> 岩沢

//<1626> 「もうすぐ放課後だ。一般生徒が部活動を始める頃だから、場所がない」
<1626> 「もうすぐ放課後だ。一般生徒が部活動を始める頃だから、場所がない」

//<1627> nothing
<1627> nothing

//<1628> nothing
<1628> nothing

//<1629> nothing
<1629> nothing

//<1630> nothing
<1630> nothing

//<1631> ひさ子
<1631> ひさ子

//<1632> 「しかも、そんな連中を脅して練習を続けると、天使様が降臨なされるわけさ」
<1632> 「しかも、そんな連中を脅して練習を続けると、天使様が降臨なされるわけさ」

//<1633> nothing
<1633> nothing

//<1634> nothing
<1634> nothing

//<1635> nothing
<1635> nothing

//<1636> nothing
<1636> nothing

//<1637> nothing
<1637> nothing

//<1638> ひさ子
<1638> ひさ子

//<1639> 「あたしたちは何度も球技大会に参加している。お前以外はなんの問題もない」
<1639> 「あたしたちは何度も球技大会に参加している。お前以外はなんの問題もない」

//<1640> 音無
<1640> 音無

//<1641> クソ坊主
<1641> クソ坊主

//<1642> 代理人
<1642> 代理人

//<1643> 微妙すぎるイケメン
<1643> 微妙すぎるイケメン

//<1644> ロリコン
<1644> ロリコン

//<1645> メガネ仲間
<1645> メガネ仲間

//<1646> 暗算日本記録保持者
<1646> 暗算日本記録保持者

//<1647> 通り魔
<1647> 通り魔

//<1648> 記憶ナシ男
<1648> 記憶ナシ男

//<1649> 音速
<1649> 音速

//<1650> 無限
<1650> 無限

//<1651> エロ侍
<1651> エロ侍

//<1652> エロエロ団ナンバー１
<1652> エロエロ団ナンバー１

//<1653> ただのエロ少年
<1653> ただのエロ少年

//<1654> ユリブサイク
<1654> ユリブサイク

//<1655> ドピュッシー
<1655> ドピュッシー

//<1656> アメリカンエロドッグ
<1656> アメリカンエロドッグ

//<1657> ゼウス
<1657> ゼウス

//<1658> 日向markⅡ
<1658> 日向markⅡ

//<1659> 糞虫
<1659> 糞虫

//<1660> 量産型日向
<1660> 量産型日向

//<1661> ？？
<1661> ？？

//<1662> 「俺には問題あるってことじゃないか…」
<1662> 「俺には問題あるってことじゃないか…」

//<1663> nothing
<1663> nothing

//<1664> nothing
<1664> nothing

//<1665> nothing
<1665> nothing

//<1666> nothing
<1666> nothing

//<1667> nothing
<1667> nothing

//<1668> nothing
<1668> nothing

//<1669> 山倉
<1669> 山倉

//<1670> 「ふたりだけでしたら、別の場所で練習可能ですが、どうしますか？」
<1670> 「ふたりだけでしたら、別の場所で練習可能ですが、どうしますか？」

//<1671> お願いする
<1671> お願いする

//<1672> 握り方だけでも教えてほしい
<1672> 握り方だけでも教えてほしい

//<1673> selbtn : 
<1673> selbtn : 

//<1674> 音無
<1674> 音無

//<1675> クソ坊主
<1675> クソ坊主

//<1676> 代理人
<1676> 代理人

//<1677> 微妙すぎるイケメン
<1677> 微妙すぎるイケメン

//<1678> ロリコン
<1678> ロリコン

//<1679> メガネ仲間
<1679> メガネ仲間

//<1680> 暗算日本記録保持者
<1680> 暗算日本記録保持者

//<1681> 通り魔
<1681> 通り魔

//<1682> 記憶ナシ男
<1682> 記憶ナシ男

//<1683> 音速
<1683> 音速

//<1684> 無限
<1684> 無限

//<1685> エロ侍
<1685> エロ侍

//<1686> エロエロ団ナンバー１
<1686> エロエロ団ナンバー１

//<1687> ただのエロ少年
<1687> ただのエロ少年

//<1688> ユリブサイク
<1688> ユリブサイク

//<1689> ドピュッシー
<1689> ドピュッシー

//<1690> アメリカンエロドッグ
<1690> アメリカンエロドッグ

//<1691> ゼウス
<1691> ゼウス

//<1692> 日向markⅡ
<1692> 日向markⅡ

//<1693> 糞虫
<1693> 糞虫

//<1694> 量産型日向
<1694> 量産型日向

//<1695> ？？
<1695> ？？

//<1696> 「山倉、よろしく頼む！」
<1696> 「山倉、よろしく頼む！」

//<1697> 山倉
<1697> 山倉

//<1698> 「わかりました。では場所を変えましょう」
<1698> 「わかりました。では場所を変えましょう」

//<1699> nothing
<1699> nothing

//<1700> nothing
<1700> nothing

//<1701> nothing
<1701> nothing

//<1702> nothing
<1702> nothing

//<1703> ひさ子
<1703> ひさ子

//<1704> 「てめー、すげー本気だな」
<1704> 「てめー、すげー本気だな」

//<1705> 音無
<1705> 音無

//<1706> クソ坊主
<1706> クソ坊主

//<1707> 代理人
<1707> 代理人

//<1708> 微妙すぎるイケメン
<1708> 微妙すぎるイケメン

//<1709> ロリコン
<1709> ロリコン

//<1710> メガネ仲間
<1710> メガネ仲間

//<1711> 暗算日本記録保持者
<1711> 暗算日本記録保持者

//<1712> 通り魔
<1712> 通り魔

//<1713> 記憶ナシ男
<1713> 記憶ナシ男

//<1714> 音速
<1714> 音速

//<1715> 無限
<1715> 無限

//<1716> エロ侍
<1716> エロ侍

//<1717> エロエロ団ナンバー１
<1717> エロエロ団ナンバー１

//<1718> ただのエロ少年
<1718> ただのエロ少年

//<1719> ユリブサイク
<1719> ユリブサイク

//<1720> ドピュッシー
<1720> ドピュッシー

//<1721> アメリカンエロドッグ
<1721> アメリカンエロドッグ

//<1722> ゼウス
<1722> ゼウス

//<1723> 日向markⅡ
<1723> 日向markⅡ

//<1724> 糞虫
<1724> 糞虫

//<1725> 量産型日向
<1725> 量産型日向

//<1726> ？？
<1726> ？？

//<1727> 「こっちは記憶喪失なんだぜ？　練習しとかないと、ぜってー負ける」
<1727> 「こっちは記憶喪失なんだぜ？　練習しとかないと、ぜってー負ける」

//<1728> nothing
<1728> nothing

//<1729> nothing
<1729> nothing

//<1730> nothing
<1730> nothing

//<1731> nothing
<1731> nothing

//<1732> nothing
<1732> nothing

//<1733> 岩沢
<1733> 岩沢

//<1734> 「だな。頼めるか、お前」
<1734> 「だな。頼めるか、お前」

//<1735> 山倉
<1735> 山倉

//<1736> 「おいっす！」
<1736> 「おいっす！」

//<1737> 校舎裏にある森の開けた場所で、山倉に一対一で教えを請う。
<1737> 校舎裏にある森の開けた場所で、山倉に一対一で教えを請う。

//<1738> 山倉
<1738> 山倉

//<1739> 「いいですか、チェンジアップの握りはこうです」
<1739> 「いいですか、チェンジアップの握りはこうです」

//<1740> まずはボールの握り方を教えられる。
<1740> まずはボールの握り方を教えられる。

//<1741> 山倉
<1741> 山倉

//<1742> 「こうすると、ボールに力が伝わりづらくなります。結果、遅い球になります」
<1742> 「こうすると、ボールに力が伝わりづらくなります。結果、遅い球になります」

//<1743> 山倉
<1743> 山倉

//<1744> 「握りが違うだけで、投げ方、ようは腕の振りは直球と変えないようにしてください」
<1744> 「握りが違うだけで、投げ方、ようは腕の振りは直球と変えないようにしてください」

//<1745> 山倉
<1745> 山倉

//<1746> 「直球に見せかけて、遅い球でタイミングをずらす、それだけが目的なので」
<1746> 「直球に見せかけて、遅い球でタイミングをずらす、それだけが目的なので」

//<1747> 山倉
<1747> 山倉

//<1748> 「わかりましたか？」
<1748> 「わかりましたか？」

//<1749> 音無
<1749> 音無

//<1750> クソ坊主
<1750> クソ坊主

//<1751> 代理人
<1751> 代理人

//<1752> 微妙すぎるイケメン
<1752> 微妙すぎるイケメン

//<1753> ロリコン
<1753> ロリコン

//<1754> メガネ仲間
<1754> メガネ仲間

//<1755> 暗算日本記録保持者
<1755> 暗算日本記録保持者

//<1756> 通り魔
<1756> 通り魔

//<1757> 記憶ナシ男
<1757> 記憶ナシ男

//<1758> 音速
<1758> 音速

//<1759> 無限
<1759> 無限

//<1760> エロ侍
<1760> エロ侍

//<1761> エロエロ団ナンバー１
<1761> エロエロ団ナンバー１

//<1762> ただのエロ少年
<1762> ただのエロ少年

//<1763> ユリブサイク
<1763> ユリブサイク

//<1764> ドピュッシー
<1764> ドピュッシー

//<1765> アメリカンエロドッグ
<1765> アメリカンエロドッグ

//<1766> ゼウス
<1766> ゼウス

//<1767> 日向markⅡ
<1767> 日向markⅡ

//<1768> 糞虫
<1768> 糞虫

//<1769> 量産型日向
<1769> 量産型日向

//<1770> ？？
<1770> ？？

//<1771> 「頭ではな。だが、投げてみないことにはわからない」
<1771> 「頭ではな。だが、投げてみないことにはわからない」

//<1772> 山倉
<1772> 山倉

//<1773> 「そうですね。夜になってボールが見えなくなるまで、ひたすら練習しましょう」
<1773> 「そうですね。夜になってボールが見えなくなるまで、ひたすら練習しましょう」

//<1774> 音無
<1774> 音無

//<1775> クソ坊主
<1775> クソ坊主

//<1776> 代理人
<1776> 代理人

//<1777> 微妙すぎるイケメン
<1777> 微妙すぎるイケメン

//<1778> ロリコン
<1778> ロリコン

//<1779> メガネ仲間
<1779> メガネ仲間

//<1780> 暗算日本記録保持者
<1780> 暗算日本記録保持者

//<1781> 通り魔
<1781> 通り魔

//<1782> 記憶ナシ男
<1782> 記憶ナシ男

//<1783> 音速
<1783> 音速

//<1784> 無限
<1784> 無限

//<1785> エロ侍
<1785> エロ侍

//<1786> エロエロ団ナンバー１
<1786> エロエロ団ナンバー１

//<1787> ただのエロ少年
<1787> ただのエロ少年

//<1788> ユリブサイク
<1788> ユリブサイク

//<1789> ドピュッシー
<1789> ドピュッシー

//<1790> アメリカンエロドッグ
<1790> アメリカンエロドッグ

//<1791> ゼウス
<1791> ゼウス

//<1792> 日向markⅡ
<1792> 日向markⅡ

//<1793> 糞虫
<1793> 糞虫

//<1794> 量産型日向
<1794> 量産型日向

//<1795> ？？
<1795> ？？

//<1796> 「…ああ」
<1796> 「…ああ」

//<1797> se_pitching1
<1797> se_pitching1

//<1798> そこからどれだけ投げただろう。手に血豆が出来てきた…。
<1798> そこからどれだけ投げただろう。手に血豆が出来てきた…。

//<1799> だが、その血豆を潰さないよう、力を抜いて投げた時にブレイクスルーが発生した。
<1799> だが、その血豆を潰さないよう、力を抜いて投げた時にブレイクスルーが発生した。

//<1800> se_catch
<1800> se_catch

//<1801> 山倉
<1801> 山倉

//<1802> 「ナイスボールです！」
<1802> 「ナイスボールです！」

//<1803> 山倉
<1803> 山倉

//<1804> 「直球に見せかけて、相手のタイミングをずらしながら、ストライクゾーンからボールへ落ちていく、まさに理想的なチェンジアップです！」
<1804> 「直球に見せかけて、相手のタイミングをずらしながら、ストライクゾーンからボールへ落ちていく、まさに理想的なチェンジアップです！」

//<1805> 音無
<1805> 音無

//<1806> クソ坊主
<1806> クソ坊主

//<1807> 代理人
<1807> 代理人

//<1808> 微妙すぎるイケメン
<1808> 微妙すぎるイケメン

//<1809> ロリコン
<1809> ロリコン

//<1810> メガネ仲間
<1810> メガネ仲間

//<1811> 暗算日本記録保持者
<1811> 暗算日本記録保持者

//<1812> 通り魔
<1812> 通り魔

//<1813> 記憶ナシ男
<1813> 記憶ナシ男

//<1814> 音速
<1814> 音速

//<1815> 無限
<1815> 無限

//<1816> エロ侍
<1816> エロ侍

//<1817> エロエロ団ナンバー１
<1817> エロエロ団ナンバー１

//<1818> ただのエロ少年
<1818> ただのエロ少年

//<1819> ユリブサイク
<1819> ユリブサイク

//<1820> ドピュッシー
<1820> ドピュッシー

//<1821> アメリカンエロドッグ
<1821> アメリカンエロドッグ

//<1822> ゼウス
<1822> ゼウス

//<1823> 日向markⅡ
<1823> 日向markⅡ

//<1824> 糞虫
<1824> 糞虫

//<1825> 量産型日向
<1825> 量産型日向

//<1826> ？？
<1826> ？？

//<1827> 「これでいいのか」
<1827> 「これでいいのか」

//<1828> 山倉
<1828> 山倉

//<1829> 「はい。やはり僕の判断は間違ってなかった」
<1829> 「はい。やはり僕の判断は間違ってなかった」

//<1830> 音無
<1830> 音無

//<1831> クソ坊主
<1831> クソ坊主

//<1832> 代理人
<1832> 代理人

//<1833> 微妙すぎるイケメン
<1833> 微妙すぎるイケメン

//<1834> ロリコン
<1834> ロリコン

//<1835> メガネ仲間
<1835> メガネ仲間

//<1836> 暗算日本記録保持者
<1836> 暗算日本記録保持者

//<1837> 通り魔
<1837> 通り魔

//<1838> 記憶ナシ男
<1838> 記憶ナシ男

//<1839> 音速
<1839> 音速

//<1840> 無限
<1840> 無限

//<1841> エロ侍
<1841> エロ侍

//<1842> エロエロ団ナンバー１
<1842> エロエロ団ナンバー１

//<1843> ただのエロ少年
<1843> ただのエロ少年

//<1844> ユリブサイク
<1844> ユリブサイク

//<1845> ドピュッシー
<1845> ドピュッシー

//<1846> アメリカンエロドッグ
<1846> アメリカンエロドッグ

//<1847> ゼウス
<1847> ゼウス

//<1848> 日向markⅡ
<1848> 日向markⅡ

//<1849> 糞虫
<1849> 糞虫

//<1850> 量産型日向
<1850> 量産型日向

//<1851> ？？
<1851> ？？

//<1852> 「この感覚を忘れないうちに、もう少し投げさせてくれ」
<1852> 「この感覚を忘れないうちに、もう少し投げさせてくれ」

//<1853> 山倉
<1853> 山倉

//<1854> 「了解です」
<1854> 「了解です」

//<1855> 明日には、手の血豆ぐらいなくなってる世界だからな。
<1855> 明日には、手の血豆ぐらいなくなってる世界だからな。

//<1856> se_pitching1
<1856> se_pitching1

//<1857> se_catch
<1857> se_catch

//<1858> もう暗くて、ボールも見えなくなってきた完全な夜。
<1858> もう暗くて、ボールも見えなくなってきた完全な夜。

//<1859> 山倉
<1859> 山倉

//<1860> 「ぎりぎりでしたね。お見事です。完全にチェンジアップをモノにしました」
<1860> 「ぎりぎりでしたね。お見事です。完全にチェンジアップをモノにしました」

//<1861> 音無
<1861> 音無

//<1862> クソ坊主
<1862> クソ坊主

//<1863> 代理人
<1863> 代理人

//<1864> 微妙すぎるイケメン
<1864> 微妙すぎるイケメン

//<1865> ロリコン
<1865> ロリコン

//<1866> メガネ仲間
<1866> メガネ仲間

//<1867> 暗算日本記録保持者
<1867> 暗算日本記録保持者

//<1868> 通り魔
<1868> 通り魔

//<1869> 記憶ナシ男
<1869> 記憶ナシ男

//<1870> 音速
<1870> 音速

//<1871> 無限
<1871> 無限

//<1872> エロ侍
<1872> エロ侍

//<1873> エロエロ団ナンバー１
<1873> エロエロ団ナンバー１

//<1874> ただのエロ少年
<1874> ただのエロ少年

//<1875> ユリブサイク
<1875> ユリブサイク

//<1876> ドピュッシー
<1876> ドピュッシー

//<1877> アメリカンエロドッグ
<1877> アメリカンエロドッグ

//<1878> ゼウス
<1878> ゼウス

//<1879> 日向markⅡ
<1879> 日向markⅡ

//<1880> 糞虫
<1880> 糞虫

//<1881> 量産型日向
<1881> 量産型日向

//<1882> ？？
<1882> ？？

//<1883> 「ああ。助かったよ」
<1883> 「ああ。助かったよ」

//<1884> 山倉
<1884> 山倉

//<1885> 「ガルデモチームは、去年も一回戦で敗退。でも、今年はあなたが居ることで変わるかもしれない…。そんな予感がします」
<1885> 「ガルデモチームは、去年も一回戦で敗退。でも、今年はあなたが居ることで変わるかもしれない…。そんな予感がします」

//<1886> ＮＰＣに褒められても、胸が熱くなったり、燃えたりはしないが、結果、岩沢のためになるなら…。
<1886> ＮＰＣに褒められても、胸が熱くなったり、燃えたりはしないが、結果、岩沢のためになるなら…。

//<1887> やれる気がしていた。
<1887> やれる気がしていた。

//<1888> nothing
<1888> nothing

//<1889> nothing
<1889> nothing

//<1890> nothing
<1890> nothing

//<1891> nothing
<1891> nothing

//<1892> nothing
<1892> nothing

//<1893> nothing
<1893> nothing

//<1894> ＮＰＣの山倉が近づいてくる。
<1894> ＮＰＣの山倉が近づいてくる。

//<1895> 山倉
<1895> 山倉

//<1896> 「このボールを明日まで握り続けてください」
<1896> 「このボールを明日まで握り続けてください」

//<1897> 山倉
<1897> 山倉

//<1898> 「この握りで」
<1898> 「この握りで」

//<1899> 見て覚え、それを真似してみせる。
<1899> 見て覚え、それを真似してみせる。

//<1900> 音無
<1900> 音無

//<1901> クソ坊主
<1901> クソ坊主

//<1902> 代理人
<1902> 代理人

//<1903> 微妙すぎるイケメン
<1903> 微妙すぎるイケメン

//<1904> ロリコン
<1904> ロリコン

//<1905> メガネ仲間
<1905> メガネ仲間

//<1906> 暗算日本記録保持者
<1906> 暗算日本記録保持者

//<1907> 通り魔
<1907> 通り魔

//<1908> 記憶ナシ男
<1908> 記憶ナシ男

//<1909> 音速
<1909> 音速

//<1910> 無限
<1910> 無限

//<1911> エロ侍
<1911> エロ侍

//<1912> エロエロ団ナンバー１
<1912> エロエロ団ナンバー１

//<1913> ただのエロ少年
<1913> ただのエロ少年

//<1914> ユリブサイク
<1914> ユリブサイク

//<1915> ドピュッシー
<1915> ドピュッシー

//<1916> アメリカンエロドッグ
<1916> アメリカンエロドッグ

//<1917> ゼウス
<1917> ゼウス

//<1918> 日向markⅡ
<1918> 日向markⅡ

//<1919> 糞虫
<1919> 糞虫

//<1920> 量産型日向
<1920> 量産型日向

//<1921> ？？
<1921> ？？

//<1922> 「これでいいのか？」
<1922> 「これでいいのか？」

//<1923> 山倉
<1923> 山倉

//<1924> 「はい」
<1924> 「はい」

//<1925> 山倉
<1925> 山倉

//<1926> 「この握りで直球と同じ振りで投げれば、チェンジアップになり、決め球として相手から三振を奪えます」
<1926> 「この握りで直球と同じ振りで投げれば、チェンジアップになり、決め球として相手から三振を奪えます」

//<1927> 音無
<1927> 音無

//<1928> クソ坊主
<1928> クソ坊主

//<1929> 代理人
<1929> 代理人

//<1930> 微妙すぎるイケメン
<1930> 微妙すぎるイケメン

//<1931> ロリコン
<1931> ロリコン

//<1932> メガネ仲間
<1932> メガネ仲間

//<1933> 暗算日本記録保持者
<1933> 暗算日本記録保持者

//<1934> 通り魔
<1934> 通り魔

//<1935> 記憶ナシ男
<1935> 記憶ナシ男

//<1936> 音速
<1936> 音速

//<1937> 無限
<1937> 無限

//<1938> エロ侍
<1938> エロ侍

//<1939> エロエロ団ナンバー１
<1939> エロエロ団ナンバー１

//<1940> ただのエロ少年
<1940> ただのエロ少年

//<1941> ユリブサイク
<1941> ユリブサイク

//<1942> ドピュッシー
<1942> ドピュッシー

//<1943> アメリカンエロドッグ
<1943> アメリカンエロドッグ

//<1944> ゼウス
<1944> ゼウス

//<1945> 日向markⅡ
<1945> 日向markⅡ

//<1946> 糞虫
<1946> 糞虫

//<1947> 量産型日向
<1947> 量産型日向

//<1948> ？？
<1948> ？？

//<1949> 「わかったよ。寝るとき以外はそうしておくよ」
<1949> 「わかったよ。寝るとき以外はそうしておくよ」

//<1950> 山倉
<1950> 山倉

//<1951> 「はい。よろしくお願いします」
<1951> 「はい。よろしくお願いします」

//<1952> 音無
<1952> 音無

//<1953> クソ坊主
<1953> クソ坊主

//<1954> 代理人
<1954> 代理人

//<1955> 微妙すぎるイケメン
<1955> 微妙すぎるイケメン

//<1956> ロリコン
<1956> ロリコン

//<1957> メガネ仲間
<1957> メガネ仲間

//<1958> 暗算日本記録保持者
<1958> 暗算日本記録保持者

//<1959> 通り魔
<1959> 通り魔

//<1960> 記憶ナシ男
<1960> 記憶ナシ男

//<1961> 音速
<1961> 音速

//<1962> 無限
<1962> 無限

//<1963> エロ侍
<1963> エロ侍

//<1964> エロエロ団ナンバー１
<1964> エロエロ団ナンバー１

//<1965> ただのエロ少年
<1965> ただのエロ少年

//<1966> ユリブサイク
<1966> ユリブサイク

//<1967> ドピュッシー
<1967> ドピュッシー

//<1968> アメリカンエロドッグ
<1968> アメリカンエロドッグ

//<1969> ゼウス
<1969> ゼウス

//<1970> 日向markⅡ
<1970> 日向markⅡ

//<1971> 糞虫
<1971> 糞虫

//<1972> 量産型日向
<1972> 量産型日向

//<1973> ？？
<1973> ？？

//<1974> （さて、夕飯を食いにいくか…）
<1974> （さて、夕飯を食いにいくか…）

//<1975> 食堂に入ると、日向は券売機の隣で待っていてくれた。
<1975> 食堂に入ると、日向は券売機の隣で待っていてくれた。

//<1976> nothing
<1976> nothing

//<1977> nothing
<1977> nothing

//<1978> nothing
<1978> nothing

//<1979> nothing
<1979> nothing

//<1980> nothing
<1980> nothing

//<1981> 日向
<1981> 日向

//<1982> 男Ｂ
<1982> 男Ｂ

//<1983> エロエロ団総帥
<1983> エロエロ団総帥

//<1984> イケチン
<1984> イケチン

//<1985> ホモ太
<1985> ホモ太

//<1986> ひなチン
<1986> ひなチン

//<1987> 秀樹
<1987> 秀樹

//<1988> 男子生徒
<1988> 男子生徒

//<1989> ？？
<1989> ？？

//<1990> 「よぅ、えらく遅かったな」
<1990> 「よぅ、えらく遅かったな」

//<1991> 音無
<1991> 音無

//<1992> クソ坊主
<1992> クソ坊主

//<1993> 代理人
<1993> 代理人

//<1994> 微妙すぎるイケメン
<1994> 微妙すぎるイケメン

//<1995> ロリコン
<1995> ロリコン

//<1996> メガネ仲間
<1996> メガネ仲間

//<1997> 暗算日本記録保持者
<1997> 暗算日本記録保持者

//<1998> 通り魔
<1998> 通り魔

//<1999> 記憶ナシ男
<1999> 記憶ナシ男

//<2000> 音速
<2000> 音速

//<2001> 無限
<2001> 無限

//<2002> エロ侍
<2002> エロ侍

//<2003> エロエロ団ナンバー１
<2003> エロエロ団ナンバー１

//<2004> ただのエロ少年
<2004> ただのエロ少年

//<2005> ユリブサイク
<2005> ユリブサイク

//<2006> ドピュッシー
<2006> ドピュッシー

//<2007> アメリカンエロドッグ
<2007> アメリカンエロドッグ

//<2008> ゼウス
<2008> ゼウス

//<2009> 日向markⅡ
<2009> 日向markⅡ

//<2010> 糞虫
<2010> 糞虫

//<2011> 量産型日向
<2011> 量産型日向

//<2012> ？？
<2012> ？？

//<2013> 「先に食っていてもらってもよかったのに…」
<2013> 「先に食っていてもらってもよかったのに…」

//<2014> nothing
<2014> nothing

//<2015> nothing
<2015> nothing

//<2016> nothing
<2016> nothing

//<2017> nothing
<2017> nothing

//<2018> nothing
<2018> nothing

//<2019> 日向
<2019> 日向

//<2020> 男Ｂ
<2020> 男Ｂ

//<2021> エロエロ団総帥
<2021> エロエロ団総帥

//<2022> イケチン
<2022> イケチン

//<2023> ホモ太
<2023> ホモ太

//<2024> ひなチン
<2024> ひなチン

//<2025> 秀樹
<2025> 秀樹

//<2026> 男子生徒
<2026> 男子生徒

//<2027> ？？
<2027> ？？
{364c0} 33 // 2027

//<2028> 「まあ、そんなことは気にするな。さて、飯だ、飯ーっ！！」
<2028> 「まあ、そんなことは気にするな。さて、飯だ、飯ーっ！！」

//<2029> nothing
<2029> nothing

//<2030> nothing
<2030> nothing

//<2031> nothing
<2031> nothing

//<2032> nothing
<2032> nothing

//<2033> nothing
<2033> nothing

//<2034> やはり日向はいい奴だ。
<2034> やはり日向はいい奴だ。

//<2035> nothing
<2035> nothing

//<2036> nothing
<2036> nothing

//<2037> nothing
<2037> nothing

//<2038> nothing
<2038> nothing

//<2039> nothing
<2039> nothing

//<2040> 日向
<2040> 日向

//<2041> 男Ｂ
<2041> 男Ｂ

//<2042> エロエロ団総帥
<2042> エロエロ団総帥

//<2043> イケチン
<2043> イケチン

//<2044> ホモ太
<2044> ホモ太

//<2045> ひなチン
<2045> ひなチン

//<2046> 秀樹
<2046> 秀樹

//<2047> 男子生徒
<2047> 男子生徒

//<2048> ？？
<2048> ？？

//<2049> 「よし、まずお前の食券を引くぜ？」
<2049> 「よし、まずお前の食券を引くぜ？」

//<2050> 音無
<2050> 音無

//<2051> クソ坊主
<2051> クソ坊主

//<2052> 代理人
<2052> 代理人

//<2053> 微妙すぎるイケメン
<2053> 微妙すぎるイケメン

//<2054> ロリコン
<2054> ロリコン

//<2055> メガネ仲間
<2055> メガネ仲間

//<2056> 暗算日本記録保持者
<2056> 暗算日本記録保持者

//<2057> 通り魔
<2057> 通り魔

//<2058> 記憶ナシ男
<2058> 記憶ナシ男

//<2059> 音速
<2059> 音速

//<2060> 無限
<2060> 無限

//<2061> エロ侍
<2061> エロ侍

//<2062> エロエロ団ナンバー１
<2062> エロエロ団ナンバー１

//<2063> ただのエロ少年
<2063> ただのエロ少年

//<2064> ユリブサイク
<2064> ユリブサイク

//<2065> ドピュッシー
<2065> ドピュッシー

//<2066> アメリカンエロドッグ
<2066> アメリカンエロドッグ

//<2067> ゼウス
<2067> ゼウス

//<2068> 日向markⅡ
<2068> 日向markⅡ

//<2069> 糞虫
<2069> 糞虫

//<2070> 量産型日向
<2070> 量産型日向

//<2071> ？？
<2071> ？？

//<2072> 「待てっ、今の俺の利き腕はこの状態だ」
<2072> 「待てっ、今の俺の利き腕はこの状態だ」

//<2073> nothing
<2073> nothing

//<2074> nothing
<2074> nothing

//<2075> nothing
<2075> nothing

//<2076> nothing
<2076> nothing

//<2077> nothing
<2077> nothing

//<2078> 右手に握った軟球を見せつける。
<2078> 右手に握った軟球を見せつける。

//<2079> nothing
<2079> nothing

//<2080> nothing
<2080> nothing

//<2081> nothing
<2081> nothing

