// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。
//<1683> クソ坊主
<1683> クソ坊主

//<1684> 代理人
<1684> 代理人

//<1685> 微妙すぎるイケメン
<1685> 微妙すぎるイケメン

//<1686> ロリコン
<1686> ロリコン

//<1687> メガネ仲間
<1687> メガネ仲間

//<1688> 暗算日本記録保持者
<1688> 暗算日本記録保持者

//<1689> 通り魔
<1689> 通り魔

//<1690> 記憶ナシ男
<1690> 記憶ナシ男

//<1691> 音速
<1691> 音速

//<1692> 無限
<1692> 無限

//<1693> エロ侍
<1693> エロ侍

//<1694> エロエロ団ナンバー１
<1694> エロエロ団ナンバー１

//<1695> ただのエロ少年
<1695> ただのエロ少年

//<1696> ユリブサイク
<1696> ユリブサイク

//<1697> ドピュッシー
<1697> ドピュッシー

//<1698> アメリカンエロドッグ
<1698> アメリカンエロドッグ

//<1699> ゼウス
<1699> ゼウス

//<1700> 日向markⅡ
<1700> 日向markⅡ

//<1701> 糞虫
<1701> 糞虫

//<1702> 量産型日向
<1702> 量産型日向

//<1703> ？？
<1703> ？？

//<1704> 「ああ…すまん…」
<1704> 「ああ…すまん…」

//<1705> nothing
<1705> nothing

//<1706> nothing
<1706> nothing

//<1707> nothing
<1707> nothing

//<1708> nothing
<1708> nothing

//<1709> nothing
<1709> nothing

//<1710> nothing
<1710> nothing

//<1711> 待つ。
<1711> 待つ。

//<1712> 缶を立て直し、日向が戻ってくる。
<1712> 缶を立て直し、日向が戻ってくる。

//<1713> nothing
<1713> nothing

//<1714> nothing
<1714> nothing

//<1715> nothing
<1715> nothing

//<1716> nothing
<1716> nothing

//<1717> nothing
<1717> nothing

//<1718> 日向
<1718> 日向

//<1719> 男Ｂ
<1719> 男Ｂ

//<1720> エロエロ団総帥
<1720> エロエロ団総帥

//<1721> イケチン
<1721> イケチン

//<1722> ホモ太
<1722> ホモ太

//<1723> ひなチン
<1723> ひなチン

//<1724> 秀樹
<1724> 秀樹

//<1725> 男子生徒
<1725> 男子生徒

//<1726> ？？
<1726> ？？

//<1727> 「いけっ、ただのエロ少年」
<1727> 「いけっ、ただのエロ少年」

//<1728> 音無
<1728> 音無

//<1729> クソ坊主
<1729> クソ坊主

//<1730> 代理人
<1730> 代理人

//<1731> 微妙すぎるイケメン
<1731> 微妙すぎるイケメン

//<1732> ロリコン
<1732> ロリコン

//<1733> メガネ仲間
<1733> メガネ仲間

//<1734> 暗算日本記録保持者
<1734> 暗算日本記録保持者

//<1735> 通り魔
<1735> 通り魔

//<1736> 記憶ナシ男
<1736> 記憶ナシ男

//<1737> 音速
<1737> 音速

//<1738> 無限
<1738> 無限

//<1739> エロ侍
<1739> エロ侍

//<1740> エロエロ団ナンバー１
<1740> エロエロ団ナンバー１

//<1741> ただのエロ少年
<1741> ただのエロ少年

//<1742> ユリブサイク
<1742> ユリブサイク

//<1743> ドピュッシー
<1743> ドピュッシー

//<1744> アメリカンエロドッグ
<1744> アメリカンエロドッグ

//<1745> ゼウス
<1745> ゼウス

//<1746> 日向markⅡ
<1746> 日向markⅡ

//<1747> 糞虫
<1747> 糞虫

//<1748> 量産型日向
<1748> 量産型日向

//<1749> ？？
<1749> ？？

//<1750> 「ただのエロ少年、行きまーーす！」
<1750> 「ただのエロ少年、行きまーーす！」

//<1751> 日向
<1751> 日向

//<1752> 男Ｂ
<1752> 男Ｂ

//<1753> エロエロ団総帥
<1753> エロエロ団総帥

//<1754> イケチン
<1754> イケチン

//<1755> ホモ太
<1755> ホモ太

//<1756> ひなチン
<1756> ひなチン

//<1757> 秀樹
<1757> 秀樹

//<1758> 男子生徒
<1758> 男子生徒

//<1759> ？？
<1759> ？？

//<1760> 「いけっ、音無」
<1760> 「いけっ、音無」

//<1761> nothing
<1761> nothing

//<1762> nothing
<1762> nothing

//<1763> nothing
<1763> nothing

//<1764> nothing
<1764> nothing

//<1765> nothing
<1765> nothing

//<1766> nothing
<1766> nothing

//<1767> 音無
<1767> 音無

//<1768> クソ坊主
<1768> クソ坊主

//<1769> 代理人
<1769> 代理人

//<1770> 微妙すぎるイケメン
<1770> 微妙すぎるイケメン

//<1771> ロリコン
<1771> ロリコン

//<1772> メガネ仲間
<1772> メガネ仲間

//<1773> 暗算日本記録保持者
<1773> 暗算日本記録保持者

//<1774> 通り魔
<1774> 通り魔

//<1775> 記憶ナシ男
<1775> 記憶ナシ男

//<1776> 音速
<1776> 音速

//<1777> 無限
<1777> 無限

//<1778> エロ侍
<1778> エロ侍

//<1779> エロエロ団ナンバー１
<1779> エロエロ団ナンバー１

//<1780> ただのエロ少年
<1780> ただのエロ少年

//<1781> ユリブサイク
<1781> ユリブサイク

//<1782> ドピュッシー
<1782> ドピュッシー

//<1783> アメリカンエロドッグ
<1783> アメリカンエロドッグ

//<1784> ゼウス
<1784> ゼウス

//<1785> 日向markⅡ
<1785> 日向markⅡ

//<1786> 糞虫
<1786> 糞虫

//<1787> 量産型日向
<1787> 量産型日向

//<1788> ？？
<1788> ？？

//<1789> （焦るな…落ち着け…）
<1789> （焦るな…落ち着け…）

//<1790> se_handgun2
<1790> se_handgun2

//<1791> None
<1791> None

//<1792> ぱぁん！　外れ。
<1792> ぱぁん！　外れ。

//<1793> se_handgun2
<1793> se_handgun2

//<1794> None
<1794> None

//<1795> ぱぁん！　外れ。
<1795> ぱぁん！　外れ。

//<1796> se_handgun2
<1796> se_handgun2

//<1797> None
<1797> None

//<1798> ぱぁん！　外れ。
<1798> ぱぁん！　外れ。

//<1799> se_handgun2
<1799> se_handgun2

//<1800> None
<1800> None

//<1801> ぱぁん！　外れ。
<1801> ぱぁん！　外れ。

//<1802> se_fall2_human
<1802> se_fall2_human

//<1803> ショックの余り、膝を床につく…。
<1803> ショックの余り、膝を床につく…。

//<1804> nothing
<1804> nothing

//<1805> nothing
<1805> nothing

//<1806> nothing
<1806> nothing

//<1807> nothing
<1807> nothing

//<1808> nothing
<1808> nothing

//<1809> 日向
<1809> 日向

//<1810> 男Ｂ
<1810> 男Ｂ

//<1811> エロエロ団総帥
<1811> エロエロ団総帥

//<1812> イケチン
<1812> イケチン

//<1813> ホモ太
<1813> ホモ太

//<1814> ひなチン
<1814> ひなチン

//<1815> 秀樹
<1815> 秀樹

//<1816> 男子生徒
<1816> 男子生徒

//<1817> ？？
<1817> ？？

//<1818> 「ただのエロ少年、お前どれだけ落ち込んでるんだよっ！！　たった二日で当てられるはずないから！」
<1818> 「ただのエロ少年、お前どれだけ落ち込んでるんだよっ！！　たった二日で当てられるはずないから！」

//<1819> 日向
<1819> 日向

//<1820> 男Ｂ
<1820> 男Ｂ

//<1821> エロエロ団総帥
<1821> エロエロ団総帥

//<1822> イケチン
<1822> イケチン

//<1823> ホモ太
<1823> ホモ太

//<1824> ひなチン
<1824> ひなチン

//<1825> 秀樹
<1825> 秀樹

//<1826> 男子生徒
<1826> 男子生徒

//<1827> ？？
<1827> ？？

//<1828> 「音無、お前どれだけ落ち込んでるんだよっ！！　たった二日で当てられるはずないから！」
<1828> 「音無、お前どれだけ落ち込んでるんだよっ！！　たった二日で当てられるはずないから！」

//<1829> 音無
<1829> 音無

//<1830> クソ坊主
<1830> クソ坊主

//<1831> 代理人
<1831> 代理人

//<1832> 微妙すぎるイケメン
<1832> 微妙すぎるイケメン

//<1833> ロリコン
<1833> ロリコン

//<1834> メガネ仲間
<1834> メガネ仲間

//<1835> 暗算日本記録保持者
<1835> 暗算日本記録保持者

//<1836> 通り魔
<1836> 通り魔

//<1837> 記憶ナシ男
<1837> 記憶ナシ男

//<1838> 音速
<1838> 音速

//<1839> 無限
<1839> 無限

//<1840> エロ侍
<1840> エロ侍

//<1841> エロエロ団ナンバー１
<1841> エロエロ団ナンバー１

//<1842> ただのエロ少年
<1842> ただのエロ少年

//<1843> ユリブサイク
<1843> ユリブサイク

//<1844> ドピュッシー
<1844> ドピュッシー

//<1845> アメリカンエロドッグ
<1845> アメリカンエロドッグ

//<1846> ゼウス
<1846> ゼウス

//<1847> 日向markⅡ
<1847> 日向markⅡ

//<1848> 糞虫
<1848> 糞虫

//<1849> 量産型日向
<1849> 量産型日向

//<1850> ？？
<1850> ？？

//<1851> 「え…そうなのか…」
<1851> 「え…そうなのか…」

//<1852> nothing
<1852> nothing

//<1853> nothing
<1853> nothing

//<1854> nothing
<1854> nothing

//<1855> nothing
<1855> nothing

//<1856> nothing
<1856> nothing

//<1857> 日向
<1857> 日向

//<1858> 男Ｂ
<1858> 男Ｂ

//<1859> エロエロ団総帥
<1859> エロエロ団総帥

//<1860> イケチン
<1860> イケチン

//<1861> ホモ太
<1861> ホモ太

//<1862> ひなチン
<1862> ひなチン

//<1863> 秀樹
<1863> 秀樹

//<1864> 男子生徒
<1864> 男子生徒

//<1865> ？？
<1865> ？？

//<1866> 「ああ。幹部の連中はどれだけこの世界に居続けて、どれだけの鍛錬を繰り返してきたかって話だぜ」
<1866> 「ああ。幹部の連中はどれだけこの世界に居続けて、どれだけの鍛錬を繰り返してきたかって話だぜ」

//<1867> 高松
<1867> 高松

//<1868> 「ですね」
<1868> 「ですね」

//<1869> nothing
<1869> nothing

//<1870> nothing
<1870> nothing

//<1871> nothing
<1871> nothing

//<1872> nothing
<1872> nothing

//<1873> nothing
<1873> nothing

//<1874> 日向
<1874> 日向

//<1875> 男Ｂ
<1875> 男Ｂ

//<1876> エロエロ団総帥
<1876> エロエロ団総帥

//<1877> イケチン
<1877> イケチン

//<1878> ホモ太
<1878> ホモ太

//<1879> ひなチン
<1879> ひなチン

//<1880> 秀樹
<1880> 秀樹

//<1881> 男子生徒
<1881> 男子生徒

//<1882> ？？
<1882> ？？

//<1883> 「そんな一石二鳥で身につけられるもんじゃねぇから安心しろ」
<1883> 「そんな一石二鳥で身につけられるもんじゃねぇから安心しろ」

//<1884> 音無
<1884> 音無

//<1885> クソ坊主
<1885> クソ坊主

//<1886> 代理人
<1886> 代理人

//<1887> 微妙すぎるイケメン
<1887> 微妙すぎるイケメン

//<1888> ロリコン
<1888> ロリコン

//<1889> メガネ仲間
<1889> メガネ仲間

//<1890> 暗算日本記録保持者
<1890> 暗算日本記録保持者

//<1891> 通り魔
<1891> 通り魔

//<1892> 記憶ナシ男
<1892> 記憶ナシ男

//<1893> 音速
<1893> 音速

//<1894> 無限
<1894> 無限

//<1895> エロ侍
<1895> エロ侍

//<1896> エロエロ団ナンバー１
<1896> エロエロ団ナンバー１

//<1897> ただのエロ少年
<1897> ただのエロ少年

//<1898> ユリブサイク
<1898> ユリブサイク

//<1899> ドピュッシー
<1899> ドピュッシー

//<1900> アメリカンエロドッグ
<1900> アメリカンエロドッグ

//<1901> ゼウス
<1901> ゼウス

//<1902> 日向markⅡ
<1902> 日向markⅡ

//<1903> 糞虫
<1903> 糞虫

//<1904> 量産型日向
<1904> 量産型日向

//<1905> ？？
<1905> ？？

//<1906> 「なら、いいんだが…。ちなみに、恐らくお前が言いたかったのは一朝一夕な」
<1906> 「なら、いいんだが…。ちなみに、恐らくお前が言いたかったのは一朝一夕な」

//<1907> nothing
<1907> nothing

//<1908> nothing
<1908> nothing

//<1909> nothing
<1909> nothing

//<1910> nothing
<1910> nothing

//<1911> nothing
<1911> nothing

//<1912> 日向
<1912> 日向

//<1913> 男Ｂ
<1913> 男Ｂ

//<1914> エロエロ団総帥
<1914> エロエロ団総帥

//<1915> イケチン
<1915> イケチン

//<1916> ホモ太
<1916> ホモ太

//<1917> ひなチン
<1917> ひなチン

//<1918> 秀樹
<1918> 秀樹

//<1919> 男子生徒
<1919> 男子生徒

//<1920> ？？
<1920> ？？

//<1921> 「言い間違えただけだよっ！　思いは伝わったろ！？」
<1921> 「言い間違えただけだよっ！　思いは伝わったろ！？」

//<1922> 音無
<1922> 音無

//<1923> クソ坊主
<1923> クソ坊主

//<1924> 代理人
<1924> 代理人

//<1925> 微妙すぎるイケメン
<1925> 微妙すぎるイケメン

//<1926> ロリコン
<1926> ロリコン

//<1927> メガネ仲間
<1927> メガネ仲間

//<1928> 暗算日本記録保持者
<1928> 暗算日本記録保持者

//<1929> 通り魔
<1929> 通り魔

//<1930> 記憶ナシ男
<1930> 記憶ナシ男

//<1931> 音速
<1931> 音速

//<1932> 無限
<1932> 無限

//<1933> エロ侍
<1933> エロ侍

//<1934> エロエロ団ナンバー１
<1934> エロエロ団ナンバー１

//<1935> ただのエロ少年
<1935> ただのエロ少年

//<1936> ユリブサイク
<1936> ユリブサイク

//<1937> ドピュッシー
<1937> ドピュッシー

//<1938> アメリカンエロドッグ
<1938> アメリカンエロドッグ

//<1939> ゼウス
<1939> ゼウス

//<1940> 日向markⅡ
<1940> 日向markⅡ

//<1941> 糞虫
<1941> 糞虫

//<1942> 量産型日向
<1942> 量産型日向

//<1943> ？？
<1943> ？？

//<1944> 「ああ…身に染みるよ…」
<1944> 「ああ…身に染みるよ…」

//<1945> nothing
<1945> nothing

//<1946> nothing
<1946> nothing

//<1947> nothing
<1947> nothing

//<1948> nothing
<1948> nothing

//<1949> nothing
<1949> nothing

//<1950> 日向
<1950> 日向

//<1951> 男Ｂ
<1951> 男Ｂ

//<1952> エロエロ団総帥
<1952> エロエロ団総帥

//<1953> イケチン
<1953> イケチン

//<1954> ホモ太
<1954> ホモ太

//<1955> ひなチン
<1955> ひなチン

//<1956> 秀樹
<1956> 秀樹

//<1957> 男子生徒
<1957> 男子生徒

//<1958> ？？
<1958> ？？

//<1959> 「そろそろ、夕飯食っとくか」
<1959> 「そろそろ、夕飯食っとくか」

//<1960> 音無
<1960> 音無

//<1961> クソ坊主
<1961> クソ坊主

//<1962> 代理人
<1962> 代理人

//<1963> 微妙すぎるイケメン
<1963> 微妙すぎるイケメン

//<1964> ロリコン
<1964> ロリコン

//<1965> メガネ仲間
<1965> メガネ仲間

//<1966> 暗算日本記録保持者
<1966> 暗算日本記録保持者

//<1967> 通り魔
<1967> 通り魔

//<1968> 記憶ナシ男
<1968> 記憶ナシ男

//<1969> 音速
<1969> 音速

//<1970> 無限
<1970> 無限

//<1971> エロ侍
<1971> エロ侍

//<1972> エロエロ団ナンバー１
<1972> エロエロ団ナンバー１

//<1973> ただのエロ少年
<1973> ただのエロ少年

//<1974> ユリブサイク
<1974> ユリブサイク

//<1975> ドピュッシー
<1975> ドピュッシー

//<1976> アメリカンエロドッグ
<1976> アメリカンエロドッグ

//<1977> ゼウス
<1977> ゼウス

//<1978> 日向markⅡ
<1978> 日向markⅡ

//<1979> 糞虫
<1979> 糞虫

//<1980> 量産型日向
<1980> 量産型日向

//<1981> ？？
<1981> ？？

//<1982> 「ああ」
<1982> 「ああ」

//<1983> nothing
<1983> nothing

//<1984> nothing
<1984> nothing

//<1985> nothing
<1985> nothing

//<1986> nothing
<1986> nothing

//<1987> nothing
<1987> nothing

//<1988> 日向
<1988> 日向

//<1989> 男Ｂ
<1989> 男Ｂ

//<1990> エロエロ団総帥
<1990> エロエロ団総帥

//<1991> イケチン
<1991> イケチン

//<1992> ホモ太
<1992> ホモ太

//<1993> ひなチン
<1993> ひなチン

//<1994> 秀樹
<1994> 秀樹

//<1995> 男子生徒
<1995> 男子生徒

//<1996> ？？
<1996> ？？

//<1997> 「じゃ、まずお前の夕飯は、えぇーーと…」
<1997> 「じゃ、まずお前の夕飯は、えぇーーと…」

//<1998> nothing
<1998> nothing

//<1999> nothing
<1999> nothing

//<2000> nothing
<2000> nothing

//<2001> nothing
<2001> nothing

//<2002> nothing
<2002> nothing

//<2003> 日向がポケットを探る。
<2003> 日向がポケットを探る。

//<2004> nothing
<2004> nothing

//<2005> nothing
<2005> nothing

//<2006> nothing
<2006> nothing

//<2007> nothing
<2007> nothing

//<2008> nothing
<2008> nothing

//<2009> 日向
<2009> 日向

//<2010> 男Ｂ
<2010> 男Ｂ

//<2011> エロエロ団総帥
<2011> エロエロ団総帥

//<2012> イケチン
<2012> イケチン

//<2013> ホモ太
<2013> ホモ太

//<2014> ひなチン
<2014> ひなチン

//<2015> 秀樹
<2015> 秀樹

//<2016> 男子生徒
<2016> 男子生徒

//<2017> ？？
<2017> ？？

//<2018> 「ほい、トムヤムカレー」
<2018> 「ほい、トムヤムカレー」

//<2019> 音無
<2019> 音無

//<2020> クソ坊主
<2020> クソ坊主

//<2021> 代理人
<2021> 代理人

//<2022> 微妙すぎるイケメン
<2022> 微妙すぎるイケメン

//<2023> ロリコン
<2023> ロリコン

//<2024> メガネ仲間
<2024> メガネ仲間

//<2025> 暗算日本記録保持者
<2025> 暗算日本記録保持者

//<2026> 通り魔
<2026> 通り魔

//<2027> 記憶ナシ男
<2027> 記憶ナシ男

//<2028> 音速
<2028> 音速

//<2029> 無限
<2029> 無限

//<2030> エロ侍
<2030> エロ侍

//<2031> エロエロ団ナンバー１
<2031> エロエロ団ナンバー１

//<2032> ただのエロ少年
<2032> ただのエロ少年

//<2033> ユリブサイク
<2033> ユリブサイク

//<2034> ドピュッシー
<2034> ドピュッシー

//<2035> アメリカンエロドッグ
<2035> アメリカンエロドッグ

//<2036> ゼウス
<2036> ゼウス

//<2037> 日向markⅡ
<2037> 日向markⅡ

//<2038> 糞虫
<2038> 糞虫

//<2039> 量産型日向
<2039> 量産型日向

//<2040> ？？
<2040> ？？

//<2041> 「………」
<2041> 「………」

//<2042> 呆然と立ち尽くす…。
<2042> 呆然と立ち尽くす…。

//<2043> nothing
<2043> nothing

//<2044> nothing
<2044> nothing

//<2045> nothing
<2045> nothing

//<2046> nothing
<2046> nothing

//<2047> nothing
<2047> nothing

//<2048> 日向
<2048> 日向

//<2049> 男Ｂ
<2049> 男Ｂ

//<2050> エロエロ団総帥
<2050> エロエロ団総帥

//<2051> イケチン
<2051> イケチン

//<2052> ホモ太
<2052> ホモ太

//<2053> ひなチン
<2053> ひなチン

//<2054> 秀樹
<2054> 秀樹

//<2055> 男子生徒
<2055> 男子生徒

//<2056> ？？
<2056> ？？

//<2057> 「どうした？」
<2057> 「どうした？」

//<2058> 音無
<2058> 音無

//<2059> クソ坊主
<2059> クソ坊主

//<2060> 代理人
<2060> 代理人

//<2061> 微妙すぎるイケメン
<2061> 微妙すぎるイケメン

//<2062> ロリコン
<2062> ロリコン

//<2063> メガネ仲間
<2063> メガネ仲間

//<2064> 暗算日本記録保持者
<2064> 暗算日本記録保持者

//<2065> 通り魔
<2065> 通り魔

//<2066> 記憶ナシ男
<2066> 記憶ナシ男

//<2067> 音速
<2067> 音速

//<2068> 無限
<2068> 無限

//<2069> エロ侍
<2069> エロ侍

//<2070> エロエロ団ナンバー１
<2070> エロエロ団ナンバー１

//<2071> ただのエロ少年
<2071> ただのエロ少年

//<2072> ユリブサイク
<2072> ユリブサイク

//<2073> ドピュッシー
<2073> ドピュッシー

//<2074> アメリカンエロドッグ
<2074> アメリカンエロドッグ

//<2075> ゼウス
<2075> ゼウス

//<2076> 日向markⅡ
<2076> 日向markⅡ

//<2077> 糞虫
<2077> 糞虫

//<2078> 量産型日向
<2078> 量産型日向

//<2079> ？？
<2079> ？？

//<2080> 「………」
<2080> 「………」

//<2081> nothing
<2081> nothing

//<2082> nothing
<2082> nothing

//<2083> nothing
<2083> nothing

//<2084> nothing
<2084> nothing

//<2085> nothing
<2085> nothing

//<2086> nothing
<2086> nothing

//<2087> 黙ったまま、受け取る。
<2087> 黙ったまま、受け取る。

//<2088> nothing
<2088> nothing

//<2089> nothing
<2089> nothing

//<2090> nothing
<2090> nothing

//<2091> nothing
<2091> nothing

//<2092> nothing
<2092> nothing

//<2093> 日向
<2093> 日向

//<2094> 男Ｂ
<2094> 男Ｂ

//<2095> エロエロ団総帥
<2095> エロエロ団総帥

//<2096> イケチン
<2096> イケチン

//<2097> ホモ太
<2097> ホモ太

//<2098> ひなチン
<2098> ひなチン

//<2099> 秀樹
<2099> 秀樹

//<2100> 男子生徒
<2100> 男子生徒

//<2101> ？？
<2101> ？？

//<2102> 「さって、俺は何かなー！？」
<2102> 「さって、俺は何かなー！？」

//<2103> nothing
<2103> nothing

//<2104> nothing
<2104> nothing

//<2105> nothing
<2105> nothing

//<2106> nothing
<2106> nothing

//<2107> nothing
<2107> nothing

//<2108> 日向がポケットから拾い上げた食券、それは…。
<2108> 日向がポケットから拾い上げた食券、それは…。

//<2109> nothing
<2109> nothing

//<2110> nothing
<2110> nothing

//<2111> nothing
<2111> nothing

//<2112> nothing
<2112> nothing

//<2113> nothing
<2113> nothing

//<2114> 日向
<2114> 日向

//<2115> 男Ｂ
<2115> 男Ｂ

//<2116> エロエロ団総帥
<2116> エロエロ団総帥

//<2117> イケチン
<2117> イケチン

//<2118> ホモ太
<2118> ホモ太

//<2119> ひなチン
<2119> ひなチン

//<2120> 秀樹
<2120> 秀樹

//<2121> 男子生徒
<2121> 男子生徒

//<2122> ？？
<2122> ？？

//<2123> 「豚角煮定食っ！　高級なレア食券来たぁーーー！！」
<2123> 「豚角煮定食っ！　高級なレア食券来たぁーーー！！」

//<2124> まずい…。
<2124> まずい…。

//<2125> そんなのを目の前で食べられたら、俺は日向に襲いかかるかもしれない…。
<2125> そんなのを目の前で食べられたら、俺は日向に襲いかかるかもしれない…。

//<2126> nothing
<2126> nothing

//<2127> nothing
<2127> nothing

//<2128> nothing
<2128> nothing

//<2129> nothing
<2129> nothing

//<2130> nothing
<2130> nothing

//<2131> nothing
<2131> nothing

//<2132> これまで通り、食券を差し出し、半券をもらい、受け取り口に並ぶ。
<2132> これまで通り、食券を差し出し、半券をもらい、受け取り口に並ぶ。

//<2133> 受け取るが、相変わらずパクチーの匂いが強烈だ。近くに居たＮＰＣも引いてるじゃないか…。
<2133> 受け取るが、相変わらずパクチーの匂いが強烈だ。近くに居たＮＰＣも引いてるじゃないか…。

//<2134> 本当に、一部のＮＰＣには人気なのだろうか…。
<2134> 本当に、一部のＮＰＣには人気なのだろうか…。

//<2135> そもそも日本人の舌に合わない味付けだと思うんだが…。
<2135> そもそも日本人の舌に合わない味付けだと思うんだが…。

//<2136> 食堂のおばさん
<2136> 食堂のおばさん

//<2137> 「ほい、豚角煮定食っ」
<2137> 「ほい、豚角煮定食っ」

//<2138> nothing
<2138> nothing

//<2139> nothing
<2139> nothing

//<2140> nothing
<2140> nothing

//<2141> nothing
<2141> nothing

//<2142> nothing
<2142> nothing

//<2143> その後に出てきた盆を受けとる日向。
<2143> その後に出てきた盆を受けとる日向。

//<2144> そこには、でかくてとろっとろの豚の角煮が載った定食。からし付き。
<2144> そこには、でかくてとろっとろの豚の角煮が載った定食。からし付き。

//<2145> これを目の前で食べられるというのか…俺がまたトムヤムカレーを食べる前で…。
<2145> これを目の前で食べられるというのか…俺がまたトムヤムカレーを食べる前で…。

//<2146> 無理だ。
<2146> 無理だ。

//<2147> 音無
<2147> 音無

//<2148> クソ坊主
<2148> クソ坊主

//<2149> 代理人
<2149> 代理人

//<2150> 微妙すぎるイケメン
<2150> 微妙すぎるイケメン

//<2151> ロリコン
<2151> ロリコン

//<2152> メガネ仲間
<2152> メガネ仲間

//<2153> 暗算日本記録保持者
<2153> 暗算日本記録保持者

//<2154> 通り魔
<2154> 通り魔

//<2155> 記憶ナシ男
<2155> 記憶ナシ男

//<2156> 音速
<2156> 音速

//<2157> 無限
<2157> 無限

//<2158> エロ侍
<2158> エロ侍

//<2159> エロエロ団ナンバー１
<2159> エロエロ団ナンバー１

//<2160> ただのエロ少年
<2160> ただのエロ少年

//<2161> ユリブサイク
<2161> ユリブサイク

//<2162> ドピュッシー
<2162> ドピュッシー

//<2163> アメリカンエロドッグ
<2163> アメリカンエロドッグ

//<2164> ゼウス
<2164> ゼウス

//<2165> 日向markⅡ
<2165> 日向markⅡ

//<2166> 糞虫
<2166> 糞虫

//<2167> 量産型日向
<2167> 量産型日向

//<2168> ？？
<2168> ？？

//<2169> 「すまない…俺はひとりで食う」
<2169> 「すまない…俺はひとりで食う」

//<2170> そう告げて、空いていた椅子につく。
<2170> そう告げて、空いていた椅子につく。

//<2171> 日向
<2171> 日向

//<2172> 男Ｂ
<2172> 男Ｂ

//<2173> エロエロ団総帥
<2173> エロエロ団総帥

//<2174> イケチン
<2174> イケチン

//<2175> ホモ太
<2175> ホモ太

//<2176> ひなチン
<2176> ひなチン

//<2177> 秀樹
<2177> 秀樹

//<2178> 男子生徒
<2178> 男子生徒

//<2179> ？？
<2179> ？？

//<2180> 「おいおい、どーしたんだよ、ただのエロ少年っ！」
<2180> 「おいおい、どーしたんだよ、ただのエロ少年っ！」

//<2181> 日向
<2181> 日向

//<2182> 男Ｂ
<2182> 男Ｂ

//<2183> エロエロ団総帥
<2183> エロエロ団総帥

//<2184> イケチン
<2184> イケチン

//<2185> ホモ太
<2185> ホモ太

//<2186> ひなチン
<2186> ひなチン

//<2187> 秀樹
<2187> 秀樹

//<2188> 男子生徒
<2188> 男子生徒

//<2189> ？？
<2189> ？？

//<2190> 「おいおい、どーしたんだよ、音無っ！」
<2190> 「おいおい、どーしたんだよ、音無っ！」

//<2191> nothing
<2191> nothing

//<2192> nothing
<2192> nothing

//<2193> nothing
<2193> nothing

//<2194> nothing
<2194> nothing

//<2195> nothing
<2195> nothing

//<2196> 音無
<2196> 音無

//<2197> クソ坊主
<2197> クソ坊主

//<2198> 代理人
<2198> 代理人

//<2199> 微妙すぎるイケメン
<2199> 微妙すぎるイケメン

//<2200> ロリコン
<2200> ロリコン

//<2201> メガネ仲間
<2201> メガネ仲間

//<2202> 暗算日本記録保持者
<2202> 暗算日本記録保持者

//<2203> 通り魔
<2203> 通り魔

//<2204> 記憶ナシ男
<2204> 記憶ナシ男

//<2205> 音速
<2205> 音速

//<2206> 無限
<2206> 無限

//<2207> エロ侍
<2207> エロ侍

//<2208> エロエロ団ナンバー１
<2208> エロエロ団ナンバー１

//<2209> ただのエロ少年
<2209> ただのエロ少年

//<2210> ユリブサイク
<2210> ユリブサイク

//<2211> ドピュッシー
<2211> ドピュッシー

//<2212> アメリカンエロドッグ
<2212> アメリカンエロドッグ

//<2213> ゼウス
<2213> ゼウス

//<2214> 日向markⅡ
<2214> 日向markⅡ

//<2215> 糞虫
<2215> 糞虫

//<2216> 量産型日向
<2216> 量産型日向

//<2217> ？？
<2217> ？？

//<2218> 「一緒に食べると、お前を襲いかねない！！」
<2218> 「一緒に食べると、お前を襲いかねない！！」

//<2219> nothing
<2219> nothing

//<2220> nothing
<2220> nothing

//<2221> nothing
<2221> nothing

//<2222> nothing
<2222> nothing

//<2223> nothing
<2223> nothing

//<2224> 日向
<2224> 日向

//<2225> 男Ｂ
<2225> 男Ｂ

//<2226> エロエロ団総帥
<2226> エロエロ団総帥

//<2227> イケチン
<2227> イケチン

//<2228> ホモ太
<2228> ホモ太

