// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。
<2958> イケチン

//<2959> ホモ太
<2959> ホモ太

//<2960> ひなチン
<2960> ひなチン

//<2961> 秀樹
<2961> 秀樹

//<2962> 男子生徒
<2962> 男子生徒

//<2963> ？？
<2963> ？？

//<2964> 「大山！　これ以上口出しすんじゃねぇーー！！　俺とこいつで決めたルールなんだぁー！！」
<2964> 「大山！　これ以上口出しすんじゃねぇーー！！　俺とこいつで決めたルールなんだぁー！！」

//<2965> nothing
<2965> nothing

//<2966> nothing
<2966> nothing

//<2967> nothing
<2967> nothing

//<2968> nothing
<2968> nothing

//<2969> nothing
<2969> nothing

//<2970> 大山
<2970> 大山

//<2971> 「そう言われると、これ以上は何も言えないけど…」
<2971> 「そう言われると、これ以上は何も言えないけど…」

//<2972> 音無
<2972> 音無

//<2973> クソ坊主
<2973> クソ坊主

//<2974> 代理人
<2974> 代理人

//<2975> 微妙すぎるイケメン
<2975> 微妙すぎるイケメン

//<2976> ロリコン
<2976> ロリコン

//<2977> メガネ仲間
<2977> メガネ仲間

//<2978> 暗算日本記録保持者
<2978> 暗算日本記録保持者

//<2979> 通り魔
<2979> 通り魔

//<2980> 記憶ナシ男
<2980> 記憶ナシ男

//<2981> 音速
<2981> 音速

//<2982> 無限
<2982> 無限

//<2983> エロ侍
<2983> エロ侍

//<2984> エロエロ団ナンバー１
<2984> エロエロ団ナンバー１

//<2985> ただのエロ少年
<2985> ただのエロ少年

//<2986> ユリブサイク
<2986> ユリブサイク

//<2987> ドピュッシー
<2987> ドピュッシー

//<2988> アメリカンエロドッグ
<2988> アメリカンエロドッグ

//<2989> ゼウス
<2989> ゼウス

//<2990> 日向markⅡ
<2990> 日向markⅡ

//<2991> 糞虫
<2991> 糞虫

//<2992> 量産型日向
<2992> 量産型日向

//<2993> ？？
<2993> ？？

//<2994> 「ああ、すまないな。放っておいてくれ」
<2994> 「ああ、すまないな。放っておいてくれ」

//<2995> nothing
<2995> nothing

//<2996> nothing
<2996> nothing

//<2997> nothing
<2997> nothing

//<2998> nothing
<2998> nothing

//<2999> nothing
<2999> nothing

//<3000> 大山
<3000> 大山

//<3001> 「わかったよ…」
<3001> 「わかったよ…」

//<3002> nothing
<3002> nothing

//<3003> nothing
<3003> nothing

//<3004> nothing
<3004> nothing

//<3005> nothing
<3005> nothing

//<3006> nothing
<3006> nothing

//<3007> nothing
<3007> nothing

//<3008> 大山はすごすごと立ち去っていった。
<3008> 大山はすごすごと立ち去っていった。

//<3009> 音無
<3009> 音無

//<3010> クソ坊主
<3010> クソ坊主

//<3011> 代理人
<3011> 代理人

//<3012> 微妙すぎるイケメン
<3012> 微妙すぎるイケメン

//<3013> ロリコン
<3013> ロリコン

//<3014> メガネ仲間
<3014> メガネ仲間

//<3015> 暗算日本記録保持者
<3015> 暗算日本記録保持者

//<3016> 通り魔
<3016> 通り魔

//<3017> 記憶ナシ男
<3017> 記憶ナシ男

//<3018> 音速
<3018> 音速

//<3019> 無限
<3019> 無限

//<3020> エロ侍
<3020> エロ侍

//<3021> エロエロ団ナンバー１
<3021> エロエロ団ナンバー１

//<3022> ただのエロ少年
<3022> ただのエロ少年

//<3023> ユリブサイク
<3023> ユリブサイク

//<3024> ドピュッシー
<3024> ドピュッシー

//<3025> アメリカンエロドッグ
<3025> アメリカンエロドッグ

//<3026> ゼウス
<3026> ゼウス

//<3027> 日向markⅡ
<3027> 日向markⅡ

//<3028> 糞虫
<3028> 糞虫

//<3029> 量産型日向
<3029> 量産型日向

//<3030> ？？
<3030> ？？

//<3031> 「ああ。だから、ルームメイト解散だ…」
<3031> 「ああ。だから、ルームメイト解散だ…」

//<3032> nothing
<3032> nothing

//<3033> nothing
<3033> nothing

//<3034> nothing
<3034> nothing

//<3035> nothing
<3035> nothing

//<3036> nothing
<3036> nothing

//<3037> 日向
<3037> 日向

//<3038> 男Ｂ
<3038> 男Ｂ

//<3039> エロエロ団総帥
<3039> エロエロ団総帥

//<3040> イケチン
<3040> イケチン

//<3041> ホモ太
<3041> ホモ太

//<3042> ひなチン
<3042> ひなチン

//<3043> 秀樹
<3043> 秀樹

//<3044> 男子生徒
<3044> 男子生徒

//<3045> ？？
<3045> ？？

//<3046> 「マジかよ！？」
<3046> 「マジかよ！？」

//<3047> 音無
<3047> 音無

//<3048> クソ坊主
<3048> クソ坊主

//<3049> 代理人
<3049> 代理人

//<3050> 微妙すぎるイケメン
<3050> 微妙すぎるイケメン

//<3051> ロリコン
<3051> ロリコン

//<3052> メガネ仲間
<3052> メガネ仲間

//<3053> 暗算日本記録保持者
<3053> 暗算日本記録保持者

//<3054> 通り魔
<3054> 通り魔

//<3055> 記憶ナシ男
<3055> 記憶ナシ男

//<3056> 音速
<3056> 音速

//<3057> 無限
<3057> 無限

//<3058> エロ侍
<3058> エロ侍

//<3059> エロエロ団ナンバー１
<3059> エロエロ団ナンバー１

//<3060> ただのエロ少年
<3060> ただのエロ少年

//<3061> ユリブサイク
<3061> ユリブサイク

//<3062> ドピュッシー
<3062> ドピュッシー

//<3063> アメリカンエロドッグ
<3063> アメリカンエロドッグ

//<3064> ゼウス
<3064> ゼウス

//<3065> 日向markⅡ
<3065> 日向markⅡ

//<3066> 糞虫
<3066> 糞虫

//<3067> 量産型日向
<3067> 量産型日向

//<3068> ？？
<3068> ？？

//<3069> 「ああ…」
<3069> 「ああ…」

//<3070> nothing
<3070> nothing

//<3071> nothing
<3071> nothing

//<3072> nothing
<3072> nothing

//<3073> nothing
<3073> nothing

//<3074> nothing
<3074> nothing

//<3075> 日向
<3075> 日向

//<3076> 男Ｂ
<3076> 男Ｂ

//<3077> エロエロ団総帥
<3077> エロエロ団総帥

//<3078> イケチン
<3078> イケチン

//<3079> ホモ太
<3079> ホモ太

//<3080> ひなチン
<3080> ひなチン

//<3081> 秀樹
<3081> 秀樹

//<3082> 男子生徒
<3082> 男子生徒

//<3083> ？？
<3083> ？？

//<3084> 「戦線には！？」
<3084> 「戦線には！？」

//<3085> 俺にとって唯一の友達だと思っていた日向。
<3085> 俺にとって唯一の友達だと思っていた日向。

//<3086> そいつに騙され続けていたなんて…。
<3086> そいつに騙され続けていたなんて…。

//<3087> 音無
<3087> 音無

//<3088> クソ坊主
<3088> クソ坊主

//<3089> 代理人
<3089> 代理人

//<3090> 微妙すぎるイケメン
<3090> 微妙すぎるイケメン

//<3091> ロリコン
<3091> ロリコン

//<3092> メガネ仲間
<3092> メガネ仲間

//<3093> 暗算日本記録保持者
<3093> 暗算日本記録保持者

//<3094> 通り魔
<3094> 通り魔

//<3095> 記憶ナシ男
<3095> 記憶ナシ男

//<3096> 音速
<3096> 音速

//<3097> 無限
<3097> 無限

//<3098> エロ侍
<3098> エロ侍

//<3099> エロエロ団ナンバー１
<3099> エロエロ団ナンバー１

//<3100> ただのエロ少年
<3100> ただのエロ少年

//<3101> ユリブサイク
<3101> ユリブサイク

//<3102> ドピュッシー
<3102> ドピュッシー

//<3103> アメリカンエロドッグ
<3103> アメリカンエロドッグ

//<3104> ゼウス
<3104> ゼウス

//<3105> 日向markⅡ
<3105> 日向markⅡ

//<3106> 糞虫
<3106> 糞虫

//<3107> 量産型日向
<3107> 量産型日向

//<3108> ？？
<3108> ？？

//<3109> 「戦線からも抜ける」
<3109> 「戦線からも抜ける」

//<3110> そう答えるしかなかった。
<3110> そう答えるしかなかった。

//<3111> nothing
<3111> nothing

//<3112> nothing
<3112> nothing

//<3113> nothing
<3113> nothing

//<3114> nothing
<3114> nothing

//<3115> nothing
<3115> nothing

//<3116> 日向
<3116> 日向

//<3117> 男Ｂ
<3117> 男Ｂ

//<3118> エロエロ団総帥
<3118> エロエロ団総帥

//<3119> イケチン
<3119> イケチン

//<3120> ホモ太
<3120> ホモ太

//<3121> ひなチン
<3121> ひなチン

//<3122> 秀樹
<3122> 秀樹

//<3123> 男子生徒
<3123> 男子生徒

//<3124> ？？
<3124> ？？

//<3125> 「マジかよっ！！」
<3125> 「マジかよっ！！」

//<3126> 音無
<3126> 音無

//<3127> クソ坊主
<3127> クソ坊主

//<3128> 代理人
<3128> 代理人

//<3129> 微妙すぎるイケメン
<3129> 微妙すぎるイケメン

//<3130> ロリコン
<3130> ロリコン

//<3131> メガネ仲間
<3131> メガネ仲間

//<3132> 暗算日本記録保持者
<3132> 暗算日本記録保持者

//<3133> 通り魔
<3133> 通り魔

//<3134> 記憶ナシ男
<3134> 記憶ナシ男

//<3135> 音速
<3135> 音速

//<3136> 無限
<3136> 無限

//<3137> エロ侍
<3137> エロ侍

//<3138> エロエロ団ナンバー１
<3138> エロエロ団ナンバー１

//<3139> ただのエロ少年
<3139> ただのエロ少年

//<3140> ユリブサイク
<3140> ユリブサイク

//<3141> ドピュッシー
<3141> ドピュッシー

//<3142> アメリカンエロドッグ
<3142> アメリカンエロドッグ

//<3143> ゼウス
<3143> ゼウス

//<3144> 日向markⅡ
<3144> 日向markⅡ

//<3145> 糞虫
<3145> 糞虫

//<3146> 量産型日向
<3146> 量産型日向

//<3147> ？？
<3147> ？？

//<3148> 「ああ」
<3148> 「ああ」

//<3149> nothing
<3149> nothing

//<3150> nothing
<3150> nothing

//<3151> nothing
<3151> nothing

//<3152> nothing
<3152> nothing

//<3153> nothing
<3153> nothing

//<3154> 日向
<3154> 日向

//<3155> 男Ｂ
<3155> 男Ｂ

//<3156> エロエロ団総帥
<3156> エロエロ団総帥

//<3157> イケチン
<3157> イケチン

//<3158> ホモ太
<3158> ホモ太

//<3159> ひなチン
<3159> ひなチン

//<3160> 秀樹
<3160> 秀樹

//<3161> 男子生徒
<3161> 男子生徒

//<3162> ？？
<3162> ？？

//<3163> 「うあぁぁーー！！　なんてこった…俺のせいで…」
<3163> 「うあぁぁーー！！　なんてこった…俺のせいで…」

//<3164> nothing
<3164> nothing

//<3165> nothing
<3165> nothing

//<3166> nothing
<3166> nothing

//<3167> nothing
<3167> nothing

//<3168> nothing
<3168> nothing

//<3169> 日向
<3169> 日向

//<3170> 男Ｂ
<3170> 男Ｂ

//<3171> エロエロ団総帥
<3171> エロエロ団総帥

//<3172> イケチン
<3172> イケチン

//<3173> ホモ太
<3173> ホモ太

//<3174> ひなチン
<3174> ひなチン

//<3175> 秀樹
<3175> 秀樹

//<3176> 男子生徒
<3176> 男子生徒

//<3177> ？？
<3177> ？？

//<3178> 「なあ、音無、考え直してくれないか…？」
<3178> 「なあ、音無、考え直してくれないか…？」

//<3179> 音無
<3179> 音無

//<3180> クソ坊主
<3180> クソ坊主

//<3181> 代理人
<3181> 代理人

//<3182> 微妙すぎるイケメン
<3182> 微妙すぎるイケメン

//<3183> ロリコン
<3183> ロリコン

//<3184> メガネ仲間
<3184> メガネ仲間

//<3185> 暗算日本記録保持者
<3185> 暗算日本記録保持者

//<3186> 通り魔
<3186> 通り魔

//<3187> 記憶ナシ男
<3187> 記憶ナシ男

//<3188> 音速
<3188> 音速

//<3189> 無限
<3189> 無限

//<3190> エロ侍
<3190> エロ侍

//<3191> エロエロ団ナンバー１
<3191> エロエロ団ナンバー１

//<3192> ただのエロ少年
<3192> ただのエロ少年

//<3193> ユリブサイク
<3193> ユリブサイク

//<3194> ドピュッシー
<3194> ドピュッシー

//<3195> アメリカンエロドッグ
<3195> アメリカンエロドッグ

//<3196> ゼウス
<3196> ゼウス

//<3197> 日向markⅡ
<3197> 日向markⅡ

//<3198> 糞虫
<3198> 糞虫

//<3199> 量産型日向
<3199> 量産型日向

//<3200> ？？
<3200> ？？

//<3201> 「心変わりはしない。抜ける」
<3201> 「心変わりはしない。抜ける」

//<3202> nothing
<3202> nothing

//<3203> nothing
<3203> nothing

//<3204> nothing
<3204> nothing

//<3205> nothing
<3205> nothing

//<3206> nothing
<3206> nothing

//<3207> 日向
<3207> 日向

//<3208> 男Ｂ
<3208> 男Ｂ

//<3209> エロエロ団総帥
<3209> エロエロ団総帥

//<3210> イケチン
<3210> イケチン

//<3211> ホモ太
<3211> ホモ太

//<3212> ひなチン
<3212> ひなチン

//<3213> 秀樹
<3213> 秀樹

//<3214> 男子生徒
<3214> 男子生徒

//<3215> ？？
<3215> ？？

//<3216> 「そっか…」
<3216> 「そっか…」

//<3217> nothing
<3217> nothing

//<3218> nothing
<3218> nothing

//<3219> nothing
<3219> nothing

//<3220> nothing
<3220> nothing

//<3221> nothing
<3221> nothing

//<3222> 日向
<3222> 日向

//<3223> 男Ｂ
<3223> 男Ｂ

//<3224> エロエロ団総帥
<3224> エロエロ団総帥

//<3225> イケチン
<3225> イケチン

//<3226> ホモ太
<3226> ホモ太

//<3227> ひなチン
<3227> ひなチン

//<3228> 秀樹
<3228> 秀樹

//<3229> 男子生徒
<3229> 男子生徒

//<3230> ？？
<3230> ？？

//<3231> 「何十年とこの世界で暮らしてるけど、ベスト３に入るほどショックな出来事だぜ…」
<3231> 「何十年とこの世界で暮らしてるけど、ベスト３に入るほどショックな出来事だぜ…」

//<3232> 音無
<3232> 音無

//<3233> クソ坊主
<3233> クソ坊主

//<3234> 代理人
<3234> 代理人

//<3235> 微妙すぎるイケメン
<3235> 微妙すぎるイケメン

//<3236> ロリコン
<3236> ロリコン

//<3237> メガネ仲間
<3237> メガネ仲間

//<3238> 暗算日本記録保持者
<3238> 暗算日本記録保持者

//<3239> 通り魔
<3239> 通り魔

//<3240> 記憶ナシ男
<3240> 記憶ナシ男

//<3241> 音速
<3241> 音速

//<3242> 無限
<3242> 無限

//<3243> エロ侍
<3243> エロ侍

//<3244> エロエロ団ナンバー１
<3244> エロエロ団ナンバー１

//<3245> ただのエロ少年
<3245> ただのエロ少年

//<3246> ユリブサイク
<3246> ユリブサイク

//<3247> ドピュッシー
<3247> ドピュッシー

//<3248> アメリカンエロドッグ
<3248> アメリカンエロドッグ

//<3249> ゼウス
<3249> ゼウス

//<3250> 日向markⅡ
<3250> 日向markⅡ

//<3251> 糞虫
<3251> 糞虫

//<3252> 量産型日向
<3252> 量産型日向

//<3253> ？？
<3253> ？？

//<3254> 「自業自得だろ」
<3254> 「自業自得だろ」

//<3255> nothing
<3255> nothing

//<3256> nothing
<3256> nothing

//<3257> nothing
<3257> nothing

//<3258> nothing
<3258> nothing

//<3259> nothing
<3259> nothing

//<3260> 日向
<3260> 日向

//<3261> 男Ｂ
<3261> 男Ｂ

//<3262> エロエロ団総帥
<3262> エロエロ団総帥

//<3263> イケチン
<3263> イケチン

//<3264> ホモ太
<3264> ホモ太

//<3265> ひなチン
<3265> ひなチン

//<3266> 秀樹
<3266> 秀樹

//<3267> 男子生徒
<3267> 男子生徒

//<3268> ？？
<3268> ？？

//<3269> 「ああ、その通りだ…」
<3269> 「ああ、その通りだ…」

//<3270> nothing
<3270> nothing

//<3271> nothing
<3271> nothing

//<3272> nothing
<3272> nothing

//<3273> nothing
<3273> nothing

//<3274> nothing
<3274> nothing

//<3275> 日向
<3275> 日向

//<3276> 男Ｂ
<3276> 男Ｂ

//<3277> エロエロ団総帥
<3277> エロエロ団総帥

//<3278> イケチン
<3278> イケチン

//<3279> ホモ太
<3279> ホモ太

//<3280> ひなチン
<3280> ひなチン

//<3281> 秀樹
<3281> 秀樹

//<3282> 男子生徒
<3282> 男子生徒

//<3283> ？？
<3283> ？？

//<3284> 「でも、もう一度、考え直してくれないか…」
<3284> 「でも、もう一度、考え直してくれないか…」

//<3285> nothing
<3285> nothing

//<3286> nothing
<3286> nothing

//<3287> nothing
<3287> nothing

//<3288> nothing
<3288> nothing

//<3289> nothing
<3289> nothing

//<3290> 日向
<3290> 日向

//<3291> 男Ｂ
<3291> 男Ｂ

//<3292> エロエロ団総帥
<3292> エロエロ団総帥

//<3293> イケチン
<3293> イケチン

//<3294> ホモ太
<3294> ホモ太

//<3295> ひなチン
<3295> ひなチン

//<3296> 秀樹
<3296> 秀樹

//<3297> 男子生徒
<3297> 男子生徒

//<3298> ？？
<3298> ？？

//<3299> 「この通りだ！」
<3299> 「この通りだ！」

//<3300> nothing
<3300> nothing

//<3301> nothing
<3301> nothing

//<3302> nothing
<3302> nothing

//<3303> nothing
<3303> nothing

//<3304> nothing
<3304> nothing

//<3305> nothing
<3305> nothing

//<3306> 土下座までされる。
<3306> 土下座までされる。

//<3307> 考え直す
<3307> 考え直す

//<3308> 戦線から抜ける
<3308> 戦線から抜ける

//<3309> selbtn : 
<3309> selbtn : 

//<3310> 音無
<3310> 音無

//<3311> クソ坊主
<3311> クソ坊主

//<3312> 代理人
<3312> 代理人

//<3313> 微妙すぎるイケメン
<3313> 微妙すぎるイケメン

//<3314> ロリコン
<3314> ロリコン

//<3315> メガネ仲間
<3315> メガネ仲間

//<3316> 暗算日本記録保持者
<3316> 暗算日本記録保持者

//<3317> 通り魔
<3317> 通り魔

//<3318> 記憶ナシ男
<3318> 記憶ナシ男

//<3319> 音速
<3319> 音速

//<3320> 無限
<3320> 無限

//<3321> エロ侍
<3321> エロ侍

//<3322> エロエロ団ナンバー１
<3322> エロエロ団ナンバー１

//<3323> ただのエロ少年
<3323> ただのエロ少年

//<3324> ユリブサイク
<3324> ユリブサイク

//<3325> ドピュッシー
<3325> ドピュッシー

//<3326> アメリカンエロドッグ
<3326> アメリカンエロドッグ

//<3327> ゼウス
<3327> ゼウス

//<3328> 日向markⅡ
<3328> 日向markⅡ

//<3329> 糞虫
<3329> 糞虫

//<3330> 量産型日向
<3330> 量産型日向

//<3331> ？？
<3331> ？？

//<3332> 「じゃあ、二度と裏切らない、それだけを約束してくれ…」
<3332> 「じゃあ、二度と裏切らない、それだけを約束してくれ…」

//<3333> nothing
<3333> nothing

//<3334> nothing
<3334> nothing

//<3335> nothing
<3335> nothing

//<3336> nothing
<3336> nothing

//<3337> nothing
<3337> nothing

//<3338> 日向
<3338> 日向

//<3339> 男Ｂ
<3339> 男Ｂ

//<3340> エロエロ団総帥
<3340> エロエロ団総帥

//<3341> イケチン
<3341> イケチン

//<3342> ホモ太
<3342> ホモ太

//<3343> ひなチン
<3343> ひなチン

//<3344> 秀樹
<3344> 秀樹

//<3345> 男子生徒
<3345> 男子生徒

//<3346> ？？
<3346> ？？

//<3347> 「わかったよ…約束するよ…」
<3347> 「わかったよ…約束するよ…」

//<3348> 音無
<3348> 音無

//<3349> クソ坊主
<3349> クソ坊主

//<3350> 代理人
<3350> 代理人

//<3351> 微妙すぎるイケメン
<3351> 微妙すぎるイケメン

//<3352> ロリコン
<3352> ロリコン

//<3353> メガネ仲間
<3353> メガネ仲間

//<3354> 暗算日本記録保持者
<3354> 暗算日本記録保持者

//<3355> 通り魔
<3355> 通り魔

//<3356> 記憶ナシ男
<3356> 記憶ナシ男

//<3357> 音速
<3357> 音速

//<3358> 無限
<3358> 無限

//<3359> エロ侍
<3359> エロ侍

//<3360> エロエロ団ナンバー１
<3360> エロエロ団ナンバー１

//<3361> ただのエロ少年
<3361> ただのエロ少年

//<3362> ユリブサイク
<3362> ユリブサイク

//<3363> ドピュッシー
<3363> ドピュッシー

//<3364> アメリカンエロドッグ
<3364> アメリカンエロドッグ

//<3365> ゼウス
<3365> ゼウス

//<3366> 日向markⅡ
<3366> 日向markⅡ

//<3367> 糞虫
<3367> 糞虫

//<3368> 量産型日向
<3368> 量産型日向

//<3369> ？？
<3369> ？？

//<3370> 「じゃあ、指切りげんまんだ！」
<3370> 「じゃあ、指切りげんまんだ！」

//<3371> nothing
<3371> nothing

//<3372> nothing
<3372> nothing

//<3373> nothing
<3373> nothing

//<3374> nothing
<3374> nothing

//<3375> nothing
<3375> nothing

//<3376> 日向
<3376> 日向

//<3377> 男Ｂ
<3377> 男Ｂ

//<3378> エロエロ団総帥
<3378> エロエロ団総帥

//<3379> イケチン
<3379> イケチン

//<3380> ホモ太
<3380> ホモ太

//<3381> ひなチン
<3381> ひなチン

//<3382> 秀樹
<3382> 秀樹

//<3383> 男子生徒
<3383> 男子生徒

//<3384> ？？
<3384> ？？

//<3385> 「ああよ」
<3385> 「ああよ」

//<3386> ふたり小指を結び合う。
<3386> ふたり小指を結び合う。

//<3387> 音無
<3387> 音無

//<3388> クソ坊主
<3388> クソ坊主

//<3389> 代理人
<3389> 代理人

//<3390> 微妙すぎるイケメン
<3390> 微妙すぎるイケメン

//<3391> ロリコン
<3391> ロリコン

//<3392> メガネ仲間
<3392> メガネ仲間

//<3393> 暗算日本記録保持者
<3393> 暗算日本記録保持者

//<3394> 通り魔
<3394> 通り魔

//<3395> 記憶ナシ男
<3395> 記憶ナシ男

//<3396> 音速
<3396> 音速

//<3397> 無限
<3397> 無限

//<3398> エロ侍
<3398> エロ侍

//<3399> エロエロ団ナンバー１
<3399> エロエロ団ナンバー１

//<3400> ただのエロ少年
<3400> ただのエロ少年

//<3401> ユリブサイク
<3401> ユリブサイク

//<3402> ドピュッシー
<3402> ドピュッシー

//<3403> アメリカンエロドッグ
<3403> アメリカンエロドッグ

//<3404> ゼウス
<3404> ゼウス

//<3405> 日向markⅡ
<3405> 日向markⅡ

//<3406> 糞虫
<3406> 糞虫

//<3407> 量産型日向
<3407> 量産型日向

//<3408> ？？
<3408> ？？

//<3409> 「ゆーびきーりげーんまん、うーそついたら、拷問のひーびっ！　ゆーびきった！」
<3409> 「ゆーびきーりげーんまん、うーそついたら、拷問のひーびっ！　ゆーびきった！」

//<3410> そう言って指を切る。
<3410> そう言って指を切る。

//<3411> nothing
<3411> nothing

//<3412> nothing
<3412> nothing

//<3413> nothing
<3413> nothing

//<3414> nothing
<3414> nothing

//<3415> nothing
<3415> nothing

//<3416> 日向
<3416> 日向

//<3417> 男Ｂ
<3417> 男Ｂ

//<3418> エロエロ団総帥
<3418> エロエロ団総帥

//<3419> イケチン
<3419> イケチン

//<3420> ホモ太
<3420> ホモ太

//<3421> ひなチン
<3421> ひなチン

//<3422> 秀樹
<3422> 秀樹

//<3423> 男子生徒
<3423> 男子生徒

//<3424> ？？
<3424> ？？

//<3425> 「えげつねー罰だな…」
<3425> 「えげつねー罰だな…」

//<3426> 音無
<3426> 音無

//<3427> クソ坊主
<3427> クソ坊主

//<3428> 代理人
<3428> 代理人

//<3429> 微妙すぎるイケメン
<3429> 微妙すぎるイケメン

//<3430> ロリコン
<3430> ロリコン

//<3431> メガネ仲間
<3431> メガネ仲間

//<3432> 暗算日本記録保持者
<3432> 暗算日本記録保持者

//<3433> 通り魔
<3433> 通り魔

//<3434> 記憶ナシ男
<3434> 記憶ナシ男

//<3435> 音速
<3435> 音速

//<3436> 無限
<3436> 無限

//<3437> エロ侍
<3437> エロ侍

//<3438> エロエロ団ナンバー１
<3438> エロエロ団ナンバー１

//<3439> ただのエロ少年
<3439> ただのエロ少年

//<3440> ユリブサイク
<3440> ユリブサイク

//<3441> ドピュッシー
<3441> ドピュッシー

//<3442> アメリカンエロドッグ
<3442> アメリカンエロドッグ

//<3443> ゼウス
<3443> ゼウス

//<3444> 日向markⅡ
<3444> 日向markⅡ

//<3445> 糞虫
<3445> 糞虫

//<3446> 量産型日向
<3446> 量産型日向

//<3447> ？？
<3447> ？？

//<3448> 「いや、抜ける」
<3448> 「いや、抜ける」

//<3449> nothing
<3449> nothing

//<3450> nothing
<3450> nothing

//<3451> nothing
<3451> nothing

//<3452> nothing
<3452> nothing

//<3453> nothing
<3453> nothing

//<3454> 日向
<3454> 日向

//<3455> 男Ｂ
<3455> 男Ｂ

//<3456> エロエロ団総帥
<3456> エロエロ団総帥

//<3457> イケチン
<3457> イケチン

//<3458> ホモ太
<3458> ホモ太

//<3459> ひなチン
<3459> ひなチン

//<3460> 秀樹
<3460> 秀樹

//<3461> 男子生徒
<3461> 男子生徒

//<3462> ？？
<3462> ？？

//<3463> 「そっか…こんなことで、お前を失うなんて、思いもしなかった…」
<3463> 「そっか…こんなことで、お前を失うなんて、思いもしなかった…」

//<3464> nothing
<3464> nothing

//<3465> nothing
<3465> nothing

//<3466> nothing
<3466> nothing

//<3467> nothing
<3467> nothing

//<3468> nothing
<3468> nothing

//<3469> 日向
<3469> 日向

//<3470> 男Ｂ
<3470> 男Ｂ

//<3471> エロエロ団総帥
<3471> エロエロ団総帥

//<3472> イケチン
<3472> イケチン

//<3473> ホモ太
<3473> ホモ太

//<3474> ひなチン
<3474> ひなチン

//<3475> 秀樹
<3475> 秀樹

//<3476> 男子生徒
<3476> 男子生徒

//<3477> ？？
<3477> ？？

//<3478> 「半分はいつ気づくか、ゲーム感覚だった…」
<3478> 「半分はいつ気づくか、ゲーム感覚だった…」

//<3479> nothing
<3479> nothing

//<3480> nothing
<3480> nothing

//<3481> nothing
<3481> nothing

//<3482> nothing
<3482> nothing

//<3483> nothing
<3483> nothing

//<3484> 日向
<3484> 日向

//<3485> 男Ｂ
<3485> 男Ｂ

//<3486> エロエロ団総帥
<3486> エロエロ団総帥

//<3487> イケチン
<3487> イケチン

//<3488> ホモ太
<3488> ホモ太

//<3489> ひなチン
<3489> ひなチン

//<3490> 秀樹
<3490> 秀樹

//<3491> 男子生徒
<3491> 男子生徒

//<3492> ？？
<3492> ？？

//<3493> 「でも、遊びが過ぎたんだな…」
<3493> 「でも、遊びが過ぎたんだな…」

//<3494> 音無
<3494> 音無

//<3495> クソ坊主
<3495> クソ坊主

//<3496> 代理人
<3496> 代理人

//<3497> 微妙すぎるイケメン
<3497> 微妙すぎるイケメン

//<3498> ロリコン
<3498> ロリコン

//<3499> メガネ仲間
<3499> メガネ仲間

//<3500> 暗算日本記録保持者
<3500> 暗算日本記録保持者

//<3501> 通り魔
<3501> 通り魔

//<3502> 記憶ナシ男
<3502> 記憶ナシ男

//<3503> 音速
<3503> 音速

//<3504> 無限
<3504> 無限

//<3505> エロ侍
<3505> エロ侍

//<3506> エロエロ団ナンバー１
<3506> エロエロ団ナンバー１

//<3507> ただのエロ少年
<3507> ただのエロ少年

//<3508> ユリブサイク
<3508> ユリブサイク

//<3509> ドピュッシー
<3509> ドピュッシー

//<3510> アメリカンエロドッグ
<3510> アメリカンエロドッグ

//<3511> ゼウス
<3511> ゼウス

//<3512> 日向markⅡ
<3512> 日向markⅡ

//<3513> 糞虫
<3513> 糞虫

//<3514> 量産型日向
<3514> 量産型日向

//<3515> ？？
<3515> ？？

//<3516> 「ああ」
<3516> 「ああ」

//<3517> nothing
<3517> nothing

//<3518> nothing
<3518> nothing

//<3519> nothing
<3519> nothing

//<3520> nothing
<3520> nothing

//<3521> nothing
<3521> nothing

//<3522> 日向
<3522> 日向

//<3523> 男Ｂ
<3523> 男Ｂ

//<3524> エロエロ団総帥
<3524> エロエロ団総帥

//<3525> イケチン
<3525> イケチン

//<3526> ホモ太
<3526> ホモ太

//<3527> ひなチン
<3527> ひなチン

//<3528> 秀樹
