// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
//<1554> エロ侍
<1554> エロ侍

//<1555> エロエロ団ナンバー１
<1555> エロエロ団ナンバー１

//<1556> ただのエロ少年
<1556> ただのエロ少年

//<1557> ユリブサイク
<1557> ユリブサイク

//<1558> ドピュッシー
<1558> ドピュッシー

//<1559> アメリカンエロドッグ
<1559> アメリカンエロドッグ

//<1560> ゼウス
<1560> ゼウス

//<1561> 日向markⅡ
<1561> 日向markⅡ

//<1562> 糞虫
<1562> 糞虫

//<1563> 量産型日向
<1563> 量産型日向

//<1564> ？？
<1564> ？？

//<1565> 「違う」
<1565> 「違う」

//<1566> nothing
<1566> nothing

//<1567> nothing
<1567> nothing

//<1568> nothing
<1568> nothing

//<1569> nothing
<1569> nothing

//<1570> nothing
<1570> nothing

//<1571> ユイ
<1571> ユイ
{2ed47} 09 // 1571

//<1572> 「だったら、そんな姿勢で顔面を…
<1572> 「だったら、そんな姿勢で顔面を…

//<1573> nothing
<1573> nothing

//<1574> nothing
<1574> nothing

//<1575> nothing
<1575> nothing

//<1576> nothing
<1576> nothing

//<1577> nothing
<1577> nothing

//<1578> って違うぅぅーー！？」
<1578> って違うぅぅーー！？」

//<1579> 音無
<1579> 音無

//<1580> クソ坊主
<1580> クソ坊主

//<1581> 代理人
<1581> 代理人

//<1582> 微妙すぎるイケメン
<1582> 微妙すぎるイケメン

//<1583> ロリコン
<1583> ロリコン

//<1584> メガネ仲間
<1584> メガネ仲間

//<1585> 暗算日本記録保持者
<1585> 暗算日本記録保持者

//<1586> 通り魔
<1586> 通り魔

//<1587> 記憶ナシ男
<1587> 記憶ナシ男

//<1588> 音速
<1588> 音速

//<1589> 無限
<1589> 無限

//<1590> エロ侍
<1590> エロ侍

//<1591> エロエロ団ナンバー１
<1591> エロエロ団ナンバー１

//<1592> ただのエロ少年
<1592> ただのエロ少年

//<1593> ユリブサイク
<1593> ユリブサイク

//<1594> ドピュッシー
<1594> ドピュッシー

//<1595> アメリカンエロドッグ
<1595> アメリカンエロドッグ

//<1596> ゼウス
<1596> ゼウス

//<1597> 日向markⅡ
<1597> 日向markⅡ

//<1598> 糞虫
<1598> 糞虫

//<1599> 量産型日向
<1599> 量産型日向

//<1600> ？？
<1600> ？？

//<1601> 「ああ、違う。思い直した。ファンじゃなかった。だから、すまん」
<1601> 「ああ、違う。思い直した。ファンじゃなかった。だから、すまん」

//<1602> nothing
<1602> nothing

//<1603> nothing
<1603> nothing

//<1604> nothing
<1604> nothing

//<1605> nothing
<1605> nothing

//<1606> nothing
<1606> nothing

//<1607> ユイ
<1607> ユイ

//<1608> 「蹴られ損ーーー！！」
<1608> 「蹴られ損ーーー！！」

//<1609> 音無
<1609> 音無

//<1610> クソ坊主
<1610> クソ坊主

//<1611> 代理人
<1611> 代理人

//<1612> 微妙すぎるイケメン
<1612> 微妙すぎるイケメン

//<1613> ロリコン
<1613> ロリコン

//<1614> メガネ仲間
<1614> メガネ仲間

//<1615> 暗算日本記録保持者
<1615> 暗算日本記録保持者

//<1616> 通り魔
<1616> 通り魔

//<1617> 記憶ナシ男
<1617> 記憶ナシ男

//<1618> 音速
<1618> 音速

//<1619> 無限
<1619> 無限

//<1620> エロ侍
<1620> エロ侍

//<1621> エロエロ団ナンバー１
<1621> エロエロ団ナンバー１

//<1622> ただのエロ少年
<1622> ただのエロ少年

//<1623> ユリブサイク
<1623> ユリブサイク

//<1624> ドピュッシー
<1624> ドピュッシー

//<1625> アメリカンエロドッグ
<1625> アメリカンエロドッグ

//<1626> ゼウス
<1626> ゼウス

//<1627> 日向markⅡ
<1627> 日向markⅡ

//<1628> 糞虫
<1628> 糞虫

//<1629> 量産型日向
<1629> 量産型日向

//<1630> ？？
<1630> ？？

//<1631> 「それはこっちもだよ」
<1631> 「それはこっちもだよ」

//<1632> nothing
<1632> nothing

//<1633> nothing
<1633> nothing

//<1634> nothing
<1634> nothing

//<1635> nothing
<1635> nothing

//<1636> nothing
<1636> nothing

//<1637> ユイ
<1637> ユイ

//<1638> 「では、痛み分けってことで、一応納得しておきます」
<1638> 「では、痛み分けってことで、一応納得しておきます」

//<1639> 音無
<1639> 音無

//<1640> クソ坊主
<1640> クソ坊主

//<1641> 代理人
<1641> 代理人

//<1642> 微妙すぎるイケメン
<1642> 微妙すぎるイケメン

//<1643> ロリコン
<1643> ロリコン

//<1644> メガネ仲間
<1644> メガネ仲間

//<1645> 暗算日本記録保持者
<1645> 暗算日本記録保持者

//<1646> 通り魔
<1646> 通り魔

//<1647> 記憶ナシ男
<1647> 記憶ナシ男

//<1648> 音速
<1648> 音速

//<1649> 無限
<1649> 無限

//<1650> エロ侍
<1650> エロ侍

//<1651> エロエロ団ナンバー１
<1651> エロエロ団ナンバー１

//<1652> ただのエロ少年
<1652> ただのエロ少年

//<1653> ユリブサイク
<1653> ユリブサイク

//<1654> ドピュッシー
<1654> ドピュッシー

//<1655> アメリカンエロドッグ
<1655> アメリカンエロドッグ

//<1656> ゼウス
<1656> ゼウス

//<1657> 日向markⅡ
<1657> 日向markⅡ

//<1658> 糞虫
<1658> 糞虫

//<1659> 量産型日向
<1659> 量産型日向

//<1660> ？？
<1660> ？？

//<1661> 「ああ」
<1661> 「ああ」

//<1662> nothing
<1662> nothing

//<1663> nothing
<1663> nothing

//<1664> nothing
<1664> nothing

//<1665> nothing
<1665> nothing

//<1666> nothing
<1666> nothing

//<1667> ユイ
<1667> ユイ

//<1668> 「でも、ファンじゃなかったらもう二度とここに来ないでくださいね」
<1668> 「でも、ファンじゃなかったらもう二度とここに来ないでくださいね」

//<1669> 致し方ない。頷いて、立ち去った。
<1669> 致し方ない。頷いて、立ち去った。

//<1670> 音無
<1670> 音無

//<1671> クソ坊主
<1671> クソ坊主

//<1672> 代理人
<1672> 代理人

//<1673> 微妙すぎるイケメン
<1673> 微妙すぎるイケメン

//<1674> ロリコン
<1674> ロリコン

//<1675> メガネ仲間
<1675> メガネ仲間

//<1676> 暗算日本記録保持者
<1676> 暗算日本記録保持者

//<1677> 通り魔
<1677> 通り魔

//<1678> 記憶ナシ男
<1678> 記憶ナシ男

//<1679> 音速
<1679> 音速

//<1680> 無限
<1680> 無限

//<1681> エロ侍
<1681> エロ侍

//<1682> エロエロ団ナンバー１
<1682> エロエロ団ナンバー１

//<1683> ただのエロ少年
<1683> ただのエロ少年

//<1684> ユリブサイク
<1684> ユリブサイク

//<1685> ドピュッシー
<1685> ドピュッシー

//<1686> アメリカンエロドッグ
<1686> アメリカンエロドッグ

//<1687> ゼウス
<1687> ゼウス

//<1688> 日向markⅡ
<1688> 日向markⅡ

//<1689> 糞虫
<1689> 糞虫

//<1690> 量産型日向
<1690> 量産型日向

//<1691> ？？
<1691> ？？

//<1692> 「そっか…だよな…もう来ないよ」
<1692> 「そっか…だよな…もう来ないよ」

//<1693> nothing
<1693> nothing

//<1694> nothing
<1694> nothing

//<1695> nothing
<1695> nothing

//<1696> nothing
<1696> nothing

//<1697> nothing
<1697> nothing

//<1698> ユイ
<1698> ユイ

//<1699> 「はい、無限に続く世界なので、心変わりしたら、またいつの日か！」
<1699> 「はい、無限に続く世界なので、心変わりしたら、またいつの日か！」

//<1700> nothing
<1700> nothing

//<1701> nothing
<1701> nothing

//<1702> nothing
<1702> nothing

//<1703> nothing
<1703> nothing

//<1704> nothing
<1704> nothing

//<1705> ユイ
<1705> ユイ

//<1706> 「変質者はお断りです」
<1706> 「変質者はお断りです」

//<1707> 音無
<1707> 音無

//<1708> クソ坊主
<1708> クソ坊主

//<1709> 代理人
<1709> 代理人

//<1710> 微妙すぎるイケメン
<1710> 微妙すぎるイケメン

//<1711> ロリコン
<1711> ロリコン

//<1712> メガネ仲間
<1712> メガネ仲間

//<1713> 暗算日本記録保持者
<1713> 暗算日本記録保持者

//<1714> 通り魔
<1714> 通り魔

//<1715> 記憶ナシ男
<1715> 記憶ナシ男

//<1716> 音速
<1716> 音速

//<1717> 無限
<1717> 無限

//<1718> エロ侍
<1718> エロ侍

//<1719> エロエロ団ナンバー１
<1719> エロエロ団ナンバー１

//<1720> ただのエロ少年
<1720> ただのエロ少年

//<1721> ユリブサイク
<1721> ユリブサイク

//<1722> ドピュッシー
<1722> ドピュッシー

//<1723> アメリカンエロドッグ
<1723> アメリカンエロドッグ

//<1724> ゼウス
<1724> ゼウス

//<1725> 日向markⅡ
<1725> 日向markⅡ

//<1726> 糞虫
<1726> 糞虫

//<1727> 量産型日向
<1727> 量産型日向

//<1728> ？？
<1728> ？？

//<1729> 「変な事しないから来ていいか？」
<1729> 「変な事しないから来ていいか？」

//<1730> nothing
<1730> nothing

//<1731> nothing
<1731> nothing

//<1732> nothing
<1732> nothing

//<1733> nothing
<1733> nothing

//<1734> nothing
<1734> nothing

//<1735> ユイ
<1735> ユイ

//<1736> 「だったらいいですよ」
<1736> 「だったらいいですよ」

//<1737> nothing
<1737> nothing

//<1738> nothing
<1738> nothing

//<1739> nothing
<1739> nothing

//<1740> nothing
<1740> nothing

//<1741> nothing
<1741> nothing

//<1742> ユイはアコギを背負うと、軽く伸びをした。
<1742> ユイはアコギを背負うと、軽く伸びをした。

//<1743> 音無
<1743> 音無

//<1744> クソ坊主
<1744> クソ坊主

//<1745> 代理人
<1745> 代理人

//<1746> 微妙すぎるイケメン
<1746> 微妙すぎるイケメン

//<1747> ロリコン
<1747> ロリコン

//<1748> メガネ仲間
<1748> メガネ仲間

//<1749> 暗算日本記録保持者
<1749> 暗算日本記録保持者

//<1750> 通り魔
<1750> 通り魔

//<1751> 記憶ナシ男
<1751> 記憶ナシ男

//<1752> 音速
<1752> 音速

//<1753> 無限
<1753> 無限

//<1754> エロ侍
<1754> エロ侍

//<1755> エロエロ団ナンバー１
<1755> エロエロ団ナンバー１

//<1756> ただのエロ少年
<1756> ただのエロ少年

//<1757> ユリブサイク
<1757> ユリブサイク

//<1758> ドピュッシー
<1758> ドピュッシー

//<1759> アメリカンエロドッグ
<1759> アメリカンエロドッグ

//<1760> ゼウス
<1760> ゼウス

//<1761> 日向markⅡ
<1761> 日向markⅡ

//<1762> 糞虫
<1762> 糞虫

//<1763> 量産型日向
<1763> 量産型日向

//<1764> ？？
<1764> ？？

//<1765> 「あ、ヘソ見えた」
<1765> 「あ、ヘソ見えた」

//<1766> nothing
<1766> nothing

//<1767> nothing
<1767> nothing

//<1768> nothing
<1768> nothing

//<1769> nothing
<1769> nothing

//<1770> nothing
<1770> nothing

//<1771> ユイ
<1771> ユイ

//<1772> 「二度と来んなぁぁーーーー！」
<1772> 「二度と来んなぁぁーーーー！」

//<1773> 駐車場にきてみた。
<1773> 駐車場にきてみた。

//<1774> この世界に車があるのかわからない。
<1774> この世界に車があるのかわからない。

//<1775> 学校という施設だから、とりあえず在る場所ということだろうか。
<1775> 学校という施設だから、とりあえず在る場所ということだろうか。

//<1776> でも、人がこなさそうな場所なのに、人だかりが出来ていた。
<1776> でも、人がこなさそうな場所なのに、人だかりが出来ていた。

//<1777> そしてその中から、ギターの音色と歌声。
<1777> そしてその中から、ギターの音色と歌声。

//<1778> 陽動作戦は明日のはずだが…？
<1778> 陽動作戦は明日のはずだが…？

//<1779> se_yui_Alchemy_Gt
<1779> se_yui_Alchemy_Gt
{34ba7} 0a // 1779

//<1780> nothing
<1780> nothing

//<1781> 
<1781> 

//<1782> 
<1782> 

//<1783> nothing
<1783> nothing

//<1784> 人垣の隙間から覗き込んでみると、そこにはユイがいた。
<1784> 人垣の隙間から覗き込んでみると、そこにはユイがいた。

//<1785> あぐらをかきながら、アコギを抱くように弾いて歌っている。
<1785> あぐらをかきながら、アコギを抱くように弾いて歌っている。

//<1786> 陽動班の下っ端と言っていたけど、これも作戦の一部なんだろうか。
<1786> 陽動班の下っ端と言っていたけど、これも作戦の一部なんだろうか。

//<1787> しばらくその歌声に耳を傾ける。
<1787> しばらくその歌声に耳を傾ける。

//<1788> 普通に上手い、と思った。
<1788> 普通に上手い、と思った。

//<1789> se_claphands
<1789> se_claphands

//<1790> 演奏が終わってユイが一呼吸つくと、周囲から派手ではないが、感嘆の声と拍手が鳴る。
<1790> 演奏が終わってユイが一呼吸つくと、周囲から派手ではないが、感嘆の声と拍手が鳴る。

//<1791> nothing
<1791> nothing

//<1792> nothing
<1792> nothing

//<1793> nothing
<1793> nothing

//<1794> nothing
<1794> nothing

//<1795> nothing
<1795> nothing

//<1796> ユイ
<1796> ユイ

//<1797> 「ありがとうございます！　どうもです！！」
<1797> 「ありがとうございます！　どうもです！！」

//<1798> 音無
<1798> 音無

//<1799> クソ坊主
<1799> クソ坊主

//<1800> 代理人
<1800> 代理人

//<1801> 微妙すぎるイケメン
<1801> 微妙すぎるイケメン

//<1802> ロリコン
<1802> ロリコン

//<1803> メガネ仲間
<1803> メガネ仲間

//<1804> 暗算日本記録保持者
<1804> 暗算日本記録保持者

//<1805> 通り魔
<1805> 通り魔

//<1806> 記憶ナシ男
<1806> 記憶ナシ男

//<1807> 音速
<1807> 音速

//<1808> 無限
<1808> 無限

//<1809> エロ侍
<1809> エロ侍

//<1810> エロエロ団ナンバー１
<1810> エロエロ団ナンバー１

//<1811> ただのエロ少年
<1811> ただのエロ少年

//<1812> ユリブサイク
<1812> ユリブサイク

//<1813> ドピュッシー
<1813> ドピュッシー

//<1814> アメリカンエロドッグ
<1814> アメリカンエロドッグ

//<1815> ゼウス
<1815> ゼウス

//<1816> 日向markⅡ
<1816> 日向markⅡ

//<1817> 糞虫
<1817> 糞虫

//<1818> 量産型日向
<1818> 量産型日向

//<1819> ？？
<1819> ？？

//<1820> 「すごいな」
<1820> 「すごいな」

//<1821> nothing
<1821> nothing

//<1822> nothing
<1822> nothing

//<1823> nothing
<1823> nothing

//<1824> nothing
<1824> nothing

//<1825> nothing
<1825> nothing

//<1826> ユイ
<1826> ユイ

//<1827> 「おお、先輩じゃないですか、こんな所にどうしたんですか？」
<1827> 「おお、先輩じゃないですか、こんな所にどうしたんですか？」

//<1828> nothing
<1828> nothing

//<1829> nothing
<1829> nothing

//<1830> nothing
<1830> nothing

//<1831> nothing
<1831> nothing

//<1832> nothing
<1832> nothing

//<1833> 音無
<1833> 音無

//<1834> クソ坊主
<1834> クソ坊主

//<1835> 代理人
<1835> 代理人

//<1836> 微妙すぎるイケメン
<1836> 微妙すぎるイケメン

//<1837> ロリコン
<1837> ロリコン

//<1838> メガネ仲間
<1838> メガネ仲間

//<1839> 暗算日本記録保持者
<1839> 暗算日本記録保持者

//<1840> 通り魔
<1840> 通り魔

//<1841> 記憶ナシ男
<1841> 記憶ナシ男

//<1842> 音速
<1842> 音速

//<1843> 無限
<1843> 無限

//<1844> エロ侍
<1844> エロ侍

//<1845> エロエロ団ナンバー１
<1845> エロエロ団ナンバー１

//<1846> ただのエロ少年
<1846> ただのエロ少年

//<1847> ユリブサイク
<1847> ユリブサイク

//<1848> ドピュッシー
<1848> ドピュッシー

//<1849> アメリカンエロドッグ
<1849> アメリカンエロドッグ

//<1850> ゼウス
<1850> ゼウス

//<1851> 日向markⅡ
<1851> 日向markⅡ

//<1852> 糞虫
<1852> 糞虫

//<1853> 量産型日向
<1853> 量産型日向

//<1854> ？？
<1854> ？？

//<1855> 「ちょっと通りかかってな」
<1855> 「ちょっと通りかかってな」

//<1856> 少し声を潜めて訊く。
<1856> 少し声を潜めて訊く。

//<1857> 音無
<1857> 音無

//<1858> クソ坊主
<1858> クソ坊主

//<1859> 代理人
<1859> 代理人

//<1860> 微妙すぎるイケメン
<1860> 微妙すぎるイケメン

//<1861> ロリコン
<1861> ロリコン

//<1862> メガネ仲間
<1862> メガネ仲間

//<1863> 暗算日本記録保持者
<1863> 暗算日本記録保持者

//<1864> 通り魔
<1864> 通り魔

//<1865> 記憶ナシ男
<1865> 記憶ナシ男

//<1866> 音速
<1866> 音速

//<1867> 無限
<1867> 無限

//<1868> エロ侍
<1868> エロ侍

//<1869> エロエロ団ナンバー１
<1869> エロエロ団ナンバー１

//<1870> ただのエロ少年
<1870> ただのエロ少年

//<1871> ユリブサイク
<1871> ユリブサイク

//<1872> ドピュッシー
<1872> ドピュッシー

//<1873> アメリカンエロドッグ
<1873> アメリカンエロドッグ

//<1874> ゼウス
<1874> ゼウス

//<1875> 日向markⅡ
<1875> 日向markⅡ

//<1876> 糞虫
<1876> 糞虫

//<1877> 量産型日向
<1877> 量産型日向

//<1878> ？？
<1878> ？？

//<1879> 「…これって陽動班の作戦かなにかなのか？」
<1879> 「…これって陽動班の作戦かなにかなのか？」

//<1880> nothing
<1880> nothing

//<1881> nothing
<1881> nothing

//<1882> nothing
<1882> nothing

//<1883> nothing
<1883> nothing

//<1884> nothing
<1884> nothing

//<1885> ユイ
<1885> ユイ

//<1886> 「いえいえ、あたしの趣味です」
<1886> 「いえいえ、あたしの趣味です」

//<1887> 音無
<1887> 音無

//<1888> クソ坊主
<1888> クソ坊主

//<1889> 代理人
<1889> 代理人

//<1890> 微妙すぎるイケメン
<1890> 微妙すぎるイケメン

//<1891> ロリコン
<1891> ロリコン

//<1892> メガネ仲間
<1892> メガネ仲間

//<1893> 暗算日本記録保持者
<1893> 暗算日本記録保持者

//<1894> 通り魔
<1894> 通り魔

//<1895> 記憶ナシ男
<1895> 記憶ナシ男

//<1896> 音速
<1896> 音速

//<1897> 無限
<1897> 無限

//<1898> エロ侍
<1898> エロ侍

//<1899> エロエロ団ナンバー１
<1899> エロエロ団ナンバー１

//<1900> ただのエロ少年
<1900> ただのエロ少年

//<1901> ユリブサイク
<1901> ユリブサイク

//<1902> ドピュッシー
<1902> ドピュッシー

//<1903> アメリカンエロドッグ
<1903> アメリカンエロドッグ

//<1904> ゼウス
<1904> ゼウス

//<1905> 日向markⅡ
<1905> 日向markⅡ

//<1906> 糞虫
<1906> 糞虫

//<1907> 量産型日向
<1907> 量産型日向

//<1908> ？？
<1908> ？？

//<1909> 「趣味？」
<1909> 「趣味？」

//<1910> nothing
<1910> nothing

//<1911> nothing
<1911> nothing

//<1912> nothing
<1912> nothing

//<1913> nothing
<1913> nothing

//<1914> nothing
<1914> nothing

//<1915> ユイ
<1915> ユイ

//<1916> 「はい、あこがれのガルデモに少しでも近づきたくって勝手にやってるだけです。下手の横好きって奴ですよ」
<1916> 「はい、あこがれのガルデモに少しでも近づきたくって勝手にやってるだけです。下手の横好きって奴ですよ」

//<1917> 音無
<1917> 音無

//<1918> クソ坊主
<1918> クソ坊主

//<1919> 代理人
<1919> 代理人

//<1920> 微妙すぎるイケメン
<1920> 微妙すぎるイケメン

//<1921> ロリコン
<1921> ロリコン

//<1922> メガネ仲間
<1922> メガネ仲間

//<1923> 暗算日本記録保持者
<1923> 暗算日本記録保持者

//<1924> 通り魔
<1924> 通り魔

//<1925> 記憶ナシ男
<1925> 記憶ナシ男

//<1926> 音速
<1926> 音速

//<1927> 無限
<1927> 無限

//<1928> エロ侍
<1928> エロ侍

//<1929> エロエロ団ナンバー１
<1929> エロエロ団ナンバー１

//<1930> ただのエロ少年
<1930> ただのエロ少年

//<1931> ユリブサイク
<1931> ユリブサイク

//<1932> ドピュッシー
<1932> ドピュッシー

//<1933> アメリカンエロドッグ
<1933> アメリカンエロドッグ

//<1934> ゼウス
<1934> ゼウス

//<1935> 日向markⅡ
<1935> 日向markⅡ

//<1936> 糞虫
<1936> 糞虫

//<1937> 量産型日向
<1937> 量産型日向

//<1938> ？？
<1938> ？？

//<1939> 「十分上手かったと思うけどなぁ。ここに来てた連中は、ユイのファンなんだろ？」
<1939> 「十分上手かったと思うけどなぁ。ここに来てた連中は、ユイのファンなんだろ？」

//<1940> nothing
<1940> nothing

//<1941> nothing
<1941> nothing

//<1942> nothing
<1942> nothing

//<1943> nothing
<1943> nothing

//<1944> nothing
<1944> nothing

//<1945> ユイ
<1945> ユイ

//<1946> 「そうですけど、まだまだですよー」
<1946> 「そうですけど、まだまだですよー」

//<1947> 音無
<1947> 音無

//<1948> クソ坊主
<1948> クソ坊主

//<1949> 代理人
<1949> 代理人

//<1950> 微妙すぎるイケメン
<1950> 微妙すぎるイケメン

//<1951> ロリコン
<1951> ロリコン

//<1952> メガネ仲間
<1952> メガネ仲間

//<1953> 暗算日本記録保持者
<1953> 暗算日本記録保持者

//<1954> 通り魔
<1954> 通り魔

//<1955> 記憶ナシ男
<1955> 記憶ナシ男

//<1956> 音速
<1956> 音速

//<1957> 無限
<1957> 無限

//<1958> エロ侍
<1958> エロ侍

//<1959> エロエロ団ナンバー１
<1959> エロエロ団ナンバー１

//<1960> ただのエロ少年
<1960> ただのエロ少年

//<1961> ユリブサイク
<1961> ユリブサイク

//<1962> ドピュッシー
<1962> ドピュッシー

//<1963> アメリカンエロドッグ
<1963> アメリカンエロドッグ

//<1964> ゼウス
<1964> ゼウス

//<1965> 日向markⅡ
<1965> 日向markⅡ

//<1966> 糞虫
<1966> 糞虫

//<1967> 量産型日向
<1967> 量産型日向

//<1968> ？？
<1968> ？？

//<1969> 「そうか？　岩沢の代役とかいけるんじゃないか？」
<1969> 「そうか？　岩沢の代役とかいけるんじゃないか？」

//<1970> nothing
<1970> nothing

//<1971> nothing
<1971> nothing

//<1972> nothing
<1972> nothing

//<1973> nothing
<1973> nothing

//<1974> nothing
<1974> nothing

//<1975> ユイ
<1975> ユイ

//<1976> 「岩沢さんを侮辱してんのか！　ごらああぁぁぁぁーーーー！　岩沢さんが歌ってみろ！　この駐車場１００倍あっても足りんくらい人集まるわぁぁーーー！！」
<1976> 「岩沢さんを侮辱してんのか！　ごらああぁぁぁぁーーーー！　岩沢さんが歌ってみろ！　この駐車場１００倍あっても足りんくらい人集まるわぁぁーーー！！」

//<1977> nothing
<1977> nothing

//<1978> nothing
<1978> nothing

//<1979> nothing
<1979> nothing

//<1980> nothing
<1980> nothing

//<1981> nothing
<1981> nothing

//<1982> いきなりキレた！？　しかも遠回しに自分を卑下してる。
<1982> いきなりキレた！？　しかも遠回しに自分を卑下してる。

//<1983> 音無
<1983> 音無

//<1984> クソ坊主
<1984> クソ坊主

//<1985> 代理人
<1985> 代理人

//<1986> 微妙すぎるイケメン
<1986> 微妙すぎるイケメン

//<1987> ロリコン
<1987> ロリコン

//<1988> メガネ仲間
<1988> メガネ仲間

//<1989> 暗算日本記録保持者
<1989> 暗算日本記録保持者

//<1990> 通り魔
<1990> 通り魔

//<1991> 記憶ナシ男
<1991> 記憶ナシ男

//<1992> 音速
<1992> 音速

//<1993> 無限
<1993> 無限

//<1994> エロ侍
<1994> エロ侍

//<1995> エロエロ団ナンバー１
<1995> エロエロ団ナンバー１

//<1996> ただのエロ少年
<1996> ただのエロ少年

//<1997> ユリブサイク
<1997> ユリブサイク

//<1998> ドピュッシー
<1998> ドピュッシー

//<1999> アメリカンエロドッグ
<1999> アメリカンエロドッグ

//<2000> ゼウス
<2000> ゼウス

//<2001> 日向markⅡ
<2001> 日向markⅡ

//<2002> 糞虫
<2002> 糞虫

//<2003> 量産型日向
<2003> 量産型日向

//<2004> ？？
<2004> ？？

//<2005> 「いや、でも近づきたくて歌ってるって事は、いつかはそこに立ちたいってことじゃないのか？」
<2005> 「いや、でも近づきたくて歌ってるって事は、いつかはそこに立ちたいってことじゃないのか？」

//<2006> nothing
<2006> nothing

//<2007> nothing
<2007> nothing

//<2008> nothing
<2008> nothing

//<2009> nothing
<2009> nothing

//<2010> nothing
<2010> nothing

//<2011> ユイ
<2011> ユイ

//<2012> 「そ、そりゃ…できることなら…」
<2012> 「そ、そりゃ…できることなら…」

//<2013> nothing
<2013> nothing

//<2014> nothing
<2014> nothing

//<2015> nothing
<2015> nothing

//<2016> nothing
<2016> nothing

//<2017> nothing
<2017> nothing

//<2018> ユイ
<2018> ユイ

//<2019> 「ってー！　そんな恐れ多いこと、考えただけでちびりますよ！」
<2019> 「ってー！　そんな恐れ多いこと、考えただけでちびりますよ！」

//<2020> nothing
<2020> nothing

//<2021> nothing
<2021> nothing

//<2022> nothing
<2022> nothing

//<2023> nothing
<2023> nothing

//<2024> nothing
<2024> nothing

//<2025> ユイ
<2025> ユイ

//<2026> 「ガルデモはあの４人だからこその調和なんですから」
<2026> 「ガルデモはあの４人だからこその調和なんですから」

//<2027> 音無
<2027> 音無

//<2028> クソ坊主
<2028> クソ坊主

//<2029> 代理人
<2029> 代理人

//<2030> 微妙すぎるイケメン
<2030> 微妙すぎるイケメン

//<2031> ロリコン
<2031> ロリコン

//<2032> メガネ仲間
<2032> メガネ仲間

//<2033> 暗算日本記録保持者
<2033> 暗算日本記録保持者

//<2034> 通り魔
<2034> 通り魔

//<2035> 記憶ナシ男
<2035> 記憶ナシ男

//<2036> 音速
<2036> 音速

//<2037> 無限
<2037> 無限

//<2038> エロ侍
<2038> エロ侍

//<2039> エロエロ団ナンバー１
<2039> エロエロ団ナンバー１

//<2040> ただのエロ少年
<2040> ただのエロ少年

//<2041> ユリブサイク
<2041> ユリブサイク

//<2042> ドピュッシー
<2042> ドピュッシー

//<2043> アメリカンエロドッグ
<2043> アメリカンエロドッグ

//<2044> ゼウス
<2044> ゼウス

//<2045> 日向markⅡ
<2045> 日向markⅡ

//<2046> 糞虫
<2046> 糞虫

//<2047> 量産型日向
<2047> 量産型日向

//<2048> ？？
<2048> ？？

//<2049> 「４人ていうと、岩沢と後、ひさ子ってのと関根ってのと入江だっけ？」
<2049> 「４人ていうと、岩沢と後、ひさ子ってのと関根ってのと入江だっけ？」

//<2050> nothing
<2050> nothing

//<2051> nothing
<2051> nothing

//<2052> nothing
<2052> nothing

//<2053> nothing
<2053> nothing

//<2054> nothing
<2054> nothing

//<2055> ユイ
<2055> ユイ

//<2056> 「はい、そうです！」
<2056> 「はい、そうです！」

//<2057> 音無
<2057> 音無

//<2058> クソ坊主
<2058> クソ坊主

//<2059> 代理人
<2059> 代理人

//<2060> 微妙すぎるイケメン
<2060> 微妙すぎるイケメン

//<2061> ロリコン
<2061> ロリコン

//<2062> メガネ仲間
<2062> メガネ仲間

//<2063> 暗算日本記録保持者
<2063> 暗算日本記録保持者

//<2064> 通り魔
<2064> 通り魔

//<2065> 記憶ナシ男
<2065> 記憶ナシ男

//<2066> 音速
<2066> 音速

//<2067> 無限
<2067> 無限

//<2068> エロ侍
<2068> エロ侍

//<2069> エロエロ団ナンバー１
<2069> エロエロ団ナンバー１

//<2070> ただのエロ少年
<2070> ただのエロ少年

//<2071> ユリブサイク
<2071> ユリブサイク

//<2072> ドピュッシー
<2072> ドピュッシー

//<2073> アメリカンエロドッグ
<2073> アメリカンエロドッグ

//<2074> ゼウス
<2074> ゼウス

//<2075> 日向markⅡ
<2075> 日向markⅡ

//<2076> 糞虫
<2076> 糞虫

//<2077> 量産型日向
<2077> 量産型日向

